id,status,resolution,component,creation_time,votes,comment_count,depends_on,blocks,severity_num,priority_num,time_to_fix,guassian_time_to_fix
537499,RESOLVED,INVALID,Security,1/2/2010 8:12,0,5,[],[],4,,0 days 20:47:03,0 days 21:02:00
537532,RESOLVED,INCOMPLETE,Security,1/2/2010 16:46,0,3,[],[],3,,456 days 05:28:08,477 days 15:49:00
537639,RESOLVED,WORKSFORME,Security,1/4/2010 2:14,0,15,[],[],5,,1 days 10:33:47,1 days 15:37:00
537662,RESOLVED,DUPLICATE,Security,1/4/2010 9:13,0,2,[],[],2,,0 days 00:50:32,0 days 00:46:00
538240,RESOLVED,INCOMPLETE,Security,1/6/2010 21:11,0,3,[],[],3,,122 days 17:42:35,121 days 11:28:00
538265,RESOLVED,DUPLICATE,Security,1/6/2010 22:38,0,4,[],[],3,,0 days 00:10:49,0 days 00:11:00
538342,RESOLVED,INVALID,Security,1/7/2010 10:46,0,27,[],[],3,,45 days 18:38:47,49 days 15:45:00
538604,RESOLVED,INCOMPLETE,Security,1/8/2010 17:07,0,3,[],[],3,,449 days 13:17:42,487 days 19:15:00
539050,RESOLVED,WONTFIX,Security,1/11/2010 20:14,0,3,[],[],3,,2783 days 00:36:16,2555 days 22:49:00
539608,RESOLVED,WONTFIX,Security,1/14/2010 1:25,0,7,[],[],4,,28 days 21:36:16,27 days 14:39:00
539619,RESOLVED,DUPLICATE,Security,1/14/2010 2:54,1,6,[],[],5,,28 days 20:00:00,26 days 00:06:00
540397,RESOLVED,DUPLICATE,Security,1/18/2010 10:39,0,2,[],[],3,,0 days 00:05:34,0 days 00:05:00
540547,RESOLVED,DUPLICATE,Security,1/19/2010 8:50,0,3,[],[],3,,0 days 02:40:37,0 days 02:36:00
540737,RESOLVED,INVALID,Security,1/19/2010 23:10,0,10,[],[],3,,0 days 19:17:36,0 days 19:49:00
540781,RESOLVED,INVALID,Security,1/20/2010 4:08,0,11,[],[],4,,0 days 13:52:58,0 days 13:34:00
541087,RESOLVED,DUPLICATE,Security,1/21/2010 14:30,0,2,[],[],3,3,0 days 01:27:13,0 days 01:28:00
541092,RESOLVED,INCOMPLETE,Security,1/21/2010 14:47,0,5,[],[],3,,3603 days 04:24:08,3586 days 15:31:00
541098,RESOLVED,DUPLICATE,Security,1/21/2010 15:01,0,4,[],[],3,,1358 days 19:04:27,1361 days 17:43:00
541275,RESOLVED,DUPLICATE,Security,1/22/2010 2:03,0,2,[],[],3,,0 days 00:05:18,0 days 00:05:00
541443,VERIFIED,INVALID,Security,1/22/2010 18:47,0,2,[],[],3,,0 days 01:41:07,0 days 01:54:00
