date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-18 00:00:00.000000,2010-01-14 20:51:14.438327,535649,0,0,3,4,89,17
2010-02-08 00:00:00.000000,2010-02-05 16:14:35.363580,62178,0,0,5,31,278,38
2010-03-04 00:00:00.000000,2010-02-25 01:16:09.642572,541949,1,1,5,0,2,62
2010-03-29 00:00:00.000000,2010-03-29 00:47:03.000000,130327,0,0,4,2,55,87
2010-04-19 00:00:00.000000,2010-04-17 01:07:29.673331,432687,1,2,5,55,50,108
2010-05-05 00:00:00.000000,2010-05-05 13:05:18.785297,558826,1,1,5,0,5,124
2010-05-27 00:00:00.000000,2010-05-21 19:19:18.596124,550196,1,1,4,2,12,146
2010-06-06 00:00:00.000000,2010-06-05 21:49:44.373424,555855,1,1,5,0,6,156
2010-06-14 00:00:00.000000,2010-06-12 22:38:32.585051,570244,1,1,5,0,4,164
2010-06-26 00:00:00.000000,2010-06-25 21:19:32.415257,570343,1,1,3,0,3,176
2010-06-27 00:00:00.000000,2010-06-27 12:01:57.175887,550951,1,1,3,0,4,177
2010-07-15 00:00:00.000000,2010-07-14 18:24:52.151338,340021,1,1,3,7,4,195
2010-08-02 00:00:00.000000,2010-07-31 19:51:41.648108,545595,1,1,3,2,9,213
2010-08-19 00:00:00.000000,2010-08-18 07:51:20.640418,579714,1,1,5,0,16,230
2010-08-23 00:00:00.000000,2010-08-23 15:28:45.478261,556957,1,1,3,0,54,234
2010-08-30 00:00:00.000000,2010-08-25 02:03:53.347826,579095,1,1,4,0,28,241
2010-09-06 00:00:00.000000,2010-09-05 11:05:32.785297,572095,1,1,5,0,13,248
2010-09-07 00:00:00.000000,2010-09-07 02:50:50.633986,551388,0,0,4,0,3,249
2010-09-11 00:00:00.000000,2010-09-08 14:48:07.130435,593791,1,1,5,0,6,253
2010-09-24 00:00:00.000000,2010-09-23 02:14:05.291295,566008,0,0,3,4,16,266
2010-10-05 00:00:00.000000,2010-10-05 15:12:26.434020,585018,0,0,3,0,4,277
2010-10-25 00:00:00.000000,2010-10-25 06:01:08.885574,229050,0,0,3,9,33,297
2010-10-26 00:00:00.000000,2010-10-26 12:40:35.601403,604265,1,1,3,0,8,298
2010-11-22 00:00:00.000000,2010-11-20 15:58:29.120578,130949,0,0,3,4,40,325
2010-11-28 00:00:00.000000,2010-11-25 12:35:34.608696,608336,1,1,5,0,24,331
2010-12-13 00:00:00.000000,2010-12-13 14:00:30.668102,603277,0,0,2,0,1,346
