date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-20 00:00:00.000000,2010-01-20 10:14:41.673331,432687,0,0,5,55,50,19
2010-02-08 00:00:00.000000,2010-02-05 18:35:59.538604,61098,0,0,5,106,328,38
2010-03-04 00:00:00.000000,2010-02-25 01:16:01.642572,541949,1,1,5,0,2,62
2010-04-07 00:00:00.000000,2010-04-07 15:08:23.478261,556957,0,0,3,0,54,6
2010-04-20 00:00:00.000000,2010-04-20 16:48:34.807751,557207,0,0,5,0,7,19
2010-05-07 00:00:00.000000,2010-05-06 20:35:57.785297,558826,1,1,5,0,5,36
2010-05-17 00:00:00.000000,2010-05-16 17:36:26.373424,555855,1,1,5,0,6,46
2010-05-27 00:00:00.000000,2010-05-18 17:05:54.931931,561552,0,0,5,0,6,56
2010-06-14 00:00:00.000000,2010-06-12 18:13:43.648108,545595,1,1,3,2,9,74
2010-06-24 00:00:00.000000,2010-06-20 22:50:18.585051,570244,1,1,5,0,4,84
2010-06-30 00:00:00.000000,2010-06-30 01:31:57.785297,572095,1,1,5,0,13,90
2010-07-04 00:00:00.000000,2010-07-03 00:18:56.855248,576626,0,0,4,0,4,3
2010-07-22 00:00:00.000000,2010-07-22 02:36:27.812981,577079,0,0,3,0,2,21
2010-08-08 00:00:00.000000,2010-08-07 05:51:18.640418,579714,1,1,5,0,16,38
2010-08-15 00:00:00.000000,2010-08-15 18:29:00.830514,578271,0,0,5,0,4,45
2010-08-16 00:00:00.000000,2010-08-16 12:48:07.826087,580370,0,0,5,0,4,46
2010-08-19 00:00:00.000000,2010-08-18 12:16:18.260870,587868,0,0,5,0,5,49
2010-08-23 00:00:00.000000,2010-08-22 21:12:44.347826,587501,0,0,4,0,3,53
2010-08-30 00:00:00.000000,2010-08-29 01:30:02.805291,581731,0,0,4,0,4,60
2010-08-31 00:00:00.000000,2010-08-30 21:53:02.497196,580758,0,0,4,0,2,61
2010-09-11 00:00:00.000000,2010-09-08 19:06:05.684405,580689,0,0,4,0,3,72
2010-09-13 00:00:00.000000,2010-09-12 03:50:39.130435,593791,1,1,5,0,6,74
2010-09-15 00:00:00.000000,2010-09-15 02:51:44.347826,579095,0,0,4,0,28,76
2010-09-17 00:00:00.000000,2010-09-16 01:04:17.446233,596356,0,0,5,0,4,78
2010-10-08 00:00:00.000000,2010-10-07 00:40:40.547524,601138,0,0,4,0,9,7
2010-10-08 00:00:00.000000,2010-10-08 21:21:34.601283,601526,0,0,5,0,3,7
2010-11-03 00:00:00.000000,2010-11-02 23:50:00.000000,130327,1,1,4,2,55,33
2010-11-03 00:00:00.000000,2010-11-03 19:41:06.857191,605478,0,0,5,0,3,33
2010-11-10 00:00:00.000000,2010-11-06 16:46:02.608696,608336,1,1,5,0,24,40
2010-11-25 00:00:00.000000,2010-11-25 09:03:47.966779,607060,0,0,5,1,11,55
2010-11-28 00:00:00.000000,2010-11-25 14:00:38.825353,609568,0,0,5,0,4,58
2010-11-30 00:00:00.000000,2010-11-28 15:41:20.814585,607977,0,0,5,0,3,60
2010-11-30 00:00:00.000000,2010-11-30 16:22:55.082244,602961,0,0,5,0,3,60
2010-12-01 00:00:00.000000,2010-11-30 23:33:22.701180,609208,0,0,5,0,6,61
2010-12-05 00:00:00.000000,2010-12-05 02:18:44.347826,608554,0,0,5,0,15,65
2010-12-24 00:00:00.000000,2010-12-21 00:42:56.438019,607575,0,0,5,2,13,84
2011-01-10 00:00:00.000000,2011-01-10 06:00:20.928945,622451,0,0,1,0,8,9
2011-01-11 00:00:00.000000,2011-01-11 17:48:13.043478,622506,0,0,4,0,9,10
2011-01-12 00:00:00.000000,2011-01-11 22:36:31.304348,624173,0,0,4,0,2,11
2011-01-19 00:00:00.000000,2011-01-17 16:17:19.747770,625019,0,0,5,0,9,18
2011-02-03 00:00:00.000000,2011-02-03 03:51:52.580744,625117,0,0,4,1,3,33
2011-02-19 00:00:00.000000,2011-02-18 21:52:33.534297,629804,0,0,5,0,6,49
2011-02-22 00:00:00.000000,2011-02-20 08:30:44.347826,627472,1,1,3,0,8,52
2011-02-23 00:00:00.000000,2011-02-22 04:20:51.789770,625670,0,0,4,0,3,53
2011-03-06 00:00:00.000000,2011-03-06 17:42:48.354353,626920,0,0,4,0,4,64
2011-03-09 00:00:00.000000,2011-03-07 12:32:07.826087,638631,0,0,5,0,3,67
2011-03-23 00:00:00.000000,2011-03-21 12:02:16.222701,638634,1,1,3,0,20,81
2011-03-24 00:00:00.000000,2011-03-23 12:47:05.217391,641165,1,1,5,0,3,82
2011-03-26 00:00:00.000000,2011-03-24 21:26:10.434783,644423,0,0,4,0,3,84
2011-03-27 00:00:00.000000,2011-03-27 13:18:10.434783,644533,0,0,5,0,5,85
2011-04-06 00:00:00.000000,2011-04-06 10:43:39.130435,647832,0,0,4,0,9,5
2011-04-24 00:00:00.000000,2011-04-21 07:28:48.372808,647976,0,0,3,0,2,23
2011-04-25 00:00:00.000000,2011-04-25 05:34:41.739130,652396,0,0,5,0,4,24
2011-05-07 00:00:00.000000,2011-05-06 12:14:07.806829,621459,1,1,3,0,7,36
2011-05-16 00:00:00.000000,2011-05-16 06:16:22.516149,655226,0,0,5,0,4,45
2011-05-20 00:00:00.000000,2011-05-19 20:52:36.521739,656256,0,0,5,0,3,49
2011-05-22 00:00:00.000000,2011-05-21 13:32:39.130435,657267,1,1,5,0,23,51
2011-05-23 00:00:00.000000,2011-05-22 23:20:15.024994,658901,0,0,5,0,7,52
2011-05-24 00:00:00.000000,2011-05-23 23:21:12.445480,655453,0,0,5,0,3,53
2011-05-27 00:00:00.000000,2011-05-25 06:48:21.367644,659334,1,1,5,0,5,56
