,day_counter,0,1,2,3,4
2010-01-01,0,19,,,,
2010-01-02,1,21,,,,
2010-01-03,2,21,,,,
2010-01-04,3,22,,,,
2010-01-05,4,22,,,,
2010-01-06,5,23,,,,
2010-01-07,6,24,,,,
2010-01-08,7,25,,,,
2010-01-09,8,25,,,,
2010-01-10,9,25,,,,
2010-01-11,10,26,,,,
2010-01-12,11,26,,,,
2010-01-13,12,26,,,,
2010-01-14,13,27,,,,
2010-01-15,14,27,,,,
2010-01-16,15,27,,,,
2010-01-17,16,27,,,,
2010-01-18,17,27,,,,
2010-01-19,18,28,,,,
2010-01-20,19,29,,,,
2010-01-21,20,29,,,,
2010-01-22,21,30,,,,
2010-01-23,22,30,,,,
2010-01-24,23,30,,,,
2010-01-25,24,29,2,,,
2010-01-26,25,30,2,,,
2010-01-27,26,30,2,,,
2010-01-28,27,32,2,,,
2010-01-29,28,32,2,,,
2010-01-30,29,33,2,,,
2010-01-31,30,33,2,,,
2010-02-01,31,35,2,,,
2010-02-02,32,35,2,,,
2010-02-03,33,35,2,,,
2010-02-04,34,35,2,,,
2010-02-05,35,35,2,,,
2010-02-06,36,35,2,,,
2010-02-07,37,35,2,,,
2010-02-08,38,34,2,,,
2010-02-09,39,34,2,,,
2010-02-10,40,33,4,,,
2010-02-11,41,35,4,,,
2010-02-12,42,35,4,,,
2010-02-13,43,36,4,,,
2010-02-14,44,36,4,,,
2010-02-15,45,36,4,,,
2010-02-16,46,38,4,,,
2010-02-17,47,38,4,,,
2010-02-18,48,38,4,,,
2010-02-19,49,38,4,,,
2010-02-20,50,38,4,,,
2010-02-21,51,39,4,,,
2010-02-22,52,40,4,,,
2010-02-23,53,42,4,,,
2010-02-24,54,42,4,,,
2010-02-25,55,42,4,,,
2010-02-26,56,42,4,,,
2010-02-27,57,42,4,,,
2010-02-28,58,42,4,,,
2010-03-01,59,42,4,,,
2010-03-02,60,42,4,,,
2010-03-03,61,42,4,,,
2010-03-04,62,43,,3,,
2010-03-05,63,43,,3,,
2010-03-06,64,43,,3,,
2010-03-07,65,43,,3,,
2010-03-08,66,43,2,3,,
2010-03-09,67,43,2,3,,
2010-03-10,68,47,2,3,,
2010-03-11,69,48,2,3,,
2010-03-12,70,49,2,3,,
2010-03-13,71,49,2,3,,
2010-03-14,72,49,2,3,,
2010-03-15,73,50,2,3,,
2010-03-16,74,51,2,3,,
2010-03-17,75,53,2,3,,
2010-03-18,76,53,2,3,,
2010-03-19,77,53,2,3,,
2010-03-20,78,53,2,3,,
2010-03-21,79,53,2,3,,
2010-03-22,80,53,2,3,,
2010-03-23,81,53,2,3,,
2010-03-24,82,53,2,3,,
2010-03-25,83,54,2,3,,
2010-03-26,84,54,2,3,,
2010-03-27,85,54,2,3,,
2010-03-28,86,55,2,3,,
2010-03-29,87,56,2,3,,
2010-03-30,88,56,2,3,,
2010-03-31,89,56,2,3,,
2010-04-01,,,,,,
2010-04-02,,,,,,
2010-04-03,2,1,,,,
2010-04-04,3,1,,,,
2010-04-05,4,2,,,,
2010-04-06,5,4,,,,
2010-04-07,6,3,,,,
2010-04-08,7,3,,,,
2010-04-09,8,4,,,,
2010-04-10,9,5,,,,
2010-04-11,10,5,,,,
2010-04-12,11,6,,,,
2010-04-13,12,5,2,,,
2010-04-14,13,6,2,,,
2010-04-15,14,6,2,,,
2010-04-16,15,8,2,,,
2010-04-17,16,8,2,,,
2010-04-18,17,8,2,,,
2010-04-19,18,8,2,,,
2010-04-20,19,9,3,,,
2010-04-21,20,9,3,,,
2010-04-22,21,9,3,,,
2010-04-23,22,9,3,,,
2010-04-24,23,9,3,,,
2010-04-25,24,9,3,,,
2010-04-26,25,9,3,,,
2010-04-27,26,12,3,,,
2010-04-28,27,12,3,,,
2010-04-29,28,12,3,,,
2010-04-30,29,12,3,,,
2010-05-01,30,12,3,,,
2010-05-02,31,12,3,,,
2010-05-03,32,12,3,,,
2010-05-04,33,12,3,,,
2010-05-05,34,13,3,,,
2010-05-06,35,14,3,,,
2010-05-07,36,15,3,,,
2010-05-08,37,15,3,,,
2010-05-09,38,15,3,,,
2010-05-10,39,15,3,,,
2010-05-11,40,15,3,,,
2010-05-12,41,16,2,,,
2010-05-13,42,17,2,,,
2010-05-14,43,18,2,,,
2010-05-15,44,18,2,,,
2010-05-16,45,18,2,,,
2010-05-17,46,17,4,,,
2010-05-18,47,17,4,,,
2010-05-19,48,17,4,,,
