date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-21 00:00:00.000000,2010-01-21 01:22:43.371270,399910,0,0,3,6,7,20
2010-01-22 00:00:00.000000,2010-01-22 08:27:30.175331,349392,0,0,5,2,16,21
2010-01-25 00:00:00.000000,2010-01-23 01:04:07.160874,322435,0,0,3,0,14,24
2010-01-31 00:00:00.000000,2010-01-30 22:00:23.254383,538240,0,0,3,0,3,30
2010-01-31 00:00:00.000000,2010-01-31 09:13:50.089203,478927,0,0,3,1,8,30
2010-02-02 00:00:00.000000,2010-02-01 18:46:17.849044,540781,0,0,4,0,11,32
2010-02-08 00:00:00.000000,2010-02-03 03:48:37.317748,516752,0,0,3,80,32,38
2010-02-15 00:00:00.000000,2010-02-14 05:06:01.734851,341604,0,0,3,25,301,45
2010-02-15 00:00:00.000000,2010-02-15 14:45:35.947527,545339,1,1,3,0,4,45
2010-02-16 00:00:00.000000,2010-02-15 20:02:31.304348,537639,0,0,5,0,15,46
2010-02-16 00:00:00.000000,2010-02-16 05:51:01.642572,541949,1,1,5,0,2,46
2010-02-23 00:00:00.000000,2010-02-23 00:09:48.557367,537532,0,0,3,0,3,53
2010-03-04 00:00:00.000000,2010-02-26 23:37:41.673331,432687,0,0,5,55,50,62
2010-03-04 00:00:00.000000,2010-03-03 08:33:45.179945,547544,0,0,4,0,7,62
2010-03-04 00:00:00.000000,2010-03-04 05:03:09.061827,541092,0,0,3,0,5,62
2010-03-04 00:00:00.000000,2010-03-04 03:23:31.304348,547624,0,0,4,1,5,62
2010-03-12 00:00:00.000000,2010-03-12 12:36:55.109197,546401,0,0,3,0,10,70
2010-03-15 00:00:00.000000,2010-03-13 12:36:14.175887,550951,1,1,3,0,4,73
2010-03-24 00:00:00.000000,2010-03-20 01:39:42.596124,550070,0,0,3,0,1,82
2010-03-24 00:00:00.000000,2010-03-23 03:09:30.692095,82017,0,0,3,0,6,82
2010-04-05 00:00:00.000000,2010-04-05 08:33:24.454014,322301,0,0,3,10,5,94
2010-04-07 00:00:00.000000,2010-04-07 01:53:02.270071,539050,0,0,3,0,3,96
2010-04-10 00:00:00.000000,2010-04-09 15:44:52.820671,543194,0,0,4,0,1,99
2010-04-19 00:00:00.000000,2010-04-18 13:06:34.807751,557207,0,0,5,0,7,108
2010-04-20 00:00:00.000000,2010-04-20 07:12:45.438327,535649,0,0,3,4,89,109
2010-05-04 00:00:00.000000,2010-04-28 21:07:18.363580,62178,0,0,5,31,278,123
2010-05-04 00:00:00.000000,2010-04-29 13:25:26.373424,555855,1,1,5,0,6,123
2010-05-05 00:00:00.000000,2010-05-05 13:04:57.785297,558826,1,1,5,0,5,124
2010-05-27 00:00:00.000000,2010-05-21 12:55:48.501999,493857,0,0,3,31,50,146
2010-05-27 00:00:00.000000,2010-05-20 14:42:33.423562,552583,0,0,3,0,9,146
2010-05-27 00:00:00.000000,2010-05-21 22:02:35.878191,542160,0,0,5,0,4,146
2010-05-27 00:00:00.000000,2010-05-27 21:01:02.608696,551629,0,0,5,0,10,146
2010-06-14 00:00:00.000000,2010-06-12 18:13:43.648108,545595,1,1,3,2,9,164
2010-06-24 00:00:00.000000,2010-06-21 15:08:08.120578,130949,0,0,3,4,40,174
2010-06-24 00:00:00.000000,2010-06-21 06:50:18.585051,570244,1,1,5,0,4,174
2010-06-26 00:00:00.000000,2010-06-25 21:19:30.415257,570343,1,1,3,0,3,176
2010-06-30 00:00:00.000000,2010-06-30 01:31:57.785297,572095,1,1,5,0,13,180
2010-07-02 00:00:00.000000,2010-07-01 12:00:15.652174,569548,0,0,3,0,2,182
2010-07-04 00:00:00.000000,2010-07-03 11:01:54.501213,541443,0,0,3,0,2,184
2010-07-13 00:00:00.000000,2010-07-11 01:13:48.151338,340021,1,1,3,7,4,193
2010-07-13 00:00:00.000000,2010-07-12 14:40:52.119348,546005,0,0,5,0,2,193
2010-07-13 00:00:00.000000,2010-07-10 04:37:28.514303,558551,0,0,3,0,16,193
2010-07-15 00:00:00.000000,2010-07-14 01:09:40.075151,560532,0,0,3,0,4,195
2010-07-18 00:00:00.000000,2010-07-18 01:17:28.695652,538342,0,0,3,0,27,198
2010-07-27 00:00:00.000000,2010-07-27 18:16:45.419871,568504,0,0,3,0,4,207
2010-07-29 00:00:00.000000,2010-07-28 23:41:04.853891,565512,0,0,3,26,15,209
2010-08-02 00:00:00.000000,2010-07-31 11:47:55.330667,569198,0,0,3,0,1,213
2010-08-02 00:00:00.000000,2010-07-30 23:59:44.347826,579095,1,1,4,0,28,213
2010-08-03 00:00:00.000000,2010-08-02 22:15:50.932333,552425,0,0,5,0,3,214
2010-08-08 00:00:00.000000,2010-08-07 03:58:23.478261,556957,1,1,3,0,54,219
2010-08-15 00:00:00.000000,2010-08-12 10:49:18.640418,579714,1,1,5,0,16,226
2010-08-15 00:00:00.000000,2010-08-15 00:11:29.658567,564145,0,0,3,1,2,226
2010-08-15 00:00:00.000000,2010-08-14 15:05:42.245463,547940,0,0,3,0,4,226
2010-08-16 00:00:00.000000,2010-08-15 23:45:31.304348,580606,0,0,3,0,4,227
2010-08-16 00:00:00.000000,2010-08-16 04:08:31.304348,582344,0,0,3,0,13,227
2010-08-23 00:00:00.000000,2010-08-23 09:32:15.262996,575585,0,0,3,0,2,234
