date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-25 00:00:00.000000,2010-01-23 23:43:56.825592,285055,0,0,3,6,5,24
2010-02-15 00:00:00.000000,2010-02-15 05:52:07.160874,322435,0,0,3,0,14,45
2010-02-16 00:00:00.000000,2010-02-15 20:05:35.947527,545339,1,1,3,0,4,46
2010-03-04 00:00:00.000000,2010-03-04 06:45:01.642572,541949,1,1,5,0,2,62
2010-03-05 00:00:00.000000,2010-03-04 23:15:23.328986,548037,0,0,3,1,4,63
2010-03-24 00:00:00.000000,2010-03-24 00:08:41.673331,432687,1,2,5,55,50,82
2010-03-25 00:00:00.000000,2010-03-25 12:03:14.175887,550951,1,1,3,0,4,83
2010-04-07 00:00:00.000000,2010-04-07 15:08:23.478261,556957,0,0,3,0,54,6
2010-04-24 00:00:00.000000,2010-04-23 17:00:32.371578,557415,0,0,3,0,9,23
2010-05-12 00:00:00.000000,2010-05-10 10:33:57.785297,558826,1,1,5,0,5,41
2010-05-27 00:00:00.000000,2010-05-22 05:25:26.373424,555855,1,1,5,0,6,56
2010-06-14 00:00:00.000000,2010-06-12 18:13:43.648108,545595,1,1,3,2,9,74
2010-06-26 00:00:00.000000,2010-06-25 21:19:30.415257,570343,1,1,3,0,3,86
2010-07-04 00:00:00.000000,2010-07-03 00:18:56.855248,576626,0,0,4,0,4,3
2010-07-22 00:00:00.000000,2010-07-22 02:36:27.812981,577079,0,0,3,0,2,21
2010-08-08 00:00:00.000000,2010-08-07 05:51:18.640418,579714,1,1,5,0,16,38
2010-08-24 00:00:00.000000,2010-08-24 05:12:09.818517,581452,0,0,3,0,2,54
2010-09-06 00:00:00.000000,2010-09-02 05:44:04.226392,586200,0,0,2,0,4,67
2010-09-06 00:00:00.000000,2010-09-06 07:16:31.304348,582344,0,0,3,0,13,67
2010-09-07 00:00:00.000000,2010-09-07 10:03:08.657982,579635,0,0,3,0,5,68
2010-09-11 00:00:00.000000,2010-09-08 14:47:39.130435,593791,1,1,5,0,6,72
2010-09-27 00:00:00.000000,2010-09-26 23:01:09.117195,585172,0,0,3,0,3,88
2010-10-08 00:00:00.000000,2010-10-07 00:40:40.547524,601138,0,0,4,0,9,7
2010-10-25 00:00:00.000000,2010-10-24 04:43:23.254383,601813,0,0,3,0,1,24
2010-11-22 00:00:00.000000,2010-11-19 20:07:00.000000,130327,1,1,4,2,55,52
2010-11-28 00:00:00.000000,2010-11-25 12:35:02.608696,608336,1,1,5,0,24,58
2010-11-30 00:00:00.000000,2010-11-28 21:58:53.601403,604265,1,1,3,0,8,60
2010-12-15 00:00:00.000000,2010-12-15 11:56:48.668102,603277,0,0,2,0,1,75
2011-01-10 00:00:00.000000,2011-01-10 06:00:20.928945,622451,0,0,1,0,8,9
2011-01-22 00:00:00.000000,2011-01-22 19:21:22.183943,624064,0,0,3,0,7,21
2011-01-28 00:00:00.000000,2011-01-28 02:00:19.747770,625019,0,0,5,0,9,27
2011-01-31 00:00:00.000000,2011-01-30 03:59:44.347826,627472,1,1,3,0,8,30
2011-02-02 00:00:00.000000,2011-02-01 14:40:20.863825,629420,0,0,4,0,6,32
2011-02-03 00:00:00.000000,2011-02-03 04:31:13.043478,622506,0,0,4,0,9,33
2011-02-04 00:00:00.000000,2011-02-04 01:00:51.789770,625670,0,0,4,0,3,34
2011-02-05 00:00:00.000000,2011-02-04 14:31:31.304348,624173,0,0,4,0,2,35
2011-02-08 00:00:00.000000,2011-02-06 15:50:27.643868,622659,0,0,3,0,6,38
2011-02-12 00:00:00.000000,2011-02-09 20:11:10.434783,622843,0,0,3,0,2,42
2011-02-24 00:00:00.000000,2011-02-23 21:42:48.354353,626920,0,0,4,0,4,54
2011-03-12 00:00:00.000000,2011-03-11 11:22:33.534297,629804,0,0,5,0,6,70
2011-03-24 00:00:00.000000,2011-03-23 22:42:16.222701,638634,1,1,3,0,20,82
2011-03-26 00:00:00.000000,2011-03-24 11:00:05.217391,641165,1,1,5,0,3,84
2011-04-06 00:00:00.000000,2011-04-06 10:43:39.130435,647832,0,0,4,0,9,5
2011-04-24 00:00:00.000000,2011-04-21 07:28:48.372808,647976,0,0,3,0,2,23
2011-05-09 00:00:00.000000,2011-05-09 00:55:56.493387,650409,0,0,3,5,4,38
2011-05-22 00:00:00.000000,2011-05-21 04:48:07.806829,621459,1,1,3,0,7,51
2011-05-23 00:00:00.000000,2011-05-23 14:46:39.130435,657267,1,1,5,0,23,52
2011-05-23 00:00:00.000000,2011-05-23 20:53:15.024994,658901,1,1,5,0,7,52
2011-06-02 00:00:00.000000,2011-06-01 15:52:52.894494,655916,0,0,3,0,3,62
2011-06-03 00:00:00.000000,2011-06-03 11:18:21.367644,659334,1,1,5,0,5,63
2011-06-07 00:00:00.000000,2011-06-06 23:55:36.521739,656256,1,1,5,0,3,67
2011-06-21 00:00:00.000000,2011-06-21 01:24:42.872962,648909,0,0,4,0,3,81
2011-06-21 00:00:00.000000,2011-06-21 18:23:59.736164,662217,0,0,5,0,12,81
2011-07-03 00:00:00.000000,2011-07-03 12:16:40.898499,668991,0,0,3,0,6,2
2011-07-24 00:00:00.000000,2011-07-24 09:34:30.821286,671389,0,0,3,3,338,23
2011-07-25 00:00:00.000000,2011-07-25 08:26:10.434783,672430,0,0,1,0,6,24
2011-07-29 00:00:00.000000,2011-07-28 20:11:41.739130,671741,0,0,5,0,7,28
2011-08-16 00:00:00.000000,2011-08-12 15:34:51.233467,675138,0,0,2,0,3,46
2011-08-17 00:00:00.000000,2011-08-17 11:10:41.776236,672226,0,0,5,0,5,47
2011-08-18 00:00:00.000000,2011-08-17 19:44:17.477870,676333,0,0,3,0,3,48
2011-09-04 00:00:00.000000,2011-09-03 17:31:10.434783,596813,1,1,3,1,71,65
2011-09-19 00:00:00.000000,2011-09-17 13:24:11.904030,682410,1,1,3,0,4,80
2011-09-27 00:00:00.000000,2011-09-27 01:32:19.175638,682569,0,0,3,1,3,88
2011-09-28 00:00:00.000000,2011-09-28 00:25:03.075977,688116,1,1,3,0,4,89
2011-11-03 00:00:00.000000,2011-11-03 09:52:02.676100,696336,0,0,5,0,7,33
