date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-18 00:00:00.000000,2010-01-14 21:30:37.317748,516752,0,0,3,80,32,17
2010-01-18 00:00:00.000000,2010-01-18 08:46:59.538604,61098,0,0,5,106,328,17
2010-02-08 00:00:00.000000,2010-02-08 03:44:24.454014,322301,0,0,3,10,5,38
2010-02-08 00:00:00.000000,2010-02-06 20:35:11.885574,229050,0,0,3,9,33,38
2010-02-10 00:00:00.000000,2010-02-09 07:35:30.701206,537499,0,0,4,0,5,40
2010-02-11 00:00:00.000000,2010-02-10 12:58:51.275011,543450,0,0,3,0,8,41
2010-02-11 00:00:00.000000,2010-02-11 18:56:35.947527,545339,1,1,3,0,4,41
2010-03-04 00:00:00.000000,2010-02-25 01:16:01.642572,541949,1,1,5,0,2,62
2010-03-04 00:00:00.000000,2010-03-02 00:56:41.673331,432687,0,0,5,55,50,62
2010-03-10 00:00:00.000000,2010-03-10 09:55:48.206706,538604,0,0,3,0,3,68
2010-03-10 00:00:00.000000,2010-03-10 21:40:04.743156,542715,0,0,3,0,9,68
2010-03-12 00:00:00.000000,2010-03-11 22:35:14.175887,550951,1,1,3,0,4,70
2010-03-27 00:00:00.000000,2010-03-26 11:53:42.596124,550196,1,1,4,2,12,85
2010-03-27 00:00:00.000000,2010-03-27 11:45:54.112597,551962,0,0,3,0,9,85
2010-03-31 00:00:00.000000,2010-03-31 05:20:59.963088,401207,0,0,3,3,12,89
2010-04-05 00:00:00.000000,2010-04-05 00:00:45.179945,547544,0,0,4,0,7,94
2010-04-06 00:00:00.000000,2010-04-06 03:12:04.704902,540737,0,0,3,0,10,95
2010-04-24 00:00:00.000000,2010-04-22 18:56:08.009843,551544,0,0,3,0,3,113
2010-04-27 00:00:00.000000,2010-04-25 12:50:08.120578,130949,0,0,3,4,40,116
2010-05-07 00:00:00.000000,2010-05-06 19:10:26.373424,555855,1,1,5,0,6,126
2010-05-12 00:00:00.000000,2010-05-10 10:33:57.785297,558826,1,1,5,0,5,131
2010-05-17 00:00:00.000000,2010-05-15 08:09:55.109197,546401,0,0,3,0,10,136
2010-05-27 00:00:00.000000,2010-05-21 13:50:50.089203,478927,0,0,3,1,8,146
2010-05-31 00:00:00.000000,2010-05-28 05:54:54.501213,541443,0,0,3,0,2,150
2010-06-03 00:00:00.000000,2010-06-03 02:15:43.648108,545595,1,1,3,2,9,153
2010-06-15 00:00:00.000000,2010-06-15 01:25:29.658567,564145,0,0,3,1,2,165
2010-06-18 00:00:00.000000,2010-06-16 08:18:15.078437,558341,0,0,3,0,1,168
2010-06-30 00:00:00.000000,2010-06-29 12:28:30.415257,570343,1,1,3,0,3,180
2010-07-02 00:00:00.000000,2010-07-02 10:12:48.151338,340021,1,1,3,7,4,182
2010-07-06 00:00:00.000000,2010-07-06 08:05:18.585051,570244,1,1,5,0,4,186
2010-07-09 00:00:00.000000,2010-07-08 18:54:57.785297,572095,1,1,5,0,13,189
2010-07-09 00:00:00.000000,2010-07-07 04:08:54.931931,561552,0,0,5,0,6,189
2010-07-15 00:00:00.000000,2010-07-15 14:11:11.571824,559286,0,0,3,0,6,195
2010-07-26 00:00:00.000000,2010-07-25 18:41:23.199016,555504,0,0,4,0,7,206
2010-08-02 00:00:00.000000,2010-07-31 15:51:32.371578,557579,0,0,3,5,16,213
2010-08-08 00:00:00.000000,2010-08-07 03:58:23.478261,556957,1,1,3,0,54,219
2010-08-11 00:00:00.000000,2010-08-11 00:35:18.640418,579714,1,1,5,0,16,222
2010-08-11 00:00:00.000000,2010-08-09 19:25:44.347826,579095,1,1,4,0,28,222
2010-08-15 00:00:00.000000,2010-08-12 05:06:21.652292,581795,0,0,3,0,2,226
2010-08-16 00:00:00.000000,2010-08-16 16:04:56.326816,585448,0,0,3,0,4,227
2010-08-30 00:00:00.000000,2010-08-27 09:43:43.648108,545599,0,0,3,0,2,241
2010-09-06 00:00:00.000000,2010-09-01 16:17:11.221163,574606,0,0,3,0,1,248
2010-09-13 00:00:00.000000,2010-09-13 20:32:48.778837,574949,0,0,5,1,6,255
2010-09-14 00:00:00.000000,2010-09-14 16:25:39.130435,593791,1,1,5,0,6,256
2010-09-24 00:00:00.000000,2010-09-24 10:15:18.363580,62178,0,0,5,31,278,266
2010-09-25 00:00:00.000000,2010-09-25 11:38:10.434783,596813,0,0,3,1,71,267
2010-10-01 00:00:00.000000,2010-09-28 09:47:02.270071,539050,0,0,3,0,3,273
2010-10-03 00:00:00.000000,2010-10-02 22:22:18.260870,597922,0,0,4,0,2,275
2010-10-08 00:00:00.000000,2010-10-07 09:23:19.434020,585018,0,0,3,0,4,280
2010-10-25 00:00:00.000000,2010-10-25 15:22:56.825592,285055,0,0,3,6,5,297
2010-10-25 00:00:00.000000,2010-10-24 04:47:49.018763,601608,0,0,3,1,4,297
2010-11-10 00:00:00.000000,2010-11-07 08:45:45.438327,535649,0,0,3,4,89,313
2010-11-15 00:00:00.000000,2010-11-12 18:45:02.608696,608336,1,1,5,0,24,318
2010-11-16 00:00:00.000000,2010-11-16 05:42:30.228937,581914,0,0,3,0,10,319
2010-11-22 00:00:00.000000,2010-11-19 20:07:00.000000,130327,1,1,4,2,55,325
2010-11-23 00:00:00.000000,2010-11-23 13:32:30.692766,603026,0,0,4,0,2,326
2010-12-04 00:00:00.000000,2010-12-02 19:22:52.820671,543194,0,0,4,0,1,337
2010-12-05 00:00:00.000000,2010-12-05 05:25:51.215011,574252,0,0,5,0,6,338
2010-12-05 00:00:00.000000,2010-12-04 15:13:20.814585,607977,0,0,5,0,3,338
2010-12-07 00:00:00.000000,2010-12-05 18:58:34.601283,601526,0,0,5,0,3,340
2010-12-12 00:00:00.000000,2010-12-11 17:50:33.774223,597944,0,0,3,0,1,345
2010-12-24 00:00:00.000000,2010-12-23 01:26:11.627192,616849,1,1,3,9,43,357
2010-12-30 00:00:00.000000,2010-12-29 05:50:48.501999,493857,0,0,3,31,50,363
2010-12-30 00:00:00.000000,2010-12-28 06:24:44.347826,608554,0,0,5,0,15,363
2010-12-30 00:00:00.000000,2010-12-30 03:09:07.606420,618925,0,0,4,0,3,363
2011-01-06 00:00:00.000000,2011-01-05 21:36:02.989849,580735,0,0,3,0,3,370
2011-01-08 00:00:00.000000,2011-01-07 00:49:05.684405,580689,0,0,4,0,3,372
2011-01-08 00:00:00.000000,2011-01-07 02:08:40.075151,560532,0,0,3,0,4,372
2011-01-08 00:00:00.000000,2011-01-08 14:13:55.082244,602961,0,0,5,0,3,372
2011-01-08 00:00:00.000000,2011-01-08 12:47:15.986945,614018,0,0,4,0,2,372
2011-01-10 00:00:00.000000,2011-01-08 23:07:56.855248,576626,0,0,4,0,4,374
2011-01-17 00:00:00.000000,2011-01-14 12:29:28.514303,558551,0,0,3,0,16,381
2011-01-26 00:00:00.000000,2011-01-26 00:16:48.668102,603277,0,0,2,0,1,390
2011-01-27 00:00:00.000000,2011-01-26 16:19:38.825353,609568,0,0,5,0,4,391
2011-02-02 00:00:00.000000,2011-02-01 06:35:20.449093,615497,0,0,3,1,3,397
2011-02-03 00:00:00.000000,2011-02-03 07:07:44.347826,627472,1,1,3,0,8,398
2011-02-05 00:00:00.000000,2011-02-04 12:01:36.521739,582298,0,0,3,0,7,400
2011-02-12 00:00:00.000000,2011-02-12 00:17:55.736696,610896,0,0,4,8,24,407
2011-02-22 00:00:00.000000,2011-02-21 06:01:30.322978,609660,0,0,4,0,2,417
2011-03-01 00:00:00.000000,2011-02-27 04:55:33.534297,629804,0,0,5,0,6,424
2011-03-10 00:00:00.000000,2011-03-10 04:22:34.826207,546360,0,0,3,1,2,433
2011-03-14 00:00:00.000000,2011-03-13 10:14:48.354353,626920,0,0,4,0,4,437
2011-03-21 00:00:00.000000,2011-03-20 10:16:20.043064,635038,0,0,3,0,6,444
2011-03-23 00:00:00.000000,2011-03-22 14:31:16.222701,638634,1,1,3,0,20,446
2011-03-23 00:00:00.000000,2011-03-21 20:57:05.217391,641165,1,1,5,0,3,446
2011-03-24 00:00:00.000000,2011-03-23 22:08:14.162719,551459,0,0,4,0,5,447
2011-03-26 00:00:00.000000,2011-03-24 23:13:08.657982,579635,0,0,3,0,5,449
2011-03-28 00:00:00.000000,2011-03-28 07:57:38.092894,608835,0,0,3,0,4,451
