date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-20 00:00:00.000000,2010-01-20 13:47:18.363580,62178,0,0,5,31,278,19
2010-01-28 00:00:00.000000,2010-01-27 08:12:00.000000,130327,0,0,4,2,55,27
2010-02-08 00:00:00.000000,2010-02-05 18:35:59.538604,61098,0,0,5,106,328,38
2010-02-13 00:00:00.000000,2010-02-13 08:00:01.642572,541949,1,1,5,0,2,43
2010-02-15 00:00:00.000000,2010-02-14 01:04:35.947527,545339,1,1,3,0,4,45
2010-02-15 00:00:00.000000,2010-02-15 13:46:30.701206,537499,0,0,4,0,5,45
2010-03-04 00:00:00.000000,2010-02-25 19:16:48.151338,340021,0,0,3,7,4,62
2010-03-04 00:00:00.000000,2010-03-03 21:02:35.878191,542160,0,0,5,0,4,62
2010-03-17 00:00:00.000000,2010-03-17 14:14:02.270071,539050,0,0,3,0,3,75
2010-03-24 00:00:00.000000,2010-03-22 17:08:59.963088,401207,0,0,3,3,12,82
2010-03-25 00:00:00.000000,2010-03-25 12:03:14.175887,550951,1,1,3,0,4,83
2010-04-07 00:00:00.000000,2010-04-07 15:08:23.478261,556957,0,0,3,0,54,6
2010-04-19 00:00:00.000000,2010-04-18 13:06:34.807751,557207,0,0,5,0,7,18
2010-04-24 00:00:00.000000,2010-04-23 17:00:32.371578,557415,0,0,3,0,9,23
2010-05-04 00:00:00.000000,2010-05-03 18:35:26.373424,555855,1,1,5,0,6,33
2010-05-05 00:00:00.000000,2010-05-04 19:52:08.947211,562098,0,0,3,0,2,34
2010-05-05 00:00:00.000000,2010-05-05 13:04:57.785297,558826,1,1,5,0,5,34
2010-05-06 00:00:00.000000,2010-05-06 07:28:30.186971,563855,0,0,3,0,8,35
2010-05-12 00:00:00.000000,2010-05-10 23:04:56.382651,562010,0,0,3,0,8,41
2010-05-27 00:00:00.000000,2010-05-22 08:04:31.319594,562141,0,0,3,1,2,56
2010-06-14 00:00:00.000000,2010-06-12 18:13:43.648108,545595,1,1,3,2,9,74
2010-06-18 00:00:00.000000,2010-06-16 04:27:55.330667,569198,0,0,3,0,1,78
2010-06-24 00:00:00.000000,2010-06-20 22:50:18.585051,570244,1,1,5,0,4,84
2010-06-30 00:00:00.000000,2010-06-29 12:28:30.415257,570343,1,1,3,0,3,90
2010-06-30 00:00:00.000000,2010-06-30 01:31:57.785297,572095,1,1,5,0,13,90
2010-06-30 00:00:00.000000,2010-06-30 09:55:02.608696,559966,0,0,3,0,3,90
2010-07-04 00:00:00.000000,2010-07-03 00:18:56.855248,576626,0,0,4,0,4,3
2010-07-20 00:00:00.000000,2010-07-20 07:39:00.830514,578271,0,0,5,0,4,19
2010-07-22 00:00:00.000000,2010-07-22 02:36:27.812981,577079,0,0,3,0,2,21
2010-07-29 00:00:00.000000,2010-07-29 09:19:02.989849,580735,0,0,3,0,3,28
2010-08-02 00:00:00.000000,2010-07-30 05:44:05.217391,579907,0,0,3,0,23,32
2010-08-04 00:00:00.000000,2010-08-03 15:40:08.657982,579635,0,0,3,0,5,34
2010-08-06 00:00:00.000000,2010-08-05 02:55:18.640418,579714,1,1,5,0,16,36
2010-08-08 00:00:00.000000,2010-08-06 22:03:02.497196,580758,0,0,4,0,2,38
2010-08-15 00:00:00.000000,2010-08-12 06:33:05.684405,580689,0,0,4,0,3,45
2010-08-23 00:00:00.000000,2010-08-23 17:43:55.109197,583175,0,0,3,0,41,53
2010-08-24 00:00:00.000000,2010-08-24 04:10:09.117195,585172,0,0,3,0,3,54
2010-08-30 00:00:00.000000,2010-08-24 22:19:31.304348,580606,0,0,3,0,4,60
2010-08-31 00:00:00.000000,2010-08-30 15:41:31.304348,582344,0,0,3,0,13,61
2010-09-06 00:00:00.000000,2010-09-03 01:10:06.865580,588685,0,0,3,8,11,67
2010-09-11 00:00:00.000000,2010-09-09 05:35:04.226392,586200,0,0,2,0,4,72
2010-09-11 00:00:00.000000,2010-09-11 08:48:02.805291,581731,0,0,4,0,4,72
2010-09-13 00:00:00.000000,2010-09-12 03:50:39.130435,593791,1,1,5,0,6,74
2010-09-19 00:00:00.000000,2010-09-18 05:30:29.806213,588270,0,0,3,22,122,80
2010-09-19 00:00:00.000000,2010-09-19 09:01:07.363888,595545,0,0,2,0,2,80
2010-09-22 00:00:00.000000,2010-09-21 05:11:18.260870,587868,0,0,5,0,5,83
2010-10-04 00:00:00.000000,2010-10-04 01:29:34.601283,601526,0,0,5,0,3,3
2010-10-08 00:00:00.000000,2010-10-07 00:40:40.547524,601138,0,0,4,0,9,7
2010-10-20 00:00:00.000000,2010-10-19 23:21:49.018763,601608,0,0,3,1,4,19
2010-10-25 00:00:00.000000,2010-10-24 04:38:57.490003,602181,0,0,3,1,9,24
2010-10-25 00:00:00.000000,2010-10-21 12:52:53.601403,604265,1,1,3,0,8,24
2010-10-26 00:00:00.000000,2010-10-26 14:17:30.692766,603026,0,0,4,0,2,25
2010-11-11 00:00:00.000000,2010-11-10 04:27:31.374962,604400,0,0,3,0,3,41
2010-11-11 00:00:00.000000,2010-11-11 00:09:47.966779,607060,0,0,5,1,11,41
2010-11-15 00:00:00.000000,2010-11-14 03:33:02.608696,608336,1,1,5,0,24,45
2010-11-22 00:00:00.000000,2010-11-18 02:42:53.115964,611273,0,0,3,0,3,52
2010-11-28 00:00:00.000000,2010-11-28 00:58:38.092894,608835,0,0,3,0,4,58
2010-11-30 00:00:00.000000,2010-11-28 11:01:22.701180,609208,0,0,5,0,6,60
2010-12-01 00:00:00.000000,2010-11-30 18:10:21.851738,608904,0,0,3,0,2,61
2010-12-04 00:00:00.000000,2010-12-01 19:52:20.814585,607977,0,0,5,0,3,64
2010-12-05 00:00:00.000000,2010-12-04 19:36:06.857191,605478,0,0,5,0,3,65
2010-12-07 00:00:00.000000,2010-12-06 14:37:45.109974,603895,0,0,3,1,2,67
2010-12-20 00:00:00.000000,2010-12-20 20:28:24.454014,322301,0,0,3,10,5,80
2010-12-24 00:00:00.000000,2010-12-23 01:26:11.627192,616849,1,1,3,9,43,84
2011-01-04 00:00:00.000000,2011-01-04 12:19:13.043478,622506,0,0,4,0,9,3
2011-01-05 00:00:00.000000,2011-01-05 06:39:27.643868,622659,0,0,3,0,6,4
2011-01-10 00:00:00.000000,2011-01-10 06:00:20.928945,622451,0,0,1,0,8,9
2011-01-11 00:00:00.000000,2011-01-10 18:19:31.304348,624173,0,0,4,0,2,10
2011-01-12 00:00:00.000000,2011-01-11 23:16:33.368194,623155,0,0,3,1,54,11
2011-01-26 00:00:00.000000,2011-01-24 16:05:22.183943,624064,0,0,3,0,7,25
2011-01-27 00:00:00.000000,2011-01-26 15:52:27.167026,623453,0,0,3,1,7,26
2011-01-27 00:00:00.000000,2011-01-27 19:58:51.789770,625670,0,0,4,0,3,26
2011-01-31 00:00:00.000000,2011-01-29 02:27:44.347826,627472,1,1,3,0,8,30
2011-02-02 00:00:00.000000,2011-02-01 16:19:10.434783,622843,0,0,3,0,2,32
2011-02-08 00:00:00.000000,2011-02-07 04:18:48.354353,626920,0,0,4,0,4,38
2011-02-08 00:00:00.000000,2011-02-07 06:16:19.747770,625019,0,0,5,0,9,38
2011-02-09 00:00:00.000000,2011-02-09 13:04:31.719099,630282,0,0,3,0,2,39
2011-02-12 00:00:00.000000,2011-02-10 11:09:20.863825,629420,0,0,4,0,6,42
2011-02-24 00:00:00.000000,2011-02-24 01:00:52.580744,625117,0,0,4,1,3,54
2011-03-01 00:00:00.000000,2011-02-27 07:39:26.816364,625254,0,0,3,0,2,59
