date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-18 00:00:00.000000,2010-01-18 08:46:59.538604,61098,0,0,5,106,328,17
2010-01-22 00:00:00.000000,2010-01-22 08:27:30.175331,349392,0,0,5,2,16,21
2010-01-25 00:00:00.000000,2010-01-22 21:23:31.304348,537639,0,0,5,0,15,24
2010-02-08 00:00:00.000000,2010-02-05 12:41:41.673331,432687,0,0,5,55,50,38
2010-02-13 00:00:00.000000,2010-02-12 18:35:18.363580,62178,0,0,5,31,278,43
2010-02-21 00:00:00.000000,2010-02-20 10:00:29.806213,543411,0,0,5,0,3,51
2010-03-04 00:00:00.000000,2010-02-25 01:16:01.642572,541949,1,1,5,0,2,62
2010-03-09 00:00:00.000000,2010-03-09 15:27:52.119348,546005,0,0,5,0,2,67
2010-03-09 00:00:00.000000,2010-03-09 19:21:04.555968,550827,0,0,5,0,6,67
2010-03-10 00:00:00.000000,2010-03-10 21:44:14.175887,550951,1,1,3,0,4,68
2010-03-12 00:00:00.000000,2010-03-11 19:20:17.849044,540781,0,0,4,0,11,70
2010-03-12 00:00:00.000000,2010-03-12 18:12:02.608696,551629,0,0,5,0,10,70
2010-03-16 00:00:00.000000,2010-03-16 00:03:36.521739,539608,0,0,4,0,7,74
2010-03-16 00:00:00.000000,2010-03-16 06:41:50.932333,552425,0,0,5,0,3,74
2010-03-17 00:00:00.000000,2010-03-17 07:38:30.701206,537499,0,0,4,0,5,75
2010-03-24 00:00:00.000000,2010-03-20 04:23:35.878191,542160,0,0,5,0,4,82
2010-03-26 00:00:00.000000,2010-03-26 00:08:45.179945,547544,0,0,4,0,7,84
2010-03-27 00:00:00.000000,2010-03-26 05:43:42.180675,554980,0,0,5,0,3,85
2010-03-27 00:00:00.000000,2010-03-27 05:16:31.304348,547624,0,0,4,1,5,85
2010-03-29 00:00:00.000000,2010-03-28 14:58:36.633986,551388,0,0,4,0,3,87
2010-04-08 00:00:00.000000,2010-04-08 05:05:26.373424,555855,0,0,5,0,6,97
2010-04-10 00:00:00.000000,2010-04-09 15:44:52.820671,543194,0,0,4,0,1,99
2010-04-22 00:00:00.000000,2010-04-21 03:36:34.807751,557207,0,0,5,0,7,111
2010-04-27 00:00:00.000000,2010-04-26 16:24:42.596124,550196,0,0,4,2,12,116
2010-05-04 00:00:00.000000,2010-04-28 06:24:54.931931,561552,0,0,5,0,6,123
2010-05-09 00:00:00.000000,2010-05-08 04:27:57.785297,558826,1,1,5,0,5,128
2010-05-12 00:00:00.000000,2010-05-10 01:53:35.947527,545339,1,1,3,0,4,131
2010-05-13 00:00:00.000000,2010-05-13 06:37:15.455716,551424,0,0,4,0,5,132
2010-05-14 00:00:00.000000,2010-05-14 00:17:25.579907,542709,0,0,4,0,4,133
2010-05-17 00:00:00.000000,2010-05-14 19:53:33.589289,559945,0,0,4,0,2,136
2010-05-31 00:00:00.000000,2010-05-29 14:43:00.000000,130327,0,0,4,2,55,150
2010-06-03 00:00:00.000000,2010-06-02 21:23:23.199016,555504,0,0,4,0,7,153
2010-06-04 00:00:00.000000,2010-06-04 07:49:14.162719,551459,0,0,4,0,5,154
2010-06-12 00:00:00.000000,2010-06-11 02:13:18.585051,570244,1,1,5,0,4,162
2010-06-18 00:00:00.000000,2010-06-16 12:30:43.648108,545595,1,1,3,2,9,168
2010-06-24 00:00:00.000000,2010-06-24 08:35:57.785297,572095,1,1,5,0,13,174
2010-06-30 00:00:00.000000,2010-06-29 20:28:48.151338,340021,1,1,3,7,4,180
2010-07-06 00:00:00.000000,2010-07-05 22:31:51.215011,574252,0,0,5,0,6,186
2010-07-09 00:00:00.000000,2010-07-09 06:48:40.861273,575891,0,0,5,0,10,189
2010-07-20 00:00:00.000000,2010-07-20 18:20:48.778837,574949,0,0,5,1,6,200
2010-07-21 00:00:00.000000,2010-07-20 23:00:30.415257,570343,1,1,3,0,3,201
2010-07-22 00:00:00.000000,2010-07-22 05:02:07.826087,580370,0,0,5,0,4,202
2010-07-29 00:00:00.000000,2010-07-29 18:46:00.830514,578271,0,0,5,0,4,209
2010-08-02 00:00:00.000000,2010-07-30 23:59:44.347826,579095,1,1,4,0,28,213
2010-08-06 00:00:00.000000,2010-08-05 11:22:18.640418,579714,1,1,5,0,16,217
2010-08-11 00:00:00.000000,2010-08-11 00:12:23.478261,556957,1,1,3,0,54,222
2010-08-16 00:00:00.000000,2010-08-16 11:26:02.805291,581731,0,0,4,0,4,227
2010-08-19 00:00:00.000000,2010-08-18 10:44:03.451246,570938,0,0,4,1,9,230
2010-08-19 00:00:00.000000,2010-08-18 12:16:18.260870,587868,0,0,5,0,5,230
2010-08-23 00:00:00.000000,2010-08-19 13:19:02.497196,580758,0,0,4,0,2,234
2010-08-23 00:00:00.000000,2010-08-22 21:12:44.347826,587501,0,0,4,0,3,234
2010-08-24 00:00:00.000000,2010-08-24 00:45:56.855248,576626,0,0,4,0,4,235
2010-09-06 00:00:00.000000,2010-08-31 20:54:05.684405,580689,0,0,4,0,3,248
2010-09-07 00:00:00.000000,2010-09-07 09:10:02.270071,539050,0,0,3,0,3,249
2010-09-11 00:00:00.000000,2010-09-08 14:47:39.130435,593791,1,1,5,0,6,253
2010-09-22 00:00:00.000000,2010-09-21 16:19:50.772070,591907,0,0,4,0,4,264
2010-09-24 00:00:00.000000,2010-09-22 19:14:17.446233,596356,0,0,5,0,4,266
2010-09-25 00:00:00.000000,2010-09-25 16:46:18.260870,597922,0,0,4,0,2,267
2010-09-27 00:00:00.000000,2010-09-27 01:18:27.812981,577079,0,0,3,0,2,269
2010-10-01 00:00:00.000000,2010-10-01 04:29:12.679176,599521,0,0,4,0,7,273
2010-10-13 00:00:00.000000,2010-10-12 21:17:40.898185,599667,0,0,5,1,3,285
2010-10-14 00:00:00.000000,2010-10-13 22:29:45.438327,535649,0,0,3,4,89,286
2010-10-14 00:00:00.000000,2010-10-13 21:35:55.082244,602961,0,0,5,0,3,286
2010-10-14 00:00:00.000000,2010-10-14 02:58:34.601283,601526,0,0,5,0,3,286
2010-10-19 00:00:00.000000,2010-10-19 10:33:40.547524,601138,0,0,4,0,9,291
2010-10-19 00:00:00.000000,2010-10-15 01:30:30.692766,603026,0,0,4,0,2,291
2010-10-20 00:00:00.000000,2010-10-20 06:01:06.857191,605478,0,0,5,0,3,292
2010-10-20 00:00:00.000000,2010-10-20 07:55:53.601403,604265,1,1,3,0,8,292
2010-11-06 00:00:00.000000,2010-11-05 16:07:04.853891,565512,0,0,3,26,15,309
2010-11-06 00:00:00.000000,2010-11-05 18:46:32.371578,557415,0,0,3,0,9,309
2010-11-06 00:00:00.000000,2010-11-06 12:37:38.825353,609568,0,0,5,0,4,309
2010-11-10 00:00:00.000000,2010-11-09 02:09:02.608696,608336,1,1,5,0,24,313
2010-11-22 00:00:00.000000,2010-11-21 23:21:56.438019,607575,0,0,5,2,13,325
2010-11-25 00:00:00.000000,2010-11-25 09:03:47.966779,607060,0,0,5,1,11,328
2010-11-28 00:00:00.000000,2010-11-26 12:03:44.347826,608554,0,0,5,0,15,331
