,day_counter,0,1,2,3,4
2010-01-01,0,19,,,,
2010-01-02,1,21,,,,
2010-01-03,2,21,,,,
2010-01-04,3,22,,,,
2010-01-05,4,22,,,,
2010-01-06,5,23,,,,
2010-01-07,6,24,,,,
2010-01-08,7,25,,,,
2010-01-09,8,25,,,,
2010-01-10,9,25,,,,
2010-01-11,10,26,,,,
2010-01-12,11,26,,,,
2010-01-13,12,26,,,,
2010-01-14,13,27,,,,
2010-01-15,14,27,,,,
2010-01-16,15,27,,,,
2010-01-17,16,27,,,,
2010-01-18,17,26,,,,
2010-01-19,18,27,,,,
2010-01-20,19,27,,,,
2010-01-21,20,27,,,,
2010-01-22,21,27,,,,
2010-01-23,22,27,,,,
2010-01-24,23,27,,,,
2010-01-25,24,25,2,,,
2010-01-26,25,26,2,,,
2010-01-27,26,26,2,,,
2010-01-28,27,28,2,,,
2010-01-29,28,28,2,,,
2010-01-30,29,29,2,,,
2010-01-31,30,29,2,,,
2010-02-01,31,31,2,,,
2010-02-02,32,31,2,,,
2010-02-03,33,31,2,,,
2010-02-04,34,31,2,,,
2010-02-05,35,31,2,,,
2010-02-06,36,31,2,,,
2010-02-07,37,31,2,,,
2010-02-08,38,30,2,,,
2010-02-09,39,30,2,,,
2010-02-10,40,29,4,,,
2010-02-11,41,32,2,,,
2010-02-12,42,32,2,,,
2010-02-13,43,33,2,,,
2010-02-14,44,33,2,,,
2010-02-15,45,33,2,,,
2010-02-16,46,35,2,,,
2010-02-17,47,35,2,,,
2010-02-18,48,33,2,,,
2010-02-19,49,32,2,,,
2010-02-20,50,32,2,,,
2010-02-21,51,32,2,,,
2010-02-22,52,32,2,,,
2010-02-23,53,34,2,,,
2010-02-24,54,34,2,,,
2010-02-25,55,34,2,,,
2010-02-26,56,34,2,,,
2010-02-27,57,34,2,,,
2010-02-28,58,34,2,,,
2010-03-01,59,34,2,,,
2010-03-02,60,34,2,,,
2010-03-03,61,34,2,,,
2010-03-04,62,33,2,,,
2010-03-05,63,34,,,,
2010-03-06,64,34,,,,
2010-03-07,65,33,,,,
2010-03-08,66,33,2,,,
2010-03-09,67,33,2,,,
2010-03-10,68,37,2,,,
2010-03-11,69,38,2,,,
2010-03-12,70,39,2,,,
2010-03-13,71,39,2,,,
2010-03-14,72,39,2,,,
2010-03-15,73,40,2,,,
2010-03-16,74,41,2,,,
2010-03-17,75,43,2,,,
2010-03-18,76,43,2,,,
2010-03-19,77,43,2,,,
2010-03-20,78,43,2,,,
2010-03-21,79,43,2,,,
2010-03-22,80,43,2,,,
2010-03-23,81,43,2,,,
2010-03-24,82,40,2,,,
2010-03-25,83,36,2,,,
2010-03-26,84,35,2,,,
2010-03-27,85,35,,,,
2010-03-28,86,36,,,,
2010-03-29,87,37,,,,
2010-03-30,88,37,,,,
2010-03-31,89,37,,,,
2010-04-01,,,,,,
2010-04-02,,,,,,
2010-04-03,2,1,,,,
2010-04-04,3,1,,,,
2010-04-05,4,2,,,,
2010-04-06,5,4,,,,
2010-04-07,6,3,,,,
2010-04-08,7,3,,,,
2010-04-09,8,4,,,,
2010-04-10,9,5,,,,
2010-04-11,10,5,,,,
2010-04-12,11,6,,,,
2010-04-13,12,5,2,,,
2010-04-14,13,6,2,,,
2010-04-15,14,6,2,,,
2010-04-16,15,8,2,,,
2010-04-17,16,8,2,,,
2010-04-18,17,8,2,,,
2010-04-19,18,7,2,,,
2010-04-20,19,8,3,,,
2010-04-21,20,8,3,,,
2010-04-22,21,7,3,,,
2010-04-23,22,7,3,,,
2010-04-24,23,7,3,,,
2010-04-25,24,7,3,,,
2010-04-26,25,7,3,,,
2010-04-27,26,9,3,,,
2010-04-28,27,8,3,,,
2010-04-29,28,8,3,,,
2010-04-30,29,8,3,,,
2010-05-01,30,8,3,,,
2010-05-02,31,8,3,,,
2010-05-03,32,8,3,,,
2010-05-04,33,7,2,,,
2010-05-05,34,9,,,,
2010-05-06,35,10,,,,
2010-05-07,36,10,,,,
2010-05-08,37,10,,,,
2010-05-09,38,9,,,,
2010-05-10,39,9,,,,
2010-05-11,40,9,,,,
2010-05-12,41,9,,,,
2010-05-13,42,10,,,,
2010-05-14,43,11,,,,
2010-05-15,44,11,,,,
2010-05-16,45,11,,,,
2010-05-17,46,10,2,,,
2010-05-18,47,10,2,,,
2010-05-19,48,10,2,,,
2010-05-20,49,10,2,,,
2010-05-21,50,10,2,,,
2010-05-22,51,10,2,,,
