date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-21 00:00:00.000000,2010-01-21 00:33:59.963088,401207,0,0,3,3,12,20
2010-02-08 00:00:00.000000,2010-02-04 03:57:02.270071,539050,0,0,3,0,3,38
2010-03-04 00:00:00.000000,2010-02-25 01:16:01.642572,541949,1,1,5,0,2,62
2010-03-04 00:00:00.000000,2010-03-04 11:46:35.947527,545339,1,1,3,0,4,62
2010-03-12 00:00:00.000000,2010-03-11 11:57:29.806213,543411,0,0,5,0,3,70
2010-03-30 00:00:00.000000,2010-03-30 15:01:41.673331,432687,1,2,5,55,50,88
2010-04-07 00:00:00.000000,2010-04-07 15:08:23.478261,556957,0,0,3,0,54,6
2010-04-24 00:00:00.000000,2010-04-23 17:00:32.371578,557415,0,0,3,0,9,23
2010-05-12 00:00:00.000000,2010-05-10 10:33:57.785297,558826,1,1,5,0,5,41
2010-05-27 00:00:00.000000,2010-05-22 05:25:26.373424,555855,1,1,5,0,6,56
2010-06-14 00:00:00.000000,2010-06-12 18:13:43.648108,545595,1,1,3,2,9,74
2010-07-04 00:00:00.000000,2010-07-03 00:18:56.855248,576626,0,0,4,0,4,3
2010-07-22 00:00:00.000000,2010-07-22 02:36:27.812981,577079,0,0,3,0,2,21
2010-08-08 00:00:00.000000,2010-08-07 05:51:18.640418,579714,1,1,5,0,16,38
2010-08-24 00:00:00.000000,2010-08-24 05:12:09.818517,581452,0,0,3,0,2,54
2010-09-06 00:00:00.000000,2010-09-03 23:31:06.865580,588685,0,0,3,8,11,67
2010-09-14 00:00:00.000000,2010-09-14 14:41:04.226392,586200,0,0,2,0,4,75
2010-09-15 00:00:00.000000,2010-09-15 14:35:39.130435,593791,1,1,5,0,6,76
2010-09-17 00:00:00.000000,2010-09-16 01:04:17.446233,596356,0,0,5,0,4,78
2010-10-08 00:00:00.000000,2010-10-07 00:40:40.547524,601138,0,0,4,0,9,7
2010-10-25 00:00:00.000000,2010-10-24 04:43:23.254383,601813,0,0,3,0,1,24
2010-11-22 00:00:00.000000,2010-11-19 20:07:00.000000,130327,1,1,4,2,55,52
2010-11-28 00:00:00.000000,2010-11-25 12:35:02.608696,608336,1,1,5,0,24,58
2010-11-30 00:00:00.000000,2010-11-28 21:58:53.601403,604265,1,1,3,0,8,60
2010-12-15 00:00:00.000000,2010-12-15 08:15:20.449093,615439,0,0,2,0,1,75
2011-01-10 00:00:00.000000,2011-01-10 06:00:20.928945,622451,0,0,1,0,8,9
2011-01-11 00:00:00.000000,2011-01-11 12:35:10.434783,622843,0,0,3,0,2,10
2011-01-24 00:00:00.000000,2011-01-23 17:22:22.183943,624064,0,0,3,0,7,23
2011-01-26 00:00:00.000000,2011-01-24 21:31:27.643868,622659,0,0,3,0,6,25
2011-01-27 00:00:00.000000,2011-01-27 17:19:44.347826,627472,0,0,3,0,8,26
2011-01-28 00:00:00.000000,2011-01-28 13:10:20.863825,629420,0,0,4,0,6,27
2011-01-31 00:00:00.000000,2011-01-30 01:23:13.043478,622506,0,0,4,0,9,30
2011-02-13 00:00:00.000000,2011-02-12 11:07:48.354353,626920,0,0,4,0,4,43
2011-02-22 00:00:00.000000,2011-02-19 14:12:06.256536,633691,0,0,3,1,36,52
2011-03-09 00:00:00.000000,2011-03-09 03:56:26.816364,625254,0,0,3,0,2,67
2011-03-23 00:00:00.000000,2011-03-21 12:02:16.222701,638634,1,1,3,0,20,81
2011-03-24 00:00:00.000000,2011-03-23 12:47:05.217391,641165,1,1,5,0,3,82
2011-03-26 00:00:00.000000,2011-03-24 16:13:07.826087,638631,0,0,5,0,3,84
2011-04-06 00:00:00.000000,2011-04-06 10:43:39.130435,647832,0,0,4,0,9,5
2011-04-24 00:00:00.000000,2011-04-21 07:28:48.372808,647976,0,0,3,0,2,23
2011-04-25 00:00:00.000000,2011-04-25 05:34:41.739130,652396,0,0,5,0,4,24
2011-05-07 00:00:00.000000,2011-05-06 12:14:07.806829,621459,1,1,3,0,7,36
2011-05-30 00:00:00.000000,2011-05-27 22:48:07.160874,322435,1,1,3,0,14,59
2011-05-31 00:00:00.000000,2011-05-31 07:15:39.130435,657267,1,1,5,0,23,60
2011-06-02 00:00:00.000000,2011-06-01 06:54:21.367644,659334,1,1,5,0,5,62
2011-06-03 00:00:00.000000,2011-06-02 22:49:15.024994,658901,1,1,5,0,7,63
2011-06-07 00:00:00.000000,2011-06-06 23:55:36.521739,656256,1,1,5,0,3,67
2011-06-20 00:00:00.000000,2011-06-19 04:36:03.894186,654093,0,0,3,1,9,80
2011-07-03 00:00:00.000000,2011-07-03 12:16:40.898499,668991,0,0,3,0,6,2
2011-07-24 00:00:00.000000,2011-07-24 09:34:30.821286,671389,0,0,3,3,338,23
2011-07-29 00:00:00.000000,2011-07-28 06:52:15.652174,672051,0,0,3,0,4,28
2011-07-29 00:00:00.000000,2011-07-29 13:16:44.663508,673869,0,0,3,0,6,28
