date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-18 00:00:00.000000,2010-01-14 06:58:01.734851,341604,0,0,3,25,301,17
2010-01-20 00:00:00.000000,2010-01-20 13:47:18.363580,62178,0,0,5,31,278,19
2010-01-28 00:00:00.000000,2010-01-27 08:42:00.535220,455334,0,0,3,0,66,27
2010-02-13 00:00:00.000000,2010-02-13 08:00:01.642572,541949,1,1,5,0,2,43
2010-02-15 00:00:00.000000,2010-02-14 01:04:35.947527,545339,1,1,3,0,4,45
2010-02-15 00:00:00.000000,2010-02-15 07:14:48.557367,537532,0,0,3,0,3,45
2010-03-05 00:00:00.000000,2010-03-05 05:48:41.673331,432687,1,2,5,55,50,63
2010-03-07 00:00:00.000000,2010-03-06 19:02:11.885574,229050,0,0,3,9,33,65
2010-03-16 00:00:00.000000,2010-03-16 03:54:50.089203,478927,0,0,3,1,8,74
2010-03-17 00:00:00.000000,2010-03-17 21:15:14.175887,550951,1,1,3,0,4,75
2010-03-24 00:00:00.000000,2010-03-21 22:58:42.596124,550196,1,1,4,2,12,82
2010-03-25 00:00:00.000000,2010-03-24 19:25:29.806213,543411,0,0,5,0,3,83
2010-03-25 00:00:00.000000,2010-03-24 22:26:30.701206,537499,0,0,4,0,5,83
2010-03-25 00:00:00.000000,2010-03-25 17:29:04.704902,540737,0,0,3,0,10,83
2010-04-10 00:00:00.000000,2010-04-10 06:01:42.596124,550070,0,0,3,0,1,99
2010-04-12 00:00:00.000000,2010-04-11 01:08:43.648108,545595,0,0,3,2,9,101
2010-04-19 00:00:00.000000,2010-04-18 22:44:45.179945,547544,0,0,4,0,7,108
2010-05-04 00:00:00.000000,2010-04-28 16:21:32.371578,557579,0,0,3,5,16,123
2010-05-05 00:00:00.000000,2010-05-05 13:04:57.785297,558826,1,1,5,0,5,124
2010-05-14 00:00:00.000000,2010-05-13 20:44:26.373424,555855,1,1,5,0,6,133
2010-05-27 00:00:00.000000,2010-05-18 16:40:34.807751,557207,0,0,5,0,7,146
2010-06-09 00:00:00.000000,2010-06-08 07:14:08.120578,130949,0,0,3,4,40,159
2010-06-12 00:00:00.000000,2010-06-12 14:14:32.371578,557415,0,0,3,0,9,162
2010-06-15 00:00:00.000000,2010-06-15 13:46:18.585051,570244,1,1,5,0,4,165
2010-06-24 00:00:00.000000,2010-06-21 18:08:57.785297,572095,1,1,5,0,13,174
2010-06-30 00:00:00.000000,2010-06-29 12:28:48.151338,340021,1,1,3,7,4,180
2010-07-06 00:00:00.000000,2010-07-05 05:24:30.415257,570343,1,1,3,0,3,186
2010-07-15 00:00:00.000000,2010-07-13 18:09:02.270071,539050,0,0,3,0,3,195
2010-07-18 00:00:00.000000,2010-07-18 00:16:29.658567,564145,0,0,3,1,2,198
2010-07-19 00:00:00.000000,2010-07-18 23:33:54.501213,541443,0,0,3,0,2,199
2010-07-23 00:00:00.000000,2010-07-23 05:48:15.262996,575585,0,0,3,0,2,203
2010-07-29 00:00:00.000000,2010-07-27 22:10:23.478261,556957,1,1,3,0,54,209
2010-08-03 00:00:00.000000,2010-08-03 09:02:30.378345,575198,0,0,3,0,3,214
2010-08-15 00:00:00.000000,2010-08-14 10:08:18.640418,579714,1,1,5,0,16,226
2010-08-23 00:00:00.000000,2010-08-19 13:04:52.119348,546005,0,0,5,0,2,234
2010-08-23 00:00:00.000000,2010-08-21 06:09:23.254383,538240,0,0,3,0,3,234
2010-08-24 00:00:00.000000,2010-08-24 06:27:54.112597,551962,0,0,3,0,9,235
2010-08-30 00:00:00.000000,2010-08-25 00:56:02.608696,551629,0,0,5,0,10,241
2010-08-31 00:00:00.000000,2010-08-31 17:46:44.347826,579095,0,0,4,0,28,242
2010-09-13 00:00:00.000000,2010-09-13 14:14:07.160874,322435,0,0,3,0,14,255
2010-09-14 00:00:00.000000,2010-09-14 16:25:39.130435,593791,1,1,5,0,6,256
2010-09-19 00:00:00.000000,2010-09-19 12:44:43.371270,399910,0,0,3,6,7,261
2010-10-01 00:00:00.000000,2010-09-30 14:42:55.330667,569198,0,0,3,0,1,273
2010-10-03 00:00:00.000000,2010-10-01 22:53:36.521739,582298,0,0,3,0,7,275
2010-10-08 00:00:00.000000,2010-10-08 09:01:59.963088,401207,0,0,3,3,12,280
2010-10-08 00:00:00.000000,2010-10-08 22:19:31.304348,537639,0,0,5,0,15,280
2010-10-20 00:00:00.000000,2010-10-20 03:27:35.878191,542160,0,0,5,0,4,292
2010-10-25 00:00:00.000000,2010-10-21 12:52:53.601403,604265,1,1,3,0,8,297
2010-10-27 00:00:00.000000,2010-10-27 03:25:15.652174,569548,0,0,3,0,2,299
2010-11-03 00:00:00.000000,2010-11-02 23:50:00.000000,130327,1,1,4,2,55,306
2010-11-04 00:00:00.000000,2010-11-04 01:10:43.131344,599349,0,0,3,0,6,307
2010-11-11 00:00:00.000000,2010-11-10 03:05:28.514303,558551,0,0,3,0,16,314
2010-11-15 00:00:00.000000,2010-11-14 03:33:02.608696,608336,1,1,5,0,24,318
