date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-20 00:00:00.000000,2010-01-20 13:47:47.363580,62178,0,0,5,31,278,19
2010-02-08 00:00:00.000000,2010-02-05 18:36:32.538604,61098,0,0,5,106,328,38
2010-03-04 00:00:00.000000,2010-02-26 23:37:49.673331,432687,0,0,5,55,50,62
2010-03-24 00:00:00.000000,2010-03-20 04:23:38.878191,542160,0,0,5,0,4,82
2010-03-25 00:00:00.000000,2010-03-24 15:02:36.304348,537639,0,0,5,0,15,83
2010-03-25 00:00:00.000000,2010-03-25 10:22:04.608696,551629,0,0,5,0,10,83
2010-03-25 00:00:00.000000,2010-03-25 22:03:35.932333,552425,0,0,5,0,3,83
2010-03-26 00:00:00.000000,2010-03-26 01:17:05.180675,554980,0,0,5,0,3,84
2010-04-03 00:00:00.000000,2010-04-01 23:06:01.806213,543411,0,0,5,0,3,92
2010-04-19 00:00:00.000000,2010-04-19 07:52:15.642572,541949,1,1,5,0,2,108
2010-04-19 00:00:00.000000,2010-04-19 17:19:25.555968,550827,0,0,5,0,6,108
2010-05-04 00:00:00.000000,2010-04-29 04:19:55.373424,555855,1,1,5,0,6,123
2010-05-27 00:00:00.000000,2010-05-20 17:00:46.119348,546005,0,0,5,0,2,146
2010-05-31 00:00:00.000000,2010-05-28 09:04:12.931931,561552,0,0,5,0,6,150
2010-06-18 00:00:00.000000,2010-06-16 08:05:13.785297,558826,1,1,5,0,5,168
2010-06-24 00:00:00.000000,2010-06-24 08:36:03.785297,572095,1,1,5,0,13,174
2010-07-06 00:00:00.000000,2010-07-05 22:32:08.215011,574252,0,0,5,0,6,186
2010-07-20 00:00:00.000000,2010-07-20 18:21:17.778837,574949,0,0,5,1,6,200
2010-07-27 00:00:00.000000,2010-07-26 23:55:26.585051,570244,1,1,5,0,4,207
2010-08-15 00:00:00.000000,2010-08-12 12:02:16.596124,550196,1,1,4,2,12,226
2010-08-30 00:00:00.000000,2010-08-28 19:23:49.807751,557207,0,0,5,0,7,241
2010-09-06 00:00:00.000000,2010-09-01 01:36:53.260870,587868,0,0,5,0,5,248
2010-09-07 00:00:00.000000,2010-09-06 20:19:21.826087,580370,0,0,5,0,4,249
2010-09-11 00:00:00.000000,2010-09-08 14:48:07.130435,593791,1,1,5,0,6,253
2010-09-21 00:00:00.000000,2010-09-20 11:42:22.861273,575891,0,0,5,0,10,263
2010-09-22 00:00:00.000000,2010-09-21 05:11:58.446233,596356,0,0,5,0,4,264
2010-10-08 00:00:00.000000,2010-10-08 07:51:01.640418,579714,1,1,5,0,16,280
2010-10-11 00:00:00.000000,2010-10-09 08:43:23.082244,602961,0,0,5,0,3,283
2010-10-26 00:00:00.000000,2010-10-26 17:48:29.898185,599667,0,0,5,1,3,298
2010-11-03 00:00:00.000000,2010-11-02 23:08:00.830514,578271,0,0,5,0,4,306
2010-11-03 00:00:00.000000,2010-11-03 15:19:15.814585,607977,0,0,5,0,3,306
2010-11-06 00:00:00.000000,2010-11-06 12:02:06.608696,608336,0,0,5,0,24,309
2010-11-11 00:00:00.000000,2010-11-10 08:40:48.347826,608554,0,0,5,0,15,314
2010-11-15 00:00:00.000000,2010-11-12 00:58:46.857191,605478,0,0,5,0,3,318
2010-12-01 00:00:00.000000,2010-11-30 18:45:50.966779,607060,0,0,5,1,11,334
2010-12-16 00:00:00.000000,2010-12-16 17:00:36.438019,607575,0,0,5,2,13,349
2010-12-17 00:00:00.000000,2010-12-17 02:17:14.825353,609568,0,0,5,0,4,350
2010-12-20 00:00:00.000000,2010-12-17 21:55:57.701180,609208,0,0,5,0,6,353
2011-01-10 00:00:00.000000,2011-01-09 19:46:10.175331,349392,0,0,5,2,16,374
2011-01-11 00:00:00.000000,2011-01-10 17:22:07.601283,601526,0,0,5,0,3,375
2011-01-12 00:00:00.000000,2011-01-12 07:59:52.130435,621611,0,0,5,0,4,376
2011-01-12 00:00:00.000000,2011-01-12 15:04:28.304348,621394,0,0,5,0,2,376
2011-01-13 00:00:00.000000,2011-01-13 16:39:33.174081,622029,0,0,5,0,3,377
2011-01-19 00:00:00.000000,2011-01-19 00:43:42.747770,625019,0,0,5,0,9,383
2011-01-26 00:00:00.000000,2011-01-24 08:14:08.679176,599521,0,0,4,0,7,390
2011-02-08 00:00:00.000000,2011-02-07 04:19:38.354353,626920,0,0,4,0,4,403
2011-02-24 00:00:00.000000,2011-02-23 22:13:29.534297,629804,0,0,5,0,6,419
2011-02-25 00:00:00.000000,2011-02-25 08:52:15.849044,540781,0,0,4,0,11,420
2011-03-01 00:00:00.000000,2011-03-01 11:35:02.347826,587501,0,0,4,0,3,424
2011-03-09 00:00:00.000000,2011-03-07 17:50:07.779760,614147,0,0,4,0,2,432
2011-03-10 00:00:00.000000,2011-03-10 08:50:10.826087,638631,0,0,5,0,3,433
2011-03-11 00:00:00.000000,2011-03-10 22:17:00.304348,624173,0,0,4,0,2,434
2011-03-16 00:00:00.000000,2011-03-15 23:22:25.782609,611362,0,0,4,0,3,439
2011-03-18 00:00:00.000000,2011-03-16 16:10:28.217391,641165,1,1,5,0,3,441
2011-03-21 00:00:00.000000,2011-03-18 18:58:13.692766,603026,0,0,4,0,2,444
2011-03-23 00:00:00.000000,2011-03-21 12:05:17.246685,619921,0,0,4,2,12,446
2011-03-24 00:00:00.000000,2011-03-23 13:55:00.986945,614018,0,0,4,0,2,447
2011-03-26 00:00:00.000000,2011-03-25 13:05:43.260870,597922,0,0,4,0,2,449
2011-03-27 00:00:00.000000,2011-03-27 13:18:43.434783,644533,0,0,5,0,5,450
2011-03-29 00:00:00.000000,2011-03-28 19:33:53.347826,579095,1,1,4,0,28,452
2011-03-29 00:00:00.000000,2011-03-29 14:38:36.455716,551424,0,0,4,0,5,452
2011-03-30 00:00:00.000000,2011-03-30 11:46:44.162719,551459,0,0,4,0,5,453
2011-04-11 00:00:00.000000,2011-04-11 11:43:15.291295,646152,0,0,5,0,4,465
2011-04-27 00:00:00.000000,2011-04-26 15:21:30.580744,625117,0,0,4,1,3,481
2011-04-28 00:00:00.000000,2011-04-28 07:48:55.739130,652396,0,0,5,0,4,482
2011-05-14 00:00:00.000000,2011-05-13 19:15:11.024300,606140,0,0,4,0,4,498
2011-05-16 00:00:00.000000,2011-05-15 19:07:15.445480,655453,0,0,5,0,3,500
2011-05-27 00:00:00.000000,2011-05-25 02:36:43.516149,655226,0,0,5,0,4,511
2011-05-30 00:00:00.000000,2011-05-28 12:49:18.130435,657267,1,1,5,0,23,514
2011-06-15 00:00:00.000000,2011-06-14 05:14:55.740080,658625,0,0,5,0,7,530
2011-06-15 00:00:00.000000,2011-06-15 15:07:18.024994,658901,1,1,5,0,7,530
2011-06-16 00:00:00.000000,2011-06-16 07:01:36.736164,662217,0,0,5,0,12,531
