date,time,bug_id,degree,depth,severity,votes,comment_count,day_counter
2010-01-19 00:00:00.000000,2010-01-19 05:34:31.538604,61098,0,0,5,106,328,18
2010-01-25 00:00:00.000000,2010-01-23 23:44:25.825592,285055,0,0,3,6,5,24
2010-01-25 00:00:00.000000,2010-01-24 05:10:04.963088,401207,0,0,3,3,12,24
2010-01-28 00:00:00.000000,2010-01-27 23:17:38.089203,478927,0,0,3,1,8,27
2010-01-28 00:00:00.000000,2010-01-28 11:43:16.579907,542709,0,0,4,0,4,27
2010-01-31 00:00:00.000000,2010-01-31 20:31:55.120578,130949,0,0,3,4,40,30
2010-02-08 00:00:00.000000,2010-02-06 11:46:40.734851,341604,0,0,3,25,301,38
2010-02-08 00:00:00.000000,2010-02-04 15:37:28.743156,542715,0,0,3,0,9,38
2010-02-15 00:00:00.000000,2010-02-15 04:25:17.695652,538342,0,0,3,0,27,45
2010-02-16 00:00:00.000000,2010-02-16 01:46:56.175331,349392,0,0,5,2,16,46
2010-02-21 00:00:00.000000,2010-02-19 15:34:55.371270,399910,0,0,3,6,7,51
2010-02-22 00:00:00.000000,2010-02-22 06:11:07.947527,545339,1,1,3,0,4,52
2010-03-04 00:00:00.000000,2010-03-01 20:24:17.179945,547544,0,0,4,0,7,62
2010-03-04 00:00:00.000000,2010-02-28 18:30:42.206706,538604,0,0,3,0,3,62
2010-03-07 00:00:00.000000,2010-03-06 08:39:52.363580,62178,0,0,5,31,278,65
2010-03-07 00:00:00.000000,2010-03-06 18:28:48.849044,540781,0,0,4,0,11,65
2010-03-08 00:00:00.000000,2010-03-08 01:58:46.160874,322435,0,0,3,0,14,66
2010-03-12 00:00:00.000000,2010-03-11 07:50:40.521739,539608,0,0,4,0,7,70
2010-03-12 00:00:00.000000,2010-03-12 18:12:09.608696,551629,0,0,5,0,10,70
2010-03-15 00:00:00.000000,2010-03-13 08:07:51.112597,551962,0,0,3,0,9,73
2010-03-24 00:00:00.000000,2010-03-20 03:12:46.648108,545595,0,0,3,2,9,82
2010-03-27 00:00:00.000000,2010-03-27 13:18:29.692095,82017,0,0,3,0,6,85
2010-03-27 00:00:00.000000,2010-03-27 02:48:17.151338,340021,0,0,3,7,4,85
2010-03-29 00:00:00.000000,2010-03-28 05:08:15.704902,540737,0,0,3,0,10,87
2010-03-29 00:00:00.000000,2010-03-28 20:36:21.162719,551459,0,0,4,0,5,87
2010-03-31 00:00:00.000000,2010-03-31 01:20:09.932333,552425,0,0,5,0,3,89
2010-04-03 00:00:00.000000,2010-03-31 15:55:01.009843,551544,0,0,3,0,3,92
2010-04-09 00:00:00.000000,2010-04-09 12:25:38.423562,552583,0,0,3,0,9,98
2010-04-14 00:00:00.000000,2010-04-14 02:57:25.270071,539050,0,0,3,0,3,103
2010-04-15 00:00:00.000000,2010-04-15 02:45:49.642572,541949,1,1,5,0,2,104
2010-04-22 00:00:00.000000,2010-04-21 18:11:16.820671,543194,0,0,4,0,1,111
2010-04-27 00:00:00.000000,2010-04-25 17:31:37.826207,546360,0,0,3,1,2,116
2010-04-27 00:00:00.000000,2010-04-27 15:23:36.555968,550827,0,0,5,0,6,116
2010-05-04 00:00:00.000000,2010-04-30 06:41:41.199016,555504,0,0,4,0,7,123
2010-05-04 00:00:00.000000,2010-05-01 11:23:49.371578,557579,0,0,3,5,16,123
2010-05-04 00:00:00.000000,2010-04-28 17:37:43.175887,550951,1,1,3,0,4,123
2010-05-05 00:00:00.000000,2010-05-05 04:50:48.501213,541443,0,0,3,0,2,124
2010-05-12 00:00:00.000000,2010-05-10 14:31:40.673331,432687,1,1,5,55,50,131
2010-05-12 00:00:00.000000,2010-05-12 14:22:05.806213,543411,0,0,5,0,3,131
2010-05-27 00:00:00.000000,2010-05-21 06:46:08.878191,542160,0,0,5,0,4,146
2010-05-27 00:00:00.000000,2010-05-22 12:04:29.596124,550070,0,0,3,0,1,146
2010-05-31 00:00:00.000000,2010-05-29 01:41:26.119348,546005,0,0,5,0,2,150
2010-05-31 00:00:00.000000,2010-05-30 15:07:06.501999,493857,0,0,3,31,50,150
2010-06-02 00:00:00.000000,2010-06-01 02:45:41.478261,556957,0,0,3,0,54,152
2010-06-09 00:00:00.000000,2010-06-08 19:19:14.291295,566008,0,0,3,4,16,159
2010-06-10 00:00:00.000000,2010-06-10 08:39:05.318537,554615,0,0,3,0,9,160
2010-06-12 00:00:00.000000,2010-06-11 08:37:25.109197,546401,0,0,3,0,10,162
2010-06-18 00:00:00.000000,2010-06-16 04:28:11.330667,569198,0,0,3,0,1,168
2010-06-18 00:00:00.000000,2010-06-18 08:02:39.319594,562141,0,0,3,1,2,168
2010-06-18 00:00:00.000000,2010-06-16 16:15:17.514303,558551,0,0,3,0,16,168
2010-06-24 00:00:00.000000,2010-06-19 00:27:39.557367,537532,0,0,3,0,3,174
2010-06-24 00:00:00.000000,2010-06-19 03:52:00.931931,561552,0,0,5,0,6,174
2010-07-13 00:00:00.000000,2010-07-09 23:19:38.853891,565512,0,0,3,26,15,193
2010-07-13 00:00:00.000000,2010-07-11 10:38:25.596124,550196,0,0,4,2,12,193
2010-07-13 00:00:00.000000,2010-07-12 14:50:26.648108,545599,0,0,3,0,2,193
2010-07-13 00:00:00.000000,2010-07-13 04:24:47.785297,558826,1,1,5,0,5,193
2010-07-22 00:00:00.000000,2010-07-22 14:26:20.419871,568504,0,0,3,0,4,202
2010-07-27 00:00:00.000000,2010-07-26 19:18:28.415257,570343,1,1,3,0,3,207
2010-07-29 00:00:00.000000,2010-07-28 23:36:51.089511,565685,0,0,3,1,3,209
2010-07-29 00:00:00.000000,2010-07-28 03:20:10.633986,551388,0,0,4,0,3,209
2010-08-02 00:00:00.000000,2010-08-01 11:32:33.744386,570421,0,0,3,7,3,213
2010-08-06 00:00:00.000000,2010-08-05 22:59:57.989849,580735,0,0,3,0,3,217
2010-08-06 00:00:00.000000,2010-08-06 15:52:09.304348,582344,0,0,3,0,13,217
2010-08-08 00:00:00.000000,2010-08-07 11:10:20.675792,564403,0,0,3,0,4,219
2010-08-15 00:00:00.000000,2010-08-14 10:18:06.169179,579521,0,0,3,13,10,226
2010-08-15 00:00:00.000000,2010-08-14 17:48:23.109197,583175,0,0,3,0,41,226
2010-08-16 00:00:00.000000,2010-08-16 18:24:55.075151,560532,0,0,3,0,4,227
2010-08-16 00:00:00.000000,2010-08-16 04:09:16.304348,580606,0,0,3,0,4,227
