day_counter,0,1,2,3,4,5,6,7,8
0,,,3,,,,,,
1,,,3,,,,,,
2,,2,3,,,,,,
3,,2,4,,,,,,
4,1,4,4,,,,,,
5,1,4,4,,,,,,
6,3,2,8,,,,,,
7,5,2,8,,,,,,
8,7,2,8,,,,,,
9,7,5,4,,,,,,
10,5,5,7,,,,,,
11,7,2,7,,,,,,
12,7,2,8,,,,,,
13,8,,7,,,,,,
14,10,,8,,,,,,
15,10,,8,,,,,,
16,7,,14,,,,,,
17,7,,14,,,,,,
18,8,,14,,,,,,
19,10,,14,,,,,,
20,10,,16,,,,,,
21,14,,15,,,,,,
22,17,,14,,,,,,
23,17,,14,,,,,,
24,16,3,15,,,,,,
25,15,,21,,,,,,
26,19,,19,,,,,,
27,19,2,19,,,,,,
28,20,4,20,,,,,,
29,21,4,20,,,,,,
30,25,4,18,,,,,,
31,25,4,19,,,,,,
32,27,15,9,,,,,,
33,27,15,9,,,,,,
34,27,15,9,,,,,,
35,22,2,31,,,,,,
36,22,2,8,24,,,,,
37,22,2,8,24,,,,,
38,22,2,8,24,,,,,
39,22,2,8,25,,,,,
40,20,2,8,31,,,,,
41,20,2,5,35,,,,,
42,22,2,5,35,,,,,
43,22,2,5,35,,,,,
44,24,2,5,35,,,,,
45,24,2,5,35,,,,,
46,26,2,5,35,,,,,
47,27,2,5,35,,,,,
48,24,2,,46,,,,,
49,2,,,,73,,,,
50,3,,,,73,,,,
51,3,,,,72,,,,
52,3,,,,73,,,,
53,4,,,,73,,,,
54,5,,,,75,,,,
55,5,,,,75,,,,
56,5,,,,77,,,,
57,6,,,,77,,,,
58,6,,,,77,,,,
59,6,,,,77,,,,
60,7,,,,77,,,,
61,7,,,,77,,,,
62,8,,,,77,,,,
63,10,,,,79,,,,
64,11,,,,80,,,,
65,12,,,,81,,,,
66,33,6,,,55,,,,
67,32,6,3,,54,,,,
68,33,6,3,,55,,,,
69,34,8,3,,56,,,,
70,31,5,,,,67.0,,,
71,31,5,,,,68.0,,,
72,32,5,,,,,70.0,,
73,32,8,6,,,,59.0,,
74,32,8,6,,,,60.0,,
75,32,8,6,,,,63.0,,
76,34,5,10,,,,63.0,,
77,34,5,10,,,62.0,,,
78,30,5,4,,,76.0,,,
79,30,5,4,,,76.0,,,
80,28,5,4,,,83.0,,,
81,28,5,4,,,82.0,,,
82,28,5,4,,,82.0,,,
83,29,5,4,,,82.0,,,
84,30,5,4,,,86.0,,,
85,31,5,4,,,86.0,,,
86,32,5,4,,,87.0,,,
87,33,5,4,,,87.0,,,
88,35,5,7,,84,,,,
89,35,5,7,,85,,,,
90,37,5,7,,86,,,,
91,37,7,3,,88,,,,
92,38,7,3,,86,,,,
93,39,7,3,,87,,,,
94,39,7,3,,88,,,,
95,40,7,3,,88,,,,
96,38,5,,,,102.0,,,
97,39,5,,,,101.0,,,
98,40,5,,,,103.0,,,
99,41,5,,,,104.0,,,
100,40,5,,,,114.0,,,
101,40,5,,,,114.0,,,
102,40,5,,,,114.0,,,
103,40,5,,,,114.0,,,
104,39,5,,,,117.0,,,
105,39,5,,,,121.0,,,
106,41,5,,,,122.0,,,
107,41,5,,,,122.0,,,
108,42,5,,,,122.0,,,
109,42,5,,,,122.0,,,
110,46,7,,,,124.0,,,
111,46,7,,,,124.0,,,
112,44,7,,,,127.0,,,
113,44,7,,,,127.0,,,
114,44,7,,,,130.0,,,
115,44,7,,,,130.0,,,
116,44,7,,,,130.0,,,
117,46,7,,,,131.0,,,
118,47,7,,,,131.0,,,
119,47,7,,,,131.0,,,
120,46,7,,,,137.0,,,
121,46,7,,,,137.0,,,
122,46,7,,,,137.0,,,
123,46,7,,,,138.0,,,
124,45,7,,,,142.0,,,
125,46,7,,,141,,,,
126,47,7,,,144,,,,
127,48,7,,,144,,,,
128,46,7,,,147,,,,
129,46,7,,,147,,,,
130,49,7,,,147,,,,
131,49,7,,,147,,,,
132,49,5,,,151,,,,
133,49,5,,,153,,,,
134,49,5,,,154,,,,
135,49,5,,,155,,,,
136,50,5,,,155,,,,
137,50,5,,,154,,,,
138,50,5,,,155,,,,
139,52,5,,,152,,,,
140,55,2,,,,157.0,,,
141,55,2,,,,157.0,,,
142,55,2,,,,158.0,,,
143,55,2,,,,158.0,,,
144,55,2,,,,160.0,,,
145,55,2,,,,159.0,,,
146,56,2,,,,159.0,,,
147,55,2,,,,162.0,,,
148,55,2,,,,166.0,,,
149,55,2,,,,166.0,,,
150,55,2,,,,165.0,,,
151,56,2,,,,165.0,,,
152,56,2,,,,167.0,,,
153,59,2,,,,168.0,,,
154,60,2,,,,170.0,,,
155,59,2,,,,172.0,,,
156,58,2,,,,175.0,,,
157,59,2,,,,174.0,,,
158,59,2,,,,174.0,,,
159,60,2,,,,173.0,,,
160,62,2,,,,175.0,,,
161,62,2,,,,174.0,,,
162,62,2,,,,174.0,,,
163,63,5,,,,170.0,,,
164,64,5,,,,170.0,,,
165,67,5,,,,170.0,,,
166,66,5,,,,174.0,,,
167,66,5,,,,174.0,,,
168,67,5,,,,175.0,,,
169,68,5,,,,175.0,,,
170,69,5,,,,174.0,,,
171,67,5,,,,177.0,,,
172,64,2,,,,188.0,,,
173,64,2,,,,188.0,,,
174,65,2,,,,189.0,,,
175,66,2,,,,190.0,,,
176,66,2,,,,195.0,,,
177,66,2,,,,196.0,,,
178,69,2,,,,197.0,,,
179,70,2,,,,197.0,,,
180,73,4,,,,200.0,,,
181,77,4,,,,200.0,,,
182,77,4,,,,198.0,,,
183,77,4,,,,202.0,,,
184,77,4,,,,,203.0,,
185,78,4,,,,,203.0,,
186,79,4,,,,,202.0,,
187,79,4,,,,,203.0,,
188,79,6,,,,,201.0,,
189,80,6,,,,,201.0,,
190,81,6,,,,,201.0,,
191,81,6,,,,,201.0,,
192,82,6,,,,,203.0,,
193,82,6,,,,,203.0,,
194,84,6,,,,,203.0,,
195,84,6,,,,,203.0,,
196,88,6,,,,,199.0,,
197,90,6,,,,,199.0,,
198,90,6,,,,,202.0,,
199,88,4,,,,,207.0,,
200,90,4,,,,,210.0,,
201,92,4,,,,,210.0,,
202,91,12,,,,,210.0,,
203,89,12,,,,,212.0,,
204,91,12,,,,,213.0,,
205,90,14,,,,,213.0,,
206,90,14,,,,,214.0,,
207,92,14,,,,212.0,,,
208,92,12,,,,220.0,,,
209,92,12,,,,219.0,,,
210,95,12,,,,220.0,,,
211,96,12,,,,220.0,,,
212,96,12,,,,220.0,,,
213,96,12,,,,220.0,,,
214,96,12,,,,221.0,,,
215,96,17,,,,216.0,,,
216,99,20,,,,211.0,,,
217,99,20,,,,210.0,,,
218,101,20,,,,210.0,,,
219,101,20,,,,210.0,,,
220,99,22,,,,214.0,,,
221,99,22,,,,214.0,,,
222,83,14,,,,239.0,,,
223,84,14,,,,239.0,,,
224,85,16,,,,238.0,,,
225,85,14,,,,241.0,,,
226,85,14,,,,241.0,,,
227,86,14,,,,240.0,,,
228,89,14,,,,242.0,,,
229,89,14,,,,242.0,,,
