day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,1,4,4,,,,,
5,1,4,4,,,,,
6,3,5,5,,,,,
7,5,5,5,,,,,
8,7,5,4,,,,,
9,7,8,,,,,,
10,5,3,8,,,,,
11,5,2,6,,,,,
12,5,2,7,,,,,
13,5,2,7,,,,,
14,7,2,8,,,,,
15,7,2,8,,,,,
16,4,,15,,,,,
17,4,,15,,,,,
18,5,,15,,,,,
19,7,,15,,,,,
20,6,,18,,,,,
21,11,2,14,,,,,
22,14,2,13,,,,,
23,14,2,13,,,,,
24,15,,17,,,,,
25,14,,20,,,,,
26,18,,18,,,,,
27,18,2,18,,,,,
28,18,6,18,,,,,
29,22,11,9,,,,,
30,25,11,8,,,,,
31,24,13,8,,,,,
32,25,6,18,,,,,
33,25,6,18,,,,,
34,25,6,18,,,,,
35,21,4,,,27,,,
36,21,4,,,28,,,
37,21,4,,,28,,,
38,21,4,,,29,,,
39,21,4,,,30,,,
40,19,4,,,36,,,
41,18,4,,,38,,,
42,20,4,,,39,,,
43,20,4,,,39,,,
44,22,4,,,39,,,
45,22,4,,,39,,,
46,24,4,,,39,,,
47,24,4,,,41,,,
48,20,2,,,49,,,
49,2,,,,,70.0,,
50,3,,,,,70.0,,
51,3,,,,,69.0,,
52,3,,,,,71.0,,
53,4,,,,,71.0,,
54,5,,,,,73.0,,
55,5,,,,,73.0,,
56,5,,,,,75.0,,
57,6,,,,,75.0,,
58,6,,,,,75.0,,
59,6,,,,,75.0,,
60,7,,,,,75.0,,
61,7,,,,,75.0,,
62,8,,,,,74.0,,
63,10,,,,,75.0,,
64,25,12,,,49,,,
65,26,10,3,,49,,,
66,29,10,3,,49,,,
67,27,10,,,56,,,
68,27,12,,,55,,,
69,29,12,,,57,,,
70,27,8,,,65,,,
71,27,8,,,66,,,
72,28,8,,,68,,,
73,28,8,,,68,,,
74,29,10,,,65,,,
75,29,8,,,70,,,
76,32,12,3,,,61.0,,
77,32,12,3,,,61.0,,
78,30,12,3,,,66.0,,
79,30,12,3,,,66.0,,
80,28,12,3,,,73.0,,
81,28,12,3,,,73.0,,
82,28,12,3,,,73.0,,
83,29,12,3,,,73.0,,
84,30,12,3,,,77.0,,
85,31,12,3,,,77.0,,
86,32,14,3,,,74.0,,
87,33,14,3,,,73.0,,
88,34,14,3,,,75.0,,
89,35,14,3,,,74.0,,
90,36,14,3,,,76.0,,
91,35,14,3,,,78.0,,
92,35,14,3,,,78.0,,
93,36,14,3,,,79.0,,
94,34,17,3,,,78.0,,
95,35,19,3,,,75.0,,
96,32,15,,,,92.0,,
97,33,15,,,,92.0,,
98,37,15,,,,89.0,,
99,39,15,,,,88.0,,
100,39,15,,,,,97.0,
101,39,15,,,,,97.0,
102,39,15,,,,,98.0,
103,40,15,3,,,,92.0,
104,40,15,3,,,,95.0,
105,40,15,3,,,,,98.0
106,42,15,3,,,,,99.0
107,42,15,3,,,,,99.0
108,43,15,3,,,,,99.0
109,43,15,3,,,,,99.0
110,48,15,3,,,,,103.0
111,48,15,3,,,,,102.0
112,48,12,3,,,,,105.0
113,48,12,3,,,,,105.0
114,48,12,3,,,,,108.0
115,48,12,3,,,,,108.0
116,48,12,3,,,,,108.0
117,49,14,3,,,,,108.0
118,52,14,3,,,,,105.0
119,52,14,3,,,,,105.0
120,52,12,3,,,,,111.0
121,52,12,3,,,,,111.0
122,52,12,3,,,,,111.0
123,52,12,3,,,,,112.0
124,51,12,3,,,,,116.0
125,52,12,3,,,,,115.0
126,53,12,3,,,,,118.0
127,54,12,3,,,,,118.0
128,51,12,3,,,,,122.0
129,51,12,3,,,,,120.0
130,54,12,3,,,,,120.0
131,54,12,3,,,,,120.0
132,54,10,3,,,,,123.0
133,55,10,3,,,,,125.0
134,55,12,3,,,,122.0,
135,55,12,3,,,,123.0,
136,56,12,3,,,,123.0,
137,59,12,3,,,,119.0,
138,59,15,3,,,,116.0,
139,59,15,3,,,,115.0,
140,60,15,3,,,,119.0,
141,60,15,3,,,,119.0,
142,60,15,3,,,,120.0,
143,60,15,3,,,,119.0,
144,59,15,3,,,,122.0,
145,59,15,3,,,,122.0,
146,60,15,3,,,,123.0,
147,61,15,3,,,,123.0,
148,59,12,3,,,,133.0,
149,59,12,3,,,,133.0,
150,59,12,3,,,,133.0,
151,60,12,3,,,,133.0,
152,60,12,3,,,,134.0,
153,63,12,3,,,,135.0,
154,67,12,3,,,,132.0,
155,66,12,3,,,,134.0,
156,65,12,3,,,,137.0,
157,65,14,3,,,,135.0,
158,65,14,3,,,,135.0,
159,64,14,3,,,,137.0,
160,66,14,3,,,,139.0,
161,66,14,3,5,,,133.0,
162,66,14,3,5,,,133.0,
163,68,14,3,5,,,131.0,
164,69,14,3,5,,,130.0,
165,72,14,3,5,,,130.0,
166,72,12,3,5,,,135.0,
167,72,12,3,5,,,135.0,
168,72,12,12,5,,,127.0,
169,73,12,12,5,,,126.0,
170,74,12,12,5,,,126.0,
171,73,10,12,5,,,130.0,
172,71,10,8,5,,,141.0,
173,71,10,8,5,,,140.0,
174,71,12,8,5,,,140.0,
175,72,12,8,5,,,141.0,
176,74,10,8,5,,,146.0,
177,74,10,8,5,,,146.0,
178,77,10,8,5,,,147.0,
179,78,10,8,5,,,146.0,
180,77,10,8,5,,,156.0,
181,81,10,8,5,,,155.0,
182,81,10,8,5,,,154.0,
183,80,10,8,5,,,158.0,
184,80,15,8,5,,,153.0,
185,81,15,8,5,,,153.0,
186,82,15,8,5,,,153.0,
187,82,15,8,5,,,154.0,
188,81,15,8,5,,,156.0,
189,84,17,12,5,,,147.0,
190,85,17,12,5,,,147.0,
191,85,17,12,5,,,147.0,
192,83,17,12,5,,,153.0,
193,83,19,12,5,,,150.0,
194,85,19,12,5,,,150.0,
195,85,19,12,5,,,150.0,
196,84,19,8,5,,,156.0,
197,86,19,8,5,,,156.0,
198,85,19,8,5,,,160.0,
199,84,19,8,5,,,163.0,
200,86,17,8,5,,,169.0,
201,88,17,8,5,,,169.0,
202,88,23,8,,6,,169.0,
203,87,23,8,,6,,170.0,
204,89,23,8,,6,,171.0,
205,89,23,8,,6,,172.0,
206,89,27,8,,6,,166.0,
207,91,27,8,,6,,166.0,
208,92,25,5,,6,,176.0,
209,92,25,5,,6,,176.0,
210,95,25,5,,6,,178.0,
211,97,25,5,,6,,176.0,
212,97,25,5,,6,,176.0,
213,97,25,5,,6,,176.0,
214,97,25,5,,6,,175.0,
215,97,25,5,,6,,176.0,
216,97,27,5,,6,,176.0,
217,97,27,5,,6,,176.0,
218,99,27,9,,6,,171.0,
219,99,27,9,,6,,171.0,
220,98,28,14,,,,176.0,
221,98,28,14,,,,176.0,
222,78,16,8,,,,215.0,
223,79,16,8,,,,215.0,
224,80,16,8,,,,216.0,
225,80,14,8,,,,218.0,
226,80,14,8,,,,218.0,
227,81,14,8,,,,218.0,
228,83,16,8,,,,219.0,
229,83,16,8,,,,219.0,
