date,bug_id,degree,depth,severity,votes,comment_count
7,5,1,1,3,2,2
9,0,2,2,3,0,5
10,4,0,0,3,0,3
11,12,1,1,3,0,6
12,1,1,1,3,0,9
14,11,0,0,4,0,9
16,14,0,0,3,0,2
18,22,1,1,4,0,2
20,26,0,0,3,0,2
24,28,0,0,3,0,10
28,40,1,1,3,0,2
29,25,2,1,3,2,12
31,19,0,0,3,1,7
32,23,1,1,3,0,7
34,56,1,1,5,0,14
36,42,0,0,3,0,3
41,39,1,1,4,1,3
45,63,5,1,3,0,59
48,64,0,0,3,0,8
49,73,2,2,3,0,4
62,84,3,1,3,1,24
63,74,1,1,3,2,9
64,88,42,3,3,4,79
66,60,4,1,3,0,5
70,83,5,1,3,0,5
71,98,3,1,3,0,10
76,91,1,2,4,0,4
79,125,1,2,3,0,23
83,123,1,1,3,0,9
88,138,0,0,3,0,64
91,137,0,0,3,1,54
92,140,2,2,3,0,110
96,160,2,2,3,0,12
99,159,0,0,3,0,1
100,148,6,2,3,0,27
102,147,10,3,4,0,94
103,170,10,2,3,0,54
104,153,0,0,5,0,6
111,182,3,2,3,0,56
112,168,5,2,3,0,34
113,171,12,1,3,0,54
117,116,1,2,5,0,10
119,180,5,2,3,4,18
125,161,3,1,3,0,54
128,208,0,0,6,0,13
129,224,5,3,3,0,28
130,218,4,2,3,0,9
133,231,3,2,5,0,17
137,192,0,0,4,0,12
139,223,0,0,5,0,66
141,130,1,1,3,0,7
143,114,4,1,3,0,4
145,141,0,0,3,1,11
146,97,1,1,3,0,7
147,248,5,2,3,0,17
152,236,4,2,3,26,15
155,186,1,1,3,0,16
156,247,0,0,3,0,2
159,256,1,1,3,0,2
163,260,6,3,3,0,33
166,251,6,2,3,0,24
169,278,3,2,3,2,7
171,272,3,2,3,0,3
173,249,0,0,5,0,3
179,296,7,3,3,0,13
182,275,0,0,3,0,1
184,217,3,1,3,0,5
185,318,0,0,3,0,2
189,185,3,1,3,0,11
