day_counter,0,1,2,3,4,5,6,7,8,9,10
0,,,3,,,,,,,,
1,,,3,,,,,,,,
2,,,5,,,,,,,,
3,,,6,,,,,,,,
4,1,2,6,,,,,,,,
5,1,2,6,,,,,,,,
6,3,3,7,,,,,,,,
7,5,3,7,,,,,,,,
8,7,3,7,,,,,,,,
9,7,3,6,,,,,,,,
10,5,,12,,,,,,,,
11,6,4,6,,,,,,,,
12,6,4,7,,,,,,,,
13,6,4,7,,,,,,,,
14,7,6,7,,,,,,,,
15,7,5,7,,,,,,,,
16,6,,16,,,,,,,,
17,6,,15,,,,,,,,
18,7,,15,,,,,,,,
19,9,,15,,,,,,,,
20,9,,,17,,,,,,,
21,14,,,15,,,,,,,
22,17,,,15,,,,,,,
23,17,,,15,,,,,,,
24,17,,,18,,,,,,,
25,17,,,20,,,,,,,
26,18,2,,19,,,,,,,
27,19,2,,20,,,,,,,
28,20,2,3,20,,,,,,,
29,21,2,3,20,,,,,,,
30,25,2,21,,,,,,,,
31,24,4,21,,,,,,,,
32,23,4,26,,,,,,,,
33,23,4,26,,,,,,,,
34,24,6,21,,,,,,,,
35,21,4,7,24,,,,,,,
36,21,4,7,25,,,,,,,
37,21,4,7,25,,,,,,,
38,21,4,7,26,,,,,,,
39,21,4,7,27,,,,,,,
40,20,2,7,,34,,,,,,
41,19,2,7,,36,,,,,,
42,21,2,7,,37,,,,,,
43,21,2,7,,37,,,,,,
44,23,2,7,,37,,,,,,
45,23,2,7,,37,,,,,,
46,25,2,7,,37,,,,,,
47,25,6,7,,34,,,,,,
48,21,4,7,,43,,,,,,
49,4,,,,,74.0,,,,,
50,5,,,,,74.0,,,,,
51,5,,,,,74.0,,,,,
52,5,,,,,76.0,,,,,
53,6,,,,,76.0,,,,,
54,7,,,,,77.0,,,,,
55,7,,,,,77.0,,,,,
56,7,,,,,79.0,,,,,
57,8,,,,,79.0,,,,,
58,8,,,,,79.0,,,,,
59,8,,,,,79.0,,,,,
60,9,,,,,79.0,,,,,
61,9,,,,,79.0,,,,,
62,10,,,,,79.0,,,,,
63,11,,,,,82.0,,,,,
64,12,,,,,83.0,,,,,
65,13,,,,,84.0,,,,,
66,16,,,,,84.0,,,,,
67,16,,,,,,86.0,,,,
68,17,,,,,,87.0,,,,
69,33,11,5,,,,58.0,,,,
70,30,10,5,,,,,64.0,,,
71,30,10,5,,,,,65.0,,,
72,31,10,5,,,,,67.0,,,
73,31,10,5,,,,,67.0,,,
74,31,10,5,,,,,68.0,,,
75,30,10,,,9,,,68.0,,,
76,32,10,,,9,,,68.0,,,
77,32,12,,,9,,,65.0,,,
78,27,12,,,9,,,,74.0,,
79,27,12,,,9,,,,74.0,,
80,26,12,,,,,,,89.0,,
81,26,12,,,,,,,89.0,,
82,26,12,,,,,,,89.0,,
83,27,12,,,,,,,89.0,,
84,28,10,,,,,,,95.0,,
85,29,10,,,,,,,95.0,,
86,30,10,,,,,,,96.0,,
87,31,10,,,,,,,96.0,,
88,33,12,,,,,,,94.0,,
89,33,12,,,,,,,95.0,,
90,35,12,,,,,,,96.0,,
91,35,12,,,,,,,97.0,,
92,35,14,,,,,,,94.0,,
93,36,14,,,,,,,95.0,,
94,36,14,,,,,,,96.0,,
95,37,14,,,,,,,96.0,,
96,36,6,,,,,,,,112.0,
97,38,6,,,,,,,,110.0,
98,39,6,,,,,,,,112.0,
99,40,6,,,,,,,,113.0,
100,39,6,,,,,,,,123.0,
101,39,6,,,,,,,,123.0,
102,39,6,,,,,,,,124.0,
103,40,8,,,,,,,,120.0,
104,41,8,,,,,,,,122.0,
105,40,8,,,,,,,,127.0,
106,42,8,,,,,,,,128.0,
107,42,8,,,,,,,,128.0,
108,43,8,,,,,,,,128.0,
109,43,8,,,,,,,,128.0,
110,48,8,,,,,,,130.0,,
111,48,8,,,,,,,130.0,,
112,46,8,,,,,,,133.0,,
113,46,8,,,,,,,133.0,,
114,46,8,,,,,,,136.0,,
115,46,8,,,,,,,136.0,,
116,46,8,,,,,,,136.0,,
117,47,10,,,,,,,136.0,,
118,48,10,,,,,,,136.0,,
119,48,10,,,,,,,136.0,,
120,45,8,,,,,,,146.0,,
121,45,8,,,,,,,146.0,,
122,45,8,,,,,,,146.0,,
123,45,8,,,,,,,146.0,,
124,45,8,,,,,,,149.0,,
125,46,8,,,,,,,149.0,,
126,48,8,,,,,,,151.0,,
127,49,8,,,,,,,151.0,,
128,48,8,,,,,,,152.0,,
129,48,8,,,,,,,152.0,,
130,51,8,,,,,,,152.0,,
131,51,8,,,,,,,152.0,,
132,51,8,,,,,,,,153.0,
133,52,8,,,,,,,,155.0,
134,51,8,,,,,,,,157.0,
135,51,8,,,,,,,,158.0,
136,52,8,,,,,,,,158.0,
137,52,8,,,,,,,,158.0,
138,52,8,,,,,,,,159.0,
139,52,8,,,,,,,,159.0,
140,54,8,,,,,,,,162.0,
141,54,8,,,,,,,,162.0,
142,54,8,,,,,,,,163.0,
143,54,8,,,,,,,,163.0,
144,55,8,,,,,,,,164.0,
145,55,8,,,,,,,,163.0,
146,56,8,,,,,,,,164.0,
147,57,8,,,,,,,,165.0,
148,52,8,,,,,,,,175.0,
149,52,8,,,,,,,,175.0,
150,52,8,,,,,,,,175.0,
151,53,8,,,,,,,,175.0,
152,53,8,,,,,,,,177.0,
153,56,8,,,,,,,,177.0,
154,56,8,,,,,,,,180.0,
155,55,8,,,,,,,,182.0,
156,55,8,,,,,,,,184.0,
157,55,8,,,,,,,,185.0,
158,55,8,,,,,,,,185.0,
159,54,8,,,,,,,,187.0,
160,56,8,,,,,,,,189.0,
161,56,8,,,,,,,,189.0,
162,56,8,,,,,,,,189.0,
163,57,8,,,,,,,,189.0,
164,59,8,,,,,,,,187.0,
165,62,8,,,,,,,,187.0,
166,62,8,,,,,,,,190.0,
167,62,8,,,,,,,,190.0,
168,62,8,,,,,,,,192.0,
169,63,8,,,,,,,,192.0,
170,64,8,,,,,,,,192.0,
171,62,8,,,,,,,,195.0,
172,58,8,,,,,,,,204.0,
173,58,8,,,,,,,,204.0,
174,59,8,,,,,,,,205.0,
175,60,8,,,,,,,,206.0,
176,62,8,,,,,,,208.0,,
177,62,10,,,,,,,206.0,,
178,65,10,,,,,,,207.0,,
179,66,10,,,,,,,207.0,,
180,65,10,,,,,,,217.0,,
181,69,10,,,,,,,217.0,,
182,69,10,,,,,,,217.0,,
183,69,8,,,,,,,222.0,,
184,68,8,,,,,,,,224.0,
185,69,8,,,,,,,,224.0,
186,70,8,,,,,,,,224.0,
187,70,8,,,,,,,,225.0,
188,68,8,,,,,,,,228.0,
189,69,8,,,,,,,,228.0,
190,70,8,,,,,,,,228.0,
191,70,8,,,,,,,,228.0,
192,69,8,,,,,,,,233.0,
193,71,10,,,,,,,,228.0,
194,73,10,,,,,,,,228.0,
195,73,10,,,,,,,,228.0,
196,72,10,,,,,,,,231.0,
197,74,10,,,,,,,,231.0,
198,75,10,,,,,,,,233.0,
199,74,10,,,,,,,,236.0,
