day_counter,0,1,2,3,4,5,6
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,1,4,4,,,,
5,1,4,4,,,,
6,3,2,4,4,,,
7,5,2,3,4,,,
8,7,2,3,4,,,
9,7,4,,4,,,
10,5,2,,8,,,
11,6,2,7,,,,
12,7,,8,,,,
13,7,,8,,,,
14,8,8,,,,,
15,8,8,,,,,
16,5,11,,,,,
17,5,11,,,,,
18,6,10,,,,,
19,8,10,,,,,
20,6,12,,,,,
21,10,12,,,,,
22,13,12,,,,,
23,13,12,,,,,
24,14,12,,,,,
25,14,14,,,,,
26,15,16,,,,,
27,16,17,,,,,
28,18,15,3,,,,
29,20,13,3,,,,
30,23,13,3,,,,
31,23,13,3,,,,
32,22,17,3,,,,
33,22,17,3,,,,
34,23,15,3,,,,
35,20,3,3,20,,,
36,19,5,,21,,,
37,19,5,,21,,,
38,19,5,,22,,,
39,19,5,,23,,,
40,17,2,,32,,,
41,15,2,,34,,,
42,17,2,,35,,,
43,17,2,,35,,,
44,19,2,,35,,,
45,20,4,,29,,,
46,22,4,,29,,,
47,22,4,,31,,,
48,19,,,40,,,
49,,,,,60,,
50,1,,,,60,,
51,1,,,,60,,
52,1,,,,62,,
53,2,,,,62,,
54,3,,,,64,,
55,3,,,,64,,
56,3,,,,67,,
57,4,,,,67,,
58,4,,,,67,,
59,4,,,,67,,
60,5,,,,67,,
61,5,,,,67,,
62,6,,,,66,,
63,7,,,,68,,
64,28,2,,46,,,
65,28,4,,46,,,
66,31,4,,44,,,
67,30,2,3,,46,,
68,31,2,3,,,47.0,
69,33,2,3,,,49.0,
70,33,2,6,,,46.0,
71,36,2,6,9,,,33.0
72,35,2,6,9,,,37.0
73,35,2,6,9,,,37.0
74,35,2,6,9,,,38.0
75,35,2,6,9,,,41.0
76,37,2,6,8,,,42.0
77,37,2,6,8,,,42.0
78,33,2,3,,,,61.0
79,33,2,3,,,,60.0
80,29,2,,,,,72.0
81,29,2,,,,,72.0
82,29,2,,,,,72.0
83,33,2,,,,67.0,
84,32,4,,,,71.0,
85,33,4,,,,71.0,
86,34,4,,,,72.0,
87,35,4,,,,72.0,
88,37,4,,,,72.0,
89,37,4,,,,73.0,
90,39,4,,,,74.0,
91,39,4,3,,,71.0,
92,42,4,6,,,63.0,
93,41,4,6,,,66.0,
94,41,4,6,,,67.0,
95,42,4,6,,,67.0,
96,37,2,3,,,83.0,
97,38,2,3,,,83.0,
98,39,2,3,,,85.0,
99,40,2,3,,,85.0,
100,38,2,3,,,95.0,
101,38,2,3,,,95.0,
102,39,8,3,,,88.0,
103,39,8,3,,,87.0,
104,41,5,3,,,90.0,
105,39,5,3,,,96.0,
106,40,7,3,,,96.0,
107,40,7,3,,,96.0,
108,41,7,3,,,96.0,
109,41,7,3,,,96.0,
110,45,9,4,,,98.0,
111,45,9,4,,,97.0,
112,45,9,,,,101.0,
113,45,9,,,,100.0,
114,44,9,,,,104.0,
115,44,9,,,,104.0,
116,44,9,,,,104.0,
117,46,9,,,,104.0,
118,47,9,,,,104.0,
119,47,9,,,,103.0,
120,43,11,,,,110.0,
121,43,11,,,,110.0,
122,43,11,,,,110.0,
123,43,11,,,,111.0,
124,43,11,,,,114.0,
125,48,13,,,,105.0,
126,48,13,,,,109.0,
127,49,13,,,,109.0,
128,50,13,5,,,102.0,
129,50,13,5,,,101.0,
130,53,13,5,,,100.0,
131,53,13,5,,,100.0,
132,53,11,5,,,104.0,
133,54,11,11,,,99.0,
134,54,11,11,,,100.0,
135,54,11,11,,,101.0,
136,55,11,11,,,101.0,
137,56,11,11,,,99.0,
138,56,11,12,,,99.0,
139,57,11,12,,,97.0,
140,58,11,12,,,101.0,
141,58,11,12,,,100.0,
142,57,8,12,,,105.0,
143,57,8,12,,,104.0,
144,56,8,12,,,107.0,
145,57,8,12,,,105.0,
146,60,11,12,,,100.0,
147,59,11,12,,,102.0,
148,54,9,6,,,120.0,
149,54,9,6,,,120.0,
150,54,9,6,,,120.0,
151,55,9,6,,,120.0,
152,56,6,6,,,123.0,
153,59,6,6,,,124.0,
154,60,6,6,,,126.0,
155,59,6,6,,,127.0,
156,59,6,6,,,128.0,
157,59,6,6,,,129.0,
158,59,6,6,,,129.0,
159,58,4,6,,,132.0,
160,60,4,6,,,134.0,
161,60,4,6,,,134.0,
162,60,4,6,,,134.0,
163,63,4,6,,,131.0,
164,64,4,6,,,131.0,
165,67,4,6,,,131.0,
166,68,4,6,,,132.0,
167,68,4,6,,,132.0,
168,68,4,6,,,134.0,
169,69,4,6,,,133.0,
170,70,4,6,,,133.0,
171,69,4,6,,,,134.0
172,62,4,6,,,,146.0
173,62,4,6,,,,144.0
174,63,4,6,,,,145.0
175,64,4,6,,,,146.0
176,65,2,6,,,,152.0
177,65,2,6,,,,153.0
178,68,2,6,,,,154.0
179,69,2,6,,,,152.0
180,70,2,6,,,,160.0
181,74,2,6,,,,160.0
182,75,4,6,,,,156.0
183,76,4,6,,,,159.0
184,75,7,6,,,,157.0
185,79,7,6,,,,152.0
186,80,7,6,,,,152.0
187,80,7,6,,,,153.0
188,79,7,6,,,,155.0
189,83,17,6,,,,140.0
190,84,17,6,,,,140.0
191,84,17,6,,,,140.0
192,85,11,6,,,,149.0
193,87,11,6,,,,146.0
194,89,11,6,,,,146.0
195,89,11,6,,,,146.0
196,89,11,6,,,,148.0
197,91,11,6,,,,147.0
198,93,8,6,,,,150.0
199,91,8,6,,,,154.0
200,94,8,6,,,,157.0
201,97,8,9,,,,151.0
202,99,10,9,5,,,148.0
203,98,16,9,5,,,143.0
204,100,16,9,5,,,144.0
205,99,24,9,5,,,137.0
206,98,26,9,5,,,136.0
207,100,26,9,5,,,136.0
208,98,22,3,5,,,154.0
209,98,22,3,5,,,154.0
210,101,22,3,5,,,156.0
211,102,22,3,5,,,156.0
212,103,24,3,5,,,152.0
213,103,24,3,5,,,152.0
214,103,24,3,5,,,153.0
215,103,26,3,5,,151.0,
216,103,28,3,5,,150.0,
217,103,28,3,5,,150.0,
218,106,34,3,5,,142.0,
219,108,31,3,5,,142.0,
220,103,33,3,,,155.0,
221,103,33,3,,,155.0,
222,82,19,,,,193.0,
223,83,19,,,,192.0,
224,82,19,,,,196.0,
225,81,19,,,,198.0,
226,81,19,,,,198.0,
227,84,19,3,,,191.0,
228,86,21,3,,,192.0,
229,86,21,3,,,192.0,
230,83,23,3,,,,197.0
231,83,23,3,,,,198.0
232,83,23,3,,,,198.0
233,83,23,3,,,,198.0
234,83,23,3,,,,200.0
235,83,23,3,,,,201.0
236,82,23,3,,,,205.0
237,82,23,3,,,,205.0
238,100,33,3,,,,178.0
239,100,33,3,,,,178.0
240,100,33,3,,,,179.0
241,100,33,3,,,,179.0
242,100,33,3,,,,180.0
243,100,33,3,,,,179.0
244,100,33,3,,,,180.0
245,104,33,13,,,,166.0
246,105,33,13,,,,166.0
247,105,33,13,,,,166.0
248,107,31,13,,,,171.0
249,109,29,13,,,,174.0
