day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,
11,6,,,12,,,,,,,,,,,
12,6,,,13,,,,,,,,,,,
13,6,,,13,,,,,,,,,,,
14,7,2,,13,,,,,,,,,,,
15,7,2,,13,,,,,,,,,,,
16,7,,,18,,,,,,,,,,,
17,7,,,18,,,,,,,,,,,
18,8,,,18,,,,,,,,,,,
19,10,,,18,,,,,,,,,,,
20,10,,,20,,,,,,,,,,,
21,14,,,20,,,,,,,,,,,
22,17,,,20,,,,,,,,,,,
23,17,,,20,,,,,,,,,,,
24,17,,,23,,,,,,,,,,,
25,18,,,24,,,,,,,,,,,
26,20,,,25,,,,,,,,,,,
27,21,,,26,,,,,,,,,,,
28,21,4,,26,,,,,,,,,,,
29,23,4,24,,,,,,,,,,,,
30,26,4,24,,,,,,,,,,,,
31,25,6,24,,,,,,,,,,,,
32,25,6,,28,,,,,,,,,,,
33,25,6,,28,,,,,,,,,,,
34,25,6,,28,,,,,,,,,,,
35,23,2,,39,,,,,,,,,,,
36,23,2,,,40,,,,,,,,,,
37,23,2,,,40,,,,,,,,,,
38,23,2,,,41,,,,,,,,,,
39,23,2,,,42,,,,,,,,,,
40,21,4,,,46,,,,,,,,,,
41,21,4,,,47,,,,,,,,,,
42,22,4,,,48,,,,,,,,,,
43,22,4,,,48,,,,,,,,,,
44,24,4,,,48,,,,,,,,,,
45,24,4,,,48,,,,,,,,,,
46,26,4,,,48,,,,,,,,,,
47,26,5,,,49,,,,,,,,,,
48,23,5,,,55,,,,,,,,,,
49,3,,,,,83.0,,,,,,,,,
50,4,,,,,83.0,,,,,,,,,
51,4,,,,,82.0,,,,,,,,,
52,4,,,,,84.0,,,,,,,,,
53,5,,,,,84.0,,,,,,,,,
54,6,,,,,86.0,,,,,,,,,
55,6,,,,,86.0,,,,,,,,,
56,6,,,,,89.0,,,,,,,,,
57,7,,,,,89.0,,,,,,,,,
58,7,,,,,89.0,,,,,,,,,
59,7,,,,,89.0,,,,,,,,,
60,8,,,,,89.0,,,,,,,,,
61,8,,,,,89.0,,,,,,,,,
62,9,,,,,89.0,,,,,,,,,
63,11,,,,,91.0,,,,,,,,,
64,12,,,,,92.0,,,,,,,,,
65,13,,,,,93.0,,,,,,,,,
66,35,5,,,,68.0,,,,,,,,,
67,34,7,,,,69.0,,,,,,,,,
68,34,9,,,,69.0,,,,,,,,,
69,35,12,,,,69.0,,,,,,,,,
70,32,7,3,,,,76.0,,,,,,,,
71,32,7,3,,,,77.0,,,,,,,,
72,33,7,3,,,,79.0,,,,,,,,
73,33,7,3,,,,78.0,,,,,,,,
74,33,7,3,,,,79.0,,,,,,,,
75,32,7,,7,,,79.0,,,,,,,,
76,34,7,,7,,,80.0,,,,,,,,
77,34,7,,7,,,80.0,,,,,,,,
78,32,7,,,,,93.0,,,,,,,,
79,32,7,,,,,93.0,,,,,,,,
80,29,7,,,,,100.0,,,,,,,,
81,29,7,,,,,100.0,,,,,,,,
82,29,7,,,,,100.0,,,,,,,,
83,30,7,,,,,100.0,,,,,,,,
84,30,7,,,,,105.0,,,,,,,,
85,31,7,,,,,105.0,,,,,,,,
86,32,7,,,,,106.0,,,,,,,,
87,33,7,,,,,106.0,,,,,,,,
88,35,7,,,,,107.0,,,,,,,,
89,35,7,,,,,108.0,,,,,,,,
90,37,7,,,,,109.0,,,,,,,,
91,38,7,,,,,108.0,,,,,,,,
92,38,7,,,,,108.0,,,,,,,,
93,39,7,,,,,109.0,,,,,,,,
94,39,7,,,,,110.0,,,,,,,,
95,40,7,,,,,110.0,,,,,,,,
96,36,5,,,,,123.0,,,,,,,,
97,37,5,,,,,123.0,,,,,,,,
98,38,5,,,,,125.0,,,,,,,,
99,39,5,,,,,126.0,,,,,,,,
100,40,5,,,,,,134.0,,,,,,,
101,40,5,,,,,,134.0,,,,,,,
102,40,5,,,,,,134.0,,,,,,,
103,40,5,,,,,,134.0,,,,,,,
104,41,5,,,,,,136.0,,,,,,,
105,41,5,,,,,,140.0,,,,,,,
106,42,7,,,,,,140.0,,,,,,,
107,42,7,,,,,,140.0,,,,,,,
108,43,7,,,,,,140.0,,,,,,,
109,43,7,,,,,,140.0,,,,,,,
110,48,8,,,,,,143.0,,,,,,,
111,48,8,,,,,,142.0,,,,,,,
112,46,8,,,,,,145.0,,,,,,,
113,46,8,,,,,,145.0,,,,,,,
114,46,8,,,,,,148.0,,,,,,,
115,46,8,,,,,,148.0,,,,,,,
116,46,8,,,,,,148.0,,,,,,,
117,48,8,,,,,,149.0,,,,,,,
118,49,8,,,,,,148.0,,,,,,,
119,49,8,,,,,,148.0,,,,,,,
120,47,4,,,,,,159.0,,,,,,,
121,47,4,,,,,,159.0,,,,,,,
122,47,4,,,,,,159.0,,,,,,,
123,47,4,,,,,,160.0,,,,,,,
124,47,4,,,,,,163.0,,,,,,,
125,48,4,,,,,,163.0,,,,,,,
126,50,4,,,,,,165.0,,,,,,,
127,51,4,,,,,,165.0,,,,,,,
128,50,4,,,,,,167.0,,,,,,,
129,50,4,,,,,,167.0,,,,,,,
130,53,4,,,,,,167.0,,,,,,,
131,53,4,,,,,,167.0,,,,,,,
132,53,4,,,,,,169.0,,,,,,,
133,54,4,,,,,,171.0,,,,,,,
134,54,4,,,,,,172.0,,,,,,,
135,54,4,,,,,,173.0,,,,,,,
136,55,4,,,,,,173.0,,,,,,,
137,55,4,,,,,,173.0,,,,,,,
138,55,4,,,,,,174.0,,,,,,,
139,55,4,,,,,,174.0,,,,,,,
140,55,4,,,,,,179.0,,,,,,,
141,55,4,,,,,,179.0,,,,,,,
142,55,4,,,,,,180.0,,,,,,,
143,55,4,,,,,,180.0,,,,,,,
144,56,4,,,,,,181.0,,,,,,,
145,56,4,,,,,,180.0,,,,,,,
146,57,4,,,,,,181.0,,,,,,,
147,58,4,,,,,,182.0,,,,,,,
148,57,4,,,,,,,188.0,,,,,,
149,57,4,,,,,,,188.0,,,,,,
150,57,4,,,,,,,188.0,,,,,,
151,58,4,,,,,,,188.0,,,,,,
152,58,4,,,,,,,190.0,,,,,,
153,61,4,,,,,,,191.0,,,,,,
154,63,4,,,,,,,192.0,,,,,,
155,63,4,,,,,,,193.0,,,,,,
156,62,4,,,,,,,196.0,,,,,,
157,62,4,,,,,,,197.0,,,,,,
158,62,4,,,,,,,197.0,,,,,,
159,61,4,,,,,,,199.0,,,,,,
160,63,4,,,,,,,201.0,,,,,,
161,63,4,,,,,,,201.0,,,,,,
162,63,4,,,,,,,201.0,,,,,,
163,64,4,,,,,,,201.0,,,,,,
164,65,4,,,,,,,200.0,,,,,,
