day_counter,0,1,2,3,4,5,6,7,8,9,10,11
0,,,3,,,,,,,,,
1,,,3,,,,,,,,,
2,,,5,,,,,,,,,
3,,,6,,,,,,,,,
4,1,2,6,,,,,,,,,
5,1,2,6,,,,,,,,,
6,3,3,7,,,,,,,,,
7,5,3,7,,,,,,,,,
8,7,3,7,,,,,,,,,
9,7,3,6,,,,,,,,,
10,5,,12,,,,,,,,,
11,6,4,6,,,,,,,,,
12,6,4,7,,,,,,,,,
13,6,4,7,,,,,,,,,
14,7,6,7,,,,,,,,,
15,7,5,7,,,,,,,,,
16,6,3,13,,,,,,,,,
17,6,3,13,,,,,,,,,
18,7,3,13,,,,,,,,,
19,9,2,13,,,,,,,,,
20,9,2,15,,,,,,,,,
21,13,2,14,,,,,,,,,
22,16,2,14,,,,,,,,,
23,16,2,14,,,,,,,,,
24,16,4,15,,,,,,,,,
25,16,4,16,,,,,,,,,
26,18,4,17,,,,,,,,,
27,19,,22,,,,,,,,,
28,20,2,23,,,,,,,,,
29,21,2,23,,,,,,,,,
30,24,2,23,,,,,,,,,
31,23,4,23,,,,,,,,,
32,25,4,24,,,,,,,,,
33,25,4,24,,,,,,,,,
34,25,4,24,,,,,,,,,
35,21,4,33,,,,,,,,,
36,21,4,34,,,,,,,,,
37,21,4,34,,,,,,,,,
38,21,4,35,,,,,,,,,
39,21,4,36,,,,,,,,,
40,18,4,5,38,,,,,,,,
41,17,4,5,40,,,,,,,,
42,19,4,5,41,,,,,,,,
43,19,4,5,41,,,,,,,,
44,21,4,5,41,,,,,,,,
45,22,4,8,35,,,,,,,,
46,24,4,8,35,,,,,,,,
47,24,4,8,37,,,,,,,,
48,22,2,3,49,,,,,,,,
49,3,,,,76,,,,,,,
50,4,,,,76,,,,,,,
51,4,,,,76,,,,,,,
52,4,,,,78,,,,,,,
53,5,,,,78,,,,,,,
54,6,,,,78,,,,,,,
55,6,,,,78,,,,,,,
56,6,,,,81,,,,,,,
57,7,,,,81,,,,,,,
58,7,,,,81,,,,,,,
59,7,,,,81,,,,,,,
60,8,,,,81,,,,,,,
61,8,,,,81,,,,,,,
62,9,,,,81,,,,,,,
63,10,,,,84,,,,,,,
64,11,,,,85,,,,,,,
65,12,,,,86,,,,,,,
66,15,,,,86,,,,,,,
67,14,,,,89,,,,,,,
68,15,,,,90,,,,,,,
69,33,9,,,66,,,,,,,
70,30,6,,,74,,,,,,,
71,30,6,,,75,,,,,,,
72,31,6,,,77,,,,,,,
73,31,6,,,77,,,,,,,
74,31,6,,,78,,,,,,,
75,31,6,,,80,,,,,,,
76,33,6,,,80,,,,,,,
77,33,6,,,80,,,,,,,
78,29,8,,,,86.0,,,,,,
79,29,8,,,,86.0,,,,,,
80,27,8,,,,93.0,,,,,,
81,27,8,,,,93.0,,,,,,
82,27,8,,,,93.0,,,,,,
83,28,8,,,,93.0,,,,,,
84,29,6,,,,99.0,,,,,,
85,30,6,,,,99.0,,,,,,
86,31,6,,,,100.0,,,,,,
87,32,6,,,,99.0,,,,,,
88,34,6,,,,100.0,,,,,,
89,34,6,,,,101.0,,,,,,
90,37,8,,,5,93.0,,,,,,
91,37,8,,,,99.0,,,,,,
92,37,8,,,,99.0,,,,,,
93,37,8,,,,101.0,,,,,,
94,37,8,,,,102.0,,,,,,
95,38,8,,,,102.0,,,,,,
96,37,2,,,,,116.0,,,,,
97,38,2,,,,,116.0,,,,,
98,39,2,,,,,117.0,,,,,
99,42,2,,,,,115.0,,,,,
100,41,2,,,,,125.0,,,,,
101,41,2,,,,,125.0,,,,,
102,41,2,,,,,126.0,,,,,
103,41,2,,,,,126.0,,,,,
104,42,2,,,,,128.0,,,,,
105,42,2,,,,,132.0,,,,,
106,44,2,,,,,133.0,,,,,
107,44,2,,,,,133.0,,,,,
108,45,2,,,,,133.0,,,,,
109,45,2,,,,,133.0,,,,,
110,50,2,,,,,137.0,,,,,
111,50,2,,,,,136.0,,,,,
112,48,2,,,,,139.0,,,,,
113,48,2,,,,,139.0,,,,,
114,48,2,,,,,142.0,,,,,
115,48,2,,,,,142.0,,,,,
116,48,2,,,,,142.0,,,,,
117,50,2,,,,,143.0,,,,,
118,51,2,,,,141.0,,,,,,
119,51,2,,,,141.0,,,,,,
120,47,4,,,,148.0,,,,,,
121,47,4,,,,148.0,,,,,,
122,47,4,,,,148.0,,,,,,
123,47,4,,,,149.0,,,,,,
124,47,4,,,,152.0,,,,,,
125,48,4,,,,152.0,,,,,,
126,49,4,,,,155.0,,,,,,
127,50,4,,,,155.0,,,,,,
128,48,4,,,,158.0,,,,,,
129,48,4,,,,158.0,,,,,,
130,52,4,,,,156.0,,,,,,
131,52,4,,,,156.0,,,,,,
132,51,4,,,,159.0,,,,,,
133,52,4,,,,161.0,,,,,,
134,51,4,,,,162.0,,,,,,
135,51,4,,,,163.0,,,,,,
136,52,4,,,,163.0,,,,,,
137,52,4,,,,163.0,,,,,,
138,52,4,,,,164.0,,,,,,
139,52,4,,,,164.0,,,,,,
140,55,4,,,,166.0,,,,,,
141,55,4,,,,166.0,,,,,,
142,55,4,,,,167.0,,,,,,
143,55,4,,,,167.0,,,,,,
144,56,4,,,,168.0,,,,,,
145,56,4,,,,168.0,,,,,,
146,57,4,,,,169.0,,,,,,
147,58,4,,,,169.0,,,,,,
148,56,4,,,,176.0,,,,,,
149,56,4,,,,176.0,,,,,,
150,56,4,,,,176.0,,,,,,
151,57,4,,,,175.0,,,,,,
152,57,4,,,,,176.0,,,,,
153,60,4,,,,,177.0,,,,,
154,60,4,,,,,180.0,,,,,
155,59,4,,,,,182.0,,,,,
156,58,4,,,,,185.0,,,,,
157,58,4,,,,,186.0,,,,,
158,58,4,,,,,186.0,,,,,
159,57,4,,,,,188.0,,,,,
160,59,4,,,,,190.0,,,,,
161,59,4,,,,,190.0,,,,,
162,59,4,,,,,189.0,,,,,
163,60,4,,,,,189.0,,,,,
164,61,4,,,,,189.0,,,,,
165,64,4,,,,,189.0,,,,,
166,64,4,,,,,192.0,,,,,
167,64,4,,,,190.0,,,,,,
168,65,2,,,,193.0,,,,,,
169,66,2,,,,193.0,,,,,,
170,67,2,,,,193.0,,,,,,
171,66,2,,,,,195.0,,,,,
172,63,2,,,,,203.0,,,,,
173,63,2,,,,,203.0,,,,,
174,64,2,,,,,203.0,,,,,
175,65,2,,,,,204.0,,,,,
176,67,2,,,,,207.0,,,,,
177,67,2,,,,,208.0,,,,,
178,70,2,,,,,209.0,,,,,
179,72,2,,,,,207.0,,,,,
180,72,2,,,,,215.0,,,,,
181,76,2,,,,,215.0,,,,,
182,76,2,,,,,215.0,,,,,
183,74,2,,,,,221.0,,,,,
184,73,2,,,,,223.0,,,,,
185,74,2,,,,,223.0,,,,,
186,76,2,,,,,221.0,,,,,
187,76,2,,,,,222.0,,,,,
188,76,2,,,,,,223.0,,,,
189,78,6,,,,,,217.0,,,,
190,79,6,,,,,,217.0,,,,
191,79,6,,,,,,217.0,,,,
192,80,6,,,,,,220.0,,,,
