day_counter,0,1,2,3,4,5
0,,,3,,,
1,,,3,,,
2,,2,3,,,
3,,2,4,,,
4,1,4,4,,,
5,1,4,4,,,
6,3,4,6,,,
7,5,4,5,,,
8,7,4,5,,,
9,7,8,,,,
10,5,9,,,,
11,6,8,,,,
12,7,7,,,,
13,7,6,,,,
14,8,7,,,,
15,8,7,,,,
16,5,13,,,,
17,5,13,,,,
18,5,13,,,,
19,7,13,,,,
20,6,,14,,,
21,10,,14,,,
22,13,,14,,,
23,13,,14,,,
24,12,,17,,,
25,14,16,,,,
26,15,18,,,,
27,15,20,,,,
28,18,17,3,,,
29,19,17,3,,,
30,24,13,3,,,
31,24,13,3,,,
32,24,14,3,,,
33,24,14,3,,,
34,24,14,3,,,
35,22,,24,,,
36,22,5,19,,,
37,22,5,19,,,
38,22,5,20,,,
39,22,7,18,,,
40,19,7,25,,,
41,19,7,26,,,
42,21,7,27,,,
43,21,7,27,,,
44,23,7,27,,,
45,26,28,,,,
46,28,28,,,,
47,28,30,,,,
48,24,11,,25,,
49,,,,,61,
50,1,,,,60,
51,1,,,,60,
52,1,,,,62,
53,2,,,,62,
54,3,,,,64,
55,3,,,,64,
56,3,,,,67,
57,4,,,,67,
58,4,,,,66,
59,4,,,,66,
60,5,,,,66,
61,5,,,,66,
62,6,,,,66,
63,8,,,,68,
64,28,10,38,,,
65,28,12,38,,,
66,33,9,38,,,
67,31,9,42,,,
68,32,9,43,,,
69,34,9,45,,,
70,32,9,,49,,
71,32,9,,48,,
72,31,7,,54,,
73,31,7,,54,,
74,31,7,,55,,
75,31,7,,57,,
76,35,10,4,48,,
77,35,10,4,48,,
78,33,10,,57,,
79,34,10,,55,,
80,31,11,,61,,
81,31,11,,61,,
82,31,11,,60,,
83,33,14,,55,,
84,32,16,,59,,
85,33,16,,59,,
86,34,16,,60,,
87,35,16,,60,,
88,37,16,,61,,
89,40,20,4,49,,
90,41,17,9,48,,
91,39,15,14,48,,
92,39,15,14,48,,
93,39,15,16,48,,
94,39,15,17,47,,
95,40,17,17,44,,
96,37,8,4,76,,
97,38,8,4,76,,
98,39,8,4,78,,
99,41,8,4,77,,
100,42,8,4,83,,
101,42,8,4,82,,
102,44,8,4,80,,
103,44,8,4,80,,
104,44,8,4,83,,
105,43,8,4,88,,
106,45,8,4,88,,
107,45,8,4,88,,
108,46,8,4,88,,
109,46,8,4,88,,
110,51,8,5,91,,
111,51,8,5,91,,
112,50,8,5,93,,
113,51,10,5,89,,
114,50,10,5,92,,
115,50,10,5,91,,
116,50,10,5,91,,
117,52,10,5,92,,
118,53,10,5,91,,
119,53,10,5,91,,
120,49,12,5,98,,
121,50,14,99,,,
122,50,14,99,,,
123,50,14,98,,,
124,49,10,19,86,,
125,50,10,19,86,,
126,51,10,19,89,,
127,52,12,25,79,,
128,52,12,25,79,,
129,52,12,25,79,,
130,55,12,25,79,,
131,55,12,25,79,,
132,53,12,25,82,,
133,54,12,108,,,
134,54,12,109,,,
135,54,12,110,,,
136,55,12,110,,,
137,55,12,110,,,
138,57,12,107,,,
139,57,12,107,,,
140,60,12,20,88,,
141,60,12,20,88,,
142,60,12,20,89,,
143,60,12,20,89,,
144,60,12,,110,,
145,60,12,,110,,
146,61,12,,111,,
147,61,12,,112,,
148,58,8,,123,,
149,58,8,,123,,
150,58,8,,123,,
151,60,8,,121,,
152,59,8,,122,,
153,62,8,,123,,
154,64,8,,123,,
155,62,14,,119,,
156,61,14,9,112,,
157,61,14,9,113,,
158,62,14,9,111,,
159,61,14,9,113,,
160,63,14,9,115,,
161,63,14,9,115,,
162,66,14,21,98,,
163,67,14,21,98,,
164,68,14,21,98,,
165,71,14,21,98,,
166,71,14,12,110,,
167,71,14,12,109,,
168,71,14,12,110,,
169,73,16,12,106,,
170,74,16,12,106,,
171,73,14,12,110,,
172,70,10,,134,,
173,70,10,,134,,
174,71,10,,135,,
175,72,10,,135,,
176,71,8,,143,,
177,71,8,,143,,
178,74,8,,144,,
179,76,10,,140,,
180,77,10,,148,,
181,81,10,,146,,
182,81,12,,143,,
183,83,14,,142,,
184,84,14,,141,,
185,85,14,,141,,
186,86,14,,141,,
187,86,14,,142,,
188,86,14,,143,,
189,91,19,11,122,,
190,92,19,11,122,,
191,92,21,11,119,,
192,92,21,,134,,
193,92,21,,134,,
194,94,21,,134,,
195,94,21,,133,,
196,93,21,,136,,
197,95,21,,135,,
198,96,21,,136,,
199,98,21,,135,,
200,99,21,,140,,
201,101,24,,136,,
202,103,26,,139,,
203,101,26,,142,,
204,103,26,,143,,
205,103,26,,144,,
206,102,28,,144,,
207,104,30,,141,,
208,104,28,,149,,
209,104,28,,149,,
210,107,28,,150,,
211,109,28,,148,,
212,109,28,,148,,
213,109,28,,148,,
214,109,30,,,145,
215,109,30,,,146,
216,113,34,13,,125,
217,113,34,13,,125,
218,115,36,13,25,96,
219,115,36,13,25,96,
220,109,36,13,,132,
221,109,36,13,,132,
222,85,21,,,184,
223,86,21,,,184,
224,87,21,,,186,
225,87,21,,,187,
226,88,21,,,185,
227,89,21,,,185,
228,94,21,,,184,
229,94,21,,,184,
230,93,19,,,190,
231,93,19,,,191,
232,93,19,,,190,
233,93,19,,,190,
234,93,17,,,195,
235,93,17,,,196,
236,90,17,,,202,
237,90,17,,,201,
238,107,32,,14,157,
239,107,32,,14,156,
240,106,34,,14,156,
241,106,34,,14,156,
242,106,38,,14,152,
243,106,38,,14,152,
244,106,38,,14,153,
245,107,38,,14,153,
246,108,38,,14,153,
247,108,38,,14,152,
248,108,38,,14,,157.0
249,110,38,,14,,158.0
250,113,47,,14,,146.0
251,113,47,,14,,146.0
252,115,49,,14,,142.0
253,115,49,,14,,142.0
254,117,51,,28,,127.0
255,115,52,,28,,130.0
256,115,52,,28,,130.0
257,116,52,,28,,130.0
258,123,52,,28,,123.0
259,119,45,,14,,149.0
260,119,45,,14,,152.0
261,119,45,,14,,153.0
262,118,43,,14,,159.0
263,119,43,,14,,160.0
264,119,43,,14,,160.0
265,121,45,,14,,156.0
266,121,45,,14,155,
267,122,45,11,14,145,
268,120,47,11,159,,
269,120,47,11,159,,
270,121,40,11,168,,
271,121,40,11,168,,
272,121,42,11,27,141,
273,122,42,28,27,123,
274,123,42,28,27,124,
275,123,42,28,27,124,
276,124,42,28,27,126,
277,125,42,28,27,127,
278,127,42,28,27,126,
279,127,42,17,27,140,
280,129,40,17,27,142,
281,129,40,17,27,143,
282,134,44,17,45,117,
283,136,51,19,45,104,
284,136,58,27,45,92,
285,132,45,8,45,129,
286,133,49,8,45,124,
287,133,49,8,45,126,
288,133,49,8,45,130,
289,133,49,8,45,130,
290,134,49,8,45,130,
291,134,49,8,45,130,
292,136,49,8,45,130,
293,140,64,19,45,100,
294,139,66,8,45,112,
295,140,66,8,45,110,
296,141,66,8,45,108,
297,141,56,8,45,120,
298,142,58,8,45,117,
299,143,58,8,45,118,
300,148,58,8,42,118,
301,149,58,8,42,118,
302,150,52,8,42,124,
303,151,52,8,42,124,
