day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,,,
9,8,,8,,,,,,,,,,,,,,
10,6,,,11,,,,,,,,,,,,,
11,7,,,11,,,,,,,,,,,,,
12,7,,,12,,,,,,,,,,,,,
13,7,,,12,,,,,,,,,,,,,
14,8,2,,12,,,,,,,,,,,,,
15,8,2,,12,,,,,,,,,,,,,
16,7,,,18,,,,,,,,,,,,,
17,7,,,18,,,,,,,,,,,,,
18,8,,,18,,,,,,,,,,,,,
19,10,,,18,,,,,,,,,,,,,
20,10,,,20,,,,,,,,,,,,,
21,14,,,20,,,,,,,,,,,,,
22,17,,,20,,,,,,,,,,,,,
23,17,,,20,,,,,,,,,,,,,
24,17,,,23,,,,,,,,,,,,,
25,18,,,24,,,,,,,,,,,,,
26,20,,,25,,,,,,,,,,,,,
27,21,,,26,,,,,,,,,,,,,
28,21,4,,26,,,,,,,,,,,,,
29,23,4,,24,,,,,,,,,,,,,
30,26,4,,24,,,,,,,,,,,,,
31,25,6,,24,,,,,,,,,,,,,
32,25,6,,,28,,,,,,,,,,,,
33,25,6,,,28,,,,,,,,,,,,
34,25,6,,,28,,,,,,,,,,,,
35,22,2,,,40,,,,,,,,,,,,
36,21,2,,,42,,,,,,,,,,,,
37,21,2,,,42,,,,,,,,,,,,
38,21,2,,,43,,,,,,,,,,,,
39,21,2,,,44,,,,,,,,,,,,
40,19,4,,,48,,,,,,,,,,,,
41,19,4,,,49,,,,,,,,,,,,
42,21,4,,,49,,,,,,,,,,,,
43,21,4,,,49,,,,,,,,,,,,
44,23,4,,,49,,,,,,,,,,,,
45,23,4,,,49,,,,,,,,,,,,
46,25,4,,,49,,,,,,,,,,,,
47,25,5,,,50,,,,,,,,,,,,
48,23,5,,,,55.0,,,,,,,,,,,
49,3,,,,,,83.0,,,,,,,,,,
50,4,,,,,,83.0,,,,,,,,,,
51,4,,,,,,83.0,,,,,,,,,,
52,4,,,,,,85.0,,,,,,,,,,
53,5,,,,,,85.0,,,,,,,,,,
54,6,,,,,,87.0,,,,,,,,,,
55,6,,,,,,87.0,,,,,,,,,,
56,6,,,,,,90.0,,,,,,,,,,
57,7,,,,,,90.0,,,,,,,,,,
58,7,,,,,,90.0,,,,,,,,,,
59,7,,,,,,90.0,,,,,,,,,,
60,8,,,,,,90.0,,,,,,,,,,
61,8,,,,,,90.0,,,,,,,,,,
62,9,,,,,,89.0,,,,,,,,,,
63,11,,,,,,91.0,,,,,,,,,,
64,12,,,,,,92.0,,,,,,,,,,
65,13,,,,,,93.0,,,,,,,,,,
66,16,,,,,,93.0,,,,,,,,,,
67,14,2,,,,,95.0,,,,,,,,,,
68,15,2,,,,,96.0,,,,,,,,,,
69,17,2,,,,,98.0,,,,,,,,,,
70,15,2,,,,,102.0,,,,,,,,,,
71,15,2,,,,,103.0,,,,,,,,,,
72,16,2,,,,,105.0,,,,,,,,,,
73,16,2,,,,,105.0,,,,,,,,,,
74,16,2,,,,,106.0,,,,,,,,,,
75,15,2,,,,,110.0,,,,,,,,,,
76,17,2,,,,,111.0,,,,,,,,,,
77,32,11,,,,,86.0,,,,,,,,,,
78,32,7,,,,,,94.0,,,,,,,,,
79,32,7,,,,,,94.0,,,,,,,,,
80,32,7,,,,,,99.0,,,,,,,,,
81,32,7,,,,,,99.0,,,,,,,,,
82,32,7,,,,,,99.0,,,,,,,,,
83,33,7,,,,,,99.0,,,,,,,,,
84,33,7,,,,,,104.0,,,,,,,,,
85,34,7,,,,,,104.0,,,,,,,,,
86,35,7,,,,,,105.0,,,,,,,,,
87,36,7,,,,,,105.0,,,,,,,,,
88,38,7,,,,,,106.0,,,,,,,,,
89,38,7,,,,,,107.0,,,,,,,,,
90,40,7,,,,,,108.0,,,,,,,,,
91,39,7,,,,,,109.0,,,,,,,,,
92,39,7,,,,,,109.0,,,,,,,,,
93,39,7,,,,,,111.0,,,,,,,,,
94,39,7,,,,,,112.0,,,,,,,,,
95,40,7,,,,,,112.0,,,,,,,,,
96,38,5,,,,,,123.0,,,,,,,,,
97,39,5,,,,,,123.0,,,,,,,,,
98,40,5,,,,,,125.0,,,,,,,,,
99,41,5,,,,,,126.0,,,,,,,,,
100,42,5,,,,,,134.0,,,,,,,,,
101,42,5,,,,,,134.0,,,,,,,,,
102,42,5,,,,,,134.0,,,,,,,,,
103,42,5,,,,,,134.0,,,,,,,,,
104,42,5,,,,,,137.0,,,,,,,,,
105,43,5,,,,,,140.0,,,,,,,,,
106,44,7,,,,,,140.0,,,,,,,,,
107,44,7,,,,,,140.0,,,,,,,,,
108,45,7,,,,,,140.0,,,,,,,,,
109,45,7,,,,,,140.0,,,,,,,,,
110,49,9,,,,,,143.0,,,,,,,,,
111,49,9,,,,,,142.0,,,,,,,,,
112,47,9,,,,,,145.0,,,,,,,,,
113,47,9,,,,,,145.0,,,,,,,,,
114,46,9,,,,,,149.0,,,,,,,,,
115,46,9,,,,,,149.0,,,,,,,,,
116,46,9,,,,,,149.0,,,,,,,,,
117,48,9,,,,,,150.0,,,,,,,,,
118,49,9,,,,,,149.0,,,,,,,,,
119,49,9,,,,,,149.0,,,,,,,,,
120,46,9,,,,,,157.0,,,,,,,,,
121,46,9,,,,,,157.0,,,,,,,,,
122,46,9,,,,,,157.0,,,,,,,,,
123,46,9,,,,,,158.0,,,,,,,,,
124,44,9,,,,,,163.0,,,,,,,,,
125,45,9,,,,,,163.0,,,,,,,,,
126,47,9,,,,,,165.0,,,,,,,,,
127,48,9,,,,,,165.0,,,,,,,,,
128,47,9,,,,,,167.0,,,,,,,,,
129,47,9,,,,,,167.0,,,,,,,,,
130,50,9,,,,,,167.0,,,,,,,,,
131,50,9,,,,,,167.0,,,,,,,,,
132,51,9,,,,,,168.0,,,,,,,,,
133,52,9,,,,,,170.0,,,,,,,,,
134,51,9,,,,,,172.0,,,,,,,,,
135,51,9,,,,,,173.0,,,,,,,,,
136,52,9,,,,,,173.0,,,,,,,,,
137,52,9,,,,,,173.0,,,,,,,,,
138,52,9,,,,,,174.0,,,,,,,,,
139,52,9,,,,,,174.0,,,,,,,,,
140,54,9,,,,,,176.0,,,,,,,,,
141,54,9,,,,,,176.0,,,,,,,,,
142,54,9,,,,,,177.0,,,,,,,,,
143,54,9,,,,,,177.0,,,,,,,,,
144,55,9,,,,,,178.0,,,,,,,,,
145,55,9,,,,,,178.0,,,,,,,,,
146,56,9,,,,,,179.0,,,,,,,,,
147,57,9,,,,,,180.0,,,,,,,,,
148,54,9,,,,,,,188.0,,,,,,,,
149,54,9,,,,,,,188.0,,,,,,,,
150,54,9,,,,,,,188.0,,,,,,,,
