day_counter,0,1,2,3,4,5,6,7,8
0,,,3,,,,,,
1,,,3,,,,,,
2,,2,3,,,,,,
3,,2,4,,,,,,
4,1,4,4,,,,,,
5,1,4,4,,,,,,
6,3,5,5,,,,,,
7,5,5,5,,,,,,
8,7,5,5,,,,,,
9,7,9,,,,,,,
10,5,4,8,,,,,,
11,6,4,7,,,,,,
12,6,,12,,,,,,
13,6,,11,,,,,,
14,8,,11,,,,,,
15,8,,11,,,,,,
16,7,,,15,,,,,
17,7,,,15,,,,,
18,7,,,15,,,,,
19,9,,,15,,,,,
20,8,,,18,,,,,
21,13,2,,14,,,,,
22,17,,,14,,,,,
23,16,,,14,,,,,
24,17,,,16,,,,,
25,16,,,19,,,,,
26,19,,,18,,,,,
27,19,2,,18,,,,,
28,21,,4,18,,,,,
29,22,,4,18,,,,,
30,25,,4,18,,,,,
31,26,10,10,,,,,,
32,27,,4,18,,,,,
33,27,,3,18,,,,,
34,27,,3,18,,,,,
35,23,,3,,,27.0,,,
36,23,,3,,,,26.0,,
37,23,,3,,,,26.0,,
38,23,,3,,,,27.0,,
39,23,,3,,,,28.0,,
40,20,,3,,,,35.0,,
41,20,,3,,,,36.0,,
42,22,,3,,,,37.0,,
43,22,,3,,,,37.0,,
44,24,,3,,,,37.0,,
45,25,,12,,,,26.0,,
46,27,,12,,,,26.0,,
47,27,,13,,,,27.0,,
48,22,,,,,,47.0,,
49,1,,,,,,71.0,,
50,2,,,,,,71.0,,
51,2,,,,,,71.0,,
52,2,,,,,,73.0,,
53,3,,,,,,73.0,,
54,4,,,,,,75.0,,
55,4,,,,,,75.0,,
56,4,,,,,,78.0,,
57,5,,,,,,77.0,,
58,5,,,,,,77.0,,
59,5,,,,,,77.0,,
60,6,,,,,,77.0,,
61,6,,,,,,77.0,,
62,7,,,,,,75.0,,
63,9,,,,,,77.0,,
64,10,,,,,,78.0,,
65,11,,,,,,79.0,,
66,14,,,,,,79.0,,
67,13,,,,,,82.0,,
68,13,2,,,,,81.0,,
69,33,4,,,,61.0,,,
70,30,2,,,,68.0,,,
71,30,2,,,,69.0,,,
72,31,2,,,,71.0,,,
73,31,2,,,,71.0,,,
74,31,2,,,,72.0,,,
75,33,,4,,,70.0,,,
76,35,,4,,,71.0,,,
77,35,,4,,,71.0,,,
78,33,4,10,,,64.0,,,
79,33,4,10,,,63.0,,,
80,30,4,10,,,71.0,,,
81,30,4,10,,,71.0,,,
82,30,4,10,,,70.0,,,
83,31,4,10,,,70.0,,,
84,32,4,10,,,74.0,,,
85,33,4,10,,,74.0,,,
86,34,4,10,,,75.0,,,
87,35,4,10,,,75.0,,,
88,37,4,10,,,76.0,,,
89,37,4,10,,,77.0,,,
90,39,6,10,,,74.0,,,
91,38,6,10,,,76.0,,,
92,38,6,10,,,75.0,,,
93,38,4,10,,,78.0,,,
94,38,4,10,,,79.0,,,
95,39,4,10,,,79.0,,,
96,37,,10,,,92.0,,,
97,38,,10,,,92.0,,,
98,39,,10,,,94.0,,,
99,41,,10,5,,88.0,,,
100,41,,10,5,,97.0,,,
101,41,2,10,5,,94.0,,,
102,41,2,10,5,,94.0,,,
103,42,5,10,5,,89.0,,,
104,43,5,10,5,,91.0,,,
105,43,5,10,5,,95.0,,,
106,45,5,11,5,,94.0,,,
107,45,5,11,5,,94.0,,,
108,46,5,11,5,,94.0,,,
109,46,5,11,5,,94.0,,,
110,50,7,12,5,,96.0,,,
111,51,7,12,5,,94.0,,,
112,50,7,12,5,,96.0,,,
113,50,7,12,5,,96.0,,,
114,51,7,12,5,,97.0,,,
115,51,7,12,5,,97.0,,,
116,51,7,12,5,,96.0,,,
117,52,9,12,5,,96.0,,,
118,53,9,12,5,,96.0,,,
119,53,9,12,5,,95.0,,,
120,49,11,12,5,,102.0,,,
121,49,11,12,5,,102.0,,,
122,49,11,12,5,,102.0,,,
123,51,13,12,5,,96.0,,,
124,48,11,12,5,,104.0,,,
125,49,11,12,5,,103.0,,,
126,50,11,12,5,,106.0,,,
127,51,11,12,5,,106.0,,,
128,50,11,,5,,119.0,,,
129,50,11,,5,,119.0,,,
130,53,11,,5,,119.0,,,
131,53,11,,5,,119.0,,,
132,53,9,,5,,121.0,,,
133,54,9,,5,,123.0,,,
134,55,11,,5,,120.0,,,
135,55,11,,5,,121.0,,,
136,56,11,,5,,121.0,,,
137,58,11,12,5,,106.0,,,
138,58,11,12,5,,107.0,,,
139,58,11,12,5,,106.0,,,
140,59,11,,,,127.0,,,
141,59,11,,,,127.0,,,
142,59,11,,,,128.0,,,
143,59,11,,,,128.0,,,
144,58,12,,,,129.0,,,
145,58,12,,,,128.0,,,
146,59,12,,,,129.0,,,
147,60,12,,,,130.0,,,
148,59,12,,,,135.0,,,
149,59,12,,,,134.0,,,
150,59,12,,,,134.0,,,
151,60,12,,,,134.0,,,
152,60,14,,,,133.0,,,
153,63,14,,,,134.0,,,
154,63,14,,,,137.0,,,
155,64,14,,,,136.0,,,
156,63,14,,,,139.0,,,
157,63,14,,,,140.0,,,
158,64,14,,,,138.0,,,
159,62,14,,,,141.0,,,
160,64,14,,,,143.0,,,
161,64,14,,,,143.0,,,
162,64,14,,,,143.0,,,
163,66,14,,,,141.0,,,
164,68,16,12,,,125.0,,,
165,71,16,12,,,125.0,,,
166,70,16,12,,,129.0,,,
167,70,16,12,,,129.0,,,
168,70,16,14,,,129.0,,,
169,71,16,14,,,129.0,,,
170,72,16,14,,,129.0,,,
171,71,16,14,,,131.0,,,
172,70,14,14,,,139.0,,,
173,70,14,14,,,139.0,,,
174,71,14,14,,,140.0,,,
175,72,14,14,,,140.0,,,
176,73,14,,,,158.0,,,
177,73,14,,,,159.0,,,
178,75,16,,,,159.0,,,
179,76,16,,,,157.0,,,
180,78,12,,,,168.0,,,
181,82,12,,,,167.0,,,
182,83,12,,,,165.0,,,
183,83,10,,,,171.0,,,
184,83,10,,,,172.0,,,
185,84,10,,,,172.0,,,
186,85,10,,,,172.0,,,
187,87,10,,,,170.0,,,
188,87,10,,,,171.0,,,
189,90,10,,,,168.0,,,
190,91,10,,,,168.0,,,
191,91,10,,,,168.0,,,
192,92,7,,,,173.0,,,
193,92,7,,,,173.0,,,
194,94,7,,,,173.0,,,
195,94,7,,,,172.0,,,
196,92,7,,,,176.0,,,
197,94,7,,,,176.0,,,
198,94,7,,,,179.0,,,
199,93,7,,,,182.0,,,
200,96,7,,,,,185.0,,
201,98,7,,,,,185.0,,
202,99,11,,,,,187.0,,
203,97,11,,,,,190.0,,
204,98,13,,,,,189.0,,
205,97,15,,,,,188.0,,
206,96,17,,,,,188.0,,
207,98,17,,,,,188.0,,
208,98,17,,,,,194.0,,
209,98,17,,,,,194.0,,
210,101,17,,,,,195.0,,
211,102,17,,,,,195.0,,
212,102,17,,,,,195.0,,
213,102,17,,,,,195.0,,
214,102,17,,,,,196.0,,
215,102,17,,,,,197.0,,
216,105,17,,,,,195.0,,
217,105,17,,,,,195.0,,
218,108,19,,,,,191.0,,
219,108,19,,,,,191.0,,
