day_counter,0,1,2,3,4,5
0,,,3,,,
1,,,3,,,
2,,2,3,,,
3,,2,4,,,
4,2,2,5,,,
5,2,2,5,,,
6,1,6,5,,,
7,3,6,5,,,
8,5,6,5,,,
9,6,4,4,,,
10,4,2,,8,,
11,4,2,,7,,
12,3,4,,7,,
13,3,4,,7,,
14,5,4,,8,,
15,6,2,,8,,
16,6,,,13,,
17,6,,,12,,
18,7,,,12,,
19,8,,,12,,
20,7,2,12,,,
21,11,2,12,,,
22,14,2,12,,,
23,13,2,12,,,
24,13,2,14,,,
25,11,,19,,,
26,13,,20,,,
27,16,,18,,,
28,17,3,17,,,
29,18,3,17,,,
30,21,3,17,,,
31,20,5,17,,,
32,21,7,17,,,
33,20,7,17,,,
34,20,7,17,,,
35,19,7,,,23,
36,18,5,,,26,
37,18,5,,,26,
38,18,5,,,27,
39,18,5,,,27,
40,17,4,,,33,
41,16,4,,,35,
42,18,4,,,36,
43,18,4,,,36,
44,20,4,,,36,
45,19,4,,,35,
46,22,4,,,33,
47,21,6,,,34,
48,19,2,,,42,
49,2,,,,,64.0
50,3,,,,,62.0
51,3,,,,,61.0
52,3,,,,,63.0
53,4,,,,,63.0
54,5,,,,,64.0
55,5,,,,,64.0
56,5,,,,,67.0
57,6,,,,,67.0
58,6,,,,,67.0
59,6,,,,,67.0
60,7,,,,,67.0
61,7,,,,,67.0
62,8,,,,,66.0
63,9,,,,,68.0
64,10,,,,,69.0
65,26,8,10,,36,
66,29,8,14,,31,
67,28,8,11,4,32,
68,29,8,11,4,33,
69,31,8,11,4,35,
70,30,6,7,,48,
71,30,6,7,,49,
72,31,6,7,,51,
73,31,6,7,,50,
74,32,12,13,37,,
75,31,12,13,41,,
76,33,12,13,42,,
77,33,12,13,40,,
78,33,9,,,60,
79,34,7,,,60,
80,32,7,,,66,
81,32,7,,,64,
82,32,7,,,64,
83,33,7,,,64,
84,31,9,,,,69.0
85,32,9,,,,69.0
86,34,9,,,,68.0
87,35,9,,,,68.0
88,37,9,,,,68.0
89,37,9,,,,69.0
90,38,7,4,,,69.0
91,37,7,,4,,70.0
92,37,7,,4,,70.0
93,37,7,,4,,72.0
94,38,7,,4,,71.0
95,39,7,,4,,71.0
96,35,4,,,,89.0
97,36,4,,,,89.0
98,37,4,,,,91.0
99,38,4,,,,92.0
100,36,4,,,,102.0
101,36,4,,,,101.0
102,38,4,,,99,
103,38,4,,,99,
104,37,4,,,103,
105,38,4,,,106,
106,40,4,,,107,
107,40,6,,,104,
108,43,6,,,101,
109,43,6,,,100,
110,47,8,,,103,
111,47,8,,,103,
112,47,8,,,104,
113,47,8,,103,,
114,46,8,,107,,
115,46,8,,107,,
116,46,8,,107,,
117,47,10,,107,,
118,48,10,,107,,
119,48,10,,107,,
120,46,12,,,111,
121,46,12,,,111,
122,46,12,,,110,
123,45,14,,,109,
124,44,14,,,113,
125,45,14,,,113,
126,47,14,,,115,
127,48,14,,,115,
128,48,12,,,116,
129,48,12,,,116,
130,51,12,,,115,
131,51,12,,,115,
132,51,12,,,,116.0
133,52,12,,,,118.0
134,52,10,,,,121.0
135,52,10,,,,122.0
136,53,10,,,,122.0
137,53,12,,,,117.0
138,53,12,,,,118.0
139,53,12,7,,,110.0
140,54,12,7,,,114.0
141,54,12,7,,,114.0
142,54,12,7,,,115.0
143,54,12,7,,,115.0
144,54,10,7,,,118.0
145,55,10,7,,,116.0
146,56,10,7,,,117.0
147,56,8,7,,,121.0
148,52,8,7,,,128.0
149,52,8,7,,,128.0
150,52,8,7,,,128.0
151,53,8,7,,,128.0
152,53,8,7,,,130.0
153,56,8,7,,,130.0
154,57,8,7,,,132.0
155,56,8,7,,,134.0
156,56,8,7,,,136.0
157,56,8,7,,,137.0
158,56,8,7,,,137.0
159,55,6,7,,,141.0
160,57,8,7,,,140.0
161,57,8,7,,,140.0
162,57,8,7,,,140.0
163,58,10,7,,,137.0
164,59,10,7,,,136.0
165,62,10,7,,,136.0
166,61,10,7,,,140.0
167,61,10,7,,,139.0
168,61,10,7,,,141.0
169,62,10,7,,,141.0
170,63,10,7,,,141.0
171,61,8,7,,,146.0
172,57,6,7,,,157.0
173,57,6,7,,,156.0
174,57,8,7,,,156.0
175,58,8,7,,,157.0
176,59,8,7,,,161.0
177,59,8,7,,,162.0
178,62,8,7,,,163.0
179,63,8,7,,,161.0
180,65,6,7,,,170.0
181,69,6,7,,,170.0
182,69,6,7,,,169.0
183,68,8,7,,,171.0
184,67,6,7,,,175.0
185,68,6,7,,,175.0
186,69,6,7,,,175.0
187,69,6,7,,,175.0
188,67,6,7,,,178.0
189,70,10,7,,,171.0
190,71,10,7,,,171.0
191,71,10,7,,,171.0
192,72,10,7,,,173.0
193,73,10,7,,,171.0
194,75,10,7,,,171.0
195,76,12,7,,,167.0
196,74,12,7,,,171.0
197,76,12,7,,,171.0
198,79,12,7,,,170.0
199,78,12,7,,,173.0
200,84,12,7,,,172.0
201,86,12,7,,,172.0
202,88,14,7,,,175.0
203,87,14,7,,,176.0
204,89,14,7,,,177.0
205,89,14,7,,,178.0
206,89,14,7,,,179.0
207,91,14,7,,,177.0
208,91,10,7,,,187.0
209,91,10,7,,,187.0
210,94,10,7,,,189.0
211,96,10,7,,,187.0
212,96,10,7,,,187.0
213,96,10,7,,,187.0
214,96,10,7,,,188.0
215,96,12,7,,,185.0
216,96,14,7,,,185.0
217,96,14,7,,,185.0
218,98,14,7,,,185.0
219,100,14,7,,,182.0
220,97,14,,,,197.0
221,97,14,,,,197.0
222,81,6,,,,222.0
223,82,6,,,,222.0
224,83,4,,,,225.0
225,82,8,,,,222.0
226,82,8,,,,222.0
227,83,8,,,,222.0
228,86,8,,,,224.0
229,87,8,,,,222.0
230,83,8,,,,230.0
231,82,8,,,,231.0
232,82,8,,,,231.0
233,83,8,,,,229.0
234,82,8,,,,232.0
235,82,8,,,,233.0
236,79,8,,,,239.0
237,79,8,,,,239.0
238,79,8,,,,242.0
239,79,8,,,,241.0
240,93,17,,,218,
241,93,17,,,218,
242,93,17,,,219,
243,97,21,,,210,
244,98,23,,,207,
245,99,23,,,207,
246,100,23,,,207,
247,100,23,,,207,
248,102,23,,,210,
249,104,23,,,211,
250,105,23,,,212,
251,107,25,,,205,
252,108,25,,,205,
253,108,25,,,205,
254,110,27,,,205,
255,108,27,,,208,
256,108,27,,,208,
257,109,27,,,208,
258,110,27,3,,203,
259,110,25,3,,,206.0
260,110,25,3,,,209.0
261,110,25,3,,,210.0
262,108,25,3,,,216.0
263,110,29,3,,,210.0
264,110,29,3,,,210.0
265,111,29,3,,,210.0
266,111,29,3,,,210.0
267,112,31,3,,,209.0
268,111,29,3,,,214.0
269,113,29,3,,,210.0
270,114,29,3,,,212.0
271,114,29,3,,,212.0
272,115,33,3,,,208.0
273,116,33,3,,,208.0
274,117,33,3,,,209.0
275,117,33,3,,,209.0
276,118,33,3,,,211.0
277,119,35,3,,,209.0
278,121,35,3,,,209.0
279,120,35,3,,,212.0
280,121,35,3,,,213.0
