date,bug_id,degree,depth,severity,votes,comment_count
7,5,1,1,3,2,2
9,0,2,2,3,0,5
10,4,0,0,3,0,3
11,12,1,1,3,0,6
13,1,0,0,3,0,9
14,11,0,0,4,0,9
15,6,0,0,5,0,15
17,22,1,1,4,0,2
18,21,0,0,5,1,6
19,20,0,0,4,0,7
20,17,2,1,3,1,54
23,29,0,0,4,0,11
24,30,3,1,3,0,7
30,38,0,0,5,0,9
32,48,0,0,4,0,4
35,56,1,1,5,0,14
39,60,3,1,3,0,5
41,39,1,1,4,1,3
45,72,2,1,3,0,9
47,43,0,0,5,0,4
48,65,4,1,3,0,13
49,73,2,1,3,0,4
50,71,2,2,3,0,8
54,63,4,1,3,0,59
60,67,0,0,4,0,4
64,85,2,2,3,0,28
66,98,4,1,3,0,10
67,83,5,2,3,0,5
68,91,1,3,4,0,4
69,113,1,2,5,0,6
70,86,1,2,4,0,3
72,121,0,0,5,0,10
73,87,2,1,3,0,4
76,125,4,1,3,0,23
80,114,3,2,3,0,4
82,104,0,0,4,2,12
85,90,0,0,4,0,7
91,140,13,3,3,0,110
97,148,4,3,3,0,27
99,141,0,0,3,1,11
103,127,0,0,5,0,3
106,170,2,3,3,0,54
110,171,14,2,3,0,54
112,168,5,2,3,0,34
115,138,4,2,3,0,64
120,180,6,2,3,4,18
124,208,4,3,6,0,13
133,223,5,3,5,0,66
137,224,0,0,3,0,28
142,167,6,1,4,0,7
145,122,6,2,3,0,13
146,160,4,1,3,0,12
152,231,2,2,5,0,17
153,251,1,2,3,0,24
157,218,6,1,3,0,9
161,259,0,0,3,0,8
163,260,7,4,3,0,33
165,256,4,2,3,0,2
168,262,3,4,3,3,17
173,271,1,2,5,0,4
177,96,0,0,5,0,6
178,183,0,0,3,0,3
179,296,10,3,3,0,13
183,306,8,1,3,0,6
184,275,2,1,3,0,1
188,292,4,1,3,0,3
189,185,4,4,3,0,11
192,175,1,1,3,0,6
193,156,0,0,3,0,5
