day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,3,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,,,,,
11,6,,,12,,,,,,,,,,,,,,,
12,6,,,13,,,,,,,,,,,,,,,
13,6,,,13,,,,,,,,,,,,,,,
14,7,2,,13,,,,,,,,,,,,,,,
15,7,2,,13,,,,,,,,,,,,,,,
16,7,,,18,,,,,,,,,,,,,,,
17,7,,,18,,,,,,,,,,,,,,,
18,8,,,18,,,,,,,,,,,,,,,
19,10,,,18,,,,,,,,,,,,,,,
20,10,,,20,,,,,,,,,,,,,,,
21,14,,,20,,,,,,,,,,,,,,,
22,17,,,20,,,,,,,,,,,,,,,
23,17,,,20,,,,,,,,,,,,,,,
24,17,,,23,,,,,,,,,,,,,,,
25,18,,,24,,,,,,,,,,,,,,,
26,20,,,25,,,,,,,,,,,,,,,
27,21,,,26,,,,,,,,,,,,,,,
28,21,4,,26,,,,,,,,,,,,,,,
29,23,4,24,,,,,,,,,,,,,,,,
30,26,4,24,,,,,,,,,,,,,,,,
31,25,6,24,,,,,,,,,,,,,,,,
32,25,6,,28,,,,,,,,,,,,,,,
33,25,6,,28,,,,,,,,,,,,,,,
34,25,6,,28,,,,,,,,,,,,,,,
35,23,2,,39,,,,,,,,,,,,,,,
36,23,2,,,40,,,,,,,,,,,,,,
37,23,2,,,40,,,,,,,,,,,,,,
38,23,2,,,41,,,,,,,,,,,,,,
39,23,2,,,42,,,,,,,,,,,,,,
40,21,4,,,46,,,,,,,,,,,,,,
41,21,4,,,47,,,,,,,,,,,,,,
42,22,4,,,48,,,,,,,,,,,,,,
43,22,4,,,48,,,,,,,,,,,,,,
44,24,4,,,48,,,,,,,,,,,,,,
45,24,4,,,48,,,,,,,,,,,,,,
46,26,4,,,48,,,,,,,,,,,,,,
47,26,5,,,49,,,,,,,,,,,,,,
48,23,5,,,55,,,,,,,,,,,,,,
49,3,,,,,83.0,,,,,,,,,,,,,
50,4,,,,,83.0,,,,,,,,,,,,,
51,4,,,,,83.0,,,,,,,,,,,,,
52,4,,,,,85.0,,,,,,,,,,,,,
53,5,,,,,85.0,,,,,,,,,,,,,
54,6,,,,,87.0,,,,,,,,,,,,,
55,6,,,,,87.0,,,,,,,,,,,,,
56,6,,,,,90.0,,,,,,,,,,,,,
57,7,,,,,90.0,,,,,,,,,,,,,
58,7,,,,,90.0,,,,,,,,,,,,,
59,7,,,,,90.0,,,,,,,,,,,,,
60,8,,,,,90.0,,,,,,,,,,,,,
61,8,,,,,90.0,,,,,,,,,,,,,
62,9,,,,,89.0,,,,,,,,,,,,,
63,11,,,,,91.0,,,,,,,,,,,,,
64,12,,,,,92.0,,,,,,,,,,,,,
65,13,,,,,93.0,,,,,,,,,,,,,
66,16,,,,,93.0,,,,,,,,,,,,,
67,15,2,,,,94.0,,,,,,,,,,,,,
68,16,2,,,,,95.0,,,,,,,,,,,,
69,17,5,,,,,95.0,,,,,,,,,,,,
70,15,5,,,,,99.0,,,,,,,,,,,,
71,15,5,,,,,100.0,,,,,,,,,,,,
72,16,5,,,,,102.0,,,,,,,,,,,,
73,16,5,,,,,102.0,,,,,,,,,,,,
74,16,5,,,,,103.0,,,,,,,,,,,,
75,15,5,,,,,107.0,,,,,,,,,,,,
76,17,5,,,,,108.0,,,,,,,,,,,,
77,32,14,,,,,83.0,,,,,,,,,,,,
78,32,10,,,,,,91.0,,,,,,,,,,,
79,32,10,,,,,,91.0,,,,,,,,,,,
80,32,10,,,,,,96.0,,,,,,,,,,,
81,32,10,,,,,,96.0,,,,,,,,,,,
82,32,10,,,,,,96.0,,,,,,,,,,,
83,33,10,,,,,,96.0,,,,,,,,,,,
84,32,10,,,,,,102.0,,,,,,,,,,,
85,33,10,,,,,,102.0,,,,,,,,,,,
86,34,10,,,,,,103.0,,,,,,,,,,,
87,35,10,,,,,,103.0,,,,,,,,,,,
88,37,10,,,,,,104.0,,,,,,,,,,,
89,37,10,,,,,,105.0,,,,,,,,,,,
90,39,10,,,,,,106.0,,,,,,,,,,,
91,37,10,,,,,,109.0,,,,,,,,,,,
92,37,10,,,,,,109.0,,,,,,,,,,,
93,38,10,,,,,,109.0,,,,,,,,,,,
94,38,10,,,,,,110.0,,,,,,,,,,,
95,39,10,,,,,,110.0,,,,,,,,,,,
96,36,8,,,,,,,122.0,,,,,,,,,,
97,37,8,,,,,,,122.0,,,,,,,,,,
98,38,8,,,,,,,124.0,,,,,,,,,,
99,39,8,,,,,,,125.0,,,,,,,,,,
100,40,8,,,,,,,133.0,,,,,,,,,,
101,40,8,,,,,,,133.0,,,,,,,,,,
102,40,8,,,,,,,134.0,,,,,,,,,,
103,40,8,,,,,,,134.0,,,,,,,,,,
104,40,8,,,,,,,136.0,,,,,,,,,,
105,41,8,,,,,,,139.0,,,,,,,,,,
106,42,10,,,,,,,139.0,,,,,,,,,,
107,42,10,,,,,,,139.0,,,,,,,,,,
108,43,10,,,,,,,139.0,,,,,,,,,,
109,43,10,,,,,,,139.0,,,,,,,,,,
110,47,13,,,,,,,141.0,,,,,,,,,,
111,47,13,,,,,,,141.0,,,,,,,,,,
112,45,13,,,,,,,144.0,,,,,,,,,,
113,45,13,,,,,,,144.0,,,,,,,,,,
114,44,13,,,,,,,148.0,,,,,,,,,,
115,44,13,,,,,,,148.0,,,,,,,,,,
116,44,13,,,,,,,148.0,,,,,,,,,,
117,46,13,,,,,,,148.0,,,,,,,,,,
118,47,13,,,,,,,148.0,,,,,,,,,,
119,47,13,,,,,,,148.0,,,,,,,,,,
120,46,11,,,,,,,156.0,,,,,,,,,,
121,46,11,,,,,,,156.0,,,,,,,,,,
122,46,11,,,,,,,156.0,,,,,,,,,,
123,46,11,,,,,,,157.0,,,,,,,,,,
124,46,11,,,,,,,160.0,,,,,,,,,,
125,47,11,,,,,,,160.0,,,,,,,,,,
126,48,11,,,,,,,163.0,,,,,,,,,,
127,49,11,,,,,,,163.0,,,,,,,,,,
128,48,11,,,,,,,165.0,,,,,,,,,,
129,48,11,,,,,,,165.0,,,,,,,,,,
130,51,11,,,,,,,165.0,,,,,,,,,,
131,51,11,,,,,,,165.0,,,,,,,,,,
132,50,11,,,,,,,168.0,,,,,,,,,,
133,51,11,,,,,,,170.0,,,,,,,,,,
134,50,11,,,,,,,172.0,,,,,,,,,,
135,50,11,,,,,,,173.0,,,,,,,,,,
136,51,11,,,,,,,173.0,,,,,,,,,,
137,51,11,,,,,,,173.0,,,,,,,,,,
138,51,11,,,,,,,173.0,,,,,,,,,,
