day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,3,,,,,,,,,,,
1,,,3,,,,,,,,,,,
2,,,5,,,,,,,,,,,
3,,,6,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,
10,5,,12,,,,,,,,,,,
11,6,4,6,,,,,,,,,,,
12,6,,11,,,,,,,,,,,
13,6,,11,,,,,,,,,,,
14,7,2,11,,,,,,,,,,,
15,7,2,11,,,,,,,,,,,
16,6,,,17,,,,,,,,,,
17,6,,,17,,,,,,,,,,
18,7,,,17,,,,,,,,,,
19,9,,,17,,,,,,,,,,
20,9,,,19,,,,,,,,,,
21,14,3,,14,,,,,,,,,,
22,17,2,,14,,,,,,,,,,
23,17,2,,14,,,,,,,,,,
24,16,4,,16,,,,,,,,,,
25,15,4,,19,,,,,,,,,,
26,18,4,,18,,,,,,,,,,
27,19,2,3,18,,,,,,,,,,
28,20,4,,22,,,,,,,,,,
29,21,4,,22,,,,,,,,,,
30,24,4,,22,,,,,,,,,,
31,23,6,,22,,,,,,,,,,
32,23,4,,28,,,,,,,,,,
33,23,4,,28,,,,,,,,,,
34,26,4,,24,,,,,,,,,,
35,22,4,,,33,,,,,,,,,
36,22,4,,,34,,,,,,,,,
37,22,4,,,34,,,,,,,,,
38,23,4,,,33,,,,,,,,,
39,23,4,,,34,,,,,,,,,
40,20,4,,,41,,,,,,,,,
41,19,4,,,43,,,,,,,,,
42,21,4,,,44,,,,,,,,,
43,21,4,,,44,,,,,,,,,
44,23,4,,,44,,,,,,,,,
45,23,4,,,43,,,,,,,,,
46,25,6,,,40,,,,,,,,,
47,25,6,,,42,,,,,,,,,
48,22,4,,,50,,,,,,,,,
49,4,,,,,75.0,,,,,,,,
50,5,,,,,75.0,,,,,,,,
51,5,,,,,75.0,,,,,,,,
52,5,,,,,77.0,,,,,,,,
53,6,,,,,77.0,,,,,,,,
54,7,,,,,78.0,,,,,,,,
55,7,,,,,77.0,,,,,,,,
56,7,,,,,80.0,,,,,,,,
57,8,,,,,80.0,,,,,,,,
58,8,,,,,80.0,,,,,,,,
59,8,,,,,80.0,,,,,,,,
60,9,,,,,80.0,,,,,,,,
61,9,,,,,80.0,,,,,,,,
62,10,,,,,80.0,,,,,,,,
63,11,,,,,83.0,,,,,,,,
64,12,,,,,84.0,,,,,,,,
65,13,,,,,85.0,,,,,,,,
66,16,,,,,85.0,,,,,,,,
67,15,,,,,88.0,,,,,,,,
68,16,,,,,89.0,,,,,,,,
69,34,13,,,,60.0,,,,,,,,
70,33,10,,,,66.0,,,,,,,,
71,33,10,,,,67.0,,,,,,,,
72,34,10,,,,69.0,,,,,,,,
73,34,10,,,,69.0,,,,,,,,
74,35,10,,,,68.0,,,,,,,,
75,34,10,,,,72.0,,,,,,,,
76,35,12,,,,71.0,,,,,,,,
77,35,12,,,,71.0,,,,,,,,
78,31,8,,,,83.0,,,,,,,,
79,31,8,,,,82.0,,,,,,,,
80,27,8,,,,,90.0,,,,,,,
81,27,8,,,,,90.0,,,,,,,
82,27,8,,,,,90.0,,,,,,,
83,28,8,,,,,90.0,,,,,,,
84,28,8,,,,,95.0,,,,,,,
85,29,8,,,,,95.0,,,,,,,
86,30,8,,,,,96.0,,,,,,,
87,31,8,,,,,96.0,,,,,,,
88,33,8,,,,,97.0,,,,,,,
89,33,8,,,,,,98.0,,,,,,
90,38,12,,,,,,91.0,,,,,,
91,38,10,,,,,,94.0,,,,,,
92,38,10,,,,,,94.0,,,,,,
93,39,10,,,,,,95.0,,,,,,
94,39,10,,,,,,96.0,,,,,,
95,40,10,,,,,,96.0,,,,,,
96,36,6,,,,,,111.0,,,,,,
97,37,6,,,,,,111.0,,,,,,
98,38,6,,,,,,113.0,,,,,,
99,40,6,5,,,,,107.0,,,,,,
100,39,6,5,,,,,117.0,,,,,,
101,39,6,5,,,,,117.0,,,,,,
102,39,6,5,,,,,118.0,,,,,,
103,39,6,5,,,,,118.0,,,,,,
104,40,6,,,,,124.0,,,,,,,
105,41,4,,,,,129.0,,,,,,,
106,43,4,,,,,129.0,,,,,,,
107,43,4,,,,,129.0,,,,,,,
108,44,4,,,,,129.0,,,,,,,
109,44,4,,,,,129.0,,,,,,,
110,48,6,,,,,132.0,,,,,,,
111,48,6,,,,,132.0,,,,,,,
112,46,6,,,,,135.0,,,,,,,
113,46,6,,,,,135.0,,,,,,,
114,46,6,,,,,138.0,,,,,,,
115,46,6,,,,,138.0,,,,,,,
116,46,6,,,,,138.0,,,,,,,
117,49,6,,,,,137.0,,,,,,,
118,50,6,,,,,137.0,,,,,,,
119,50,6,,,,,136.0,,,,,,,
120,49,4,,,,,144.0,,,,,,,
121,49,4,,,,,144.0,,,,,,,
122,49,4,,,,,144.0,,,,,,,
123,49,4,,,,,145.0,,,,,,,
124,48,4,,,,,149.0,,,,,,,
125,49,4,,,,,149.0,,,,,,,
126,51,4,,,,,151.0,,,,,,,
127,52,4,,,,,151.0,,,,,,,
128,50,4,,,,,154.0,,,,,,,
129,50,4,,,,,154.0,,,,,,,
130,53,4,,,,,154.0,,,,,,,
131,53,4,,,,,153.0,,,,,,,
132,52,4,,,,,156.0,,,,,,,
133,53,4,,,,,158.0,,,,,,,
134,52,4,,,,,160.0,,,,,,,
135,52,4,,,,,161.0,,,,,,,
136,53,4,,,,,161.0,,,,,,,
137,53,4,,,,,161.0,,,,,,,
138,54,4,,,,,160.0,,,,,,,
139,54,4,,,,,160.0,,,,,,,
140,55,4,,,,,164.0,,,,,,,
141,55,4,,,,,164.0,,,,,,,
142,55,4,,,,,165.0,,,,,,,
143,55,4,,,,,165.0,,,,,,,
144,55,4,,,,,166.0,,,,,,,
145,55,4,,,,,166.0,,,,,,,
146,56,4,,,,,167.0,,,,,,,
147,57,4,,,,,167.0,,,,,,,
148,51,4,,,,,,178.0,,,,,,
149,51,4,,,,,,178.0,,,,,,
150,51,4,,,,,,178.0,,,,,,
151,52,4,,,,,,178.0,,,,,,
152,52,4,,,,,,180.0,,,,,,
153,55,4,,,,,,181.0,,,,,,
154,56,4,,,,,,183.0,,,,,,
155,55,4,,,,,,185.0,,,,,,
156,54,4,,,,,,187.0,,,,,,
157,54,4,,,,,,188.0,,,,,,
158,54,4,,,,,,188.0,,,,,,
159,53,4,,,,,,190.0,,,,,,
160,55,4,,,,,,192.0,,,,,,
161,55,4,,,,,,192.0,,,,,,
162,55,4,,,,,,192.0,,,,,,
163,56,4,,,,,,192.0,,,,,,
164,57,4,,,,,,192.0,,,,,,
165,60,4,,,,,,192.0,,,,,,
166,60,4,,,,,,194.0,,,,,,
167,61,4,,,,,,192.0,,,,,,
168,61,4,,,,,,194.0,,,,,,
169,62,4,,,,,,194.0,,,,,,
170,63,4,,,,,,194.0,,,,,,
171,63,4,,,,,,195.0,,,,,,
