day_counter,0,1,2,3,4,5,6,7,8,9
0,,,3,,,,,,,
1,,,3,,,,,,,
2,,2,3,,,,,,,
3,,2,4,,,,,,,
4,1,4,4,,,,,,,
5,1,4,4,,,,,,,
6,3,5,5,,,,,,,
7,5,5,4,,,,,,,
8,7,5,4,,,,,,,
9,7,8,,,,,,,,
10,5,2,9,,,,,,,
11,7,,9,,,,,,,
12,7,,10,,,,,,,
13,7,,9,,,,,,,
14,8,2,8,,,,,,,
15,8,2,8,,,,,,,
16,5,,16,,,,,,,
17,5,,16,,,,,,,
18,5,,15,,,,,,,
19,7,,15,,,,,,,
20,6,,18,,,,,,,
21,12,,15,,,,,,,
22,15,,15,,,,,,,
23,15,,15,,,,,,,
24,16,,17,,,,,,,
25,15,,20,,,,,,,
26,17,,21,,,,,,,
27,20,,19,,,,,,,
28,21,2,,20,,,,,,
29,22,2,,20,,,,,,
30,25,2,,20,,,,,,
31,28,4,,15,,,,,,
32,27,4,,20,,,,,,
33,29,,,20,,,,,,
34,29,,,20,,,,,,
35,25,,,,29,,,,,
36,25,,,,,29.0,,,,
37,25,,,,,29.0,,,,
38,25,,,,,30.0,,,,
39,25,,,,,,31.0,,,
40,21,2,,,,,36.0,,,
41,20,2,,,,,38.0,,,
42,22,2,,,,,39.0,,,
43,22,2,,,,,39.0,,,
44,24,2,,,,,39.0,,,
45,24,2,,,,,37.0,,,
46,27,6,,,,,30.0,,,
47,26,8,,,,,31.0,,,
48,21,8,,,,,39.0,,,
49,2,,,,,,,68.0,,
50,3,,,,,,,68.0,,
51,3,,,,,,,68.0,,
52,3,,,,,,,70.0,,
53,4,,,,,,,69.0,,
54,5,,,,,,,71.0,,
55,5,,,,,,,71.0,,
56,4,,,,,,,75.0,,
57,5,,,,,,,75.0,,
58,5,,,,,,,75.0,,
59,5,,,,,,,75.0,,
60,6,,,,,,,75.0,,
61,6,,,,,,,75.0,,
62,7,,,,,,,75.0,,
63,10,,,,,,,75.0,,
64,26,10,6,,,,44.0,,,
65,27,10,6,,,,45.0,,,
66,30,10,6,,,44.0,,,,
67,29,10,,,,52.0,,,,
68,30,10,,,,53.0,,,,
69,33,12,,,,50.0,,,,
70,28,12,,,,57.0,,,,
71,28,12,,,,58.0,,,,
72,29,12,,,,60.0,,,,
73,32,12,,,,56.0,,,,
74,32,12,,,,57.0,,,,
75,32,12,,,,60.0,,,,
76,34,12,,,,61.0,,,,
77,34,12,,,,60.0,,,,
78,32,12,,,,65.0,,,,
79,32,12,,,,65.0,,,,
80,32,12,,,,70.0,,,,
81,32,12,,,,69.0,,,,
82,32,12,,,,68.0,,,,
83,33,12,,,,68.0,,,,
84,31,10,,,,77.0,,,,
85,32,10,,,,77.0,,,,
86,33,10,,,,78.0,,,,
87,34,10,,,,78.0,,,,
88,36,10,,,,79.0,,,,
89,37,10,,,,78.0,,,,
90,39,10,,,,78.0,,,,
91,38,10,,,,79.0,,,,
92,38,10,,,,79.0,,,,
93,38,10,,,,81.0,,,,
94,38,10,,,,82.0,,,,
95,39,10,,,,82.0,,,,
96,38,2,,,,,98.0,,,
97,39,2,,,,,98.0,,,
98,40,2,,,,,100.0,,,
99,43,4,,,,,96.0,,,
100,45,4,,,,,102.0,,,
101,45,4,,,,,102.0,,,
102,45,4,,,,,103.0,,,
103,45,4,,,,,102.0,,,
104,46,4,,,,,104.0,,,
105,47,4,,,,,107.0,,,
106,50,6,,,,,103.0,,,
107,50,6,,,,,103.0,,,
108,51,6,,,,,103.0,,,
109,51,6,,,,,103.0,,,
110,55,6,3,,,,105.0,,,
111,55,6,3,,,,105.0,,,
112,54,4,3,,,,109.0,,,
113,55,4,3,,,,107.0,,,
114,55,4,3,,,,110.0,,,
115,55,4,3,,,,109.0,,,
116,55,4,3,,,,109.0,,,
117,56,6,3,,,,109.0,,,
118,57,6,3,,,,109.0,,,
119,57,6,3,,,,108.0,,,
120,56,6,3,,,,113.0,,,
121,56,6,3,,,,113.0,,,
122,56,6,3,,,,113.0,,,
123,56,6,3,,,,114.0,,,
124,55,9,3,,,,114.0,,,
125,56,9,3,,,,114.0,,,
126,57,9,3,,,,117.0,,,
127,58,9,3,,,,117.0,,,
128,56,7,3,,,,122.0,,,
129,56,7,3,,,,122.0,,,
130,59,7,3,,,,122.0,,,
131,59,7,3,,,,122.0,,,
132,59,7,3,,,,124.0,,,
133,60,7,3,,,,125.0,,,
134,61,7,3,,,,124.0,,,
135,61,7,3,,,,125.0,,,
136,62,7,3,,,,124.0,,,
137,62,7,3,,,,123.0,,,
138,62,7,3,,,,124.0,,,
139,64,9,3,,,,118.0,,,
140,66,6,3,,,,124.0,,,
141,66,6,3,,,,124.0,,,
142,66,6,3,,,,125.0,,,
143,66,6,3,,,,125.0,,,
144,67,6,,,,,129.0,,,
145,67,6,,,,,128.0,,,
146,68,6,,,,,129.0,,,
147,69,6,,,,,130.0,,,
148,67,6,,,,,136.0,,,
149,67,6,,,,,135.0,,,
150,67,6,,,,,135.0,,,
151,68,6,,,,,135.0,,,
152,68,6,,,,,137.0,,,
153,71,6,,,,,138.0,,,
154,73,6,,,,,139.0,,,
155,73,6,,,,,140.0,,,
156,73,6,,,,,142.0,,,
157,73,6,,,,,143.0,,,
158,73,6,,,,,143.0,,,
159,73,6,,,,,143.0,,,
160,75,6,,,,,145.0,,,
161,75,6,,,,,145.0,,,
162,75,6,,,,,145.0,,,
163,76,6,,,,,144.0,,,
164,77,6,,,,,142.0,,,
165,80,6,,,,,142.0,,,
166,80,6,,,,,145.0,,,
167,80,6,,,,,144.0,,,
168,81,6,,,,,145.0,,,
169,82,6,,,,,145.0,,,
170,83,6,,,,,144.0,,,
171,81,6,,,,,147.0,,,
172,80,6,,,,,,153.0,,
173,80,6,,,,,,153.0,,
174,81,6,,,,,,154.0,,
175,82,6,,,,,,155.0,,
176,83,4,,,,,,161.0,,
177,83,4,,,,,,162.0,,
178,86,4,,,,,,,162.0,
179,87,4,,,,,,,161.0,
180,86,4,,,,,,,171.0,
181,90,4,,,,,,,171.0,
182,90,4,,,,,,,171.0,
183,90,4,,,,,,,175.0,
184,88,4,,,,,,,178.0,
185,89,4,,,,,,,178.0,
186,90,4,,,,,,176.0,,
187,90,4,,,,,,177.0,,
188,88,4,,,,,,179.0,,
189,89,4,,,,,,179.0,,
190,90,4,,,,,,178.0,,
191,90,4,,,,,,178.0,,
192,90,4,,,,,,182.0,,
193,90,4,,,,,,181.0,,
194,92,4,,,,,,180.0,,
195,92,4,,,,,,180.0,,
196,92,4,,,,,,181.0,,
197,94,4,,,,,,181.0,,
198,95,2,,,,,,185.0,,
199,94,2,,,,,,188.0,,
200,96,2,,,,,,192.0,,
201,98,2,,,,,,192.0,,
202,100,4,,,,,,,195.0,
203,99,4,,,,,,,197.0,
204,101,4,,,,,,,197.0,
205,101,4,,,,,,,198.0,
206,101,4,,,,,,,199.0,
207,103,4,,,,,,,198.0,
208,104,4,,,,,,,203.0,
209,104,4,,,,,,,203.0,
210,107,4,,,,,,,205.0,
