day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,1,4,4,,,,,
5,1,4,4,,,,,
6,2,4,7,,,,,
7,4,4,6,,,,,
8,6,4,6,,,,,
9,6,6,3,,,,,
10,3,9,3,,,,,
11,4,11,,,,,,
12,4,12,,,,,,
13,5,10,,,,,,
14,7,10,,,,,,
15,7,8,,,,,,
16,5,13,,,,,,
17,6,11,,,,,,
18,6,11,,,,,,
19,7,11,,,,,,
20,7,,12,,,,,
21,11,,12,,,,,
22,14,,12,,,,,
23,13,,12,,,,,
24,14,13,,,,,,
25,13,,16,,,,,
26,15,,17,,,,,
27,16,,18,,,,,
28,18,,20,,,,,
29,19,,20,,,,,
30,23,4,13,,,,,
31,22,6,13,,,,,
32,23,2,18,,,,,
33,23,2,18,,,,,
34,23,2,18,,,,,
35,20,,27,,,,,
36,20,,28,,,,,
37,20,,28,,,,,
38,20,,29,,,,,
39,20,,29,,,,,
40,18,,35,,,,,
41,16,,37,,,,,
42,18,,38,,,,,
43,18,,38,,,,,
44,20,,38,,,,,
45,22,2,31,,,,,
46,24,2,31,,,,,
47,23,3,32,,,,,
48,21,,,,39,,,
49,,,,,,62.0,,
50,1,,,,,61.0,,
51,1,,,,,61.0,,
52,1,,,,,63.0,,
53,2,,,,,63.0,,
54,3,,,,,64.0,,
55,3,,,,,64.0,,
56,3,,,,,67.0,,
57,4,,,,,67.0,,
58,4,,,,,67.0,,
59,4,,,,,67.0,,
60,5,,,,,66.0,,
61,5,,,,,66.0,,
62,6,,,,,66.0,,
63,8,,,,,68.0,,
64,29,4,4,39,,,,
65,30,4,4,40,,,,
66,33,4,4,39,,,,
67,32,4,4,41,,,,
68,32,6,4,40,,,,
69,33,9,4,39,,,,
70,29,5,4,48,,,,
71,29,5,4,49,,,,
72,30,5,4,50,,,,
73,32,5,4,46,,,,
74,32,5,4,47,,,,
75,32,5,4,50,,,,
76,37,5,10,40,,,,
77,37,5,10,40,,,,
78,32,2,7,55,,,,
79,32,2,7,55,,,,
80,32,2,3,,63,,,
81,32,2,3,,63,,,
82,32,2,3,,62,,,
83,33,2,3,,62,,,
84,32,2,3,,68,,,
85,34,,3,,68,,,
86,35,,3,,69,,,
87,36,,3,,69,,,
88,38,,3,,70,,,
89,38,,,,74,,,
90,39,,,,76,,,
91,44,3,,,67,,,
92,44,3,,,67,,,
93,45,3,,,68,,,
94,45,3,,,69,,,
95,46,3,,,69,,,
96,42,,,,83,,,
97,43,,,,82,,,
98,44,,,,84,,,
99,46,,,,82,,,
100,44,,,,93,,,
101,44,,,,93,,,
102,44,,,,94,,,
103,44,,4,,88,,,
104,44,,4,,91,,,
105,42,,4,,97,,,
106,43,2,4,,96,,,
107,43,2,4,,96,,,
108,44,2,4,,96,,,
109,44,2,4,,96,,,
110,49,4,4,,97,,,
111,49,4,4,,97,,,
112,48,4,4,,98,,,
113,48,4,4,,98,,,
114,48,4,4,,101,,,
115,50,4,4,,97,,,
116,50,4,4,,97,,,
117,52,4,4,,98,,,
118,53,4,4,,98,,,
119,53,4,4,,98,,,
120,52,2,7,,,102.0,,
121,52,2,7,,,102.0,,
122,52,2,7,,,102.0,,
123,52,2,7,,,103.0,,
124,50,2,7,,,107.0,,
125,51,2,7,,,107.0,,
126,53,2,7,,,109.0,,
127,54,2,7,,,109.0,,
128,53,2,7,,,,111.0,
129,53,2,7,,,,111.0,
130,56,2,7,,,,111.0,
131,56,2,7,,,,111.0,
132,55,2,7,,,,,114.0
133,58,4,9,,,,,106.0
134,57,4,11,,,,,106.0
135,57,4,12,,,,,106.0
136,58,4,12,,,,,106.0
137,58,4,12,,,,,105.0
138,58,4,12,,,,,106.0
139,58,4,12,,,,,106.0
140,60,4,8,,,,,113.0
141,60,4,8,,,,,113.0
142,61,4,8,,,,,112.0
143,61,4,8,,,,,112.0
144,59,4,8,,,,,116.0
145,60,6,8,,,,,112.0
146,61,6,8,,,,,111.0
147,61,6,8,,,,,113.0
148,57,6,,,,,,130.0
149,57,6,,,,,,130.0
150,57,6,,,,,,130.0
151,58,6,,,,,,130.0
152,59,6,,,,,129.0,
153,64,6,,,,127.0,,
154,65,6,,,,129.0,,
155,64,6,,,,131.0,,
156,63,6,,,,134.0,,
157,64,13,,,,125.0,,
158,64,13,,,,125.0,,
159,63,11,,,,129.0,,
160,65,11,,,,131.0,,
161,65,11,,,,129.0,,
162,65,11,,,,129.0,,
163,67,11,8,,,119.0,,
164,68,11,8,,,119.0,,
165,71,13,12,,,111.0,,
166,70,13,12,,,115.0,,
167,70,13,12,,,115.0,,
168,70,13,12,,,116.0,,
169,71,13,12,,,116.0,,
170,72,13,12,,,116.0,,
171,69,6,23,,,116.0,,
172,65,6,,,,148.0,,
173,65,6,,,,147.0,,
174,66,6,,,,148.0,,
175,67,6,,,,149.0,,
176,68,6,,,,153.0,,
177,68,6,,,,153.0,,
178,71,6,,,,153.0,,
179,73,6,,,,151.0,,
180,75,4,,,,160.0,,
181,79,4,,,,160.0,,
182,79,4,,,,160.0,,
183,81,4,,,,161.0,,
184,80,2,,,,164.0,,
185,81,2,,,,164.0,,
186,82,2,,,,164.0,,
187,82,2,,,,165.0,,
188,82,10,,,,157.0,,
189,87,10,5,,,146.0,,
190,88,10,5,,,146.0,,
191,88,10,5,,,146.0,,
192,87,10,5,,,150.0,,
193,87,10,5,,,149.0,,
194,89,10,5,,,149.0,,
195,89,10,5,,,149.0,,
196,89,10,5,,,151.0,,
197,91,10,8,,,147.0,,
198,91,10,8,,,150.0,,
199,88,10,8,,,155.0,,
200,91,10,8,,,158.0,,
201,93,10,8,,,157.0,,
202,93,16,8,,,157.0,,
203,92,14,8,,,161.0,,
204,94,14,8,,,162.0,,
205,94,14,8,,,163.0,,
206,94,14,8,,,164.0,,
207,96,14,8,,,163.0,,
208,95,14,5,,,173.0,,
209,95,14,5,,,173.0,,
210,98,14,5,,,175.0,,
211,101,14,5,,,172.0,,
212,102,14,5,,,169.0,,
213,102,14,5,,,169.0,,
214,103,14,5,,,168.0,,
215,103,14,5,,,169.0,,
216,104,15,5,,,168.0,,
217,106,17,9,,,159.0,,
218,108,17,9,,,159.0,,
219,108,17,9,,,159.0,,
220,108,21,9,,,157.0,,
221,109,21,9,,,155.0,,
222,89,4,4,,,,198.0,
223,90,4,4,,,,198.0,
224,91,4,7,,,,195.0,
225,90,4,7,,,,197.0,
226,90,4,7,,,,197.0,
227,91,4,7,,,,197.0,
228,94,4,7,,,,199.0,
229,94,4,7,,,,199.0,
230,92,4,7,,,,205.0,
231,92,4,7,,,,206.0,
232,92,6,7,,,,203.0,
233,92,6,7,,,,203.0,
234,89,6,3,,,,212.0,
235,89,6,3,,,,213.0,
236,88,6,3,,,,217.0,
237,88,6,3,,,,217.0,
238,89,6,3,,,,219.0,
239,89,6,3,,,,219.0,
240,104,25,8,,,179.0,,
241,104,25,8,,,179.0,,
242,105,25,8,,,178.0,,
