n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,4,2,0.8,0.5,0.2,2,0.8,0.5,0.2,2,0,1.6,0.0,4.8,3.2,0.3236074270557029,1.0,0.3236078159842784,1.0,0.2,0.6180327868852459,0.2,0.6180320441015443,0.2,0.5,2
6,5,2,0.8333333333333334,0.4,0.16666666666666669,2,0.8333333333333334,0.4,0.16666666666666669,1,0,1.6666666666666667,0.3333333333333333,4.333333333333333,3.1666666666666665,0.4023695703493862,1.0,0.23570316582476922,1.0,0.16666666666666666,0.41421290015034284,0.16666666666666666,0.7071040649092217,0.16666666666666669,0.6000000000000001,3
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,3,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,4
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,0,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,5
13,8,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,4,0,1.1538461538461537,0.15384615384615385,5.615384615384615,3.076923076923077,0.2540602765286249,1.0,0.1002139093042716,1.0,0.07692307692307691,0.30277490827815434,0.07692307692307693,0.7675888253148717,0.05128205128205128,0.3333333333333333,6
14,7,2,0.5,0.15384615384615385,0.038461538461538464,2,0.5,0.15384615384615385,0.038461538461538464,2,1,0.9285714285714286,0.0,7.142857142857143,3.0714285714285716,0.17244474510745839,1.0,0.10101590444458615,1.0,0.07142857142857142,0.4142113543910019,0.07142857142857141,0.7071022312902686,0.038461538461538464,0.23076923076923078,7
16,7,2,0.4375,0.13333333333333333,0.029166666666666667,2,0.4375,0.13333333333333333,0.029166666666666667,2,0,0.8125,0.0,6.5625,3.0625,0.15088915196902608,1.0,0.08838891638901288,1.0,0.0625,0.4142113543910019,0.062499999999999986,0.7071022312902686,0.029166666666666667,0.2,8
15,5,1,0.3333333333333333,0.07142857142857142,0.023809523809523808,1,0.3333333333333333,0.07142857142857142,0.023809523809523808,0,1,0.5333333333333333,0.0,6.666666666666667,3.066666666666667,0.26666717529296874,1.0,0.1333338419596354,1.0,0.06666666666666667,0.2499995231637513,0.06666666666666667,0.49999809265864315,0.023809523809523808,0.14285714285714285,9
16,9,4,0.5625,0.26666666666666666,0.0375,2,0.4375,0.13333333333333333,0.029166666666666667,1,0,1.25,0.0625,9.625,3.0625,0.06250047683738558,1.0,0.2500009536752259,1.0,0.0625,0.9999923706600381,0.0625,0.24999904632841208,0.041666666666666664,0.16666666666666666,10
16,8,4,0.5,0.26666666666666666,0.03333333333333333,2,0.375,0.13333333333333333,0.025,1,1,1.125,0.0625,9.625,3.0625,0.0625004768371582,1.0,0.2500009536743164,1.0,0.0625,0.999992370663676,0.0625,0.24999904632932157,0.0375,0.16666666666666666,11
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.47058823529411764,0.125,0.029411764705882353,1,0,1.1764705882352942,0.11764705882352941,9.470588235294118,3.0588235294117645,0.07663429617008193,1.0,0.19428163843003823,1.0,0.058823529411764705,0.7675875208824512,0.058823529411764705,0.30277451789633403,0.03860294117647059,0.1875,12
16,8,4,0.5,0.26666666666666666,0.03333333333333333,2,0.4375,0.13333333333333333,0.029166666666666667,0,1,1.125,0.125,9.5,3.0625,0.08142397467950767,1.0,0.20642429863467934,1.0,0.0625,0.7675871909472093,0.06249999999999999,0.3027744331136605,0.03958333333333333,0.16666666666666666,13
18,8,4,0.4444444444444444,0.23529411764705882,0.0261437908496732,2,0.3888888888888889,0.11764705882352941,0.02287581699346405,3,1,1.0,0.16666666666666666,8.833333333333334,3.388888888888889,0.07237648893088905,1.0,0.1834877430730507,1.0,0.05555555555555555,0.7675911939940124,0.05555555555555555,0.3027752950966191,0.03104575163398693,0.11764705882352941,14
18,8,4,0.4444444444444444,0.23529411764705882,0.0261437908496732,2,0.3888888888888889,0.11764705882352941,0.02287581699346405,0,0,1.0,0.16666666666666666,8.833333333333334,3.388888888888889,0.07237648893088905,1.0,0.1834877430730507,1.0,0.05555555555555555,0.7675911939940124,0.05555555555555555,0.3027752950966191,0.03104575163398693,0.11764705882352941,15
21,15,6,0.7142857142857143,0.30000000000000004,0.03571428571428572,2,0.47619047619047616,0.1,0.023809523809523808,3,0,1.5238095238095237,0.23809523809523808,8.571428571428571,3.380952380952381,0.07257287935243908,1.0,0.25917486420951824,1.0,0.047619047619047616,0.6561548617603141,0.04761904761904761,0.18373327893615543,0.04166666666666667,0.125,16
21,15,6,0.7142857142857143,0.30000000000000004,0.03571428571428572,2,0.47619047619047616,0.1,0.023809523809523808,0,0,1.5238095238095237,0.23809523809523808,8.571428571428571,3.380952380952381,0.07257287935243908,1.0,0.25917486420951824,1.0,0.047619047619047616,0.6561548617603141,0.04761904761904761,0.18373327893615543,0.04166666666666667,0.125,17
20,14,6,0.7,0.3157894736842105,0.03684210526315789,2,0.45,0.10526315789473684,0.02368421052631579,1,2,1.5,0.2,8.7,3.25,0.07620152331953585,1.0,0.27213360741882137,1.0,0.05,0.6561548617648364,0.05,0.18373327893694724,0.043421052631578944,0.10526315789473684,18
22,14,6,0.6363636363636364,0.2857142857142857,0.0303030303030303,2,0.4090909090909091,0.09523809523809523,0.01948051948051948,2,0,1.3636363636363635,0.18181818181818182,8.5,3.227272727272727,0.06927411210866895,1.0,0.2473941885625649,1.0,0.045454545454545456,0.6561548617648364,0.045454545454545456,0.18373327893694724,0.03571428571428571,0.09523809523809523,19
24,18,6,0.75,0.2608695652173913,0.03260869565217391,2,0.4166666666666667,0.08695652173913043,0.018115942028985508,2,0,1.5,0.16666666666666666,8.541666666666666,3.25,0.08032087598049281,0.9999999999999999,0.2526690405110252,0.9999999999999999,0.041666666666666664,0.5187526425481971,0.041666666666666664,0.16490610239543196,0.03713768115942029,0.08695652173913043,20
27,14,6,0.5185185185185185,0.23076923076923078,0.019943019943019943,2,0.2962962962962963,0.07692307692307693,0.011396011396011397,4,1,1.1111111111111112,0.1111111111111111,6.111111111111111,3.2222222222222223,0.05992730131275174,1.0,0.19392821056302445,0.9999999999999999,0.037037037037037035,0.6180327868219229,0.037037037037037035,0.19098323513380958,0.022079772079772082,0.07692307692307693,21
30,14,6,0.4666666666666667,0.20689655172413793,0.016091954022988506,2,0.26666666666666666,0.06896551724137931,0.009195402298850575,3,0,1.0,0.1,5.7,3.2,0.05393457118147657,1.0,0.174535389506722,0.9999999999999999,0.03333333333333333,0.6180327868219229,0.03333333333333333,0.19098323513380958,0.01781609195402299,0.06896551724137931,22
30,14,6,0.4666666666666667,0.20689655172413793,0.016091954022988506,2,0.26666666666666666,0.06896551724137931,0.009195402298850575,0,0,1.0,0.1,5.7,3.2,0.05393457118147657,1.0,0.174535389506722,0.9999999999999999,0.03333333333333333,0.6180327868219229,0.03333333333333333,0.19098323513380958,0.01781609195402299,0.06896551724137931,23
33,17,6,0.5151515151515151,0.1875,0.016098484848484848,2,0.30303030303030304,0.0625,0.00946969696969697,3,0,1.0303030303030303,0.12121212121212122,5.606060606060606,3.272727272727273,0.04903151027206759,0.9999999999999999,0.15866902900126667,1.0,0.030303030303030304,0.6180317541695919,0.030303030303030304,0.1909826416268571,0.017518939393939392,0.109375,24
35,21,6,0.6,0.1764705882352941,0.01764705882352941,2,0.3142857142857143,0.058823529411764705,0.009243697478991597,2,0,1.1428571428571428,0.11428571428571428,5.428571428571429,3.3142857142857145,0.06771881615569174,1.0,0.14542286624556536,1.0,0.02857142857142857,0.42191270009416953,0.028571428571428567,0.1964713618227137,0.018907563025210086,0.10294117647058823,25
38,22,6,0.5789473684210527,0.16216216216216217,0.015647226173541966,2,0.3157894736842105,0.05405405405405406,0.008534850640113799,3,0,1.105263157894737,0.10526315789473684,5.2105263157894735,3.3421052631578947,0.07174534694149978,1.0,0.1200907352174719,0.9999999999999999,0.026315789473684216,0.3667943719770672,0.02631578947368421,0.21913255361480663,0.016714082503556188,0.10810810810810811,26
39,19,6,0.48717948717948717,0.15789473684210525,0.01282051282051282,2,0.3333333333333333,0.05263157894736842,0.008771929824561403,2,1,0.9743589743589743,0.10256410256410256,5.0,3.3333333333333335,0.055068831382689275,1.0,0.12644261012934338,1.0,0.02564102564102564,0.4656177550389388,0.02564102564102564,0.20278785462271282,0.014170040485829958,0.10526315789473684,27
43,21,6,0.4883720930232558,0.14285714285714285,0.011627906976744184,3,0.3953488372093023,0.07142857142857142,0.009413067552602435,4,0,1.441860465116279,0.09302325581395349,4.953488372093023,3.3488372093023258,0.0499461493936019,1.0,0.1146805068614975,1.0,0.023255813953488372,0.4656177550389388,0.023255813953488372,0.20278785462271282,0.01319675156884459,0.10317460317460315,28
44,21,6,0.4772727272727273,0.13953488372093023,0.011099365750528542,3,0.38636363636363635,0.06976744186046512,0.008985200845665961,1,0,1.4090909090909092,0.20454545454545456,4.931818181818182,3.3636363636363638,0.048811009634656406,1.0,0.11207413170555437,1.0,0.022727272727272728,0.4656177550389388,0.022727272727272728,0.20278785462271282,0.012596899224806201,0.10077519379844961,29
47,21,6,0.44680851063829785,0.13043478260869565,0.00971322849213691,3,0.3617021276595745,0.06521739130434782,0.00786308973172988,3,0,1.3191489361702127,0.19148936170212766,4.702127659574468,3.3617021276595747,0.04569541327499749,1.0,0.10492046372434877,1.0,0.02127659574468085,0.4656177550389388,0.02127659574468085,0.20278785462271282,0.011023743447425223,0.09420289855072463,30
47,16,4,0.3404255319148936,0.08695652173913043,0.007400555041628122,3,0.3617021276595745,0.06521739130434782,0.00786308973172988,1,1,1.0425531914893618,0.14893617021276595,4.74468085106383,3.404255319148936,0.05320189384446869,1.0,0.06714607830484505,1.0,0.021276595744680847,0.39992177359101555,0.021276595744680847,0.3168702667650151,0.008479802651865556,0.09420289855072463,31
51,23,4,0.45098039215686275,0.08,0.009019607843137255,3,0.37254901960784315,0.06,0.007450980392156863,4,0,1.2549019607843137,0.1568627450980392,4.921568627450981,3.411764705882353,0.06139696819696681,1.0,0.08433295413641685,1.0,0.0196078431372549,0.31936174884647783,0.0196078431372549,0.23250511425862405,0.009934640522875817,0.09,32
49,21,4,0.42857142857142855,0.08333333333333333,0.008928571428571428,3,0.3469387755102041,0.0625,0.007227891156462584,0,2,1.2244897959183674,0.16326530612244897,4.857142857142857,3.3877551020408165,0.06390296689888382,1.0,0.08777511552973999,1.0,0.02040816326530612,0.31936174884647783,0.02040816326530612,0.23250511425862405,0.00992063492063492,0.09375,33
49,21,4,0.42857142857142855,0.08333333333333333,0.008928571428571428,3,0.3469387755102041,0.0625,0.007227891156462584,0,0,1.2244897959183674,0.16326530612244897,4.857142857142857,3.3877551020408165,0.06390296689888382,1.0,0.08777511552973999,1.0,0.02040816326530612,0.31936174884647783,0.02040816326530612,0.23250511425862405,0.00992063492063492,0.09375,34
54,38,5,0.7037037037037037,0.09433962264150943,0.013277428371767994,4,0.6111111111111112,0.07547169811320754,0.011530398322851153,5,0,2.1481481481481484,0.16666666666666666,6.351851851851852,3.3518518518518516,0.0732391848321345,1.0,0.11061557629944543,1.0,0.018518518518518517,0.25284987211372284,0.01851851851851852,0.1674132987237473,0.015373864430468202,0.14150943396226415,35
54,40,5,0.7407407407407407,0.09433962264150943,0.01397624039133473,5,0.6666666666666666,0.09433962264150943,0.012578616352201257,1,1,2.685185185185185,0.25925925925925924,6.296296296296297,3.3518518518518516,0.07918616690873706,1.0,0.10104546309734544,1.0,0.018518518518518517,0.23386052440019375,0.018518518518518517,0.18326917360632114,0.016800605637083625,0.1509433962264151,36
54,40,5,0.7407407407407407,0.09433962264150943,0.01397624039133473,5,0.6666666666666666,0.09433962264150943,0.012578616352201257,0,0,2.685185185185185,0.25925925925925924,6.296296296296297,3.3518518518518516,0.07918616690873706,1.0,0.10104546309734544,1.0,0.018518518518518517,0.23386052440019375,0.018518518518518517,0.18326917360632114,0.016800605637083625,0.1509433962264151,37
55,41,5,0.7454545454545455,0.09259259259259259,0.013804713804713804,5,0.7454545454545455,0.09259259259259259,0.013804713804713804,1,0,2.727272727272727,0.2545454545454545,6.254545454545455,3.3636363636363638,0.07842621679334051,1.0,0.09933707564910439,1.0,0.01818181818181818,0.23183342159330164,0.01818181818181818,0.18303154248312228,0.0175645342312009,0.15740740740740738,38
