day_counter,0,1,2,3,4,5,6
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,1,4,4,,,,
5,1,4,4,,,,
6,3,4,6,,,,
7,5,4,5,,,,
8,7,4,5,,,,
9,7,8,,,,,
10,4,10,,,,,
11,5,10,,,,,
12,5,10,,,,,
13,6,8,,,,,
14,7,10,,,,,
15,7,8,,,,,
16,5,2,11,,,,
17,5,2,11,,,,
18,5,2,11,,,,
19,7,2,11,,,,
20,6,,14,,,,
21,10,,14,,,,
22,13,,14,,,,
23,13,,14,,,,
24,15,,12,,,,
25,14,,15,,,,
26,16,,16,,,,
27,17,,17,,,,
28,19,2,16,,,,
29,20,2,16,,,,
30,25,4,9,,,,
31,24,6,9,,,,
32,23,6,12,,,,
33,23,6,12,,,,
34,23,6,12,,,,
35,21,4,20,,,,
36,21,4,21,,,,
37,21,4,21,,,,
38,21,4,22,,,,
39,21,4,23,,,,
40,19,2,31,,,,
41,16,2,34,,,,
42,18,2,,34,,,
43,18,2,,34,,,
44,20,2,,34,,,
45,21,2,,32,,,
46,23,2,,32,,,
47,22,2,,34,,,
48,18,2,,,41,,
49,,,,,,64.0,
50,1,,,,,63.0,
51,1,,,,,62.0,
52,1,,,,,64.0,
53,2,,,,,64.0,
54,3,,,,,64.0,
55,3,,,,,64.0,
56,3,,,,,67.0,
57,4,,,,,67.0,
58,4,,,,,67.0,
59,4,,,,,67.0,
60,5,,,,,67.0,
61,5,,,,,67.0,
62,6,,,,,67.0,
63,8,,,,,69.0,
64,9,,,,,70.0,
65,24,8,,,46,,
66,27,8,,,46,,
67,26,8,,,49,,
68,30,11,,,42,,
69,31,14,,,41,,
70,28,15,,,44,,
71,27,17,,43,,,
72,30,15,,43,,,
73,30,15,,43,,,
74,30,15,,43,,,
75,31,13,,47,,,
76,34,13,,45,,,
77,34,13,,45,,,
78,30,11,,55,,,
79,30,11,,55,,,
80,28,8,,,65,,
81,28,8,,,64,,
82,28,8,,,64,,
83,32,8,,,60,,
84,31,8,,,66,,
85,32,8,,,66,,
86,33,8,,,67,,
87,34,8,,,67,,
88,36,8,,,68,,
89,36,8,,,69,,
90,38,8,,,69,,
91,37,6,,,73,,
92,38,6,,71,,,
93,38,6,,73,,,
94,38,6,,73,,,
95,39,6,,73,,,
96,34,2,,89,,,
97,35,2,,89,,,
98,36,2,,90,,,
99,37,2,,90,,,
100,36,2,,100,,,
101,36,2,,100,,,
102,39,2,,96,,,
103,41,4,4,87,,,
104,40,4,4,91,,,
105,39,4,4,95,,,
106,41,4,4,96,,,
107,41,4,4,96,,,
108,42,4,4,96,,,
109,42,4,4,96,,,
110,46,7,5,97,,,
111,46,7,5,97,,,
112,46,2,5,102,,,
113,46,2,5,102,,,
114,46,2,5,105,,,
115,47,2,5,103,,,
116,47,2,5,102,,,
117,49,2,5,103,,,
118,50,2,5,103,,,
119,50,2,5,103,,,
120,48,4,5,107,,,
121,48,4,5,107,,,
122,48,4,5,107,,,
123,50,8,5,,101,,
124,49,9,14,,,93.0,
125,50,9,14,,,93.0,
126,52,9,14,,,95.0,
127,53,9,14,,,95.0,
128,52,9,14,,,96.0,
129,53,9,14,,,94.0,
130,56,9,14,,,94.0,
131,56,9,14,,,94.0,
132,56,9,14,,95,,
133,57,9,9,,100,,
134,56,9,9,,101,,
135,56,9,9,,102,,
136,57,9,9,,102,,
137,57,9,9,,102,,
138,57,10,9,,102,,
139,57,10,9,,101,,
140,58,10,9,,105,,
141,58,10,9,,105,,
142,58,10,9,,106,,
143,58,10,9,,106,,
144,56,10,9,,110,,
145,56,10,9,,110,,
146,57,10,9,,110,,
147,59,10,9,,109,,
148,55,4,9,,123,,
149,55,4,9,,123,,
150,55,4,9,,123,,
151,56,4,9,,123,,
152,56,6,9,,122,,
153,59,6,9,,123,,
154,61,6,9,,124,,
155,60,6,9,,124,,
156,59,6,9,,127,,
157,59,6,9,,127,,
158,59,6,9,,127,,
159,61,4,9,,126,,
160,63,4,9,,128,,
161,63,4,9,,128,,
162,66,4,9,,124,,
163,68,4,9,,122,,
164,69,4,9,,122,,
165,72,4,9,,122,,
166,69,10,9,,122,,
167,69,10,9,,122,,
168,69,10,9,,123,,
169,70,10,9,,123,,
170,71,10,9,,122,,
171,70,10,9,,124,,
172,67,4,9,,138,,
173,67,4,9,,138,,
174,69,4,9,,137,,
175,70,4,9,,138,,
176,71,4,9,,142,,
177,71,6,9,,140,,
178,74,6,9,,140,,
179,75,6,9,,140,,
180,77,6,9,,147,,
181,81,6,9,,147,,
182,81,6,9,,146,,
183,84,4,9,,,148.0,
184,82,4,9,,,149.0,
185,83,4,9,,,149.0,
186,84,4,9,,,149.0,
187,84,4,9,,,150.0,
188,86,4,9,,,146.0,
189,87,4,9,,,146.0,
190,88,4,9,,,146.0,
191,88,4,9,,,146.0,
192,88,4,9,,,150.0,
193,91,4,9,,,146.0,
194,93,4,9,,,146.0,
195,93,4,9,,,146.0,
196,92,6,5,,,149.0,
197,94,6,5,,,149.0,
198,95,8,,,,153.0,
199,95,10,,,,152.0,
200,95,16,6,,,145.0,
201,97,20,6,,,140.0,
202,98,24,6,,,142.0,
203,96,24,6,,,145.0,
204,98,24,6,,,146.0,
205,99,23,6,,,146.0,
206,98,25,6,,,145.0,
207,101,25,6,,,143.0,
208,100,22,6,,,153.0,
209,100,22,6,,,152.0,
210,103,22,6,,,154.0,
211,104,22,6,,,154.0,
212,104,22,6,,,154.0,
213,104,22,6,,,154.0,
214,104,24,6,,,152.0,
215,104,24,6,,,153.0,
216,105,25,6,,,153.0,
217,105,25,6,,,152.0,
218,108,25,12,,,144.0,
219,108,25,12,,,144.0,
220,104,31,,,,,158.0
221,104,31,,,,,158.0
222,77,25,,,,,191.0
223,78,25,,,,,191.0
224,81,25,,,,,190.0
225,81,25,,,,,191.0
226,81,25,,,,,191.0
227,82,25,,,,,191.0
228,85,25,,,,,192.0
229,85,25,,,,,192.0
230,85,25,,,,,196.0
231,85,25,,,,,197.0
232,85,25,,,,,197.0
233,85,25,,,,,197.0
234,86,25,,,,,199.0
235,86,25,,,,,200.0
236,86,25,,,,,203.0
237,86,25,,,,,202.0
238,99,33,,,,,183.0
239,99,33,,,,,183.0
240,99,33,,,,,184.0
241,99,33,,,,,184.0
242,102,33,,7,,173.0,
243,102,33,,7,,173.0,
244,102,33,,7,,173.0,
245,103,33,,7,,173.0,
246,104,33,,7,,173.0,
247,104,33,,7,,173.0,
248,106,33,,7,,176.0,
249,108,33,,7,,177.0,
250,111,33,,7,,175.0,
251,111,33,,7,,175.0,
252,113,33,,7,,173.0,
253,115,35,,7,,168.0,
254,117,37,,7,,168.0,
255,116,42,11,7,,154.0,
256,116,42,11,7,,153.0,
257,117,42,11,7,,153.0,
258,118,42,11,7,,153.0,
259,117,35,,7,,173.0,
260,117,35,,7,,176.0,
261,117,35,,7,,177.0,
262,113,37,,7,,181.0,
263,114,37,,7,,182.0,
264,114,37,,7,,182.0,
265,116,37,,7,,180.0,
