day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,3,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,,
9,8,,8,,,,,,,,,,,,,
10,6,,,11,,,,,,,,,,,,
11,7,,,11,,,,,,,,,,,,
12,7,,,11,,,,,,,,,,,,
13,7,,,11,,,,,,,,,,,,
14,9,,,11,,,,,,,,,,,,
15,9,,,11,,,,,,,,,,,,
16,6,,,17,,,,,,,,,,,,
17,6,,,17,,,,,,,,,,,,
18,7,,,17,,,,,,,,,,,,
19,9,,,17,,,,,,,,,,,,
20,9,,,19,,,,,,,,,,,,
21,13,,,19,,,,,,,,,,,,
22,16,,,19,,,,,,,,,,,,
23,16,,,19,,,,,,,,,,,,
24,17,2,,18,,,,,,,,,,,,
25,18,2,,19,,,,,,,,,,,,
26,20,2,,20,,,,,,,,,,,,
27,21,2,,21,,,,,,,,,,,,
28,23,2,,,23,,,,,,,,,,,
29,24,2,,,23,,,,,,,,,,,
30,27,2,,,23,,,,,,,,,,,
31,27,2,,,24,,,,,,,,,,,
32,28,,,,,29.0,,,,,,,,,,
33,28,,,,,29.0,,,,,,,,,,
34,28,,,,,29.0,,,,,,,,,,
35,25,,,,,37.0,,,,,,,,,,
36,25,,,,,38.0,,,,,,,,,,
37,26,,,,,36.0,,,,,,,,,,
38,25,2,,,,36.0,,,,,,,,,,
39,25,2,,,,37.0,,,,,,,,,,
40,21,4,,,,43.0,,,,,,,,,,
41,21,4,,,,44.0,,,,,,,,,,
42,23,4,,,,45.0,,,,,,,,,,
43,23,4,,,,45.0,,,,,,,,,,
44,25,4,,,,45.0,,,,,,,,,,
45,25,4,,,,45.0,,,,,,,,,,
46,27,4,,,,44.0,,,,,,,,,,
47,26,6,,,,45.0,,,,,,,,,,
48,23,4,,,,53.0,,,,,,,,,,
49,2,,,,,,81.0,,,,,,,,,
50,3,,,,,,81.0,,,,,,,,,
51,3,,,,,,80.0,,,,,,,,,
52,3,,,,,,82.0,,,,,,,,,
53,4,,,,,,82.0,,,,,,,,,
54,5,,,,,,84.0,,,,,,,,,
55,5,,,,,,84.0,,,,,,,,,
56,5,,,,,,87.0,,,,,,,,,
57,6,,,,,,87.0,,,,,,,,,
58,6,,,,,,87.0,,,,,,,,,
59,6,,,,,,87.0,,,,,,,,,
60,7,,,,,,87.0,,,,,,,,,
61,7,,,,,,87.0,,,,,,,,,
62,8,,,,,,87.0,,,,,,,,,
63,10,,,,,,89.0,,,,,,,,,
64,11,,,,,,90.0,,,,,,,,,
65,12,,,,,,91.0,,,,,,,,,
66,33,4,,,,68.0,,,,,,,,,,
67,33,4,,,,70.0,,,,,,,,,,
68,34,4,,,,71.0,,,,,,,,,,
69,36,4,,,,73.0,,,,,,,,,,
70,31,6,,,,78.0,,,,,,,,,,
71,31,6,,,,79.0,,,,,,,,,,
72,32,6,,,,81.0,,,,,,,,,,
73,32,6,,,,81.0,,,,,,,,,,
74,32,6,,,,82.0,,,,,,,,,,
75,32,6,,,,84.0,,,,,,,,,,
76,33,8,,,,84.0,,,,,,,,,,
77,33,8,,,,84.0,,,,,,,,,,
78,32,8,,,,,89.0,,,,,,,,,
79,32,8,,,,,89.0,,,,,,,,,
80,32,8,,,,,94.0,,,,,,,,,
81,32,8,,,,,94.0,,,,,,,,,
82,32,8,,,,,94.0,,,,,,,,,
83,33,8,,,,,94.0,,,,,,,,,
84,34,8,,,,,98.0,,,,,,,,,
85,35,8,,,,,98.0,,,,,,,,,
86,36,8,,,,,99.0,,,,,,,,,
87,37,8,,,,,99.0,,,,,,,,,
88,39,8,,,,,100.0,,,,,,,,,
89,39,8,,,,,101.0,,,,,,,,,
90,41,8,,,,,102.0,,,,,,,,,
91,41,8,,,,,103.0,,,,,,,,,
92,41,8,,,,,103.0,,,,,,,,,
93,43,8,,,,,102.0,,,,,,,,,
94,43,8,,,,,103.0,,,,,,,,,
95,44,8,,,,,103.0,,,,,,,,,
96,39,8,,,,,115.0,,,,,,,,,
97,40,8,,,,,115.0,,,,,,,,,
98,41,8,,,,,117.0,,,,,,,,,
99,42,8,,,,,118.0,,,,,,,,,
100,43,6,,,,,128.0,,,,,,,,,
101,43,6,,,,,128.0,,,,,,,,,
102,43,6,,,,,129.0,,,,,,,,,
103,43,6,,,,,129.0,,,,,,,,,
104,43,4,,,,,133.0,,,,,,,,,
105,43,4,,,,,137.0,,,,,,,,,
106,44,6,,,,,137.0,,,,,,,,,
107,44,6,,,,,137.0,,,,,,,,,
108,45,6,,,,,137.0,,,,,,,,,
109,45,6,,,,,137.0,,,,,,,,,
110,50,6,,,,,,141.0,,,,,,,,
111,50,6,,,,,,141.0,,,,,,,,
112,48,6,,,,,,144.0,,,,,,,,
113,48,6,,,,,,144.0,,,,,,,,
114,48,6,,,,,,147.0,,,,,,,,
115,48,6,,,,,,147.0,,,,,,,,
116,48,6,,,,,,147.0,,,,,,,,
117,50,6,,,,,,147.0,,,,,,,,
118,51,6,,,,,,147.0,,,,,,,,
119,51,6,,,,,,147.0,,,,,,,,
120,50,6,,,,,,153.0,,,,,,,,
121,50,6,,,,,,153.0,,,,,,,,
122,50,6,,,,,,153.0,,,,,,,,
123,50,6,,,,,,154.0,,,,,,,,
124,49,6,,,,,,158.0,,,,,,,,
125,50,6,,,,,,158.0,,,,,,,,
126,51,6,,,,,,161.0,,,,,,,,
127,52,6,,,,,,161.0,,,,,,,,
128,50,6,,,,,,164.0,,,,,,,,
129,50,6,,,,,,164.0,,,,,,,,
130,53,6,,,,,,163.0,,,,,,,,
131,53,6,,,,,,163.0,,,,,,,,
132,53,6,,,,,,165.0,,,,,,,,
133,54,6,,,,,,167.0,,,,,,,,
134,54,6,,,,,,168.0,,,,,,,,
135,54,6,,,,,,169.0,,,,,,,,
136,55,6,,,,,,169.0,,,,,,,,
137,55,6,,,,,,169.0,,,,,,,,
138,55,6,,,,,,170.0,,,,,,,,
139,55,6,,,,,,170.0,,,,,,,,
140,55,6,,,,,,175.0,,,,,,,,
141,55,6,,,,,,175.0,,,,,,,,
142,55,6,,,,,,176.0,,,,,,,,
143,55,6,,,,,,176.0,,,,,,,,
144,55,6,,,,,,178.0,,,,,,,,
145,55,6,,,,,,178.0,,,,,,,,
146,56,6,,,,,,179.0,,,,,,,,
147,57,6,,,,,,180.0,,,,,,,,
148,56,6,,,,,,,186.0,,,,,,,
149,56,6,,,,,,,186.0,,,,,,,
150,56,6,,,,,,,186.0,,,,,,,
151,57,6,,,,,,,186.0,,,,,,,
152,57,6,,,,,,,188.0,,,,,,,
153,60,6,,,,,,,188.0,,,,,,,
154,62,6,,,,,,,189.0,,,,,,,
155,62,6,,,,,,,190.0,,,,,,,
156,62,6,,,,,,,192.0,,,,,,,
