day_counter,0,1,2,3,4,5,6,7,8,9,10
0,,,3,,,,,,,,
1,,,3,,,,,,,,
2,,,5,,,,,,,,
3,,,6,,,,,,,,
4,1,2,6,,,,,,,,
5,1,2,6,,,,,,,,
6,3,3,7,,,,,,,,
7,5,3,7,,,,,,,,
8,7,3,7,,,,,,,,
9,7,3,6,,,,,,,,
10,5,,12,,,,,,,,
11,6,5,6,,,,,,,,
12,6,5,7,,,,,,,,
13,6,4,7,,,,,,,,
14,7,6,7,,,,,,,,
15,7,6,7,,,,,,,,
16,6,,,17,,,,,,,
17,6,,,17,,,,,,,
18,7,,,17,,,,,,,
19,9,,,17,,,,,,,
20,9,,,19,,,,,,,
21,14,,4,13,,,,,,,
22,17,,3,13,,,,,,,
23,17,,3,13,,,,,,,
24,16,2,3,15,,,,,,,
25,15,2,3,18,,,,,,,
26,18,2,3,17,,,,,,,
27,19,2,4,17,,,,,,,
28,20,4,,22,,,,,,,
29,21,4,,22,,,,,,,
30,24,4,,21,,,,,,,
31,23,6,,21,,,,,,,
32,22,6,,26,,,,,,,
33,22,6,,26,,,,,,,
34,25,6,,22,,,,,,,
35,21,6,,31,,,,,,,
36,21,6,,32,,,,,,,
37,21,6,,32,,,,,,,
38,21,6,,33,,,,,,,
39,21,6,,34,,,,,,,
40,18,6,,41,,,,,,,
41,16,6,,44,,,,,,,
42,18,6,,45,,,,,,,
43,18,6,,45,,,,,,,
44,20,6,,45,,,,,,,
45,20,6,,45,,,,,,,
46,22,6,,45,,,,,,,
47,22,6,,47,,,,,,,
48,21,2,,55,,,,,,,
49,4,,,,76,,,,,,
50,5,,,,76,,,,,,
51,5,,,,76,,,,,,
52,5,,,,78,,,,,,
53,6,,,,78,,,,,,
54,7,,,,79,,,,,,
55,7,,,,79,,,,,,
56,7,,,,82,,,,,,
57,8,,,,82,,,,,,
58,8,,,,82,,,,,,
59,8,,,,82,,,,,,
60,9,,,,82,,,,,,
61,9,,,,82,,,,,,
62,10,,,,82,,,,,,
63,11,,,,85,,,,,,
64,29,4,,,64,,,,,,
65,30,4,,,65,,,,,,
66,33,4,,,65,,,,,,
67,33,4,,,67,,,,,,
68,33,6,,,66,,,,,,
69,35,9,,,64,,,,,,
70,32,8,,,,70.0,,,,,
71,32,8,,,,71.0,,,,,
72,33,8,,,,73.0,,,,,
73,33,8,,,,73.0,,,,,
74,33,8,,,,74.0,,,,,
75,33,8,,,,76.0,,,,,
76,35,8,,,,77.0,,,,,
77,35,8,,,,77.0,,,,,
78,32,8,,,,84.0,,,,,
79,32,8,,,,84.0,,,,,
80,32,8,,,,89.0,,,,,
81,32,8,,,,89.0,,,,,
82,32,8,,,,88.0,,,,,
83,33,8,,,,88.0,,,,,
84,32,8,,,,93.0,,,,,
85,33,8,,,,93.0,,,,,
86,34,8,,,,94.0,,,,,
87,35,8,,,,94.0,,,,,
88,37,8,,,,95.0,,,,,
89,37,8,,,,96.0,,,,,
90,39,6,,,,99.0,,,,,
91,37,6,,,,102.0,,,,,
92,37,6,,,,102.0,,,,,
93,38,6,,,,102.0,,,,,
94,38,6,,,,103.0,,,,,
95,39,6,,,,102.0,,,,,
96,36,2,,,,,116.0,,,,
97,37,2,,,,,116.0,,,,
98,38,2,,,,,118.0,,,,
99,39,2,,,,,119.0,,,,
100,40,2,,,,,127.0,,,,
101,40,2,,,,,127.0,,,,
102,40,2,,,,,127.0,,,,
103,40,2,,,,,127.0,,,,
104,40,2,,,,,130.0,,,,
105,40,2,,,,,134.0,,,,
106,42,2,,,,,135.0,,,,
107,42,2,,,,,135.0,,,,
108,43,2,,,,,135.0,,,,
109,43,2,,,,,134.0,,,,
110,46,6,,,,,136.0,,,,
111,48,6,,,,,133.0,,,,
112,46,6,,,,,136.0,,,,
113,46,6,,,,,136.0,,,,
114,45,6,,,,,140.0,,,,
115,45,6,,,,,140.0,,,,
116,45,6,,,,,140.0,,,,
117,47,6,,,,,141.0,,,,
118,48,6,,,,,141.0,,,,
119,48,6,,,,,141.0,,,,
120,46,8,,,,,146.0,,,,
121,46,8,,,,,146.0,,,,
122,46,8,,,,,145.0,,,,
123,45,10,,,,,144.0,,,,
124,45,10,,,,,,147.0,,,
125,46,10,,,,,,147.0,,,
126,47,10,,,,,,150.0,,,
127,48,10,,,,,,150.0,,,
128,47,10,,,,,,,152.0,,
129,47,10,,,,,,,152.0,,
130,50,10,,,,,,,152.0,,
131,50,10,,,,,,,152.0,,
132,49,10,,,,,,,155.0,,
133,50,10,,,,,,,157.0,,
134,50,10,,,,,,,158.0,,
135,50,10,,,,,,,159.0,,
136,51,10,,,,,,,159.0,,
137,51,10,,,,,,,159.0,,
138,51,10,,,,,,,160.0,,
139,51,10,,,,,,,160.0,,
140,53,8,,,,,,,164.0,,
141,53,8,,,,,,,164.0,,
142,53,8,,,,,,,165.0,,
143,53,8,,,,,,,164.0,,
144,54,6,,,,,,,167.0,,
145,54,6,,,,,,,167.0,,
146,55,6,,,,,,,168.0,,
147,56,6,,,,,,,169.0,,
148,51,6,,,,,,,,178.0,
149,51,6,,,,,,,,178.0,
150,51,6,,,,,,,,178.0,
151,52,6,,,,,,,,178.0,
152,52,6,,,,,,,,180.0,
153,55,6,,,,,,,,180.0,
154,55,6,,,,,,,,183.0,
155,55,6,,,,,,,,184.0,
156,54,6,,,,,,,,187.0,
157,54,6,,,,,,,,188.0,
158,54,6,,,,,,,,188.0,
159,53,6,,,,,,,,190.0,
160,55,6,,,,,,,,191.0,
161,55,6,,,,,,,,191.0,
162,55,6,,,,,,,,191.0,
163,56,6,,,,,,,,191.0,
164,58,6,,,,,,,,189.0,
165,61,6,,,,,,,,189.0,
166,59,6,,,,,,,,194.0,
167,59,6,,,,,,,,194.0,
168,59,6,,,,,,,,196.0,
169,60,6,,,,,,,,196.0,
170,61,6,,,,,,,,196.0,
171,60,4,,,,,,,,200.0,
172,57,4,,,,,,,,208.0,
173,58,4,,,,,,,,206.0,
174,58,6,,,,,,,,206.0,
175,59,6,,,,,,,,207.0,
176,60,8,,,,,,,,208.0,
177,60,8,,,,,,,,209.0,
178,63,8,,,,,,,,210.0,
179,64,8,,,,,,,,209.0,
180,66,8,,,,,,,,216.0,
181,70,8,,,,,,,,216.0,
182,70,8,,,,,,,,216.0,
183,69,8,,,,,,,,221.0,
184,66,8,,,,,,,,225.0,
185,67,8,,,,,,,,225.0,
186,72,8,,,,,,,,220.0,
187,72,8,,,,,,,,221.0,
188,70,8,,,,,,,,224.0,
189,71,8,,,,,,,,224.0,
190,72,8,,,,,,,,224.0,
191,72,8,,,,,,,,224.0,
192,73,8,,,,,,,,227.0,
193,73,8,,,,,,,,227.0,
194,75,8,,,,,,,,227.0,
195,75,8,,,,,,,,226.0,
196,74,8,,,,,,,,229.0,
197,76,8,,,,,,,,229.0,
198,76,8,,,,,,,,232.0,
199,75,6,,,,,,,,237.0,
200,78,6,,,,,,,,239.0,
201,80,6,,,,,,,,239.0,
202,81,10,,,,,,,,241.0,
203,79,10,,,,,,,,244.0,
