day_counter,0,1,2,3,4,5,6
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,2,2,5,,,,
5,2,2,5,,,,
6,3,2,8,,,,
7,5,2,8,,,,
8,7,2,8,,,,
9,7,2,7,,,,
10,5,,4,7,,,
11,6,,3,7,,,
12,5,2,3,7,,,
13,5,4,,7,,,
14,6,4,,8,,,
15,7,2,,8,,,
16,5,3,,12,,,
17,5,3,,12,,,
18,6,3,,12,,,
19,8,3,,11,,,
20,8,3,,13,,,
21,13,3,10,,,,
22,16,3,10,,,,
23,16,3,10,,,,
24,16,3,13,,,,
25,14,3,17,,,,
26,16,3,18,,,,
27,17,3,19,,,,
28,18,16,8,,,,
29,19,16,8,,,,
30,26,11,8,,,,
31,25,13,8,,,,
32,25,8,14,,,,
33,25,8,14,,,,
34,25,8,14,,,,
35,22,4,25,,,,
36,22,4,25,,,,
37,22,4,25,,,,
38,22,4,26,,,,
39,22,4,27,,,,
40,21,4,,32,,,
41,21,4,,,33,,
42,23,4,,,,33.0,
43,23,4,,,,33.0,
44,25,4,,,,33.0,
45,27,6,,,,27.0,
46,29,6,,,,27.0,
47,31,6,,,,26.0,
48,25,6,,,,35.0,
49,2,,,,,66.0,
50,3,,,,,65.0,
51,3,,,,,64.0,
52,3,,,,,66.0,
53,4,,,,,66.0,
54,5,,,,,68.0,
55,5,,,,,68.0,
56,4,,,,,72.0,
57,5,,,,,72.0,
58,5,,,,,72.0,
59,5,,,,,72.0,
60,6,,,,,72.0,
61,6,,,,,72.0,
62,7,,,,,72.0,
63,10,,,,,72.0,
64,30,4,3,,,45.0,
65,30,6,3,,,45.0,
66,35,6,17,,,28.0,
67,32,6,17,,,32.0,
68,33,6,17,,,33.0,
69,35,6,17,,,35.0,
70,32,4,,,,59.0,
71,32,4,,,,60.0,
72,33,4,,,,62.0,
73,40,6,,,,51.0,
74,39,8,,,,51.0,
75,38,6,6,,,51.0,
76,40,6,,7,,51.0,
77,40,6,,7,49,,
78,33,6,,,67,,
79,33,6,,,67,,
80,32,6,,,73,,
81,34,6,3,,66,,
82,34,6,3,,66,,
83,35,8,10,,56,,
84,34,10,,,70,,
85,35,13,,,66,,
86,34,16,,,66,,
87,35,16,,,66,,
88,39,16,,,64,,
89,39,16,,,65,,
90,41,13,5,,63,,
91,39,13,8,,63,,
92,41,13,8,,60,,
93,42,15,,,66,,
94,42,15,,,67,,
95,44,17,,7,55,,
96,34,13,,,,83.0,
97,35,13,,,,82.0,
98,36,13,,,,84.0,
99,37,13,,,,85.0,
100,37,13,,,,94.0,
101,37,13,,,,94.0,
102,37,13,,,,95.0,
103,41,16,6,,,79.0,
104,41,14,6,,,84.0,
105,41,14,6,,,87.0,
106,43,14,3,4,,87.0,
107,43,14,3,4,,87.0,
108,44,14,3,4,,87.0,
109,44,14,3,4,,87.0,
110,51,16,4,4,,84.0,
111,51,16,4,4,,84.0,
112,49,16,,4,,91.0,
113,49,16,,4,,91.0,
114,49,16,,4,,94.0,
115,49,16,,4,,94.0,
116,49,16,,4,,93.0,
117,51,14,3,4,,93.0,
118,52,14,3,4,,93.0,
119,52,14,3,4,,92.0,
120,50,14,3,,5,,98.0
121,50,14,3,,5,,98.0
122,52,14,3,,5,,94.0
123,52,14,3,,5,,95.0
124,52,14,3,,,,103.0
125,53,14,3,,,,103.0
126,56,14,3,,,,103.0
127,57,14,3,,,,103.0
128,57,14,,,,,106.0
129,57,14,,,,,106.0
130,60,14,,,,,106.0
131,60,14,,,,,105.0
132,59,14,,,,,107.0
133,58,17,,,,,107.0
134,58,14,,,,,111.0
135,58,14,,,,,111.0
136,59,14,8,,,,102.0
137,59,14,8,,,,102.0
138,59,14,8,,,,103.0
139,59,14,8,,,,103.0
140,60,11,8,,,,110.0
141,60,11,8,,,,110.0
142,60,11,8,,,,111.0
143,60,11,8,,,,111.0
144,60,9,8,,,,115.0
145,60,9,8,,,,115.0
146,61,11,14,,,,107.0
147,62,11,14,,,107.0,
148,57,9,14,,,119.0,
149,57,9,14,,,117.0,
150,57,9,14,,,117.0,
151,58,9,14,,,117.0,
152,59,9,14,,,117.0,
153,62,9,14,,,118.0,
154,63,9,14,,,120.0,
155,63,9,14,,,121.0,
156,63,9,14,,,122.0,
157,63,9,14,,,123.0,
158,63,9,14,,,122.0,
159,61,9,8,,,131.0,
160,63,9,8,,,133.0,
161,63,11,8,,,130.0,
162,63,11,8,,,130.0,
163,65,11,8,,,128.0,
164,66,11,8,,,128.0,
165,69,11,8,,,128.0,
166,69,11,8,,,131.0,
167,69,11,8,,,131.0,
168,68,14,8,,,130.0,
169,69,14,8,,,130.0,
170,70,14,8,,,130.0,
171,69,11,8,,,134.0,
172,62,11,8,,,144.0,
173,62,11,8,,,144.0,
174,63,11,8,,,145.0,
175,64,11,8,,,146.0,
176,66,9,8,,,150.0,
177,66,9,8,,,151.0,
178,69,9,8,,,151.0,
179,70,9,8,,,151.0,
180,71,9,3,,,164.0,
181,75,9,3,,,164.0,
182,76,12,3,,,158.0,
183,77,9,3,,,164.0,
184,77,9,6,,,161.0,
185,78,9,6,,,161.0,
186,85,11,6,,,152.0,
187,85,11,6,,,153.0,
188,85,9,6,,,156.0,
189,86,9,6,,,155.0,
190,88,9,16,,,143.0,
191,88,9,16,,,143.0,
192,87,9,16,,,148.0,
193,87,9,16,,,148.0,
194,89,9,15,,,148.0,
195,89,9,15,,,148.0,
196,87,9,15,,,152.0,
197,90,9,15,,,150.0,
198,90,9,12,,,155.0,
199,89,9,12,,,158.0,
200,91,9,12,,,162.0,
201,94,9,12,,,160.0,
202,95,13,12,,,162.0,
203,94,13,12,,,164.0,
204,96,13,12,,,165.0,
205,95,15,12,,,163.0,
206,94,17,12,,,163.0,
207,98,17,9,,,163.0,
208,97,15,9,,,172.0,
209,98,15,9,,,170.0,
210,101,15,9,,,172.0,
211,102,15,9,,,172.0,
212,102,15,9,,,172.0,
213,102,15,9,,,172.0,
214,102,20,9,,,167.0,
215,104,20,12,,,162.0,
216,104,25,12,,,158.0,
217,104,25,12,,,158.0,
218,108,25,12,,,154.0,
219,108,25,12,,,154.0,
220,106,25,9,,,164.0,
221,106,25,9,,,164.0,
222,82,18,3,,,,202.0
223,83,18,3,,,,201.0
224,84,18,3,,,,203.0
225,84,18,3,,,,204.0
226,84,18,3,,,,204.0
227,85,20,3,,,,201.0
228,88,20,3,,,,203.0
229,88,20,3,,,,203.0
230,89,20,3,,,,205.0
231,89,20,3,,,,206.0
232,89,20,3,,,,205.0
233,89,20,3,,,,205.0
234,89,22,3,,,,205.0
235,89,22,3,,,,206.0
236,88,20,3,,,,212.0
237,88,20,3,,,,212.0
238,89,20,3,,,,214.0
239,106,26,9,,,,184.0
240,106,26,9,,,,185.0
241,106,26,9,,,,185.0
242,106,26,9,,,,186.0
243,106,26,9,,,,186.0
244,105,26,9,,,187.0,
245,107,26,9,,,185.0,
246,108,26,9,,,185.0,
247,108,26,9,,,185.0,
248,109,24,9,,,190.0,
