day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,
10,5,,12,,,,,,,,,,,,
11,6,4,6,,,,,,,,,,,,
12,6,4,7,,,,,,,,,,,,
13,6,4,7,,,,,,,,,,,,
14,7,6,7,,,,,,,,,,,,
15,7,5,7,,,,,,,,,,,,
16,6,,16,,,,,,,,,,,,
17,6,,15,,,,,,,,,,,,
18,7,,15,,,,,,,,,,,,
19,9,,15,,,,,,,,,,,,
20,9,,,17,,,,,,,,,,,
21,14,,,15,,,,,,,,,,,
22,17,,,15,,,,,,,,,,,
23,17,,,15,,,,,,,,,,,
24,17,,,18,,,,,,,,,,,
25,17,,,20,,,,,,,,,,,
26,18,2,,19,,,,,,,,,,,
27,19,2,,20,,,,,,,,,,,
28,20,2,3,20,,,,,,,,,,,
29,21,2,3,20,,,,,,,,,,,
30,25,2,21,,,,,,,,,,,,
31,24,4,21,,,,,,,,,,,,
32,23,4,26,,,,,,,,,,,,
33,23,4,26,,,,,,,,,,,,
34,24,6,21,,,,,,,,,,,,
35,21,4,7,24,,,,,,,,,,,
36,21,4,7,25,,,,,,,,,,,
37,21,4,7,25,,,,,,,,,,,
38,21,4,7,26,,,,,,,,,,,
39,21,4,7,27,,,,,,,,,,,
40,20,2,7,,34,,,,,,,,,,
41,19,2,7,,36,,,,,,,,,,
42,21,2,7,,37,,,,,,,,,,
43,21,2,7,,37,,,,,,,,,,
44,23,2,7,,37,,,,,,,,,,
45,23,2,7,,37,,,,,,,,,,
46,25,2,7,,37,,,,,,,,,,
47,25,6,7,,34,,,,,,,,,,
48,21,4,7,,43,,,,,,,,,,
49,4,,,,,74.0,,,,,,,,,
50,5,,,,,74.0,,,,,,,,,
51,5,,,,,74.0,,,,,,,,,
52,5,,,,,76.0,,,,,,,,,
53,6,,,,,76.0,,,,,,,,,
54,7,,,,,77.0,,,,,,,,,
55,7,,,,,77.0,,,,,,,,,
56,7,,,,,79.0,,,,,,,,,
57,8,,,,,79.0,,,,,,,,,
58,8,,,,,79.0,,,,,,,,,
59,8,,,,,79.0,,,,,,,,,
60,9,,,,,79.0,,,,,,,,,
61,9,,,,,79.0,,,,,,,,,
62,10,,,,,79.0,,,,,,,,,
63,11,,,,,82.0,,,,,,,,,
64,12,,,,,83.0,,,,,,,,,
65,13,,,,,84.0,,,,,,,,,
66,16,,,,,84.0,,,,,,,,,
67,16,,,,,,86.0,,,,,,,,
68,17,,,,,,87.0,,,,,,,,
69,33,11,5,,,,58.0,,,,,,,,
70,30,10,5,,,,,64.0,,,,,,,
71,30,10,5,,,,,65.0,,,,,,,
72,31,10,5,,,,,67.0,,,,,,,
73,31,10,5,,,,,67.0,,,,,,,
74,31,10,5,,,,,68.0,,,,,,,
75,30,10,,,9,,,68.0,,,,,,,
76,32,10,,,9,,,68.0,,,,,,,
77,32,12,,,9,,,65.0,,,,,,,
78,27,12,,,9,,,,74.0,,,,,,
79,27,12,,,9,,,,74.0,,,,,,
80,26,12,,,,,,,89.0,,,,,,
81,26,12,,,,,,,88.0,,,,,,
82,26,12,,,,,,,88.0,,,,,,
83,27,12,,,,,,,88.0,,,,,,
84,26,12,,,,,,,94.0,,,,,,
85,27,12,,,,,,,94.0,,,,,,
86,28,12,,,,,,,95.0,,,,,,
87,29,12,,,,,,,95.0,,,,,,
88,31,12,,,,,,,96.0,,,,,,
89,31,14,,,,,,,94.0,,,,,,
90,33,14,,,,,,,95.0,,,,,,
91,33,14,,,,,,,96.0,,,,,,
92,33,14,,,,,,,95.0,,,,,,
93,33,14,,,,,,,97.0,,,,,,
94,33,14,,,,,,,98.0,,,,,,
95,34,14,,,,,,,98.0,,,,,,
96,34,8,,,,,,,111.0,,,,,,
97,35,8,,,,,,,111.0,,,,,,
98,36,8,,,,,,,113.0,,,,,,
99,38,8,4,,,,,,108.0,,,,,,
100,37,8,4,,,,,,117.0,,,,,,
101,37,8,4,,,,,,117.0,,,,,,
102,37,8,4,,,,,,118.0,,,,,,
103,37,8,4,,,,,,118.0,,,,,,
104,38,8,4,,,,,,120.0,,,,,,
105,38,8,4,,,,,,124.0,,,,,,
106,40,8,5,,,,,,124.0,,,,,,
107,40,8,5,,,,,,124.0,,,,,,
108,43,8,5,,,,,,121.0,,,,,,
109,43,8,5,,,,,,121.0,,,,,,
110,48,8,5,,,,,,125.0,,,,,,
111,48,8,5,,,,,,125.0,,,,,,
112,47,8,5,,,,,,127.0,,,,,,
113,48,8,5,,,,,,125.0,,,,,,
114,48,8,5,,,,,,128.0,,,,,,
115,48,8,5,,,,,,128.0,,,,,,
116,48,8,5,,,,,,128.0,,,,,,
117,50,8,5,,,,,,129.0,,,,,,
118,51,8,5,,,,,,129.0,,,,,,
119,51,8,5,,,,,,129.0,,,,,,
120,51,8,5,,,,,,134.0,,,,,,
121,51,8,5,,,,,,134.0,,,,,,
122,51,8,5,,,,,,134.0,,,,,,
123,51,8,5,,,,,,135.0,,,,,,
124,49,8,5,,,,,,140.0,,,,,,
125,50,8,5,,,,,,140.0,,,,,,
126,52,8,5,,,,,,141.0,,,,,,
127,53,8,5,,,,,,141.0,,,,,,
128,53,8,5,,,,,,142.0,,,,,,
129,53,8,5,,,,,,141.0,,,,,,
130,56,8,5,,,,,,141.0,,,,,,
131,56,8,5,,,,,,141.0,,,,,,
132,55,8,,,,,,,149.0,,,,,,
133,55,8,,,,,,,151.0,,,,,,
134,54,8,,,,,,,153.0,,,,,,
135,54,8,,,,,,,154.0,,,,,,
136,55,8,,,,,,,154.0,,,,,,
137,55,8,,,,,,,154.0,,,,,,
138,55,8,,,,,,,155.0,,,,,,
139,55,8,,,,,,,155.0,,,,,,
140,57,8,,,,,,,158.0,,,,,,
141,57,8,,,,,,,158.0,,,,,,
142,57,8,,,,,,,159.0,,,,,,
143,57,8,,,,,,,159.0,,,,,,
144,57,6,,,,,,,163.0,,,,,,
145,57,6,,,,,,,163.0,,,,,,
146,58,6,,,,,,,164.0,,,,,,
147,59,6,,,,,,,165.0,,,,,,
148,54,6,,,,,,,175.0,,,,,,
149,54,6,,,,,,,175.0,,,,,,
150,54,6,,,,,,,175.0,,,,,,
151,55,6,,,,,,,173.0,,,,,,
152,55,6,,,,,,,175.0,,,,,,
153,58,6,,,,,,,176.0,,,,,,
154,58,6,,,,,,,179.0,,,,,,
155,58,6,,,,,,,180.0,,,,,,
156,57,6,,,,,,,183.0,,,,,,
157,57,6,,,,,,,184.0,,,,,,
158,57,6,,,,,,,184.0,,,,,,
159,56,6,,,,,,,,186.0,,,,,
160,58,6,,,,,,,,188.0,,,,,
161,58,6,,,,,,,,188.0,,,,,
