day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,1,4,4,,,,,
5,1,4,4,,,,,
6,3,5,5,,,,,
7,5,5,4,,,,,
8,7,5,4,,,,,
9,7,8,,,,,,
10,4,11,,,,,,
11,5,9,,,,,,
12,6,8,,,,,,
13,6,8,,,,,,
14,8,9,,,,,,
15,8,9,,,,,,
16,5,15,,,,,,
17,4,15,,,,,,
18,5,15,,,,,,
19,7,15,,,,,,
20,6,16,,,,,,
21,10,16,,,,,,
22,13,16,,,,,,
23,13,16,,,,,,
24,13,19,,,,,,
25,14,20,,,,,,
26,17,19,,,,,,
27,17,21,,,,,,
28,18,20,3,,,,,
29,19,20,3,,,,,
30,26,15,3,,,,,
31,26,15,3,,,,,
32,25,6,17,,,,,
33,25,6,17,,,,,
34,27,4,15,,,,,
35,23,2,26,,,,,
36,22,2,27,,,,,
37,22,2,27,,,,,
38,22,2,28,,,,,
39,22,2,29,,,,,
40,20,2,,35,,,,
41,19,2,,,37,,,
42,21,2,,,38,,,
43,21,2,,,38,,,
44,23,2,,,38,,,
45,23,2,,,37,,,
46,25,2,,,37,,,
47,26,2,,,37,,,
48,21,2,,,45,,,
49,3,,,,,67.0,,
50,4,,,,,67.0,,
51,4,,,,,65.0,,
52,4,,,,,66.0,,
53,5,,,,,66.0,,
54,6,,,,,68.0,,
55,6,,,,,68.0,,
56,6,,,,,71.0,,
57,7,,,,,71.0,,
58,7,,,,,71.0,,
59,7,,,,,71.0,,
60,8,,,,,71.0,,
61,8,,,,,71.0,,
62,9,,,,,71.0,,
63,11,,,,,73.0,,
64,29,6,,,49,,,
65,29,8,,,48,,,
66,32,8,,,48,,,
67,30,8,5,,46,,,
68,31,8,5,,47,,,
69,33,8,5,,49,,,
70,30,8,,,58,,,
71,30,8,,,59,,,
72,30,8,,,62,,,
73,30,8,,,62,,,
74,29,10,,,61,,,
75,29,10,,,64,,,
76,31,8,3,,64,,,
77,32,15,22,,36,,,
78,28,15,,,65,,,
79,28,15,,,65,,,
80,27,13,,,73,,,
81,27,13,,,73,,,
82,27,13,,,73,,,
83,29,13,6,,65,,,
84,29,13,,,76,,,
85,30,13,,,75,,,
86,31,11,,,78,,,
87,32,11,,,78,,,
88,32,11,,,81,,,
89,33,11,,,80,,,
90,35,9,,,83,,,
91,35,6,,,87,,,
92,35,6,,4,82,,,
93,34,6,,4,85,,,
94,34,6,,4,86,,,
95,37,6,4,4,79,,,
96,36,,4,4,93,,,
97,40,,4,4,89,,,
98,41,,4,4,91,,,
99,42,,4,4,92,,,
100,42,,4,4,100,,,
101,42,,4,4,100,,,
102,42,,4,4,101,,,
103,42,,4,4,101,,,
104,43,,4,4,,103.0,,
105,43,,4,4,,107.0,,
106,45,,4,4,,108.0,,
107,45,,4,4,,108.0,,
108,46,,4,4,,108.0,,
109,46,,15,4,,96.0,,
110,50,2,16,4,,97.0,,
111,50,2,16,4,,97.0,,
112,48,2,15,4,,100.0,,
113,48,2,15,4,,100.0,,
114,48,2,15,4,,103.0,,
115,48,2,15,4,,103.0,,
116,48,2,15,4,,103.0,,
117,49,4,15,4,,102.0,,
118,50,4,15,4,,102.0,,
119,50,4,15,4,,102.0,,
120,49,4,4,,,123.0,,
121,50,4,4,,,121.0,,
122,50,4,4,,,120.0,,
123,49,6,4,,,120.0,,
124,49,6,4,,,123.0,,
125,50,6,4,,,123.0,,
126,52,6,4,,,125.0,,
127,53,6,4,,,123.0,,
128,52,4,4,,,127.0,,
129,52,4,4,,,127.0,,
130,55,4,4,,,127.0,,
131,55,4,4,,,127.0,,
132,54,4,4,,,130.0,,
133,55,4,4,,,132.0,,
134,55,4,4,,,133.0,,
135,55,4,4,,,134.0,,
136,56,4,4,,,133.0,,
137,56,4,4,,,133.0,,
138,57,8,4,,,127.0,,
139,57,8,4,,,127.0,,
140,58,8,4,,,131.0,,
141,59,10,10,,,121.0,,
142,59,10,10,,,122.0,,
143,59,10,10,,,122.0,,
144,59,10,10,,,124.0,,
145,59,10,10,,,123.0,,
146,60,10,10,,,124.0,,
147,64,10,10,,,121.0,,
148,58,10,4,,,,138.0,
149,58,10,4,,,,138.0,
150,58,10,4,,,,138.0,
151,59,10,4,,,,138.0,
152,59,10,4,,,,140.0,
153,62,10,4,,,,140.0,
154,63,6,4,,,,146.0,
155,62,6,4,,,,147.0,
156,61,6,4,,,,150.0,
157,61,6,4,,,,150.0,
158,61,6,4,,,,150.0,
159,59,6,4,,,,153.0,
160,61,6,4,,,,155.0,
161,61,6,4,,,,155.0,
162,61,6,4,,,,155.0,
163,62,6,4,,,,154.0,
164,64,6,4,,,,150.0,
165,67,6,4,,,,150.0,
166,67,6,4,,,,,153.0
167,67,6,4,,,,,153.0
168,67,6,4,,,,,155.0
169,68,6,7,,,,,151.0
170,69,6,7,,,,,151.0
171,66,6,7,,,,,155.0
172,65,6,7,,,,,161.0
173,65,6,7,,,,,161.0
174,66,6,7,,,,,162.0
175,67,6,7,,,,,163.0
176,68,6,7,,,,,167.0
177,68,6,7,,,,,167.0
178,71,6,7,,,,,168.0
179,72,6,7,,,,,168.0
180,74,4,7,,,,,176.0
181,78,4,7,,,,,176.0
182,79,6,7,,,,,172.0
183,79,4,4,,,,,180.0
184,78,10,4,,,,,175.0
185,79,10,4,,,,,175.0
186,80,10,4,,,,,174.0
187,80,10,4,,,,,175.0
188,79,4,4,,,,,182.0
189,80,4,4,,,,,182.0
190,81,4,4,,,,,182.0
191,81,4,4,,,,,182.0
192,82,4,,,,,,189.0
193,82,4,,,,,,189.0
194,85,4,,,,,187.0,
195,85,4,,,,,187.0,
196,85,4,,,,,189.0,
197,88,4,,,,,187.0,
198,87,4,,,,,191.0,
199,84,4,,,,,196.0,
200,87,4,,,,,,199.0
201,89,4,,,,,,199.0
202,91,6,,,,,,202.0
203,89,6,,,,,,205.0
204,92,6,,,,,,204.0
205,91,8,,,,,,204.0
206,91,8,,,,,,205.0
207,93,8,,,,,,204.0
208,93,6,,,,,,211.0
209,93,6,,,,,,211.0
210,96,6,,,,,,212.0
211,97,6,,,,,,212.0
212,97,6,,,,,,212.0
213,97,6,,,,,,212.0
214,96,8,,,,,,212.0
215,96,8,,,,,,212.0
216,99,10,,,,,,208.0
217,99,10,,,,,,208.0
218,101,10,,,,,,208.0
219,101,10,,,,,,208.0
220,98,10,,,,,,216.0
221,98,10,,,,,,216.0
222,79,4,,,,,,242.0
223,80,4,,,,,,242.0
224,81,4,,,,,,243.0
225,80,4,,,,,,245.0
226,80,4,,,,,,244.0
227,81,4,,,,,,244.0
228,83,6,,,,,,245.0
229,83,6,,,,,,245.0
230,80,6,,,,,,252.0
231,80,6,,,,,,253.0
232,82,6,,,,,,250.0
233,82,6,,,,,,250.0
234,83,6,,,,,,252.0
235,83,6,,,,,,253.0
236,83,6,,,,,,256.0
237,83,6,,,,,,256.0
238,85,6,,,,,,256.0
239,85,6,,,,,,256.0
