day_counter,0,1,2,3,4,5,6,7,8
0,,,3,,,,,,
1,,,3,,,,,,
2,,2,3,,,,,,
3,,2,4,,,,,,
4,1,4,4,,,,,,
5,1,4,4,,,,,,
6,3,2,4,4,,,,,
7,5,2,3,4,,,,,
8,7,2,3,4,,,,,
9,7,4,,4,,,,,
10,5,2,,8,,,,,
11,6,2,7,,,,,,
12,7,,8,,,,,,
13,7,,8,,,,,,
14,8,8,,,,,,,
15,8,8,,,,,,,
16,5,11,,,,,,,
17,5,11,,,,,,,
18,6,10,,,,,,,
19,8,10,,,,,,,
20,6,12,,,,,,,
21,10,12,,,,,,,
22,13,12,,,,,,,
23,13,12,,,,,,,
24,14,12,,,,,,,
25,14,14,,,,,,,
26,15,16,,,,,,,
27,16,17,,,,,,,
28,18,15,3,,,,,,
29,20,13,3,,,,,,
30,23,13,3,,,,,,
31,23,13,3,,,,,,
32,22,17,3,,,,,,
33,22,17,3,,,,,,
34,23,15,3,,,,,,
35,20,3,3,20,,,,,
36,19,5,,21,,,,,
37,19,5,,21,,,,,
38,19,5,,22,,,,,
39,19,5,,23,,,,,
40,17,2,,32,,,,,
41,15,2,,34,,,,,
42,17,2,,35,,,,,
43,17,2,,35,,,,,
44,19,2,,35,,,,,
45,20,4,,30,,,,,
46,22,4,,30,,,,,
47,22,4,,32,,,,,
48,18,2,,41,,,,,
49,,,,,62,,,,
50,1,,,,62,,,,
51,1,,,,62,,,,
52,1,,,,64,,,,
53,2,,,,64,,,,
54,3,,,,65,,,,
55,3,,,,65,,,,
56,3,,,,68,,,,
57,4,,,,68,,,,
58,4,,,,67,,,,
59,4,,,,67,,,,
60,5,,,,67,,,,
61,5,,,,67,,,,
62,6,,,,67,,,,
63,8,,,,69,,,,
64,26,4,,,48,,,,
65,26,6,,,47,,,,
66,29,6,,,47,,,,
67,28,6,,,50,,,,
68,31,6,,,46,,,,
69,32,9,,,45,,,,
70,29,4,,,,55.0,,,
71,29,4,,,,56.0,,,
72,30,4,,,,58.0,,,
73,33,4,,,,54.0,,,
74,32,6,,,,53.0,,,
75,33,6,,,,55.0,,,
76,35,6,,,,56.0,,,
77,37,6,,,,52.0,,,
78,35,8,,,,,55.0,,
79,35,8,,,,,55.0,,
80,34,6,,,,,63.0,,
81,34,6,,,,,63.0,,
82,34,6,,,,,63.0,,
83,35,6,,,,,62.0,,
84,34,2,3,,,,69.0,,
85,35,2,3,,,,68.0,,
86,36,2,3,,,,69.0,,
87,37,2,3,,,,69.0,,
88,41,2,6,,,,64.0,,
89,42,2,6,,,,63.0,,
90,43,2,6,,,,65.0,,
91,42,2,6,,,,67.0,,
92,45,2,6,,,62.0,,,
93,45,2,6,,,63.0,,,
94,45,2,6,,,64.0,,,
95,46,2,6,,,64.0,,,
96,42,2,3,,,78.0,,,
97,43,2,3,,,77.0,,,
98,44,2,3,,,79.0,,,
99,45,2,3,,,80.0,,,
100,45,6,3,,,84.0,,,
101,46,6,3,,,82.0,,,
102,46,6,3,,,83.0,,,
103,46,6,3,,,83.0,,,
104,46,6,3,,,86.0,,,
105,44,6,,4,,90.0,,,
106,45,8,,4,,90.0,,,
107,45,8,,4,,89.0,,,
108,46,8,,4,,89.0,,,
109,46,8,,4,,89.0,,,
110,51,8,3,4,,89.0,,,
111,51,8,3,4,,89.0,,,
112,50,8,3,4,,91.0,,,
113,50,8,3,4,,91.0,,,
114,49,8,3,4,,94.0,,,
115,49,8,3,4,,94.0,,,
116,49,8,3,4,,94.0,,,
117,50,10,3,4,,94.0,,,
118,51,10,3,4,,94.0,,,
119,51,10,3,4,,94.0,,,
120,47,12,3,,,103.0,,,
121,50,12,3,,,99.0,,,
122,50,12,3,,,99.0,,,
123,51,12,8,,,93.0,,,
124,51,6,8,,,102.0,,,
125,52,6,8,,,102.0,,,
126,53,6,8,,,105.0,,,
127,54,6,8,,,104.0,,,
128,54,6,8,,,105.0,,,
129,55,6,8,,,102.0,,,
130,58,6,8,,,102.0,,,
131,58,6,8,,,101.0,,,
132,56,6,8,,,105.0,,,
133,56,6,8,,,107.0,,,
134,56,8,8,,,104.0,,,
135,56,8,5,4,,103.0,,,
136,58,8,5,4,,101.0,,,
137,58,8,5,4,,101.0,,,
138,58,8,6,4,,101.0,,,
139,59,8,6,4,,99.0,,,
140,60,8,6,4,,103.0,,,
141,60,8,6,4,,103.0,,,
142,61,8,6,4,,,102.0,,
143,62,8,6,4,,,100.0,,
144,60,8,6,4,,,104.0,,
145,60,8,6,4,,,104.0,,
146,61,8,6,4,,,104.0,,
147,62,8,6,4,,,105.0,,
148,59,8,,4,,,119.0,,
149,59,8,,4,,,119.0,,
150,59,8,,4,,,119.0,,
151,60,8,,4,,,119.0,,
152,61,8,,4,,,119.0,,
153,65,8,,4,,,117.0,,
154,66,8,,4,,,119.0,,
155,65,8,,4,,,120.0,,
156,64,8,,4,,,123.0,,
157,64,8,,4,,,123.0,,
158,65,8,,4,,,121.0,,
159,64,8,,4,,,123.0,,
160,66,8,,4,,,125.0,,
161,66,8,,4,,,125.0,,
162,67,10,,4,,,120.0,,
163,69,10,,4,,,118.0,,
164,70,10,,4,,,118.0,,
165,73,10,,4,,,118.0,,
166,72,10,,4,,,122.0,,
167,72,10,,4,,,121.0,,
168,72,10,,4,,,123.0,,
169,73,10,,4,,,123.0,,
170,74,10,,4,,,123.0,,
171,71,10,,4,,,127.0,,
172,69,14,,4,,,129.0,,
173,69,14,,4,,,129.0,,
174,70,14,,4,,,130.0,,
175,71,14,,4,,,131.0,,
176,69,14,,4,,,138.0,,
177,69,16,,4,,,136.0,,
178,72,16,,4,,,136.0,,
179,73,16,,4,,,136.0,,
180,73,16,,4,,,145.0,,
181,77,16,,4,,,145.0,,
182,78,16,,4,,,143.0,,
183,82,18,,4,,,140.0,,
184,78,18,,4,,,144.0,,
185,79,18,,4,,,144.0,,
186,81,18,,4,,,142.0,,
187,81,18,,4,,,143.0,,
188,80,18,,4,,,145.0,,
189,81,18,,4,,,145.0,,
190,82,18,,4,,,145.0,,
191,82,18,,4,,,145.0,,
192,83,20,,4,,,145.0,,
193,83,20,,4,,,145.0,,
194,88,24,,4,,,137.0,,
195,88,24,,4,,,137.0,,
196,88,24,,4,,,139.0,,
197,90,26,,4,,,136.0,,
198,91,26,,,,,,142.0,
199,89,26,,,,,,146.0,
200,93,24,,,,,,150.0,
201,95,24,,,,,,150.0,
202,98,22,3,,,,,153.0,
203,95,26,3,,,,,152.0,
204,97,27,3,,,,,152.0,
205,97,35,3,,,,,143.0,
206,97,35,3,,,,,144.0,
207,99,35,3,,,,,144.0,
208,98,35,3,,,,,151.0,
209,98,37,3,,,,,148.0,
210,100,39,3,,,,,148.0,
211,101,39,3,,,,,148.0,
212,101,39,3,,,,,147.0,
213,101,39,3,,,,,147.0,
214,101,39,3,,,,,147.0,
215,100,41,3,,,,,146.0,
216,104,43,3,,,,,140.0,
217,104,43,3,,,,,140.0,
218,106,43,3,,,,,140.0,
219,106,43,3,,,,,140.0,
