date,bug_id,degree,depth,severity,votes,comment_count
9,0,2,2,3,0,5
29,17,1,1,3,1,54
42,25,0,0,3,2,12
47,71,4,2,3,0,8
84,88,61,3,3,4,79
95,137,3,1,3,1,54
102,83,6,2,3,0,5
111,140,13,4,3,0,110
118,170,2,2,3,0,54
138,116,0,0,5,0,10
155,114,1,3,3,0,4
169,84,8,2,3,1,24
188,306,7,4,3,0,6
220,275,4,2,3,0,1
226,296,7,5,3,0,13
242,398,54,5,2,5,25
255,171,14,4,3,0,54
267,421,2,5,3,1,92
311,434,1,1,3,11,2
318,496,12,4,3,4,65
329,424,11,3,3,0,58
364,431,4,5,3,0,3
370,450,10,4,3,1,71
376,457,9,3,3,3,74
392,597,13,4,3,4,139
400,626,3,3,3,0,27
411,567,2,1,3,3,66
427,588,7,3,3,2,32
438,662,4,2,3,0,64
449,260,7,4,3,0,33
462,560,6,5,3,0,2
468,380,6,3,3,0,38
498,366,0,0,3,0,2
518,580,6,4,3,35,20
529,713,3,4,3,1,87
550,622,0,0,3,0,2
567,694,1,1,3,2,10
593,697,0,0,3,0,3
603,682,6,4,3,2,26
615,715,1,1,3,0,94
620,818,0,0,3,0,7
651,704,1,2,3,2,60
659,761,2,1,3,1,21
677,882,0,0,4,22,41
691,795,0,0,3,0,4
697,922,1,2,3,0,24
725,251,6,5,3,0,24
755,709,2,6,3,0,39
785,914,0,0,3,0,7
808,793,4,5,3,0,3
839,896,7,6,2,0,26
851,1000,8,6,4,0,95
862,1029,13,3,3,1,106
891,794,2,4,3,0,10
902,1028,18,5,3,0,118
911,1090,5,6,3,0,21
920,1091,15,4,3,0,59
935,1078,2,4,3,5,8
950,1127,13,4,3,11,3
961,1138,13,2,3,0,13
967,1086,1,4,3,0,29
988,777,3,1,3,0,20
1026,579,2,6,3,9,43
1049,1201,5,1,3,0,7
1075,1199,2,6,3,0,7
1093,1191,12,6,3,16,12
1111,1093,11,4,3,2,35
1123,413,11,2,3,22,122
1166,1007,7,7,3,0,5
1201,999,2,3,3,1,9
1212,1202,5,4,3,0,63
1251,1299,1,1,3,0,8
1265,1307,18,9,3,5,58
1276,1315,3,3,3,9,14
1287,1252,2,1,3,0,73
1298,1094,4,6,3,0,5
1309,1309,0,0,3,0,62
1320,1344,3,7,3,0,30
1331,1355,4,5,3,0,62
1342,1348,11,5,3,0,35
1352,1376,12,5,3,0,8
1363,1208,10,5,3,0,67
1375,1109,3,6,3,0,7
1387,1108,4,5,3,0,12
1393,1082,1,4,3,0,12
1422,1117,2,4,3,0,6
1437,1422,10,6,3,0,32
1448,1428,2,7,3,0,26
1459,1415,3,2,3,0,14
1476,1400,10,3,3,1,13
1482,980,1,2,3,0,7
1510,1317,6,9,3,0,26
1517,1449,15,5,3,1,18
1554,1115,4,4,3,7,5
1585,1319,4,9,3,0,1
1622,1320,1,9,3,0,6
1666,1306,1,9,3,0,11
1677,1495,3,1,3,0,56
1686,1500,13,6,3,0,6
1708,1342,6,6,3,0,4
1724,1343,4,3,3,0,13
1756,598,1,2,3,0,6
1814,1416,2,7,2,0,6
1820,1572,4,2,3,0,18
1833,1589,13,3,3,0,34
1872,1542,2,4,3,0,4
1892,1254,2,2,3,0,17
1898,1613,4,7,3,0,35
1909,1162,9,4,3,0,27
1920,1614,2,2,3,0,13
1931,1575,11,3,3,0,46
1966,1406,1,6,3,4,7
1978,1468,2,4,3,0,55
2033,1541,1,4,3,0,2
2051,1056,0,0,3,2,14
2074,1626,6,4,3,0,5
2083,1512,3,3,3,0,23
2094,1671,28,4,3,0,62
2129,1414,1,1,3,1,7
2160,1404,5,6,3,0,43
2195,1405,1,6,2,0,5
2201,1528,8,5,3,0,12
2208,1092,2,6,3,1,25
2217,1743,1,1,3,0,13
2234,1758,7,6,3,0,4
2258,1759,3,4,3,1,4
2284,1221,2,3,3,0,15
2296,1789,0,0,3,1,26
2344,1223,1,5,3,0,14
2363,1760,0,0,3,0,5
2402,593,6,3,4,0,19
2461,1539,7,4,3,0,4
2510,1424,2,1,3,3,12
2524,1866,8,6,3,1,7
2539,1530,1,2,3,1,14
2588,1079,1,7,3,0,13
2605,1525,2,3,3,0,9
2625,1529,8,4,3,0,13
2674,1308,2,3,3,0,3
2687,1914,2,1,3,3,24
2715,1058,0,0,3,0,9
2744,1750,1,2,3,0,6
2755,1933,20,7,3,0,1
2766,1124,8,2,3,0,69
2777,1152,3,2,3,0,43
2812,1747,1,6,3,0,9
2818,1550,0,0,2,0,8
2854,1289,2,2,3,2,4
2865,1144,4,2,4,0,11
2892,1877,0,0,3,0,5
2909,1356,0,0,3,8,11
2949,1874,5,2,3,0,36
2956,1464,7,4,3,0,3
2969,1794,7,5,3,0,21
2984,966,7,3,3,1,40
2996,1492,7,5,3,0,11
3014,1957,6,2,3,0,6
3057,1359,4,5,3,0,30
3078,1936,5,5,3,1,5
3119,1876,0,0,3,4,13
3152,1878,1,8,3,0,5
3188,1311,0,0,3,0,9
3212,1654,3,7,3,0,1
3223,1548,7,4,3,0,34
3235,1644,0,0,3,0,8
3270,1808,3,7,3,0,5
3291,1955,5,4,3,0,5
3321,1349,5,7,3,0,20
3352,1807,1,7,3,0,6
3363,1918,0,0,3,2,9
3397,1809,2,7,3,0,9
3410,1830,1,4,3,0,12
3438,1749,1,6,3,0,5
3454,1938,2,5,3,0,8
3469,1832,1,4,3,0,3
3501,935,8,4,3,3,139
3542,1728,3,5,3,0,8
3549,2044,11,3,3,0,1
3556,2024,7,4,3,0,2
3567,1564,7,3,3,0,39
3596,1038,3,4,3,1,17
