day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,,,
10,5,,12,,,,,,,,,,,,,,
11,6,4,6,,,,,,,,,,,,,,
12,6,4,7,,,,,,,,,,,,,,
13,6,4,7,,,,,,,,,,,,,,
14,7,6,7,,,,,,,,,,,,,,
15,7,5,7,,,,,,,,,,,,,,
16,6,3,13,,,,,,,,,,,,,,
17,6,3,13,,,,,,,,,,,,,,
18,7,3,13,,,,,,,,,,,,,,
19,9,2,13,,,,,,,,,,,,,,
20,9,2,15,,,,,,,,,,,,,,
21,13,2,14,,,,,,,,,,,,,,
22,16,2,14,,,,,,,,,,,,,,
23,16,2,14,,,,,,,,,,,,,,
24,16,4,15,,,,,,,,,,,,,,
25,16,4,16,,,,,,,,,,,,,,
26,18,4,17,,,,,,,,,,,,,,
27,19,,22,,,,,,,,,,,,,,
28,20,2,23,,,,,,,,,,,,,,
29,21,2,23,,,,,,,,,,,,,,
30,24,2,23,,,,,,,,,,,,,,
31,23,4,23,,,,,,,,,,,,,,
32,25,4,24,,,,,,,,,,,,,,
33,25,4,24,,,,,,,,,,,,,,
34,25,4,24,,,,,,,,,,,,,,
35,21,4,33,,,,,,,,,,,,,,
36,21,4,34,,,,,,,,,,,,,,
37,21,4,34,,,,,,,,,,,,,,
38,21,4,35,,,,,,,,,,,,,,
39,21,4,36,,,,,,,,,,,,,,
40,18,4,5,38,,,,,,,,,,,,,
41,17,4,5,40,,,,,,,,,,,,,
42,19,4,5,41,,,,,,,,,,,,,
43,19,4,5,41,,,,,,,,,,,,,
44,21,4,5,41,,,,,,,,,,,,,
45,22,4,8,35,,,,,,,,,,,,,
46,24,4,8,35,,,,,,,,,,,,,
47,24,4,8,37,,,,,,,,,,,,,
48,22,2,3,49,,,,,,,,,,,,,
49,3,,,,76,,,,,,,,,,,,
50,4,,,,76,,,,,,,,,,,,
51,4,,,,76,,,,,,,,,,,,
52,4,,,,78,,,,,,,,,,,,
53,5,,,,78,,,,,,,,,,,,
54,6,,,,78,,,,,,,,,,,,
55,6,,,,78,,,,,,,,,,,,
56,6,,,,81,,,,,,,,,,,,
57,7,,,,81,,,,,,,,,,,,
58,7,,,,81,,,,,,,,,,,,
59,7,,,,81,,,,,,,,,,,,
60,8,,,,81,,,,,,,,,,,,
61,8,,,,81,,,,,,,,,,,,
62,9,,,,81,,,,,,,,,,,,
63,10,,,,84,,,,,,,,,,,,
64,11,,,,85,,,,,,,,,,,,
65,12,,,,86,,,,,,,,,,,,
66,15,,,,86,,,,,,,,,,,,
67,14,,,,89,,,,,,,,,,,,
68,15,,,,90,,,,,,,,,,,,
69,33,9,,,66,,,,,,,,,,,,
70,30,6,,,74,,,,,,,,,,,,
71,30,6,,,75,,,,,,,,,,,,
72,31,6,,,77,,,,,,,,,,,,
73,31,6,,,77,,,,,,,,,,,,
74,31,6,,,78,,,,,,,,,,,,
75,31,6,,,80,,,,,,,,,,,,
76,33,6,,,80,,,,,,,,,,,,
77,33,6,,,80,,,,,,,,,,,,
78,29,8,,,,86.0,,,,,,,,,,,
79,29,8,,,,86.0,,,,,,,,,,,
80,27,8,,,,93.0,,,,,,,,,,,
81,27,8,,,,93.0,,,,,,,,,,,
82,27,8,,,,93.0,,,,,,,,,,,
83,28,8,,,,93.0,,,,,,,,,,,
84,29,6,,,,99.0,,,,,,,,,,,
85,30,6,,,,99.0,,,,,,,,,,,
86,31,6,,,,100.0,,,,,,,,,,,
87,32,6,,,,100.0,,,,,,,,,,,
88,34,6,,,,101.0,,,,,,,,,,,
89,33,6,,,,103.0,,,,,,,,,,,
90,36,8,,,5,94.0,,,,,,,,,,,
91,36,8,,,,,100.0,,,,,,,,,,
92,36,8,,,,,100.0,,,,,,,,,,
93,37,8,,,,,101.0,,,,,,,,,,
94,37,8,,,,,102.0,,,,,,,,,,
95,38,8,,,,,102.0,,,,,,,,,,
96,37,2,,,,,116.0,,,,,,,,,,
97,38,2,,,,,116.0,,,,,,,,,,
98,39,2,,,,,118.0,,,,,,,,,,
99,41,2,,,,,117.0,,,,,,,,,,
100,41,2,,,,,126.0,,,,,,,,,,
101,41,2,,,,,126.0,,,,,,,,,,
102,41,2,,,,,126.0,,,,,,,,,,
103,41,2,,,,,126.0,,,,,,,,,,
104,41,2,,,,,129.0,,,,,,,,,,
105,41,2,,,,,133.0,,,,,,,,,,
106,43,2,,,,,134.0,,,,,,,,,,
107,43,2,,,,,134.0,,,,,,,,,,
108,44,2,,,,,134.0,,,,,,,,,,
109,44,2,,,,,134.0,,,,,,,,,,
110,49,2,,,,,138.0,,,,,,,,,,
111,49,2,,,,,138.0,,,,,,,,,,
112,47,2,,,,,141.0,,,,,,,,,,
113,47,2,,,,,141.0,,,,,,,,,,
114,47,2,,,,,144.0,,,,,,,,,,
115,47,2,,,,,144.0,,,,,,,,,,
116,47,2,,,,,144.0,,,,,,,,,,
117,49,2,,,,,144.0,,,,,,,,,,
118,50,2,,,,,144.0,,,,,,,,,,
119,50,2,,,,,143.0,,,,,,,,,,
120,48,4,,,,,148.0,,,,,,,,,,
121,48,4,,,,,148.0,,,,,,,,,,
122,48,4,,,,,148.0,,,,,,,,,,
123,48,4,,,,,149.0,,,,,,,,,,
124,48,4,,,,,,152.0,,,,,,,,,
125,49,4,,,,,,152.0,,,,,,,,,
126,50,4,,,,,,154.0,,,,,,,,,
127,51,4,,,,,,154.0,,,,,,,,,
128,49,4,,,,,,157.0,,,,,,,,,
129,49,4,,,,,,157.0,,,,,,,,,
130,52,4,,,,,,157.0,,,,,,,,,
131,52,4,,,,,,156.0,,,,,,,,,
132,53,4,,,,,,157.0,,,,,,,,,
133,54,4,,,,,,159.0,,,,,,,,,
134,53,4,,,,,,161.0,,,,,,,,,
135,53,4,,,,,,162.0,,,,,,,,,
136,54,4,,,,,,161.0,,,,,,,,,
137,54,4,,,,,,161.0,,,,,,,,,
138,54,4,,,,,,162.0,,,,,,,,,
139,54,4,,,,,,162.0,,,,,,,,,
140,56,4,,,,,,165.0,,,,,,,,,
141,56,4,,,,,,165.0,,,,,,,,,
142,56,4,,,,,,166.0,,,,,,,,,
143,56,4,,,,,,166.0,,,,,,,,,
144,57,4,,,,,,,167.0,,,,,,,,
145,57,4,,,,,,,167.0,,,,,,,,
146,58,4,,,,,,,168.0,,,,,,,,
147,59,4,,,,,,,169.0,,,,,,,,
148,56,4,,,,,,,177.0,,,,,,,,
149,56,4,,,,,,,177.0,,,,,,,,
150,56,4,,,,,,,177.0,,,,,,,,
151,57,4,,,,,,,176.0,,,,,,,,
