day_counter,0,1,2,3,4,5,6,7,8,9,10,11
0,,,3,,,,,,,,,
1,,,3,,,,,,,,,
2,,2,3,,,,,,,,,
3,,2,4,,,,,,,,,
4,1,4,4,,,,,,,,,
5,1,4,4,,,,,,,,,
6,3,5,5,,,,,,,,,
7,5,5,5,,,,,,,,,
8,7,5,5,,,,,,,,,
9,7,9,,,,,,,,,,
10,5,6,6,,,,,,,,,
11,7,3,6,,,,,,,,,
12,7,3,7,,,,,,,,,
13,6,2,7,,,,,,,,,
14,7,4,7,,,,,,,,,
15,8,2,7,,,,,,,,,
16,7,3,10,,,,,,,,,
17,7,3,10,,,,,,,,,
18,8,3,10,,,,,,,,,
19,10,3,10,,,,,,,,,
20,9,3,13,,,,,,,,,
21,13,3,12,,,,,,,,,
22,16,3,12,,,,,,,,,
23,16,3,12,,,,,,,,,
24,15,6,13,,,,,,,,,
25,14,6,15,,,,,,,,,
26,16,6,16,,,,,,,,,
27,17,6,17,,,,,,,,,
28,17,10,17,,,,,,,,,
29,18,10,17,,,,,,,,,
30,21,10,17,,,,,,,,,
31,21,7,21,,,,,,,,,
32,21,7,,24,,,,,,,,
33,21,7,,24,,,,,,,,
34,22,9,,20,,,,,,,,
35,20,7,,,29,,,,,,,
36,20,7,,,30,,,,,,,
37,20,7,,,30,,,,,,,
38,20,7,,,30,,,,,,,
39,20,7,,,,31.0,,,,,,
40,18,4,,,,40.0,,,,,,
41,17,4,,,,42.0,,,,,,
42,19,4,,,,43.0,,,,,,
43,19,4,,,,43.0,,,,,,
44,21,4,,,,43.0,,,,,,
45,22,4,,14,,27.0,,,,,,
46,24,4,,14,,27.0,,,,,,
47,25,4,,15,,26.0,,,,,,
48,24,4,,,,45.0,,,,,,
49,3,,,,,,73.0,,,,,
50,4,,,,,,72.0,,,,,
51,4,,,,,,71.0,,,,,
52,4,,,,,,73.0,,,,,
53,5,,,,,,73.0,,,,,
54,6,,,,,,75.0,,,,,
55,6,,,,,,75.0,,,,,
56,6,,,,,,78.0,,,,,
57,7,,,,,,78.0,,,,,
58,7,,,,,,78.0,,,,,
59,7,,,,,,78.0,,,,,
60,8,,,,,,78.0,,,,,
61,8,,,,,,78.0,,,,,
62,9,,,,,,78.0,,,,,
63,11,,,,,,80.0,,,,,
64,12,,,,,,81.0,,,,,
65,32,4,,,,57.0,,,,,,
66,35,4,,,,57.0,,,,,,
67,35,4,,,,59.0,,,,,,
68,36,4,8,,,51.0,,,,,,
69,38,4,8,,,53.0,,,,,,
70,34,6,8,,,57.0,,,,,,
71,34,6,8,,,58.0,,,,,,
72,35,6,8,,,60.0,,,,,,
73,35,6,8,,,60.0,,,,,,
74,35,6,8,,,61.0,,,,,,
75,36,6,8,,,62.0,,,,,,
76,37,8,8,,,61.0,,,,,,
77,37,8,8,,,61.0,,,,,,
78,34,6,8,,,,70.0,,,,,
79,34,8,8,,,,67.0,,,,,
80,31,6,3,,,,81.0,,,,,
81,31,6,3,,,,81.0,,,,,
82,31,6,3,,,,81.0,,,,,
83,32,6,3,,,,81.0,,,,,
84,31,8,3,,,,84.0,,,,,
85,32,8,3,,,,84.0,,,,,
86,33,8,3,,,,85.0,,,,,
87,34,8,3,,,,85.0,,,,,
88,37,8,3,,,,84.0,,,,,
89,36,8,3,,,,86.0,,,,,
90,36,11,3,,,,86.0,,,,,
91,38,8,3,,,,87.0,,,,,
92,38,8,3,,,,87.0,,,,,
93,39,8,3,,,,88.0,,,,,
94,39,8,3,,,,89.0,,,,,
95,40,10,3,,,,86.0,,,,,
96,38,8,,,,,100.0,,,,,
97,41,10,,,,,95.0,,,,,
98,42,10,,,,,97.0,,,,,
99,43,10,,,,,98.0,,,,,
100,40,10,,,,,109.0,,,,,
101,40,10,,,,,109.0,,,,,
102,40,10,,,,,110.0,,,,,
103,40,10,,,,,110.0,,,,,
104,40,10,,,,,113.0,,,,,
105,40,10,,,,,117.0,,,,,
106,42,10,,,,,118.0,,,,,
107,42,10,,,,,117.0,,,,,
108,43,10,,,,,117.0,,,,,
109,43,10,,,,,117.0,,,,,
110,48,15,,,,,115.0,,,,,
111,48,15,,,,,115.0,,,,,
112,47,12,,,,,120.0,,,,,
113,47,12,,,,,120.0,,,,,
114,47,12,,,,,122.0,,,,,
115,47,12,,,,,122.0,,,,,
116,47,12,,,,,122.0,,,,,
117,49,12,,,,,123.0,,,,,
118,50,12,,,,,123.0,,,,,
119,50,12,,,,,123.0,,,,,
120,49,12,,,,,129.0,,,,,
121,50,12,,,,,127.0,,,,,
122,50,12,,,,,127.0,,,,,
123,50,12,,,,,127.0,,,,,
124,48,10,,,,,134.0,,,,,
125,49,10,,,,,134.0,,,,,
126,50,10,,,,,137.0,,,,,
127,51,10,,,,,137.0,,,,,
128,50,10,,,,,138.0,,,,,
129,50,10,,,,,138.0,,,,,
130,53,10,,,,,138.0,,,,,
131,53,10,,,,,137.0,,,,,
132,52,10,,,,,140.0,,,,,
133,53,10,,,,,142.0,,,,,
134,53,8,,,,,144.0,,,,,
135,53,8,,,,,145.0,,,,,
136,54,8,,,,,145.0,,,,,
137,54,8,,,,,145.0,,,,,
138,54,8,,,,,146.0,,,,,
139,54,8,,,,,146.0,,,,,
140,55,8,,,,,149.0,,,,,
141,55,8,,,,,149.0,,,,,
142,55,8,,,,,150.0,,,,,
143,55,8,,,,,150.0,,,,,
144,55,8,,,,,152.0,,,,,
145,55,8,,,,,152.0,,,,,
146,56,12,,,,,148.0,,,,,
147,57,12,,,,,149.0,,,,,
148,56,8,,,,,159.0,,,,,
149,56,8,,,,,159.0,,,,,
150,57,8,,,,,156.0,,,,,
151,58,8,,,,,156.0,,,,,
152,56,8,,,,,160.0,,,,,
153,59,8,,,,,161.0,,,,,
154,60,6,,,,,165.0,,,,,
155,60,6,,,,,165.0,,,,,
156,59,6,,,,,168.0,,,,,
157,59,6,,,,,168.0,,,,,
158,59,6,,,,,168.0,,,,,
159,59,4,,,,,170.0,,,,,
160,61,4,,,,,172.0,,,,,
161,61,4,,,,,171.0,,,,,
162,61,4,,,,,171.0,,,,,
163,62,4,,,,,171.0,,,,,
164,63,4,,,,,171.0,,,,,
165,66,4,,,,,170.0,,,,,
166,67,4,,,,,171.0,,,,,
167,67,4,,,,,171.0,,,,,
168,66,7,,,,,171.0,,,,,
169,67,7,,,,,171.0,,,,,
170,68,7,,,,,170.0,,,,,
171,68,7,,,,,171.0,,,,,
172,63,7,,,,,181.0,,,,,
173,64,7,,,,,179.0,,,,,
174,64,9,,,,,179.0,,,,,
175,65,9,,,,,180.0,,,,,
176,64,9,,,,,186.0,,,,,
177,64,9,,,,,187.0,,,,,
178,67,9,,,,,188.0,,,,,
179,68,9,,,,,186.0,,,,,
180,69,9,,,,,194.0,,,,,
181,73,9,,,,,194.0,,,,,
182,73,9,,,,,194.0,,,,,
183,74,6,,,,,200.0,,,,,
184,72,6,,,,,202.0,,,,,
185,74,10,,,,,196.0,,,,,
186,75,10,,,,,196.0,,,,,
187,75,10,,,,,197.0,,,,,
