n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,4,2,0.8,0.5,0.2,2,0.8,0.5,0.2,2,0,1.6,0.0,4.8,3.2,0.3236074270557029,1.0,0.3236078159842784,1.0,0.2,0.6180327868852459,0.2,0.6180320441015443,0.2,0.5,2
6,5,2,0.8333333333333334,0.4,0.16666666666666669,2,0.8333333333333334,0.4,0.16666666666666669,1,0,1.6666666666666667,0.3333333333333333,4.333333333333333,3.1666666666666665,0.4023695703493862,1.0,0.23570316582476922,1.0,0.16666666666666666,0.41421290015034284,0.16666666666666666,0.7071040649092217,0.16666666666666669,0.6000000000000001,3
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.7777777777777778,0.25,0.09722222222222222,3,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.09027777777777778,0.4375,4
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.7777777777777778,0.25,0.09722222222222222,0,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.09027777777777778,0.4375,5
13,8,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,2,0.7692307692307693,0.16666666666666666,0.0641025641025641,4,0,1.3846153846153846,0.15384615384615385,5.615384615384615,3.076923076923077,0.1857088371888883,1.0,0.10878580230026687,1.0,0.07692307692307693,0.41421333571130414,0.07692307692307696,0.7071058474225935,0.05769230769230769,0.29166666666666663,6
15,8,2,0.5333333333333333,0.14285714285714285,0.03809523809523809,2,0.6666666666666666,0.14285714285714285,0.047619047619047616,2,0,1.2,0.13333333333333333,6.8,3.066666666666667,0.16094765889703655,1.0,0.09428102866023129,1.0,0.06666666666666667,0.41421333571130414,0.0666666666666667,0.7071058474225935,0.04285714285714285,0.25,7
17,8,2,0.47058823529411764,0.125,0.029411764705882353,2,0.5882352941176471,0.125,0.03676470588235294,2,0,1.0588235294117647,0.11764705882352941,6.294117647058823,3.0588235294117645,0.14201264020326754,1.0,0.08318914293549821,1.0,0.058823529411764705,0.41421333571130414,0.05882352941176473,0.7071058474225935,0.03308823529411765,0.21875,8
16,6,1,0.375,0.06666666666666667,0.025,2,0.5,0.13333333333333333,0.03333333333333333,0,1,1.0,0.125,6.375,3.0625,0.1250004768371582,1.0,0.0625004768371582,1.0,0.0625,0.49999809265864315,0.0625,0.999992370663676,0.029166666666666667,0.16666666666666666,9
16,9,4,0.5625,0.26666666666666666,0.0375,3,0.625,0.2,0.041666666666666664,1,1,1.8125,0.1875,9.5625,3.0625,0.06250047683988669,1.0,0.25000095368523034,1.0,0.0625,0.9999923706200209,0.0625,0.24999904631840772,0.04513888888888888,0.16666666666666666,10
16,8,4,0.5,0.26666666666666666,0.03333333333333333,3,0.5625,0.2,0.0375,1,1,1.6875,0.1875,9.1875,3.0625,0.06250005960464478,1.0,0.2500002384185791,1.0,0.0625,0.9999990463265931,0.0625,0.24999976158164827,0.040972222222222215,0.12222222222222222,11
17,9,4,0.5294117647058824,0.25,0.03308823529411765,3,0.5882352941176471,0.1875,0.03676470588235294,1,0,1.7058823529411764,0.23529411764705882,9.058823529411764,3.0588235294117645,0.0588235995348762,1.0,0.2352943981395048,1.0,0.058823529411764705,0.9999988079085256,0.058823529411764705,0.2499997019771314,0.03982843137254902,0.11458333333333333,12
16,8,4,0.5,0.26666666666666666,0.03333333333333333,3,0.5,0.2,0.03333333333333333,0,1,1.5625,0.25,9.125,3.1875,0.06250005960464478,1.0,0.2500002384185791,1.0,0.0625,0.9999990463265931,0.0625,0.24999976158164827,0.03888888888888888,0.12222222222222222,13
18,9,4,0.5,0.23529411764705882,0.029411764705882353,3,0.5555555555555556,0.1764705882352941,0.032679738562091505,3,1,1.5555555555555556,0.2777777777777778,8.722222222222221,3.388888888888889,0.05555597941323261,1.0,0.22222306994242697,1.0,0.05555555555555555,0.9999923706200209,0.05555555555555555,0.24999904631840772,0.03540305010893246,0.14705882352941177,14
17,8,4,0.47058823529411764,0.25,0.029411764705882353,3,0.5294117647058824,0.1875,0.03308823529411765,0,1,1.5294117647058822,0.17647058823529413,9.117647058823529,3.411764705882353,0.0588239782013903,1.0,0.23529501522973398,1.0,0.058823529411764705,0.9999923706345726,0.058823529411764705,0.24999904632204564,0.03615196078431373,0.15625,15
20,15,6,0.75,0.3157894736842105,0.039473684210526314,3,0.65,0.15789473684210525,0.034210526315789476,3,0,1.95,0.25,8.8,3.4,0.08603810294609238,1.0,0.25811419756829207,1.0,0.05,0.5811378713373976,0.049999999999999996,0.193712707286359,0.04649122807017544,0.15789473684210525,16
20,15,6,0.75,0.3157894736842105,0.039473684210526314,3,0.65,0.15789473684210525,0.034210526315789476,0,0,1.95,0.25,8.8,3.4,0.08603810294609238,1.0,0.25811419756829207,1.0,0.05,0.5811378713373976,0.049999999999999996,0.193712707286359,0.04649122807017544,0.15789473684210525,17
21,15,6,0.7142857142857143,0.30000000000000004,0.03571428571428572,3,0.6190476190476191,0.15000000000000002,0.030952380952380953,1,0,1.8571428571428572,0.23809523809523808,8.476190476190476,3.380952380952381,0.08194105042484988,1.0,0.2458230453031353,1.0,0.047619047619047616,0.5811378713373976,0.047619047619047616,0.193712707286359,0.04206349206349207,0.15000000000000002,18
23,15,6,0.6521739130434783,0.2727272727272727,0.02964426877470356,3,0.5652173913043478,0.13636363636363635,0.02569169960474308,2,0,1.6956521739130435,0.21739130434782608,8.304347826086957,3.347826086956522,0.07481574169225425,1.0,0.22444712832025399,1.0,0.043478260869565216,0.5811378713373976,0.04347826086956521,0.193712707286359,0.03491436100131753,0.13636363636363635,19
24,18,6,0.75,0.2608695652173913,0.03260869565217391,3,0.5416666666666666,0.13043478260869565,0.023550724637681156,2,1,1.75,0.20833333333333334,8.625,3.3333333333333335,0.10365773264937768,1.0,0.20250372140415882,1.0,0.041666666666666664,0.4019639017921044,0.041666666666666664,0.2057575356035455,0.03743961352657005,0.13043478260869565,20
27,14,6,0.5185185185185185,0.23076923076923078,0.019943019943019943,3,0.37037037037037035,0.11538461538461539,0.014245014245014245,4,1,1.3333333333333333,0.14814814814814814,6.185185185185185,3.2962962962962963,0.06454090474711906,1.0,0.19560067365816997,1.0,0.037037037037037035,0.5738537007213286,0.037037037037037035,0.18935025296366126,0.022554605887939224,0.09615384615384616,21
30,14,6,0.4666666666666667,0.20689655172413793,0.016091954022988506,3,0.3333333333333333,0.10344827586206896,0.011494252873563218,3,0,1.2,0.13333333333333333,5.766666666666667,3.2666666666666666,0.05808681427240715,1.0,0.176040606292353,1.0,0.03333333333333333,0.5738537007213286,0.03333333333333333,0.18935025296366126,0.018199233716475097,0.08620689655172414,22
30,14,6,0.4666666666666667,0.20689655172413793,0.016091954022988506,3,0.3333333333333333,0.10344827586206896,0.011494252873563218,0,0,1.2,0.13333333333333333,5.766666666666667,3.2666666666666666,0.05808681427240715,1.0,0.176040606292353,1.0,0.03333333333333333,0.5738537007213286,0.03333333333333333,0.18935025296366126,0.018199233716475097,0.08620689655172414,23
33,17,6,0.5151515151515151,0.1875,0.016098484848484848,3,0.42424242424242425,0.09375,0.013257575757575758,3,0,1.2727272727272727,0.15151515151515152,5.666666666666667,3.3333333333333335,0.056701579818665,0.9999999999999999,0.16340898143959304,1.0,0.030303030303030304,0.5344300881905086,0.030303030303030304,0.18544286878278077,0.018623737373737376,0.09375,24
35,21,6,0.6,0.1764705882352941,0.01764705882352941,3,0.45714285714285713,0.08823529411764705,0.013445378151260503,2,0,1.6285714285714286,0.14285714285714285,5.485714285714286,3.3714285714285714,0.06478044072532022,1.0,0.17164098263525518,1.0,0.028571428571428567,0.4410502344770415,0.02857142857142857,0.16646041133511888,0.02030812324929972,0.11764705882352941,25
37,18,6,0.4864864864864865,0.16666666666666666,0.013513513513513514,3,0.40540540540540543,0.08333333333333333,0.01126126126126126,3,1,1.4594594594594594,0.13513513513513514,5.216216216216216,3.4054054054054053,0.032232740572495436,1.0,0.14034240195953157,1.0,0.02702702702702702,0.8384960926992814,0.02702702702702703,0.19257919666232018,0.015515515515515516,0.08333333333333333,26
39,19,6,0.48717948717948717,0.15789473684210525,0.01282051282051282,3,0.41025641025641024,0.07894736842105263,0.010796221322537112,2,0,1.4615384615384615,0.1282051282051282,5.051282051282051,3.3846153846153846,0.035187369345981025,1.0,0.13775286633802597,1.0,0.02564102564102564,0.7286997043998763,0.025641025641025647,0.18613787373473747,0.014619883040935672,0.07894736842105263,27
43,21,6,0.4883720930232558,0.14285714285714285,0.011627906976744184,3,0.46511627906976744,0.07142857142857142,0.011074197120708748,4,0,1.4651162790697674,0.11627906976744186,5.0,3.395348837209302,0.03191412568588976,1.0,0.12493864621355844,1.0,0.023255813953488372,0.7286997043998763,0.02325581395348838,0.18613787373473747,0.013658176448874123,0.07142857142857142,28
43,15,4,0.3488372093023256,0.09523809523809523,0.00830564784053156,3,0.3953488372093023,0.07142857142857142,0.009413067552602435,1,1,1.0232558139534884,0.18604651162790697,4.813953488372093,3.4186046511627906,0.043400061197592335,1.0,0.08991176458287391,0.9999999999999999,0.02325581395348837,0.5358474921869122,0.02325581395348838,0.2586515130848412,0.009874492432631969,0.05952380952380952,29
46,15,4,0.32608695652173914,0.08888888888888889,0.007246376811594203,3,0.3695652173913043,0.06666666666666667,0.00821256038647343,3,0,0.9565217391304348,0.17391304347826086,4.586956521739131,3.4130434782608696,0.04056962242383631,1.0,0.08404795384920823,0.9999999999999999,0.021739130434782605,0.5358474921869122,0.021739130434782615,0.2586515130848412,0.008615136876006443,0.05555555555555556,30
47,16,4,0.3404255319148936,0.08695652173913043,0.007400555041628122,3,0.3829787234042553,0.06521739130434782,0.008325624421831638,1,0,0.9787234042553191,0.1702127659574468,4.787234042553192,3.4468085106382977,0.03970643896871458,1.0,0.0822596995145328,0.9999999999999999,0.021276595744680847,0.5358474921774038,0.021276595744680857,0.258651513076849,0.008711069996916435,0.05434782608695652,31
50,22,4,0.44,0.08163265306122448,0.008979591836734694,3,0.42,0.061224489795918366,0.00857142857142857,4,1,1.22,0.16,4.92,3.46,0.07422870135777732,1.0,0.08371146704230573,1.0,0.02,0.2694375576315333,0.02,0.2389158941616982,0.010544217687074831,0.08163265306122448,32
50,22,4,0.44,0.08163265306122448,0.008979591836734694,3,0.42,0.061224489795918366,0.00857142857142857,0,0,1.22,0.16,4.92,3.46,0.07422870135777732,1.0,0.08371146704230573,1.0,0.02,0.2694375576315333,0.02,0.2389158941616982,0.010544217687074831,0.08163265306122448,33
49,21,4,0.42857142857142855,0.08333333333333333,0.008928571428571428,3,0.40816326530612246,0.0625,0.008503401360544217,0,1,1.2040816326530612,0.16326530612244897,4.877551020408164,3.4693877551020407,0.07574357281405848,1.0,0.08541986432888339,1.0,0.02040816326530612,0.2694375576315333,0.02040816326530612,0.2389158941616982,0.010558390022675737,0.08333333333333333,34
53,37,5,0.6981132075471698,0.09615384615384616,0.013425253991291727,3,0.4716981132075472,0.057692307692307696,0.0090711175616836,5,1,1.5471698113207548,0.16981132075471697,6.415094339622642,3.4150943396226414,0.07658856933377625,1.0,0.08994730065213725,1.0,0.018867924528301886,0.24635431491185933,0.01886792452830189,0.2097664342510046,0.015179003386550555,0.12179487179487179,35
54,40,5,0.7407407407407407,0.09433962264150943,0.01397624039133473,3,0.5,0.05660377358490566,0.009433962264150943,1,0,1.5740740740740742,0.2777777777777778,6.37037037037037,3.4074074074074074,0.0843976605410636,1.0,0.08087616938886051,1.0,0.018518518518518517,0.21941980855628518,0.018518518518518517,0.2289737342712125,0.01618914511996273,0.1289308176100629,36
54,40,5,0.7407407407407407,0.09433962264150943,0.01397624039133473,3,0.5,0.05660377358490566,0.009433962264150943,0,0,1.5740740740740742,0.2777777777777778,6.37037037037037,3.4074074074074074,0.0843976605410636,1.0,0.08087616938886051,1.0,0.018518518518518517,0.21941980855628518,0.018518518518518517,0.2289737342712125,0.01618914511996273,0.1289308176100629,37
55,41,5,0.7454545454545455,0.09259259259259259,0.013804713804713804,3,0.5272727272727272,0.05555555555555555,0.009764309764309764,1,0,1.6,0.2727272727272727,6.327272727272727,3.418181818181818,0.08564343951529561,1.0,0.08006298005563436,1.0,0.018181818181818177,0.21229668360728288,0.01818181818181818,0.2270939474047051,0.016778900112233444,0.13580246913580246,38
55,38,5,0.6909090909090909,0.09259259259259259,0.012794612794612794,3,0.509090909090909,0.05555555555555555,0.009427609427609425,1,1,1.5454545454545454,0.2727272727272727,6.2727272727272725,3.4545454545454546,0.08343899074148296,1.0,0.07764162303493981,1.0,0.01818181818181818,0.21790553816920527,0.01818181818181818,0.2341761734377463,0.015600448933782264,0.12037037037037036,39
