day_counter,0,1,2,3,4,5,6,7,8,9,10
0,,,3,,,,,,,,
1,,,3,,,,,,,,
2,,,5,,,,,,,,
3,,,6,,,,,,,,
4,1,2,6,,,,,,,,
5,1,2,6,,,,,,,,
6,3,3,7,,,,,,,,
7,5,3,7,,,,,,,,
8,7,3,7,,,,,,,,
9,7,3,6,,,,,,,,
10,5,,12,,,,,,,,
11,6,5,6,,,,,,,,
12,6,5,7,,,,,,,,
13,6,4,7,,,,,,,,
14,7,6,7,,,,,,,,
15,7,6,7,,,,,,,,
16,6,,17,,,,,,,,
17,6,,17,,,,,,,,
18,7,,17,,,,,,,,
19,9,,17,,,,,,,,
20,9,,,19,,,,,,,
21,14,,,17,,,,,,,
22,17,,,17,,,,,,,
23,17,,,17,,,,,,,
24,17,,,20,,,,,,,
25,17,,,22,,,,,,,
26,19,,,23,,,,,,,
27,19,2,,23,,,,,,,
28,21,,3,24,,,,,,,
29,22,,3,24,,,,,,,
30,25,,3,23,,,,,,,
31,24,2,3,23,,,,,,,
32,24,2,3,27,,,,,,,
33,24,2,3,27,,,,,,,
34,26,8,3,17,,,,,,,
35,21,5,3,,30,,,,,,
36,21,5,3,,31,,,,,,
37,21,5,3,,31,,,,,,
38,22,5,3,,30,,,,,,
39,22,5,3,,31,,,,,,
40,19,5,3,,38,,,,,,
41,19,5,3,,39,,,,,,
42,21,5,3,,40,,,,,,
43,21,5,3,,40,,,,,,
44,23,5,3,,40,,,,,,
45,23,5,3,,39,,,,,,
46,25,5,3,,39,,,,,,
47,25,5,3,,41,,,,,,
48,22,2,3,,50,,,,,,
49,3,,,,,77.0,,,,,
50,4,,,,,77.0,,,,,
51,4,,,,,77.0,,,,,
52,4,,,,,79.0,,,,,
53,5,,,,,79.0,,,,,
54,6,,,,,80.0,,,,,
55,6,,,,,80.0,,,,,
56,6,,,,,83.0,,,,,
57,7,,,,,83.0,,,,,
58,7,,,,,83.0,,,,,
59,7,,,,,83.0,,,,,
60,8,,,,,83.0,,,,,
61,8,,,,,83.0,,,,,
62,9,,,,,83.0,,,,,
63,10,,,,,86.0,,,,,
64,11,,,,,87.0,,,,,
65,12,,,,,88.0,,,,,
66,15,,,,,88.0,,,,,
67,15,,,,,90.0,,,,,
68,16,,,,,90.0,,,,,
69,36,7,,,66,,,,,,
70,34,7,,,,70.0,,,,,
71,34,7,,,,71.0,,,,,
72,35,7,,,,73.0,,,,,
73,35,7,,,,73.0,,,,,
74,35,7,,,,74.0,,,,,
75,34,7,,,,77.0,,,,,
76,35,9,,,,77.0,,,,,
77,35,9,,,,77.0,,,,,
78,31,4,3,,,86.0,,,,,
79,31,4,3,,,85.0,,,,,
80,31,2,3,,,92.0,,,,,
81,31,2,3,,,92.0,,,,,
82,31,2,3,,,92.0,,,,,
83,32,2,3,,,92.0,,,,,
84,32,2,6,,,,93.0,,,,
85,33,2,6,,,,93.0,,,,
86,34,2,6,,,,94.0,,,,
87,35,2,6,,,,94.0,,,,
88,37,2,6,,,,95.0,,,,
89,37,2,6,,,,96.0,,,,
90,38,4,6,,,,95.0,,,,
91,37,4,6,,,,97.0,,,,
92,37,4,6,,,,97.0,,,,
93,38,4,6,,,,98.0,,,,
94,38,4,6,,,,99.0,,,,
95,39,4,6,,,,99.0,,,,
96,36,,3,,,,116.0,,,,
97,37,,3,,,,116.0,,,,
98,38,,3,,,,118.0,,,,
99,40,,3,,,,117.0,,,,
100,41,,3,,,,125.0,,,,
101,41,,3,,,,125.0,,,,
102,41,,3,,,,126.0,,,,
103,41,,3,,,,126.0,,,,
104,41,,3,,,,129.0,,,,
105,41,,3,,,132.0,,,,,
106,43,,3,,,133.0,,,,,
107,43,,3,,,133.0,,,,,
108,44,,3,,,133.0,,,,,
109,44,,3,,,133.0,,,,,
110,48,2,3,,,136.0,,,,,
111,48,2,3,,,136.0,,,,,
112,46,2,3,,,139.0,,,,,
113,46,2,3,,,139.0,,,,,
114,46,2,3,,,142.0,,,,,
115,46,2,3,,,142.0,,,,,
116,46,2,3,,,142.0,,,,,
117,47,4,3,,,142.0,,,,,
118,48,4,3,,,141.0,,,,,
119,48,4,3,,,141.0,,,,,
120,46,4,3,,,148.0,,,,,
121,46,4,3,,,148.0,,,,,
122,46,4,3,,,148.0,,,,,
123,46,4,3,,,149.0,,,,,
124,45,4,3,,,153.0,,,,,
125,46,4,3,,,152.0,,,,,
126,47,4,3,,,155.0,,,,,
127,48,4,3,,,155.0,,,,,
128,48,,3,,,,160.0,,,,
129,48,,3,,,,159.0,,,,
130,51,,3,,,,159.0,,,,
131,51,,3,,,,159.0,,,,
132,50,,3,,,,162.0,,,,
133,51,,3,,,,164.0,,,,
134,51,,3,,,,164.0,,,,
135,51,,3,,,,165.0,,,,
136,52,,3,,,,165.0,,,,
137,52,,3,,,,165.0,,,,
138,52,,3,,,,166.0,,,,
139,52,,3,,,,166.0,,,,
140,54,,3,,,,169.0,,,,
141,54,,3,,,,169.0,,,,
142,54,,3,,,,170.0,,,,
143,54,,3,,,,170.0,,,,
144,55,,3,,,,171.0,,,,
145,55,,3,,,,171.0,,,,
146,56,,3,,,,171.0,,,,
147,57,,3,,,,171.0,,,,
148,55,,3,,,,178.0,,,,
149,55,,3,,,,178.0,,,,
150,55,,3,,,,178.0,,,,
151,56,,3,,,,178.0,,,,
152,56,,3,,,,180.0,,,,
153,59,,3,,,,181.0,,,,
154,59,,3,,,,184.0,,,,
155,59,,3,,,,185.0,,,,
156,59,,3,,,,187.0,,,,
157,59,,3,,,,188.0,,,,
158,59,,3,,,,188.0,,,,
159,59,,3,,,,189.0,,,,
160,61,,3,,,,191.0,,,,
161,61,,3,,,,191.0,,,,
162,61,,3,,,,191.0,,,,
163,62,4,3,,,,186.0,,,,
164,63,4,3,,,,186.0,,,,
165,66,4,3,,,,186.0,,,,
166,65,4,3,,,,189.0,,,,
167,65,4,3,,,,189.0,,,,
168,65,4,3,,,,191.0,,,,
169,66,4,3,,,,191.0,,,,
170,67,4,3,,,,191.0,,,,
171,66,4,3,,,,,193.0,,,
172,59,4,3,,,,,205.0,,,
173,59,4,3,,,,,205.0,,,
174,59,6,3,,,,,204.0,,,
175,60,6,3,,,,,205.0,,,
176,61,6,3,,,,,209.0,,,
177,61,6,3,,,,,209.0,,,
178,64,6,3,,,,,210.0,,,
179,65,6,3,,,,,210.0,,,
180,67,4,3,,,,,219.0,,,
181,71,4,3,,,,,219.0,,,
182,71,4,3,,,,,219.0,,,
183,72,4,3,,,,,221.0,,,
184,71,4,3,,,,,,223.0,,
185,72,4,3,,,,,,223.0,,
186,73,4,3,,,,,,222.0,,
187,73,4,3,,,,,,223.0,,
188,72,4,,,,,,,228.0,,
189,73,4,,,,,,,228.0,,
190,74,4,,,,,,,228.0,,
191,74,4,,,,,,,228.0,,
192,74,4,,,,,,,231.0,,
193,74,4,,,,,,,231.0,,
194,76,4,,,,,,,231.0,,
195,76,4,,,,,,,231.0,,
196,74,4,,,,,,,235.0,,
197,76,4,,,,,,,234.0,,
