day_counter,0,1,2,3,4,5,6,7,8,9
0,,,3,,,,,,,
1,,,3,,,,,,,
2,,2,3,,,,,,,
3,,2,4,,,,,,,
4,1,4,4,,,,,,,
5,1,4,4,,,,,,,
6,3,5,5,,,,,,,
7,5,5,5,,,,,,,
8,7,5,5,,,,,,,
9,7,8,,,,,,,,
10,5,3,8,,,,,,,
11,6,3,7,,,,,,,
12,6,3,7,,,,,,,
13,6,3,6,,,,,,,
14,7,5,6,,,,,,,
15,7,5,6,,,,,,,
16,5,,16,,,,,,,
17,5,,16,,,,,,,
18,6,,16,,,,,,,
19,8,,16,,,,,,,
20,8,,,18,,,,,,
21,14,2,,12,,,,,,
22,17,2,,12,,,,,,
23,17,2,,12,,,,,,
24,17,,5,12,,,,,,
25,16,,,20,,,,,,
26,18,,,21,,,,,,
27,18,2,,21,,,,,,
28,19,4,,22,,,,,,
29,20,4,,22,,,,,,
30,23,4,,22,,,,,,
31,23,4,,23,,,,,,
32,21,4,,28,,,,,,
33,21,4,,28,,,,,,
34,21,4,,28,,,,,,
35,18,4,,36,,,,,,
36,18,4,,37,,,,,,
37,18,4,36,,,,,,,
38,18,4,37,,,,,,,
39,18,4,37,,,,,,,
40,16,4,6,37,,,,,,
41,15,4,6,39,,,,,,
42,17,4,6,40,,,,,,
43,17,4,6,40,,,,,,
44,19,4,6,40,,,,,,
45,19,4,6,40,,,,,,
46,21,4,6,40,,,,,,
47,21,4,6,42,,,,,,
48,18,,,57,,,,,,
49,3,,,,75,,,,,
50,4,,,,74,,,,,
51,4,,,,74,,,,,
52,4,,,,75,,,,,
53,5,,,,75,,,,,
54,6,,,,77,,,,,
55,6,,,,77,,,,,
56,6,,,,80,,,,,
57,7,,,,80,,,,,
58,7,,,,80,,,,,
59,7,,,,80,,,,,
60,8,,,,80,,,,,
61,8,,,,80,,,,,
62,9,,,,79,,,,,
63,11,,,,81,,,,,
64,12,,,,82,,,,,
65,26,6,4,,59,,,,,
66,29,6,4,,59,,,,,
67,29,6,4,48,11,,,,,
68,30,6,4,49,11,,,,,
69,31,9,4,49,11,,,,,
70,26,6,4,59,11,,,,,
71,26,6,4,60,11,,,,,
72,27,6,4,62,11,,,,,
73,27,6,4,62,11,,,,,
74,27,10,10,50,11,,,,,
75,27,10,10,,64,,,,,
76,29,10,10,,65,,,,,
77,29,10,10,,65,,,,,
78,26,11,4,4,72,,,,,
79,26,11,4,4,72,,,,,
80,24,11,4,,83,,,,,
81,24,11,4,,83,,,,,
82,24,11,4,,83,,,,,
83,25,11,4,,83,,,,,
84,25,11,4,,88,,,,,
85,26,11,4,,88,,,,,
86,27,11,4,,89,,,,,
87,28,11,4,,89,,,,,
88,30,11,4,,90,,,,,
89,30,11,4,,91,,,,,
90,32,11,4,,92,,,,,
91,32,11,4,,93,,,,,
92,32,11,4,,92,,,,,
93,32,11,4,,94,,,,,
94,31,9,8,,93,,,,,
95,32,9,8,,93,,,,,
96,32,6,4,,107,,,,,
97,33,6,4,,107,,,,,
98,34,6,4,,109,,,,,
99,35,6,4,,110,,,,,
100,35,6,4,,119,,,,,
101,35,6,4,,119,,,,,
102,35,6,4,,119,,,,,
103,38,6,4,,114,,,,,
104,38,6,4,,117,,,,,
105,38,6,4,,121,,,,,
106,40,6,4,,122,,,,,
107,40,6,4,,122,,,,,
108,41,6,4,,122,,,,,
109,41,6,4,,121,,,,,
110,46,6,4,,125,,,,,
111,46,6,4,,125,,,,,
112,45,6,4,,,127.0,,,,
113,45,6,4,,,127.0,,,,
114,45,6,4,,,130.0,,,,
115,45,6,4,,,130.0,,,,
116,45,6,4,,,129.0,,,,
117,47,6,4,,,130.0,,,,
118,48,6,4,,,130.0,,,,
119,48,6,4,,,130.0,,,,
120,47,6,4,,,135.0,,,,
121,47,6,4,,,135.0,,,,
122,47,6,4,,,134.0,,,,
123,47,6,4,,,135.0,,,,
124,45,6,4,,,140.0,,,,
125,46,6,4,,,140.0,,,,
126,47,6,4,,,143.0,,,,
127,48,6,4,,,143.0,,,,
128,45,6,4,,,147.0,,,,
129,45,6,4,,,147.0,,,,
130,48,6,4,,,147.0,,,,
131,48,6,4,,,147.0,,,,
132,47,6,4,,,150.0,,,,
133,48,6,4,,,152.0,,,,
134,46,9,4,,,151.0,,,,
135,46,10,4,,,151.0,,,,
136,47,10,4,,,151.0,,,,
137,47,10,4,,,150.0,,,,
138,47,10,4,,,151.0,,,,
139,47,10,4,,,151.0,,,,
140,50,10,4,,,153.0,,,,
141,50,10,8,,,148.0,,,,
142,49,10,8,,,150.0,,,,
143,49,10,8,,,149.0,,,,
144,49,10,4,,,155.0,,,,
145,49,10,4,,,155.0,,,,
146,50,10,4,,,156.0,,,,
147,51,10,4,,,157.0,,,,
148,49,6,4,,,,167.0,,,
149,49,6,4,,,,167.0,,,
150,49,6,4,,,,167.0,,,
151,50,6,4,,,,167.0,,,
152,50,6,4,,,,169.0,,,
153,53,6,4,,,,170.0,,,
154,54,6,4,,,,172.0,,,
155,55,6,4,,,,171.0,,,
156,54,6,4,,,,173.0,,,
157,54,6,4,,,,174.0,,,
158,54,6,4,,,,173.0,,,
159,53,6,4,,,,175.0,,,
160,55,6,4,,,,177.0,,,
161,55,6,4,,,,177.0,,,
162,55,6,4,,,,176.0,,,
163,56,6,4,,,,176.0,,,
164,57,6,4,,,,176.0,,,
165,60,6,4,,,,176.0,,,
166,60,6,4,,,178.0,,,,
167,60,6,4,,,178.0,,,,
168,60,6,4,,,180.0,,,,
169,61,6,4,,,180.0,,,,
170,62,6,4,,,179.0,,,,
171,61,6,4,,,181.0,,,,
172,61,6,4,,,186.0,,,,
173,61,6,4,,,186.0,,,,
174,62,6,4,,,187.0,,,,
175,63,6,4,,,188.0,,,,
176,63,6,4,,,193.0,,,,
177,63,6,4,,,194.0,,,,
178,66,6,4,,,195.0,,,,
179,67,6,4,,,195.0,,,,
180,67,6,4,,,204.0,,,,
181,71,6,4,,,203.0,,,,
182,71,6,4,,,202.0,,,,
183,70,6,4,,,207.0,,,,
184,69,6,4,,,208.0,,,,
185,70,6,4,,,208.0,,,,
186,71,6,4,,,208.0,,,,
187,72,10,4,,,203.0,,,,
188,70,10,4,,,206.0,,,,
189,71,10,4,,,206.0,,,,
190,72,10,4,,,206.0,,,,
191,72,10,4,,,206.0,,,,
192,73,8,4,,,211.0,,,,
193,73,8,4,,,211.0,,,,
194,77,8,4,,,208.0,,,,
195,78,10,4,,,204.0,,,,
196,77,10,4,,,207.0,,,,
197,79,10,4,,,206.0,,,,
198,80,10,4,,,208.0,,,,
199,79,10,4,,,211.0,,,,
200,81,10,4,,,215.0,,,,
201,83,10,4,,,215.0,,,,
202,84,14,4,,,217.0,,,,
203,84,14,4,,,217.0,,,,
204,86,14,4,,,218.0,,,,
205,85,16,4,,,218.0,,,,
206,85,16,4,,,219.0,,,,
207,87,16,4,,,219.0,,,,
208,88,16,4,,,224.0,,,,
209,88,16,4,,,224.0,,,,
210,91,16,4,,,226.0,,,,
