day_counter,0,1,2,3,4,5,6
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,1,4,4,,,,
5,1,4,4,,,,
6,3,5,5,,,,
7,5,5,4,,,,
8,7,5,4,,,,
9,7,8,,,,,
10,4,11,,,,,
11,5,9,,,,,
12,6,8,,,,,
13,6,8,,,,,
14,8,9,,,,,
15,8,9,,,,,
16,5,15,,,,,
17,4,15,,,,,
18,5,15,,,,,
19,7,15,,,,,
20,6,16,,,,,
21,10,16,,,,,
22,13,16,,,,,
23,13,16,,,,,
24,13,19,,,,,
25,14,20,,,,,
26,17,19,,,,,
27,17,21,,,,,
28,18,20,3,,,,
29,19,20,3,,,,
30,26,15,3,,,,
31,26,15,3,,,,
32,25,6,17,,,,
33,25,6,17,,,,
34,27,4,15,,,,
35,23,2,26,,,,
36,22,2,27,,,,
37,22,2,27,,,,
38,22,2,28,,,,
39,22,2,29,,,,
40,20,2,,35,,,
41,19,2,,,37,,
42,21,2,,,38,,
43,21,2,,,38,,
44,23,2,,,38,,
45,23,2,,,37,,
46,25,2,,,37,,
47,26,2,,,37,,
48,21,2,,,45,,
49,3,,,,,67.0,
50,4,,,,,67.0,
51,4,,,,,65.0,
52,4,,,,,66.0,
53,5,,,,,66.0,
54,6,,,,,68.0,
55,6,,,,,68.0,
56,6,,,,,71.0,
57,7,,,,,71.0,
58,7,,,,,71.0,
59,7,,,,,71.0,
60,8,,,,,71.0,
61,8,,,,,71.0,
62,9,,,,,71.0,
63,11,,,,,73.0,
64,29,6,,,49,,
65,29,8,,,48,,
66,32,8,,,48,,
67,30,8,5,,46,,
68,31,8,5,,47,,
69,33,8,5,,49,,
70,30,4,,,63,,
71,30,4,,,64,,
72,31,4,,,66,,
73,31,4,,,66,,
74,30,6,,,65,,
75,32,13,,,58,,
76,34,11,3,,58,,
77,34,11,3,,58,,
78,30,7,,,73,,
79,30,7,,,73,,
80,28,7,,,80,,
81,28,7,,,80,,
82,28,7,,,79,,
83,29,7,,,79,,
84,26,7,,,87,,
85,27,7,,,87,,
86,28,7,,,87,,
87,29,7,,,87,,
88,33,7,,,85,,
89,33,7,,,86,,
90,33,10,,,86,,
91,33,7,,,90,,
92,33,7,,,89,,
93,33,7,,,90,,
94,33,7,,,91,,
95,38,7,,,86,,
96,36,5,,,97,,
97,37,5,,,97,,
98,38,5,,,99,,
99,39,5,,,100,,
100,40,5,,,108,,
101,40,5,,,107,,
102,40,5,,,108,,
103,41,5,4,,102,,
104,44,5,4,,,101.0,
105,44,5,4,,,105.0,
106,45,7,4,,,105.0,
107,45,7,4,,,104.0,
108,46,7,4,,,104.0,
109,46,7,4,,,104.0,
110,51,5,7,,,106.0,
111,51,5,7,,,106.0,
112,51,5,7,,,107.0,
113,51,5,7,,,107.0,
114,51,5,7,,,109.0,
115,51,5,7,,,109.0,
116,51,5,7,,,109.0,
117,53,5,7,,,110.0,
118,54,5,7,,,110.0,
119,54,5,7,,,110.0,
120,52,5,7,,,117.0,
121,52,5,7,,,117.0,
122,52,5,7,,,117.0,
123,52,5,7,,,116.0,
124,51,5,7,,,119.0,
125,53,5,7,,,117.0,
126,54,5,7,,,120.0,
127,55,5,7,,,119.0,
128,54,5,4,,,123.0,
129,54,5,4,,,122.0,
130,57,5,4,,,122.0,
131,57,5,4,,,122.0,
132,57,5,4,,,123.0,
133,58,5,4,,,125.0,
134,59,5,4,,,124.0,
135,59,5,4,,,125.0,
136,60,5,4,,,125.0,
137,62,5,7,,,118.0,
138,62,5,7,,,119.0,
139,62,5,7,,,119.0,
140,65,5,7,,,120.0,
141,65,5,7,,,119.0,
142,65,5,7,,,120.0,
143,65,5,7,,,120.0,
144,64,5,7,,,123.0,
145,64,5,7,,,123.0,
146,65,5,7,,,123.0,
147,66,5,7,,,124.0,
148,63,5,7,,,131.0,
149,63,5,7,,,131.0,
150,63,5,7,,,131.0,
151,64,5,7,,,131.0,
152,64,5,7,,,133.0,
153,67,5,7,,,134.0,
154,68,5,7,,,136.0,
155,68,5,7,,,136.0,
156,69,5,7,,,136.0,
157,69,5,7,,,137.0,
158,69,5,7,,,137.0,
159,67,5,7,,,140.0,
160,69,5,7,,,142.0,
161,69,5,7,,,142.0,
162,69,5,7,,,142.0,
163,70,5,7,,,142.0,
164,71,5,7,,,141.0,
165,74,5,7,,,140.0,
166,74,5,7,,,142.0,
167,74,5,7,,,141.0,
168,74,5,7,,,143.0,
169,75,5,7,,,143.0,
170,76,5,7,,,143.0,
171,76,3,7,,,146.0,
172,76,3,3,,,155.0,
173,76,3,3,,,155.0,
174,77,3,3,,,156.0,
175,78,3,3,,,157.0,
176,80,3,3,,,160.0,
177,80,3,3,,,160.0,
178,83,3,3,,,160.0,
179,84,3,3,,,160.0,
180,82,3,3,,,171.0,
181,86,3,3,,,171.0,
182,86,3,3,,,170.0,
183,86,3,,,,176.0,
184,86,3,,,,175.0,
185,87,3,,,,175.0,
186,88,3,,,,175.0,
187,88,3,,,,176.0,
188,88,3,,,,177.0,
189,89,3,,,,177.0,
190,90,3,,,,177.0,
191,90,3,,,,177.0,
192,90,,,,,183.0,
193,90,,,,,183.0,
194,93,,4,,,177.0,
195,93,,4,,,177.0,
196,91,4,4,,,176.0,
197,93,4,4,,,176.0,
198,93,4,4,,,179.0,
199,91,4,4,7,,175.0,
200,94,4,4,7,,178.0,
201,96,4,4,7,,178.0,
202,97,8,4,7,,180.0,
203,95,8,4,7,,183.0,
204,96,10,4,7,,182.0,
205,96,10,4,7,,182.0,
206,96,10,4,7,,182.0,
207,98,10,4,7,,182.0,
208,98,13,,7,,188.0,
209,99,13,,7,,185.0,
210,101,15,,7,,186.0,
211,102,15,,7,,186.0,
212,102,15,,7,,186.0,
213,102,15,,7,,186.0,
214,102,15,,7,,187.0,
215,102,15,,7,,188.0,
216,102,17,,7,,188.0,
217,102,17,,7,,188.0,
218,104,17,5,7,,182.0,
219,104,17,5,7,,181.0,
220,102,17,,7,,193.0,
221,102,17,,7,,192.0,
222,79,8,,7,,225.0,
223,80,8,,7,,224.0,
224,80,8,,7,,227.0,
225,79,8,,7,,229.0,
226,79,8,,7,,229.0,
227,81,10,,7,,225.0,
228,84,10,,7,,227.0,
229,84,10,,7,,226.0,
230,82,10,,7,,232.0,
231,82,10,,7,,232.0,
232,82,10,,7,,232.0,
233,83,10,,7,,230.0,
234,84,10,,7,,232.0,
235,84,10,,7,,233.0,
236,81,10,,7,,239.0,
237,81,10,,7,,239.0,
238,81,10,,7,,242.0,
239,101,13,4,7,,214.0,
240,101,13,4,7,,215.0,
241,101,13,4,7,,215.0,
242,101,13,4,7,,216.0,
243,101,13,4,7,,216.0,
244,102,15,4,7,,213.0,
245,104,15,4,7,,211.0,
246,105,15,4,7,,211.0,
247,105,15,4,7,,211.0,
248,107,15,4,7,,214.0,
249,109,12,4,7,,218.0,
250,110,12,4,7,,219.0,
251,110,12,4,7,,218.0,
252,111,12,4,7,,218.0,
253,111,12,4,7,,218.0,
