day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,1,4,4,,,,,
5,1,4,4,,,,,
6,3,2,4,4,,,,
7,5,2,3,4,,,,
8,7,2,3,4,,,,
9,7,4,,4,,,,
10,5,2,,8,,,,
11,6,2,7,,,,,
12,7,,8,,,,,
13,7,,8,,,,,
14,8,8,,,,,,
15,8,8,,,,,,
16,5,11,,,,,,
17,5,11,,,,,,
18,6,10,,,,,,
19,8,10,,,,,,
20,6,12,,,,,,
21,10,12,,,,,,
22,13,12,,,,,,
23,13,12,,,,,,
24,14,12,,,,,,
25,14,14,,,,,,
26,15,16,,,,,,
27,16,17,,,,,,
28,18,15,3,,,,,
29,20,13,3,,,,,
30,23,13,3,,,,,
31,23,13,3,,,,,
32,22,17,3,,,,,
33,22,17,3,,,,,
34,23,15,3,,,,,
35,20,3,3,20,,,,
36,19,5,,21,,,,
37,19,5,,21,,,,
38,19,5,,22,,,,
39,19,5,,23,,,,
40,17,2,,32,,,,
41,15,2,,34,,,,
42,17,2,,35,,,,
43,17,2,,35,,,,
44,19,2,,35,,,,
45,20,4,,29,,,,
46,22,4,,29,,,,
47,22,4,,31,,,,
48,19,,,40,,,,
49,,,,,60,,,
50,1,,,,60,,,
51,1,,,,60,,,
52,1,,,,62,,,
53,2,,,,62,,,
54,3,,,,64,,,
55,3,,,,64,,,
56,3,,,,67,,,
57,4,,,,67,,,
58,4,,,,67,,,
59,4,,,,67,,,
60,5,,,,67,,,
61,5,,,,67,,,
62,6,,,,66,,,
63,7,,,,68,,,
64,28,2,,46,,,,
65,28,4,,46,,,,
66,31,4,,44,,,,
67,30,2,3,,46,,,
68,30,4,3,,45,,,
69,31,7,3,,45,,,
70,28,4,3,,,52.0,,
71,31,5,3,,,48.0,,
72,30,5,3,,,51.0,,
73,33,5,6,9,,35.0,,
74,33,5,3,13,,35.0,,
75,33,2,3,12,,41.0,,
76,36,2,3,12,,40.0,,
77,38,2,3,12,,37.0,,
78,33,2,3,4,,54.0,,
79,33,2,3,4,,54.0,,
80,31,2,3,4,,61.0,,
81,31,2,3,4,,61.0,,
82,31,2,3,4,,61.0,,
83,34,4,3,4,,56.0,,
84,33,4,3,4,,62.0,,
85,34,4,3,4,,62.0,,
86,35,4,3,4,,63.0,,
87,36,4,3,4,,63.0,,
88,40,7,7,4,,53.0,,
89,40,7,7,4,,54.0,,
90,41,7,7,4,,56.0,,
91,40,5,7,4,,60.0,,
92,40,5,7,4,,59.0,,
93,40,5,7,4,,61.0,,
94,40,5,7,4,,62.0,,
95,41,5,7,4,,62.0,,
96,38,3,3,,,82.0,,
97,39,3,3,,,82.0,,
98,40,3,3,,,84.0,,
99,41,3,3,,,85.0,,
100,39,3,3,,,94.0,,
101,39,3,3,,,94.0,,
102,40,5,7,,,86.0,,
103,40,5,7,,,86.0,,
104,43,5,7,,85,,,
105,41,5,7,,91,,,
106,42,7,7,,91,,,
107,42,7,7,,91,,,
108,43,7,7,,91,,,
109,43,7,7,,90,,,
110,47,10,8,,91,,,
111,47,10,8,,91,,,
112,47,10,4,,96,,,
113,48,10,4,,94,,,
114,47,10,4,,98,,,
115,47,10,4,,98,,,
116,47,10,4,,98,,,
117,49,10,4,,98,,,
118,50,10,4,,97,,,
119,50,10,4,,96,,,
120,45,8,4,,108,,,
121,47,10,4,,103,,,
122,47,10,4,,103,,,
123,47,10,4,,104,,,
124,46,10,8,,,103.0,,
125,48,10,8,,,101.0,,
126,49,10,8,,,104.0,,
127,50,10,8,,,104.0,,
128,50,10,8,,,105.0,,
129,50,10,8,,,104.0,,
130,54,10,8,,,102.0,,
131,54,10,8,,,102.0,,
132,54,8,8,,,105.0,,
133,54,8,8,,107,,,
134,54,8,8,,107,,,
135,54,8,8,,107,,,
136,55,8,8,,106,,,
137,55,8,8,,106,,,
138,55,8,8,,107,,,
139,55,8,8,,107,,,
140,55,8,8,,112,,,
141,55,8,8,,111,,,
142,55,8,8,,112,,,
143,55,8,8,,112,,,
144,53,8,8,,116,,,
145,53,8,8,,116,,,
146,54,8,8,,117,,,
147,54,8,8,,118,,,
148,52,6,8,,127,,,
149,52,6,8,,126,,,
150,52,6,8,,126,,,
151,53,6,8,,126,,,
152,53,6,15,,120,,,
153,56,6,15,,121,,,
154,57,6,15,,123,,,
155,56,6,15,,125,,,
156,56,8,15,,123,,,
157,56,8,15,,124,,,
158,56,8,15,,124,,,
159,55,8,15,,126,,,
160,57,8,15,,128,,,
161,57,8,15,,127,,,
162,57,8,15,,127,,,
163,59,8,15,,125,,,
164,60,8,15,,124,,,
165,63,8,20,,118,,,
166,61,8,20,,123,,,
167,61,8,20,,123,,,
168,61,8,20,,125,,,
169,64,8,20,,121,,,
170,65,8,20,,120,,,
171,64,8,13,,128,,,
172,57,8,13,,140,,,
173,58,8,13,,138,,,
174,58,10,13,,138,,,
175,60,10,13,,137,,,
176,59,10,13,,143,,,
177,59,10,13,,143,,,
178,62,10,13,,144,,,
179,63,12,13,,140,,,
180,65,12,9,,151,,,
181,69,12,9,,151,,,
182,71,12,9,,148,,,
183,75,10,9,,148,,,
184,73,10,9,,151,,,
185,74,12,9,,148,,,
186,75,12,9,,147,,,
187,75,10,27,,131,,,
188,74,10,27,,133,,,
189,79,18,27,,120,,,
190,80,18,27,,120,,,
191,80,18,27,,120,,,
192,80,18,27,,124,,,
193,83,18,27,,120,,,
194,85,18,27,,120,,,
195,86,20,27,,116,,,
196,86,20,27,,118,,,
197,88,20,27,,118,,,
198,90,20,17,,127,,,
199,87,20,17,,132,,,
200,90,20,17,,134,,,
201,92,20,17,,133,,,
202,93,26,17,,132,,,
203,94,26,13,,135,,,
204,96,26,13,,136,,,
205,96,26,13,,137,,,
206,97,26,13,,136,,,
207,100,26,13,,134,,,
208,99,22,8,,150,,,
209,99,22,8,,150,,,
210,102,22,8,,151,,,
211,103,22,8,,151,,,
212,103,22,8,,151,,,
213,103,22,8,,151,,,
214,104,22,8,,150,,,
215,104,22,8,,151,,,
216,107,27,8,,144,,,
217,107,27,8,,143,,,
218,110,29,13,,134,,,
219,110,29,13,,134,,,
220,107,29,8,,,145.0,,
221,107,29,8,,,145.0,,
222,83,16,,,,191.0,,
223,84,16,,,,191.0,,
224,85,16,,,,193.0,,
225,85,16,,,,193.0,,
226,85,16,,,,193.0,,
227,86,16,,,,192.0,,
228,89,23,,,,186.0,,
229,89,23,,,,186.0,,
230,86,21,,,,195.0,,
231,86,21,,,,196.0,,
232,86,21,,,,195.0,,
233,86,21,,,,195.0,,
234,86,21,,,,197.0,,
235,86,21,,,,197.0,,
236,81,21,,,,205.0,,
237,81,21,,,,205.0,,
238,82,21,,,,207.0,,
239,82,21,,,,207.0,,
240,82,21,,,,207.0,,
241,103,31,5,,,170.0,,
242,102,33,5,,,170.0,,
243,102,33,5,,,170.0,,
244,104,33,5,,,168.0,,
245,106,33,5,,,166.0,,
246,107,33,5,,,166.0,,
