date,bug_id,degree,depth,severity,votes,comment_count
7,5,1,1,3,2,2
9,0,2,2,3,0,5
10,4,0,0,3,0,3
11,1,0,0,3,0,9
12,11,0,0,4,0,9
21,15,0,0,3,0,3
25,30,1,1,3,0,7
30,19,1,1,3,1,7
34,40,1,1,3,0,2
35,23,1,1,3,0,7
45,41,4,1,5,0,2
47,59,3,1,3,1,12
50,65,4,1,3,0,13
51,39,0,0,4,1,3
52,71,2,1,3,0,8
54,63,4,1,3,0,59
63,83,2,1,3,0,5
65,84,6,2,3,1,24
68,85,5,1,3,0,28
70,98,1,1,3,0,10
72,113,0,0,5,0,6
76,73,2,1,3,0,4
80,72,2,2,3,0,9
87,126,3,5,2,0,2
88,122,2,1,3,0,13
89,140,12,4,3,0,110
93,138,1,1,3,0,64
98,147,8,2,4,0,94
101,161,4,2,3,0,54
102,137,8,2,3,1,54
105,170,1,1,3,0,54
114,171,15,1,3,0,54
118,181,9,2,3,1,41
119,180,6,2,3,4,18
122,169,12,2,3,5,16
127,168,6,2,3,0,34
128,208,0,0,6,0,13
130,148,5,1,3,0,27
132,185,5,2,3,0,11
133,218,2,2,3,0,9
135,231,4,2,5,0,17
139,224,4,2,3,0,28
141,190,2,3,3,0,28
150,194,0,0,3,0,4
152,236,4,3,3,26,15
156,247,2,2,3,0,2
157,251,1,1,3,0,24
163,260,7,4,3,0,33
171,239,2,3,3,0,6
175,259,0,0,3,0,8
180,192,2,3,4,0,12
181,296,9,2,3,0,13
182,275,0,0,3,0,1
185,256,1,1,3,0,2
186,248,3,3,3,0,17
193,330,0,0,3,0,27
196,297,9,4,3,0,78
201,167,0,0,4,0,7
202,263,1,1,3,0,6
203,271,4,2,5,0,4
204,285,0,0,5,0,13
212,334,0,0,3,0,25
217,183,4,1,3,0,3
220,350,0,0,5,0,16
221,187,1,1,5,0,5
222,293,0,0,3,0,3
225,378,0,0,3,0,13
226,380,9,3,3,0,38
237,338,4,2,3,5,5
