day_counter,0,1,2,3,4,5,6,7,8
0,,,3,,,,,,
1,,,3,,,,,,
2,,2,3,,,,,,
3,,2,4,,,,,,
4,1,4,4,,,,,,
5,1,4,4,,,,,,
6,3,5,5,,,,,,
7,5,5,5,,,,,,
8,7,5,5,,,,,,
9,7,9,,,,,,,
10,5,6,6,,,,,,
11,7,3,6,,,,,,
12,7,3,7,,,,,,
13,6,2,7,,,,,,
14,7,4,7,,,,,,
15,8,2,7,,,,,,
16,7,3,10,,,,,,
17,7,3,10,,,,,,
18,8,3,10,,,,,,
19,10,3,10,,,,,,
20,9,3,13,,,,,,
21,13,3,12,,,,,,
22,16,3,12,,,,,,
23,16,3,12,,,,,,
24,15,6,13,,,,,,
25,14,6,15,,,,,,
26,16,6,16,,,,,,
27,17,6,17,,,,,,
28,17,10,17,,,,,,
29,18,10,17,,,,,,
30,21,10,17,,,,,,
31,21,7,21,,,,,,
32,21,7,,24,,,,,
33,21,7,,24,,,,,
34,22,9,,20,,,,,
35,20,7,,,29,,,,
36,20,7,,,30,,,,
37,20,7,,,30,,,,
38,20,7,,,30,,,,
39,20,7,,,,31.0,,,
40,18,4,,,,40.0,,,
41,17,4,,,,42.0,,,
42,19,4,,,,43.0,,,
43,19,4,,,,43.0,,,
44,21,4,,,,43.0,,,
45,23,4,,14,,25.0,,,
46,25,4,,14,,25.0,,,
47,25,4,,15,,26.0,,,
48,24,4,,,,45.0,,,
49,2,,,,,,73.0,,
50,3,,,,,,72.0,,
51,3,,,,,,71.0,,
52,3,,,,,,73.0,,
53,4,,,,,,73.0,,
54,5,,,,,,75.0,,
55,5,,,,,,75.0,,
56,5,,,,,,78.0,,
57,6,,,,,,78.0,,
58,6,,,,,,78.0,,
59,6,,,,,,78.0,,
60,7,,,,,,78.0,,
61,7,,,,,,78.0,,
62,8,,,,,,78.0,,
63,10,,,,,,80.0,,
64,31,6,5,,,48.0,,,
65,31,8,5,,,48.0,,,
66,34,8,5,,,48.0,,,
67,33,8,5,,,51.0,,,
68,34,8,5,,,52.0,,,
69,36,8,8,,,50.0,,,
70,33,8,5,,,58.0,,,
71,33,8,5,,,59.0,,,
72,34,8,5,,,61.0,,,
73,34,8,5,,,61.0,,,
74,33,10,5,,,60.0,,,
75,33,10,5,,,63.0,,,
76,35,10,5,,,63.0,,,
77,35,10,5,,,62.0,,,
78,30,10,,,,76.0,,,
79,30,10,,,,76.0,,,
80,28,6,,,,87.0,,,
81,28,6,,,,87.0,,,
82,28,6,,,,86.0,,,
83,29,6,,,,86.0,,,
84,30,4,3,,,89.0,,,
85,31,4,3,,,89.0,,,
86,33,4,3,4,,84.0,,,
87,34,4,3,4,,83.0,,,
88,35,4,3,4,,85.0,,,
89,35,4,3,4,,86.0,,,
90,37,4,3,4,,87.0,,,
91,37,4,3,4,,88.0,,,
92,37,4,3,4,,88.0,,,
93,38,6,,4,,89.0,,,
94,38,6,,4,,90.0,,,
95,40,12,,4,,82.0,,,
96,39,10,,,,96.0,,,
97,40,10,,,,96.0,,,
98,42,10,,,,96.0,,,
99,43,10,,,,97.0,,,
100,42,10,,,,107.0,,,
101,42,10,,,,107.0,,,
102,42,10,,,,108.0,,,
103,42,10,,,,108.0,,,
104,42,10,,,,111.0,,,
105,42,10,,,,114.0,,,
106,44,8,3,,,114.0,,,
107,46,8,3,,,111.0,,,
108,47,8,3,,,111.0,,,
109,47,8,3,,,111.0,,,
110,51,10,3,,,114.0,,,
111,51,10,3,,,114.0,,,
112,50,10,3,,,116.0,,,
113,50,10,3,,,116.0,,,
114,50,10,3,,,119.0,,,
115,50,10,3,,,118.0,,,
116,50,10,3,,,118.0,,,
117,52,10,3,,,119.0,,,
118,53,10,3,,,118.0,,,
119,53,10,3,,,117.0,,,
120,51,10,3,,,124.0,,,
121,51,10,3,,,124.0,,,
122,51,10,3,,,124.0,,,
123,51,10,3,,,125.0,,,
124,49,10,3,,,,130.0,,
125,50,10,3,,,,130.0,,
126,51,10,3,,,,133.0,,
127,52,10,3,,,,132.0,,
128,51,10,3,,,,134.0,,
129,51,10,3,,,,134.0,,
130,54,10,3,,,,134.0,,
131,54,10,3,,,,134.0,,
132,53,8,3,,,,138.0,,
133,54,8,3,,,,140.0,,
134,54,8,3,,,,141.0,,
135,54,8,3,,,,142.0,,
136,55,8,3,,,,141.0,,
137,55,8,3,,,,141.0,,
138,55,8,3,,,,142.0,,
139,55,8,3,,,,142.0,,
140,56,6,3,,,,148.0,,
141,56,6,3,,,,148.0,,
142,56,6,3,,,,149.0,,
143,56,6,3,,,,149.0,,
144,57,6,3,,,,149.0,,
145,57,6,3,,,,148.0,,
146,58,6,3,,,,149.0,,
147,57,6,3,,,,151.0,,
148,54,6,3,,,,158.0,,
149,54,6,3,,,,158.0,,
150,54,6,3,,,,157.0,,
151,55,6,3,,,,157.0,,
152,54,6,3,,,,160.0,,
153,57,6,3,,,,161.0,,
154,58,6,3,,,,163.0,,
155,57,6,3,,,,165.0,,
156,56,6,3,,,,167.0,,
157,56,6,3,,,,168.0,,
158,56,6,3,,,,168.0,,
159,54,6,3,,,,171.0,,
160,56,6,3,,,,172.0,,
161,56,6,3,,,,172.0,,
162,56,6,3,,,,172.0,,
163,57,6,3,,,,172.0,,
164,58,6,3,,,,172.0,,
165,62,6,3,,,169.0,,,
166,61,6,3,,,173.0,,,
167,62,6,3,,,171.0,,,
168,61,9,3,,,171.0,,,
169,63,9,3,,,169.0,,,
170,64,9,3,,,169.0,,,
171,63,9,3,,,171.0,,,
172,60,9,3,,,178.0,,,
173,60,9,3,,,178.0,,,
174,60,11,3,,,177.0,,,
175,61,11,3,,,178.0,,,
176,63,11,3,,,,180.0,,
177,62,13,3,,,,180.0,,
178,64,15,3,,,,179.0,,
179,65,15,3,,,,179.0,,
180,67,13,3,,,,188.0,,
181,71,13,3,,,,188.0,,
182,71,13,3,,,,188.0,,
183,71,10,3,,,,195.0,,
184,72,10,3,,,,194.0,,
185,73,10,3,,,,194.0,,
186,76,12,3,,,,189.0,,
187,76,12,3,,,,190.0,,
188,75,12,3,,,,192.0,,
189,76,12,3,,,,192.0,,
190,77,12,3,,,,192.0,,
191,77,12,3,,,,192.0,,
192,76,12,3,,,,197.0,,
193,76,12,3,,,,197.0,,
194,78,12,3,,,,196.0,,
195,78,12,3,,,,196.0,,
196,77,12,3,,,,,199.0,
197,79,12,3,,,,,199.0,
198,79,12,3,,,,,202.0,
199,76,12,3,,,,,207.0,
200,80,12,3,,,,,209.0,
201,82,17,3,,,,,203.0,
202,81,25,3,,,,,203.0,
203,79,25,3,,,,,205.0,
204,81,25,3,,,,,206.0,
205,80,27,3,,,,,206.0,
206,80,27,3,,,,,207.0,
207,83,27,3,,,,,205.0,
208,83,23,,,,,,218.0,
209,83,23,,,,,,217.0,
210,85,25,,,,,,218.0,
211,86,25,,,,,,217.0,
212,86,25,,,,,,217.0,
213,86,25,,,,,,217.0,
214,86,25,,,,,,218.0,
215,86,25,,,,,,219.0,
216,86,27,,,,,,219.0,
