day_counter,0,1,2,3,4,5
0,,,3,,,
1,,,3,,,
2,,2,3,,,
3,,2,4,,,
4,1,4,4,,,
5,1,4,4,,,
6,3,4,6,,,
7,5,4,5,,,
8,7,4,5,,,
9,7,8,,,,
10,5,9,,,,
11,6,8,,,,
12,7,7,,,,
13,7,6,,,,
14,8,7,,,,
15,8,7,,,,
16,5,13,,,,
17,5,13,,,,
18,5,13,,,,
19,7,13,,,,
20,6,,14,,,
21,10,,14,,,
22,13,,14,,,
23,13,,14,,,
24,12,,17,,,
25,14,16,,,,
26,15,18,,,,
27,15,20,,,,
28,18,17,3,,,
29,19,17,3,,,
30,24,13,3,,,
31,24,13,3,,,
32,24,14,3,,,
33,24,14,3,,,
34,24,14,3,,,
35,22,,24,,,
36,22,5,19,,,
37,22,5,19,,,
38,22,5,20,,,
39,22,7,18,,,
40,19,7,25,,,
41,19,7,26,,,
42,21,7,27,,,
43,21,7,27,,,
44,23,7,27,,,
45,26,28,,,,
46,28,28,,,,
47,28,30,,,,
48,24,11,,25,,
49,,,,,61,
50,1,,,,60,
51,1,,,,60,
52,1,,,,62,
53,2,,,,62,
54,3,,,,64,
55,3,,,,64,
56,3,,,,67,
57,4,,,,67,
58,4,,,,66,
59,4,,,,66,
60,5,,,,66,
61,5,,,,66,
62,6,,,,66,
63,8,,,,68,
64,28,10,,39,,
65,28,12,,38,,
66,31,12,,37,,
67,29,12,,41,,
68,32,9,,42,,
69,33,12,,42,,
70,29,10,,49,,
71,29,10,,49,,
72,27,10,,53,,
73,27,10,,53,,
74,27,10,,54,,
75,30,10,,53,,
76,35,16,,43,,
77,35,16,,43,,
78,35,10,,,52,
79,36,10,,,50,
80,32,8,,,61,
81,32,8,,,61,
82,34,10,,,56,
83,35,10,,,56,
84,35,8,,,63,
85,36,8,,,63,
86,37,8,,,64,
87,38,8,,,63,
88,40,8,,,64,
89,41,13,,58,,
90,42,13,,60,,
91,41,10,,65,,
92,41,10,,65,,
93,41,12,,64,,
94,41,12,4,59,,
95,42,12,4,59,,
96,38,6,,80,,
97,39,6,,80,,
98,43,6,,77,,
99,44,6,,78,,
100,43,6,,87,,
101,44,6,,85,,
102,44,6,,86,,
103,44,6,,86,,
104,44,6,,89,,
105,42,6,,94,,
106,46,6,,92,,
107,46,6,,92,,
108,47,6,,92,,
109,47,6,,92,,
110,50,11,,93,,
111,50,11,,92,,
112,47,15,,92,,
113,48,15,,90,,
114,48,18,,90,,
115,48,18,,90,,
116,48,18,,90,,
117,50,8,11,89,,
118,51,8,11,87,,
119,51,8,11,87,,
120,46,10,11,95,,
121,46,10,11,95,,
122,47,12,11,91,,
123,46,14,11,90,,
124,45,14,11,94,,
125,46,14,11,94,,
126,48,14,11,96,,
127,49,14,11,96,,
128,49,12,11,98,,
129,49,12,11,97,,
130,52,12,11,97,,
131,52,12,11,97,,
132,53,12,,107,,
133,53,10,4,107,,
134,53,10,,112,,
135,53,10,,112,,
136,54,10,,112,,
137,55,12,,108,,
138,56,12,,107,,
139,56,12,,107,,
140,58,8,,114,,
141,58,8,,114,,
142,58,10,4,,108,
143,58,10,4,,108,
144,56,10,4,,112,
145,56,10,4,,112,
146,57,10,4,,112,
147,58,10,4,,113,
148,53,8,4,,,125.0
149,53,8,4,,,125.0
150,53,10,4,,,122.0
151,56,10,14,,,109.0
152,55,10,14,,,112.0
153,58,10,14,,,113.0
154,58,10,14,,,115.0
155,57,10,14,,,117.0
156,56,10,14,,,119.0
157,56,10,14,,,120.0
158,56,10,14,,,120.0
159,55,10,14,,,122.0
160,57,10,14,,,124.0
161,59,10,14,,120,
162,60,12,14,,116,
163,61,12,14,,116,
164,62,12,14,,116,
165,65,12,14,,116,
166,64,12,10,,124,
167,64,12,10,,124,
168,65,13,10,,123,
169,66,13,10,,123,
170,67,13,10,,123,
171,66,13,10,,125,
172,64,6,,,148,
173,64,6,,,148,
174,65,6,,,148,
175,65,8,,,147,
176,66,8,,,151,
177,66,8,,,152,
178,69,8,,,152,
179,71,8,,,150,
180,72,8,,,157,
181,76,8,,,157,
182,76,8,,,157,
183,76,8,,,159,
184,80,15,,,147,
185,81,15,,,147,
186,82,15,,,147,
187,83,20,,,140,
188,82,20,7,,134,
189,83,20,7,,134,
190,84,20,7,,134,
191,84,20,7,,134,
192,84,20,7,,138,
193,84,20,7,,138,
194,86,20,7,,138,
195,87,22,7,,134,
196,88,22,13,,127,
197,90,22,13,,126,
198,90,22,13,,129,
199,90,22,7,,135,
200,92,22,7,,139,
201,94,22,7,,139,
202,96,24,7,,142,
203,95,24,7,,143,
204,97,24,7,,144,
205,96,26,7,,144,
206,95,28,7,,143,
207,98,28,7,,141,
208,97,28,7,,,146.0
209,97,28,7,,,146.0
210,100,28,7,,,148.0
211,101,28,7,,,148.0
212,101,28,7,,,148.0
213,101,28,7,,,148.0
214,102,28,7,,,146.0
215,102,28,7,,,147.0
216,103,29,7,,,147.0
217,103,29,7,,,147.0
218,107,31,19,7,,121.0
219,107,31,19,7,,121.0
220,107,30,18,,,133.0
221,107,30,18,,,133.0
222,85,17,5,,,180.0
223,86,17,5,,,180.0
224,87,17,5,,,182.0
225,86,14,3,,,188.0
226,86,14,3,,,188.0
227,87,14,3,,,187.0
228,89,16,3,,,188.0
229,89,16,3,,,188.0
230,85,18,3,,,194.0
231,85,18,3,,,195.0
232,85,18,3,,,195.0
233,85,18,3,,,194.0
234,85,16,3,,,199.0
235,85,16,3,,,200.0
236,82,16,3,,,206.0
237,82,16,3,,,206.0
238,103,34,10,,,161.0
239,103,34,10,,,161.0
240,105,34,10,,,159.0
241,105,34,10,,,159.0
242,104,36,10,,,159.0
243,104,36,10,,,159.0
244,104,36,10,,,160.0
245,107,39,10,,,154.0
246,108,39,10,,,154.0
247,108,39,10,,,154.0
248,109,39,10,,,158.0
249,111,39,10,,,159.0
250,113,39,10,,,158.0
251,115,44,10,,,150.0
252,116,44,10,,,150.0
253,116,44,10,,,149.0
254,119,44,10,,,150.0
255,118,44,10,,,152.0
256,119,44,10,,149,
257,120,44,10,,149,
258,121,48,10,,144,
259,116,39,10,,160,
260,116,39,10,,163,
261,116,39,10,,164,
262,115,39,10,,169,
263,116,39,10,,170,
264,116,39,10,,169,
265,117,39,10,,169,
266,120,39,10,,164,
267,120,41,10,,165,
268,118,39,10,,171,
269,118,39,10,,169,
270,119,37,10,,171,
271,119,37,10,,171,
272,120,44,10,,165,
273,121,44,10,,165,
274,122,44,10,,166,
275,122,44,10,,165,
276,123,44,10,,167,
277,124,44,10,,168,
278,126,44,10,,168,
279,127,44,10,,170,
280,129,40,10,,174,
281,130,45,10,,168,
282,132,45,10,,168,
283,133,47,10,,164,
284,133,48,10,,167,
285,127,43,7,,182,
286,128,47,16,,168,
287,128,47,16,,170,
288,129,47,16,,173,
289,129,47,16,,173,
290,130,47,16,,173,
291,130,47,16,,173,
292,133,47,16,,171,
293,137,47,23,,159,
294,136,49,23,,160,
295,136,53,23,22,133,
296,137,53,23,22,131,
297,137,49,16,,166,
