n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,4,2,0.8,0.5,0.2,2,0.8,0.5,0.2,2,0,1.6,0.0,4.8,3.2,0.3236074270557029,1.0,0.3236078159842784,1.0,0.2,0.6180327868852459,0.2,0.6180320441015443,0.2,0.5,2
6,5,2,0.8333333333333334,0.4,0.16666666666666669,2,0.8333333333333334,0.4,0.16666666666666669,1,0,1.6666666666666667,0.3333333333333333,4.333333333333333,3.1666666666666665,0.4023695703493862,1.0,0.23570316582476922,1.0,0.16666666666666666,0.41421290015034284,0.16666666666666666,0.7071040649092217,0.16666666666666669,0.6000000000000001,3
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,3,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,4
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,0,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,5
13,8,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,4,0,1.1538461538461537,0.15384615384615385,5.615384615384615,3.076923076923077,0.2540602765286249,1.0,0.1002139093042716,1.0,0.07692307692307691,0.30277490827815434,0.07692307692307693,0.7675888253148717,0.05128205128205128,0.3333333333333333,6
15,8,2,0.5333333333333333,0.14285714285714285,0.03809523809523809,2,0.5333333333333333,0.14285714285714285,0.03809523809523809,2,0,1.0,0.13333333333333333,6.8,3.066666666666667,0.2201855729914749,1.0,0.08685205473036871,1.0,0.06666666666666667,0.30277490827815434,0.06666666666666667,0.7675888253148717,0.03809523809523809,0.2857142857142857,7
17,8,2,0.47058823529411764,0.125,0.029411764705882353,2,0.47058823529411764,0.125,0.029411764705882353,2,0,0.8823529411764706,0.11764705882352941,6.294117647058823,3.0588235294117645,0.1942813879336543,1.0,0.07663416593856064,1.0,0.0588235294117647,0.30277490827815434,0.058823529411764705,0.7675888253148717,0.029411764705882353,0.25,8
16,6,1,0.375,0.06666666666666667,0.025,1,0.375,0.06666666666666667,0.025,0,1,0.5625,0.125,6.375,3.0625,0.18750097783032296,1.0,0.06250048891516194,1.0,0.062499999999999986,0.3333315949773804,0.062499999999999986,0.9999921774186022,0.025,0.2,9
17,10,4,0.5882352941176471,0.25,0.03676470588235294,2,0.47058823529411764,0.125,0.029411764705882353,1,0,1.1764705882352942,0.17647058823529413,9.176470588235293,3.0588235294117645,0.07663486378695913,1.0,0.19428202381319848,1.0,0.05882352941176472,0.7675818355375565,0.05882352941176472,0.3027739173044818,0.03860294117647059,0.1875,10
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.4117647058823529,0.125,0.025735294117647058,1,1,1.0588235294117647,0.17647058823529413,9.176470588235293,3.0588235294117645,0.05882486043044254,1.0,0.23529589233866494,1.0,0.058823529411764705,0.9999773731944607,0.0588235294117647,0.2499981144043905,0.034926470588235295,0.1875,11
18,10,4,0.5555555555555556,0.23529411764705882,0.032679738562091505,2,0.5,0.11764705882352941,0.029411764705882353,1,0,1.3333333333333333,0.2222222222222222,9.055555555555555,3.0555555555555554,0.05555681262875129,1.0,0.22222389831985023,1.0,0.05555555555555555,0.9999773731944607,0.05555555555555555,0.2499981144043905,0.03594771241830066,0.20588235294117646,12
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.47058823529411764,0.125,0.029411764705882353,0,1,1.2941176470588236,0.23529411764705882,9.058823529411764,3.0588235294117645,0.05882397819989231,1.0,0.23529501522374202,1.0,0.058823529411764705,0.9999923706600381,0.058823529411764705,0.24999904632841208,0.03676470588235294,0.15625,13
19,9,4,0.47368421052631576,0.2222222222222222,0.02631578947368421,2,0.42105263157894735,0.1111111111111111,0.023391812865497075,3,1,1.1578947368421053,0.2631578947368421,8.473684210526315,3.3684210526315788,0.06856755762804372,1.0,0.17383098833449334,1.0,0.05263157894736842,0.767587190911441,0.05263157894736842,0.3027744330952798,0.029239766081871343,0.1388888888888889,14
19,9,4,0.47368421052631576,0.2222222222222222,0.02631578947368421,2,0.42105263157894735,0.1111111111111111,0.023391812865497075,0,0,1.1578947368421053,0.2631578947368421,8.473684210526315,3.3684210526315788,0.06856755762804372,1.0,0.17383098833449334,1.0,0.05263157894736842,0.767587190911441,0.05263157894736842,0.3027744330952798,0.029239766081871343,0.1388888888888889,15
22,16,6,0.7272727272727273,0.2857142857142857,0.03463203463203463,2,0.5,0.09523809523809523,0.023809523809523808,3,0,1.4545454545454546,0.3181818181818182,8.272727272727273,3.3636363636363638,0.08586969585940583,1.0,0.21182423195426994,1.0,0.045454545454545456,0.5293432683046652,0.04545454545454546,0.21458614548102548,0.03787878787878787,0.14285714285714285,16
22,16,6,0.7272727272727273,0.2857142857142857,0.03463203463203463,2,0.5,0.09523809523809523,0.023809523809523808,0,0,1.4545454545454546,0.3181818181818182,8.272727272727273,3.3636363636363638,0.08586969585940583,1.0,0.21182423195426994,1.0,0.045454545454545456,0.5293432683046652,0.04545454545454546,0.21458614548102548,0.03787878787878787,0.14285714285714285,17
22,16,6,0.7272727272727273,0.2857142857142857,0.03463203463203463,2,0.5,0.09523809523809523,0.023809523809523808,1,1,1.4545454545454546,0.2727272727272727,8.090909090909092,3.272727272727273,0.08586969585940583,1.0,0.21182423195426994,1.0,0.045454545454545456,0.5293432683046652,0.04545454545454546,0.21458614548102548,0.03787878787878787,0.14285714285714285,18
24,16,6,0.6666666666666666,0.2608695652173913,0.02898550724637681,2,0.4583333333333333,0.08695652173913043,0.019927536231884056,2,0,1.3333333333333333,0.25,7.958333333333333,3.25,0.078713887871122,1.0,0.1941722126247475,1.0,0.041666666666666664,0.5293432683046652,0.04166666666666668,0.21458614548102548,0.03170289855072463,0.13043478260869565,19
26,20,6,0.7692307692307693,0.24,0.03076923076923077,2,0.5,0.08,0.02,2,0,1.4615384615384615,0.23076923076923078,8.038461538461538,3.269230769230769,0.09199892415695639,1.0,0.19288998033272148,1.0,0.03846153846153846,0.4180650894995302,0.03846153846153846,0.19939624855160978,0.033846153846153845,0.12,20
29,16,6,0.5517241379310345,0.21428571428571427,0.019704433497536946,2,0.3793103448275862,0.07142857142857142,0.01354679802955665,4,1,1.103448275862069,0.1724137931034483,5.827586206896552,3.2413793103448274,0.06049224164580879,1.0,0.18452034561815356,1.0,0.034482758620689655,0.5700360522691722,0.034482758620689655,0.18687781287841443,0.021551724137931032,0.08928571428571427,21
31,15,6,0.4838709677419355,0.2,0.016129032258064516,2,0.3225806451612903,0.06666666666666667,0.01075268817204301,3,1,0.967741935483871,0.16129032258064516,5.354838709677419,3.193548387096774,0.056589516377317475,1.0,0.17261580718648128,1.0,0.03225806451612903,0.5700360522794446,0.03225806451612903,0.18687781288349692,0.017741935483870968,0.08333333333333333,22
30,15,6,0.5,0.20689655172413793,0.017241379310344827,2,0.3333333333333333,0.06896551724137931,0.011494252873563218,0,1,1.0,0.16666666666666666,5.033333333333333,3.1333333333333333,0.05847583358989472,1.0,0.17836966742603064,1.0,0.03333333333333333,0.5700360522794446,0.033333333333333326,0.18687781288349692,0.01896551724137931,0.08620689655172414,23
33,18,6,0.5454545454545454,0.1875,0.017045454545454544,2,0.42424242424242425,0.0625,0.013257575757575758,3,0,1.0303030303030303,0.18181818181818182,5.0,3.212121212121212,0.053160043737018596,0.9999999999999999,0.16215477874504147,1.0,0.030303030303030304,0.5700339610881178,0.030303030303030304,0.18687719558778,0.01893939393939394,0.125,24
35,22,6,0.6285714285714286,0.1764705882352941,0.018487394957983194,2,0.42857142857142855,0.058823529411764705,0.012605042016806721,2,0,1.1428571428571428,0.17142857142857143,4.857142857142857,3.257142857142857,0.06297188058247197,0.9999999999999999,0.18164611807390055,1.0,0.02857142857142857,0.45371725136919827,0.02857142857142857,0.15729171024620867,0.020168067226890758,0.11764705882352941,25
37,19,6,0.5135135135135135,0.16666666666666666,0.014264264264264262,2,0.3783783783783784,0.05555555555555555,0.010510510510510511,3,1,1.027027027027027,0.16216216216216217,4.621621621621622,3.2972972972972974,0.04505620073589874,1.0,0.15116237066062255,1.0,0.02702702702702703,0.599851442988914,0.02702702702702703,0.17879467561213308,0.01539039039039039,0.1111111111111111,26
39,20,6,0.5128205128205128,0.15789473684210525,0.013495276653171387,2,0.38461538461538464,0.05263157894736842,0.010121457489878543,2,0,1.0256410256410255,0.15384615384615385,4.487179487179487,3.282051282051282,0.04274562633918599,1.0,0.14341045421648807,1.0,0.02564102564102564,0.599851442988914,0.02564102564102564,0.17879467561213308,0.014507422402159244,0.10526315789473684,27
43,22,6,0.5116279069767442,0.14285714285714285,0.012181616832779624,2,0.4418604651162791,0.047619047619047616,0.010520487264673311,4,0,1.069767441860465,0.13953488372093023,4.488372093023256,3.302325581395349,0.03876928900544339,1.0,0.13006994684782747,1.0,0.023255813953488372,0.5998514429868226,0.023255813953488372,0.17879467561169998,0.013565891472868217,0.09523809523809523,28
44,22,6,0.5,0.13953488372093023,0.011627906976744186,2,0.4318181818181818,0.046511627906976744,0.01004228329809725,1,0,1.0454545454545454,0.25,4.4772727272727275,3.3181818181818183,0.03788816880077422,1.0,0.12711381169219502,1.0,0.022727272727272728,0.5998514429868226,0.022727272727272728,0.17879467561169998,0.012949260042283297,0.09302325581395349,29
47,22,6,0.46808510638297873,0.13043478260869565,0.010175763182238668,2,0.40425531914893614,0.043478260869565216,0.008788159111933393,3,0,0.9787234042553191,0.23404255319148937,4.276595744680851,3.3191489361702127,0.03546977504753331,1.0,0.11900016413737406,1.0,0.02127659574468085,0.5998514429868226,0.02127659574468085,0.17879467561169998,0.011332099907493062,0.08695652173913043,30
47,17,4,0.3617021276595745,0.08695652173913043,0.00786308973172988,2,0.40425531914893614,0.043478260869565216,0.008788159111933393,1,1,0.723404255319149,0.19148936170212766,4.319148936170213,3.3617021276595747,0.027719604263218758,1.0,0.07027305041488782,1.0,0.021276595744680847,0.7675649169679104,0.021276595744680857,0.30277034537514913,0.009019426456984274,0.08695652173913043,31
51,24,4,0.47058823529411764,0.08,0.009411764705882354,2,0.4117647058823529,0.04,0.00823529411764706,4,0,0.7843137254901961,0.19607843137254902,4.529411764705882,3.372549019607843,0.04654432447837301,1.0,0.09874252527777944,1.0,0.0196078431372549,0.4212724828859801,0.0196078431372549,0.1985754676831965,0.010392156862745099,0.08,32
51,24,4,0.47058823529411764,0.08,0.009411764705882354,2,0.4117647058823529,0.04,0.00823529411764706,0,0,0.7843137254901961,0.19607843137254902,4.529411764705882,3.372549019607843,0.04654432447837301,1.0,0.09874252527777944,1.0,0.0196078431372549,0.4212724828859801,0.0196078431372549,0.1985754676831965,0.010392156862745099,0.08,33
50,23,4,0.46,0.08163265306122448,0.009387755102040816,2,0.38,0.04081632653061224,0.007755102040816326,0,1,0.76,0.18,4.48,3.38,0.047475210967940475,1.0,0.100717375783335,1.0,0.02,0.4212724828859801,0.020000000000000004,0.1985754676831965,0.01020408163265306,0.07142857142857142,34
55,40,5,0.7272727272727273,0.09259259259259259,0.013468013468013467,2,0.4909090909090909,0.037037037037037035,0.00909090909090909,5,0,1.2,0.18181818181818182,5.9818181818181815,3.3454545454545452,0.07100488130075698,1.0,0.09521029139915327,1.0,0.018181818181818177,0.256064341616248,0.01818181818181818,0.1909648412438309,0.014646464646464645,0.08333333333333333,35
56,43,5,0.7678571428571429,0.09090909090909091,0.01396103896103896,3,0.5357142857142857,0.05454545454545454,0.00974025974025974,1,0,1.6428571428571428,0.2857142857142857,5.946428571428571,3.3392857142857144,0.07850820833720744,1.0,0.08449010822025789,1.0,0.017857142857142856,0.22745574297713034,0.017857142857142856,0.21135187577924436,0.015746753246753245,0.09999999999999999,36
55,43,5,0.7818181818181819,0.09259259259259259,0.014478114478114479,3,0.5454545454545454,0.05555555555555555,0.0101010101010101,0,1,1.6727272727272726,0.2909090909090909,5.890909090909091,3.309090909090909,0.07993563030697486,1.0,0.08602629200608075,1.0,0.01818181818181818,0.22745574297713034,0.01818181818181818,0.21135187577924436,0.01632996632996633,0.10185185185185185,37
56,44,5,0.7857142857142857,0.09090909090909091,0.014285714285714285,3,0.5714285714285714,0.05454545454545454,0.010389610389610388,1,0,1.6964285714285714,0.2857142857142857,5.857142857142857,3.3214285714285716,0.07850820833720744,1.0,0.08449010822025789,1.0,0.017857142857142856,0.22745574297713034,0.017857142857142856,0.21135187577924436,0.016396103896103895,0.09999999999999999,38
