day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,
9,8,,8,,,,,,,,,,,,
10,5,,12,,,,,,,,,,,,
11,6,,12,,,,,,,,,,,,
12,6,,11,,,,,,,,,,,,
13,6,,11,,,,,,,,,,,,
14,6,2,10,,,,,,,,,,,,
15,6,2,10,,,,,,,,,,,,
16,5,,15,,,,,,,,,,,,
17,5,,15,,,,,,,,,,,,
18,6,,15,,,,,,,,,,,,
19,8,,15,,,,,,,,,,,,
20,7,,17,,,,,,,,,,,,
21,11,,17,,,,,,,,,,,,
22,14,,17,,,,,,,,,,,,
23,14,,17,,,,,,,,,,,,
24,15,,18,,,,,,,,,,,,
25,14,,,21,,,,,,,,,,,
26,16,,,22,,,,,,,,,,,
27,17,,,23,,,,,,,,,,,
28,18,2,,24,,,,,,,,,,,
29,19,2,,24,,,,,,,,,,,
30,21,2,,24,,,,,,,,,,,
31,21,2,,25,,,,,,,,,,,
32,20,2,,30,,,,,,,,,,,
33,20,2,,30,,,,,,,,,,,
34,21,2,,28,,,,,,,,,,,
35,19,2,,,,35.0,,,,,,,,,
36,19,2,,,,36.0,,,,,,,,,
37,19,2,,,,36.0,,,,,,,,,
38,19,2,,,,37.0,,,,,,,,,
39,19,2,,,,38.0,,,,,,,,,
40,17,2,,,,,44.0,,,,,,,,
41,16,2,,,,,46.0,,,,,,,,
42,17,2,,,,,48.0,,,,,,,,
43,17,2,,,,,48.0,,,,,,,,
44,19,2,,,,,48.0,,,,,,,,
45,19,2,,,,,48.0,,,,,,,,
46,21,2,,,,,48.0,,,,,,,,
47,23,6,,,,,43.0,,,,,,,,
48,20,6,,,,,49.0,,,,,,,,
49,4,,,,,,,74.0,,,,,,,
50,5,,,,,,,74.0,,,,,,,
51,5,,,,,,,74.0,,,,,,,
52,5,,,,,,,75.0,,,,,,,
53,6,,,,,,,74.0,,,,,,,
54,7,,,,,,,76.0,,,,,,,
55,7,,,,,,,76.0,,,,,,,
56,7,,,,,,,79.0,,,,,,,
57,8,,,,,,,79.0,,,,,,,
58,8,,,,,,,79.0,,,,,,,
59,8,,,,,,,79.0,,,,,,,
60,9,,,,,,,79.0,,,,,,,
61,9,,,,,,,79.0,,,,,,,
62,10,,,,,,,79.0,,,,,,,
63,11,,,,,,,82.0,,,,,,,
64,12,,,,,,,83.0,,,,,,,
65,13,,,,,,,84.0,,,,,,,
66,16,,,,,,,84.0,,,,,,,
67,26,15,,,,,,59.0,,,,,,,
68,27,15,,,,,,60.0,,,,,,,
69,28,18,,,,,,60.0,,,,,,,
70,26,15,,,,,,,67.0,,,,,,
71,26,15,,,,,,,68.0,,,,,,
72,27,15,,,,,,,70.0,,,,,,
73,27,15,,,,,,,70.0,,,,,,
74,27,15,,,,,,,70.0,,,,,,
75,27,13,,,,,,,75.0,,,,,,
76,28,15,,,,,,,75.0,,,,,,
77,28,15,,,,,,,75.0,,,,,,
78,25,13,,,,,,,84.0,,,,,,
79,25,13,,,,,,,83.0,,,,,,
80,23,10,,,,,,,93.0,,,,,,
81,23,10,,,,,,,93.0,,,,,,
82,23,10,,,,,,,93.0,,,,,,
83,24,10,,,,,,,93.0,,,,,,
84,25,10,,,,,,,97.0,,,,,,
85,26,10,,,,,,,97.0,,,,,,
86,27,10,,,,,,,98.0,,,,,,
87,28,10,,,,,,,98.0,,,,,,
88,31,12,,,,,,,95.0,,,,,,
89,31,12,,,,,,,96.0,,,,,,
90,32,12,,,,,,,98.0,,,,,,
91,32,12,,,,,,,98.0,,,,,,
92,32,12,,,,,,,98.0,,,,,,
93,33,12,,,,,,,,99.0,,,,,
94,33,12,,,,,,,,100.0,,,,,
95,34,12,,,,,,,,100.0,,,,,
96,30,6,,,,,,,,117.0,,,,,
97,32,6,,,,,,,,115.0,,,,,
98,33,6,,,,,,,,117.0,,,,,
99,34,6,,,,,,,,118.0,,,,,
100,33,6,,,,,,,,128.0,,,,,
101,33,6,,,,,,,,128.0,,,,,
102,35,6,,,,,,,,126.0,,,,,
103,35,6,,,,,,,,126.0,,,,,
104,36,6,,,,,,,,128.0,,,,,
105,37,6,,,,,,,,131.0,,,,,
106,39,6,,,,,,,,132.0,,,,,
107,39,6,,,,,,,,132.0,,,,,
108,40,6,,,,,,,,132.0,,,,,
109,40,6,,,,,,,,131.0,,,,,
110,46,6,,,,,,,,133.0,,,,,
111,46,6,,,,,,,,133.0,,,,,
112,44,6,,,,,,,,136.0,,,,,
113,44,6,,,,,,,,136.0,,,,,
114,43,6,,,,,,,,140.0,,,,,
115,43,6,,,,,,,,140.0,,,,,
116,43,6,,,,,,,,139.0,,,,,
117,44,8,,,,,,,,139.0,,,,,
118,45,8,,,,,,,,139.0,,,,,
119,45,8,,,,,,,,139.0,,,,,
120,45,8,,,,,,,,144.0,,,,,
121,45,8,,,,,,,,144.0,,,,,
122,45,8,,,,,,,,144.0,,,,,
123,45,8,,,,,,,,145.0,,,,,
124,44,6,,,,,,,,151.0,,,,,
125,45,6,,,,,,,,151.0,,,,,
126,47,6,,,,,,,,153.0,,,,,
127,48,6,,,,,,,,153.0,,,,,
128,47,6,,,,,,,,155.0,,,,,
129,47,6,,,,,,,,154.0,,,,,
130,51,6,,,,,,,,152.0,,,,,
131,51,6,,,,,,,,152.0,,,,,
132,50,6,,,,,,,,155.0,,,,,
133,51,6,,,,,,,,157.0,,,,,
134,50,6,,,,,,,,159.0,,,,,
135,50,6,,,,,,,,160.0,,,,,
136,51,6,,,,,,,,160.0,,,,,
137,51,6,,,,,,,,160.0,,,,,
138,51,11,,,,,,,,155.0,,,,,
139,51,11,,,,,,,,155.0,,,,,
140,53,9,,,,,,,,160.0,,,,,
141,53,9,,,,,,,,160.0,,,,,
142,53,9,,,,,,,,161.0,,,,,
143,53,14,,,,,,,,155.0,,,,,
144,52,14,,,,,,,,158.0,,,,,
145,52,14,,,,,,,,158.0,,,,,
146,53,14,,,,,,,,159.0,,,,,
147,54,14,,,,,,,,160.0,,,,,
148,48,12,,,,,,,,173.0,,,,,
149,48,12,,,,,,,,172.0,,,,,
150,48,12,,,,,,,,172.0,,,,,
151,49,12,,,,,,,,172.0,,,,,
152,48,12,,,,,,,,175.0,,,,,
153,51,12,,,,,,,,176.0,,,,,
154,51,12,,,,,,,,179.0,,,,,
155,51,12,,,,,,,,180.0,,,,,
156,51,12,,,,,,,,182.0,,,,,
157,51,12,,,,,,,,183.0,,,,,
158,51,12,,,,,,,,183.0,,,,,
159,51,12,,,,,,,,184.0,,,,,
160,53,12,,,,,,,,186.0,,,,,
161,53,12,,,,,,,,186.0,,,,,
162,53,12,,,,,,,,186.0,,,,,
163,54,12,,,,,,,,186.0,,,,,
