day_counter,0,1,2,3,4,5,6
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,2,2,5,,,,
5,2,2,5,,,,
6,1,6,5,,,,
7,3,6,5,,,,
8,5,6,5,,,,
9,6,4,4,,,,
10,4,2,,8,,,
11,4,2,,7,,,
12,4,2,,8,,,
13,4,2,,8,,,
14,6,,3,8,,,
15,6,,3,8,,,
16,3,,,17,,,
17,3,,,17,,,
18,4,,,16,,,
19,6,,,16,,,
20,6,2,,15,,,
21,10,2,,15,,,
22,13,2,,15,,,
23,13,2,,15,,,
24,13,2,,18,,,
25,11,2,,21,,,
26,15,2,13,6,,,
27,16,2,14,6,,,
28,16,6,14,6,,,
29,17,6,14,6,,,
30,20,6,19,,,,
31,22,10,13,,,,
32,24,4,21,,,,
33,24,4,21,,,,
34,23,4,21,,,,
35,20,4,,,29,,
36,20,4,,,30,,
37,19,4,,,30,,
38,19,4,,,30,,
39,19,4,,,31,,
40,19,4,,,35,,
41,19,4,,,36,,
42,21,4,,,36,,
43,20,4,,,36,,
44,22,4,,,36,,
45,22,4,,,34,,
46,24,7,,,30,,
47,24,8,,,30,,
48,20,4,,,40,,
49,4,,,,,63.0,
50,5,,,,,63.0,
51,5,,,,,63.0,
52,5,,,,,65.0,
53,6,,,,,65.0,
54,7,,,,,67.0,
55,7,,,,,67.0,
56,7,,,,,70.0,
57,8,,,,,70.0,
58,8,,,,,70.0,
59,8,,,,,70.0,
60,9,,,,,70.0,
61,9,,,,,70.0,
62,10,,,,,69.0,
63,11,,,,,71.0,
64,12,,,,,71.0,
65,13,,,,,72.0,
66,29,4,,,,54.0,
67,27,8,,,,51.0,
68,28,8,,,,52.0,
69,31,6,,,,54.0,
70,24,8,,,,61.0,
71,24,8,,,,62.0,
72,25,8,,,,64.0,
73,27,8,4,,,57.0,
74,26,10,4,,,57.0,
75,26,10,4,,,60.0,
76,28,12,4,,,58.0,
77,28,12,4,,,58.0,
78,23,12,4,,,67.0,
79,23,12,4,,,67.0,
80,23,8,4,,,76.0,
81,23,8,4,,,76.0,
82,23,8,4,,74,,
83,24,8,4,,74,,
84,23,8,,,84,,
85,24,8,,,84,,
86,25,8,,,85,,
87,26,8,,,85,,
88,29,8,,,82,,
89,29,8,,,83,,
90,31,8,,,84,,
91,29,8,,,87,,
92,29,8,,,87,,
93,29,10,,,85,,
94,29,10,,,86,,
95,30,10,,,86,,
96,28,6,,,,99.0,
97,32,6,,,,95.0,
98,33,6,,,,97.0,
99,34,6,,,,98.0,
100,34,6,,,,106.0,
101,34,6,,,,105.0,
102,36,6,,,,102.0,
103,36,6,,,,102.0,
104,37,4,,,,106.0,
105,38,4,,,,109.0,
106,40,4,,,,110.0,
107,40,4,,,,110.0,
108,41,4,,,,110.0,
109,41,4,,,,109.0,
110,46,4,,,,112.0,
111,46,4,,,,112.0,
112,45,4,,,,114.0,
113,45,4,,,,114.0,
114,45,4,,,,116.0,
115,45,4,,,,115.0,
116,45,4,,,,115.0,
117,46,6,,,,115.0,
118,47,6,,,,115.0,
119,47,6,,,,114.0,
120,44,8,,,,120.0,
121,45,11,,,,115.0,
122,45,11,,,,115.0,
123,45,13,,,,113.0,
124,44,16,,,,113.0,
125,45,16,,,,113.0,
126,46,16,,,,115.0,
127,47,16,,,,115.0,
128,46,16,,,,116.0,
129,46,16,,,,116.0,
130,49,16,,,,116.0,
131,49,16,,,,116.0,
132,49,14,,,,119.0,
133,51,14,,,,119.0,
134,50,14,,,,120.0,
135,49,16,,,,119.0,
136,50,16,,,,118.0,
137,52,16,,,,115.0,
138,52,17,,,,115.0,
139,52,17,,,,115.0,
140,55,14,,,,120.0,
141,55,14,,,,120.0,
142,55,14,,,,121.0,
143,55,14,,,,121.0,
144,55,14,,,,122.0,
145,55,14,,,,122.0,
146,56,14,,,,123.0,
147,57,14,,,,124.0,
148,53,12,4,,,129.0,
149,53,12,4,,,129.0,
150,53,12,4,,,129.0,
151,54,12,4,,,129.0,
152,55,8,4,,,133.0,
153,58,8,4,,,133.0,
154,59,8,4,,,135.0,
155,59,8,4,,,135.0,
156,59,8,4,,,137.0,
157,59,8,4,,,138.0,
158,59,8,4,,,138.0,
159,56,8,4,,,142.0,
160,58,8,4,,,143.0,
161,58,8,4,,,143.0,
162,58,8,4,,,143.0,
163,60,8,4,,,140.0,
164,61,8,4,,,140.0,
165,64,8,4,,,140.0,
166,63,8,4,,,144.0,
167,63,8,4,,,144.0,
168,63,8,4,,,145.0,
169,64,8,4,,,144.0,
170,66,8,4,,142,,
171,64,8,4,,145,,
172,63,6,4,,,153.0,
173,63,8,4,,,148.0,
174,64,8,4,,,149.0,
175,65,8,4,,,150.0,
176,65,8,4,,,155.0,
177,65,8,4,,,156.0,
178,68,8,4,,,157.0,
179,69,8,4,,,157.0,
180,68,8,4,,,167.0,
181,72,8,4,,,167.0,
182,73,8,4,,,165.0,
183,74,6,4,,,169.0,
184,73,6,4,,,171.0,
185,74,6,4,,,170.0,
186,75,6,4,,,170.0,
187,75,6,4,,,170.0,
188,77,6,7,,,164.0,
189,81,6,7,,,160.0,
190,82,6,7,,,160.0,
191,82,6,7,,,160.0,
192,82,6,7,,,164.0,
193,83,6,7,,,162.0,
194,85,6,7,,,162.0,
195,85,6,7,,,161.0,
196,84,12,7,,,157.0,
197,86,12,7,,,157.0,
198,86,12,7,,,159.0,
199,86,12,7,,,161.0,
200,88,11,7,,,164.0,
201,90,11,7,,,163.0,
202,91,15,7,,,164.0,
203,89,18,7,,,164.0,
204,91,19,7,,,164.0,
205,90,21,7,,,164.0,
206,90,22,7,,,164.0,
207,92,22,7,,,164.0,
208,95,20,3,,,172.0,
209,95,20,3,,,172.0,
210,98,20,3,,,174.0,
211,99,20,3,,,173.0,
212,101,20,3,,,170.0,
213,102,20,3,,,168.0,
214,102,20,3,,,169.0,
215,102,20,3,,,170.0,
216,102,22,3,,,170.0,
217,103,22,3,,,168.0,
218,105,22,3,,,168.0,
219,105,22,3,,,166.0,
220,101,14,3,,,183.0,
221,101,14,3,,,183.0,
222,83,10,,,,,209.0
223,86,10,,,,,205.0
224,86,12,,,,,205.0
225,85,10,,,,,208.0
226,85,10,,,,,208.0
227,88,10,,,,,205.0
228,90,12,,,,,206.0
229,90,12,,,,,204.0
230,84,14,,,,,212.0
231,84,14,,,,,213.0
232,84,14,,,,,213.0
233,84,14,,,,,213.0
234,85,14,,,,,215.0
235,85,14,,,,,216.0
236,84,14,,,,,220.0
237,84,14,,,,,220.0
238,85,14,,,,,221.0
239,98,24,7,,,190.0,
240,98,24,7,,,191.0,
241,98,24,7,,,190.0,
242,101,24,7,,,187.0,
243,101,24,7,,,187.0,
244,100,27,10,,,182.0,
245,101,27,10,,,182.0,
246,102,27,10,,,182.0,
247,102,27,10,,,182.0,
248,103,27,10,,,186.0,
249,105,24,10,,,190.0,
250,106,24,10,,,190.0,
251,107,24,10,,,188.0,
252,110,26,10,,,183.0,
253,110,26,10,,,183.0,
