date,bug_id,degree,depth,severity,votes,comment_count
9,0,2,2,3,0,5
23,17,2,2,3,1,54
27,30,4,1,3,0,7
47,41,1,2,5,0,2
83,88,11,3,3,4,79
92,140,2,3,3,0,110
103,137,2,1,3,1,54
110,170,2,2,3,0,54
126,116,1,4,5,0,10
144,114,4,3,3,0,4
158,84,2,2,3,1,24
180,223,2,3,5,0,66
186,306,8,3,3,0,6
202,224,3,3,3,0,28
215,171,2,2,3,0,54
243,251,7,4,3,0,24
275,254,2,1,3,0,4
291,398,12,2,2,5,25
303,413,11,2,3,22,122
309,450,12,3,3,1,71
330,169,11,3,3,5,16
337,496,11,6,3,4,65
359,434,3,5,3,11,2
370,567,3,1,3,3,66
381,424,9,4,3,0,58
392,260,0,0,3,0,33
400,626,3,2,3,0,27
416,597,10,7,3,4,139
448,580,6,5,3,35,20
459,662,3,7,3,0,64
471,421,4,4,3,1,92
476,470,5,3,5,0,23
482,472,2,1,5,0,7
502,551,1,8,2,0,2
513,713,3,3,3,1,87
519,296,3,3,3,0,13
531,715,11,8,3,0,94
539,761,3,2,3,1,21
547,520,5,2,5,0,24
563,704,2,1,3,2,60
571,623,9,3,3,0,51
582,561,9,3,3,1,7
600,842,3,4,3,0,25
622,813,5,3,3,0,4
640,882,8,4,4,22,41
650,896,2,1,2,0,26
670,849,1,3,3,1,3
686,687,2,6,3,0,57
697,935,9,6,3,3,139
707,297,9,2,3,0,78
725,556,1,5,3,0,33
742,554,4,4,3,0,4
748,980,1,1,3,0,7
757,967,4,3,6,1,65
771,686,1,2,4,0,6
783,1000,25,4,4,0,95
798,682,1,3,3,2,26
812,999,2,2,3,1,9
823,1029,3,2,3,1,106
834,1028,21,4,3,0,118
840,922,7,3,3,0,24
875,555,3,4,3,0,5
907,236,1,3,3,26,15
916,1091,5,6,3,0,59
934,1093,12,3,3,2,35
945,1095,3,6,3,0,5
960,1109,5,2,3,0,7
975,1108,3,3,3,0,12
990,1127,11,2,3,11,3
1016,240,0,0,3,4,16
1034,1191,2,3,3,16,12
1045,1202,17,6,3,0,63
1054,1090,16,4,3,0,21
1065,1138,7,4,3,0,13
1076,1094,3,2,3,0,5
1091,1078,4,2,3,5,8
1097,1131,3,3,3,0,11
1108,1208,2,2,3,0,67
1131,586,1,6,3,0,81
1142,1261,9,1,5,0,39
1171,692,1,7,3,10,45
1187,315,2,7,3,1,6
1206,691,1,1,3,0,3
1217,1252,15,5,3,0,73
1223,1086,3,6,3,0,29
1240,1299,4,2,3,0,8
1247,1092,9,3,3,1,25
1258,1124,9,1,3,0,69
1269,1152,1,1,3,0,43
1283,1307,16,9,3,5,58
1294,1315,3,3,3,9,14
1305,1144,4,4,4,0,11
1316,1355,13,6,3,0,62
1327,1359,4,3,3,0,30
1338,1344,16,5,3,0,30
1348,1376,13,5,3,0,8
1359,1348,11,3,3,0,35
1370,1377,10,4,3,0,39
1380,1379,1,1,3,0,1
1397,1400,10,2,3,1,13
1403,1378,0,0,3,0,1
1414,1415,5,2,3,0,14
1440,1158,5,3,3,4,17
1451,1428,3,3,3,0,26
1462,1309,2,1,3,0,62
1477,1422,9,2,3,0,32
1483,1082,3,2,3,0,12
1503,1027,3,8,3,0,4
1510,1449,12,5,3,1,18
1551,1161,4,2,4,0,9
1592,1372,1,1,3,0,25
