day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,,,
11,6,,,12,,,,,,,,,,,,,
12,6,,,13,,,,,,,,,,,,,
13,6,,,13,,,,,,,,,,,,,
14,7,2,,13,,,,,,,,,,,,,
15,7,2,,13,,,,,,,,,,,,,
16,7,,,,18,,,,,,,,,,,,
17,7,,,,18,,,,,,,,,,,,
18,8,,,,18,,,,,,,,,,,,
19,10,,,,18,,,,,,,,,,,,
20,10,,,,20,,,,,,,,,,,,
21,14,,,,20,,,,,,,,,,,,
22,17,,,,20,,,,,,,,,,,,
23,19,,,,17,,,,,,,,,,,,
24,19,2,,,18,,,,,,,,,,,,
25,20,2,,,19,,,,,,,,,,,,
26,22,2,,,20,,,,,,,,,,,,
27,24,2,,,19,,,,,,,,,,,,
28,25,4,,,20,,,,,,,,,,,,
29,26,4,,,20,,,,,,,,,,,,
30,29,4,,,20,,,,,,,,,,,,
31,28,6,,,20,,,,,,,,,,,,
32,27,6,,,25,,,,,,,,,,,,
33,27,6,,,25,,,,,,,,,,,,
34,27,6,,,25,,,,,,,,,,,,
35,23,6,,,34,,,,,,,,,,,,
36,23,6,,,35,,,,,,,,,,,,
37,23,6,,,35,,,,,,,,,,,,
38,23,6,,,36,,,,,,,,,,,,
39,23,6,,,37,,,,,,,,,,,,
40,20,8,,,42,,,,,,,,,,,,
41,20,8,,,43,,,,,,,,,,,,
42,22,8,,,44,,,,,,,,,,,,
43,22,8,,,44,,,,,,,,,,,,
44,24,8,,,44,,,,,,,,,,,,
45,24,8,,,44,,,,,,,,,,,,
46,26,8,,,44,,,,,,,,,,,,
47,26,8,,,,45.0,,,,,,,,,,,
48,23,8,,,,51.0,,,,,,,,,,,
49,3,,,,,,82.0,,,,,,,,,,
50,4,,,,,,82.0,,,,,,,,,,
51,4,,,,,,82.0,,,,,,,,,,
52,4,,,,,,84.0,,,,,,,,,,
53,5,,,,,,84.0,,,,,,,,,,
54,6,,,,,,86.0,,,,,,,,,,
55,6,,,,,,86.0,,,,,,,,,,
56,6,,,,,,89.0,,,,,,,,,,
57,7,,,,,,89.0,,,,,,,,,,
58,7,,,,,,89.0,,,,,,,,,,
59,7,,,,,,89.0,,,,,,,,,,
60,8,,,,,,89.0,,,,,,,,,,
61,8,,,,,,89.0,,,,,,,,,,
62,9,,,,,,89.0,,,,,,,,,,
63,11,,,,,,91.0,,,,,,,,,,
64,12,,,,,,92.0,,,,,,,,,,
65,13,,,,,,93.0,,,,,,,,,,
66,16,,,,,,93.0,,,,,,,,,,
67,16,,,,,,95.0,,,,,,,,,,
68,17,,,,,,96.0,,,,,,,,,,
69,19,,,,,,98.0,,,,,,,,,,
70,17,2,,,,,100.0,,,,,,,,,,
71,17,2,,,,,101.0,,,,,,,,,,
72,18,2,,,,,103.0,,,,,,,,,,
73,18,2,,,,,103.0,,,,,,,,,,
74,18,2,,,,,104.0,,,,,,,,,,
75,17,2,,,,,108.0,,,,,,,,,,
76,19,2,,,,,109.0,,,,,,,,,,
77,19,2,,,,,109.0,,,,,,,,,,
78,19,,,,,,,115.0,,,,,,,,,
79,19,,,,,,,115.0,,,,,,,,,
80,20,,,,,,,119.0,,,,,,,,,
81,20,,,,,,,119.0,,,,,,,,,
82,20,,,,,,,119.0,,,,,,,,,
83,35,10,,,,,,94.0,,,,,,,,,
84,32,12,,,,,,100.0,,,,,,,,,
85,33,12,,,,,,100.0,,,,,,,,,
86,34,12,,,,,,101.0,,,,,,,,,
87,35,12,,,,,,101.0,,,,,,,,,
88,37,12,,,,,,102.0,,,,,,,,,
89,37,12,,,,,,103.0,,,,,,,,,
90,38,12,,,,,,105.0,,,,,,,,,
91,37,12,,,,,,107.0,,,,,,,,,
92,37,12,,,,,,106.0,,,,,,,,,
93,38,12,,,,,,107.0,,,,,,,,,
94,38,12,,,,,,108.0,,,,,,,,,
95,39,12,,,,,,108.0,,,,,,,,,
96,36,12,,,,,,118.0,,,,,,,,,
97,37,12,,,,,,118.0,,,,,,,,,
98,38,12,,,,,,120.0,,,,,,,,,
99,39,12,,,,,,121.0,,,,,,,,,
100,40,12,,,,,,129.0,,,,,,,,,
101,40,12,,,,,,129.0,,,,,,,,,
102,40,12,,,,,,130.0,,,,,,,,,
103,40,14,,,,,,127.0,,,,,,,,,
104,40,12,,,,,,132.0,,,,,,,,,
105,41,12,,,,,,135.0,,,,,,,,,
106,42,14,,,,,,135.0,,,,,,,,,
107,42,14,,,,,,135.0,,,,,,,,,
108,43,14,,,,,,135.0,,,,,,,,,
109,43,14,,,,,,135.0,,,,,,,,,
110,47,17,,,,,,136.0,,,,,,,,,
111,47,17,,,,,,136.0,,,,,,,,,
112,47,15,,,,,,139.0,,,,,,,,,
113,47,15,,,,,,139.0,,,,,,,,,
114,47,15,,,,,,142.0,,,,,,,,,
115,47,15,,,,,,142.0,,,,,,,,,
116,47,15,,,,,,142.0,,,,,,,,,
117,49,15,,,,,,143.0,,,,,,,,,
118,50,15,,,,,,143.0,,,,,,,,,
119,50,15,,,,,,143.0,,,,,,,,,
120,48,11,,,,,,154.0,,,,,,,,,
121,48,11,,,,,,154.0,,,,,,,,,
122,48,11,,,,,,154.0,,,,,,,,,
123,48,11,,,,,,155.0,,,,,,,,,
124,47,11,,,,,,,159.0,,,,,,,,
125,48,11,,,,,,,159.0,,,,,,,,
126,49,11,,,,,,,161.0,,,,,,,,
127,50,11,,,,,,,161.0,,,,,,,,
128,48,11,,,,,,,164.0,,,,,,,,
129,48,11,,,,,,,164.0,,,,,,,,
130,51,11,,,,,,,164.0,,,,,,,,
131,51,11,,,,,,,164.0,,,,,,,,
132,52,11,,,,,,,165.0,,,,,,,,
133,53,11,,,,,,,167.0,,,,,,,,
134,52,11,,,,,,,169.0,,,,,,,,
135,52,11,,,,,,,170.0,,,,,,,,
136,53,11,,,,,,,170.0,,,,,,,,
137,53,11,,,,,,,170.0,,,,,,,,
138,53,11,,,,,,,171.0,,,,,,,,
139,53,11,,,,,,,171.0,,,,,,,,
140,56,9,,,,,,,175.0,,,,,,,,
141,56,9,,,,,,,175.0,,,,,,,,
142,56,9,,,,,,,176.0,,,,,,,,
143,56,9,,,,,,,176.0,,,,,,,,
144,55,9,,,,,,,178.0,,,,,,,,
145,55,9,,,,,,,178.0,,,,,,,,
146,56,9,,,,,,,179.0,,,,,,,,
147,57,9,,,,,,,180.0,,,,,,,,
148,55,9,,,,,,,187.0,,,,,,,,
149,55,9,,,,,,,187.0,,,,,,,,
150,55,9,,,,,,,187.0,,,,,,,,
