day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,3,,,,,,,,,,,
1,,,3,,,,,,,,,,,
2,,,5,,,,,,,,,,,
3,,,6,,,,,,,,,,,
4,2,,7,,,,,,,,,,,
5,2,,7,,,,,,,,,,,
6,4,,9,,,,,,,,,,,
7,6,,9,,,,,,,,,,,
8,8,,9,,,,,,,,,,,
9,8,,8,,,,,,,,,,,
10,6,,11,,,,,,,,,,,
11,6,,10,,,,,,,,,,,
12,6,,11,,,,,,,,,,,
13,6,,11,,,,,,,,,,,
14,8,,12,,,,,,,,,,,
15,8,,12,,,,,,,,,,,
16,6,,,17,,,,,,,,,,
17,6,,,17,,,,,,,,,,
18,7,,,17,,,,,,,,,,
19,9,,,17,,,,,,,,,,
20,9,,,19,,,,,,,,,,
21,15,,,16,,,,,,,,,,
22,18,,,16,,,,,,,,,,
23,18,,,16,,,,,,,,,,
24,17,2,,17,,,,,,,,,,
25,16,2,,20,,,,,,,,,,
26,18,2,,21,,,,,,,,,,
27,18,4,,21,,,,,,,,,,
28,18,8,,21,,,,,,,,,,
29,19,8,,21,,,,,,,,,,
30,21,8,,21,,,,,,,,,,
31,20,10,,21,,,,,,,,,,
32,21,8,,,26,,,,,,,,,
33,21,8,,,26,,,,,,,,,
34,25,8,,,20,,,,,,,,,
35,21,8,,,29,,,,,,,,,
36,21,8,,,30,,,,,,,,,
37,21,8,,,30,,,,,,,,,
38,21,10,,,28,,,,,,,,,
39,21,10,,,29,,,,,,,,,
40,18,10,,,36,,,,,,,,,
41,16,10,,,39,,,,,,,,,
42,18,10,,,40,,,,,,,,,
43,18,10,,,40,,,,,,,,,
44,20,10,,,40,,,,,,,,,
45,20,10,,,39,,,,,,,,,
46,22,10,,,39,,,,,,,,,
47,22,10,,,41,,,,,,,,,
48,21,6,,,49,,,,,,,,,
49,5,,,,,74.0,,,,,,,,
50,6,,,,,73.0,,,,,,,,
51,6,,,,,73.0,,,,,,,,
52,6,,,,,75.0,,,,,,,,
53,7,,,,,75.0,,,,,,,,
54,8,,,,,77.0,,,,,,,,
55,8,,,,,77.0,,,,,,,,
56,8,,,,,80.0,,,,,,,,
57,9,,,,,80.0,,,,,,,,
58,9,,,,,80.0,,,,,,,,
59,9,,,,,80.0,,,,,,,,
60,10,,,,,80.0,,,,,,,,
61,10,,,,,80.0,,,,,,,,
62,11,,,,,80.0,,,,,,,,
63,12,,,,,83.0,,,,,,,,
64,13,,,,,84.0,,,,,,,,
65,28,13,,,57,,,,,,,,,
66,31,13,,,57,,,,,,,,,
67,30,13,,,,60.0,,,,,,,,
68,31,13,,,,60.0,,,,,,,,
69,32,16,,,,60.0,,,,,,,,
70,31,15,,,,,63.0,,,,,,,
71,31,15,,,,,64.0,,,,,,,
72,32,15,,,,,66.0,,,,,,,
73,32,15,,,,,66.0,,,,,,,
74,32,15,,,,,67.0,,,,,,,
75,31,15,,,,,,71.0,,,,,,
76,33,15,,,,,,72.0,,,,,,
77,33,15,,,,,,71.0,,,,,,
78,28,11,,,,,,84.0,,,,,,
79,28,11,,,,,,84.0,,,,,,
80,27,11,,,,,,90.0,,,,,,
81,27,11,,,,,,90.0,,,,,,
82,27,11,,,,,,90.0,,,,,,
83,28,11,,,,,,90.0,,,,,,
84,29,11,,,,,,94.0,,,,,,
85,30,11,,,,,,94.0,,,,,,
86,31,11,,,,,,95.0,,,,,,
87,32,11,,,,,,95.0,,,,,,
88,34,11,,,,,,96.0,,,,,,
89,34,11,,,,,,96.0,,,,,,
90,36,11,,,,,,97.0,,,,,,
91,34,11,,,,,,100.0,,,,,,
92,34,11,,,,,,100.0,,,,,,
93,35,11,,,,,,101.0,,,,,,
94,35,11,,,,,,102.0,,,,,,
95,36,11,,,,,,102.0,,,,,,
96,35,5,,,,,,,116.0,,,,,
97,36,5,,,,,,,116.0,,,,,
98,37,5,,,,,,,118.0,,,,,
99,38,5,,,,,,,118.0,,,,,
100,39,5,,,,,,,125.0,,,,,
101,39,5,,,,,,,125.0,,,,,
102,39,5,,,,,,,126.0,,,,,
103,39,5,,,,,,,126.0,,,,,
104,39,5,,,,,,,129.0,,,,,
105,39,5,,,,,,,133.0,,,,,
106,41,5,,,,,,,134.0,,,,,
107,41,5,,,,,,,134.0,,,,,
108,42,5,,,,,,,134.0,,,,,
109,42,5,,,,,,,134.0,,,,,
110,46,8,,,,,,,136.0,,,,,
111,46,8,,,,,,,136.0,,,,,
112,45,4,,,,,,,142.0,,,,,
113,45,4,,,,,,141.0,,,,,,
114,44,4,,,,,,145.0,,,,,,
115,44,4,,,,,,145.0,,,,,,
116,44,4,,,,,,145.0,,,,,,
117,45,6,,,,,,145.0,,,,,,
118,46,6,,,,,,145.0,,,,,,
119,46,6,,,,,,145.0,,,,,,
120,43,6,,,,,,153.0,,,,,,
121,43,6,,,,,,153.0,,,,,,
122,43,6,,,,,,153.0,,,,,,
123,43,6,,,,,,154.0,,,,,,
124,43,6,,,,,,157.0,,,,,,
125,44,6,,,,,,157.0,,,,,,
126,45,6,,,,,,159.0,,,,,,
127,46,6,,,,,,159.0,,,,,,
128,45,6,,,,,,161.0,,,,,,
129,45,6,,,,,,161.0,,,,,,
130,48,6,,,,,,161.0,,,,,,
131,48,6,,,,,,161.0,,,,,,
132,48,6,,,,,,163.0,,,,,,
133,49,6,,,,,,165.0,,,,,,
134,50,6,,,,,,164.0,,,,,,
135,52,6,,,,,,162.0,,,,,,
136,53,6,,,,,,162.0,,,,,,
137,53,6,,,,,,162.0,,,,,,
138,53,6,,,,,,163.0,,,,,,
139,53,6,,,,,,163.0,,,,,,
140,56,6,,,,,,165.0,,,,,,
141,56,6,,,,,,165.0,,,,,,
142,56,4,,,,,,167.0,,,,,,
143,56,4,,,,,,167.0,,,,,,
144,57,4,,,,,,168.0,,,,,,
145,57,4,,,,,,168.0,,,,,,
146,58,4,,,,,,169.0,,,,,,
147,59,4,,,,,,170.0,,,,,,
148,56,4,,,,,,178.0,,,,,,
149,56,4,,,,,,178.0,,,,,,
150,56,4,,,,,,178.0,,,,,,
151,57,4,,,,,,178.0,,,,,,
152,57,4,,,,,,180.0,,,,,,
153,60,4,,,,,,181.0,,,,,,
154,62,4,,,,,,182.0,,,,,,
155,61,4,,,,,,,183.0,,,,,
156,61,4,,,,,,,185.0,,,,,
157,61,4,,,,,,,186.0,,,,,
158,61,4,,,,,,,186.0,,,,,
159,61,4,,,,,,,186.0,,,,,
160,63,4,,,,,,,188.0,,,,,
161,63,4,,,,,,,188.0,,,,,
162,63,4,,,,,,,188.0,,,,,
163,64,4,,,,,,,188.0,,,,,
164,65,4,,,,,,,188.0,,,,,
165,68,4,,,,,,,188.0,,,,,
166,66,4,,,,,,,192.0,,,,,
167,66,4,,,,,,,192.0,,,,,
168,66,4,,,,,,,194.0,,,,,
169,67,4,,,,,,,194.0,,,,,
170,68,4,,,,,,,194.0,,,,,
171,68,4,,,,,,,195.0,,,,,
172,65,4,,,,,,,202.0,,,,,
