day_counter,0,1,2,3,4,5,6,7,8,9
0,,,3,,,,,,,
1,,,3,,,,,,,
2,,2,3,,,,,,,
3,,2,4,,,,,,,
4,1,4,4,,,,,,,
5,1,4,4,,,,,,,
6,3,4,6,,,,,,,
7,5,4,6,,,,,,,
8,7,4,6,,,,,,,
9,7,9,,,,,,,,
10,5,12,,,,,,,,
11,6,11,,,,,,,,
12,6,6,5,,,,,,,
13,6,6,5,,,,,,,
14,8,7,5,,,,,,,
15,8,6,5,,,,,,,
16,6,,16,,,,,,,
17,6,,16,,,,,,,
18,6,,16,,,,,,,
19,8,,16,,,,,,,
20,7,,19,,,,,,,
21,13,,15,,,,,,,
22,16,,15,,,,,,,
23,16,,15,,,,,,,
24,15,2,17,,,,,,,
25,13,2,20,,,,,,,
26,15,2,21,,,,,,,
27,17,2,20,,,,,,,
28,18,4,,21,,,,,,
29,19,4,,21,,,,,,
30,22,4,,21,,,,,,
31,24,10,4,9,,,,,,
32,23,4,4,20,,,,,,
33,23,4,4,20,,,,,,
34,23,4,4,20,,,,,,
35,19,4,,32,,,,,,
36,19,4,,33,,,,,,
37,19,4,,33,,,,,,
38,19,4,,34,,,,,,
39,19,4,,35,,,,,,
40,17,4,,41,,,,,,
41,16,4,,43,,,,,,
42,18,4,,,43,,,,,
43,18,4,,,43,,,,,
44,20,4,,,43,,,,,
45,22,4,,,40,,,,,
46,24,4,,,40,,,,,
47,25,4,,,40,,,,,
48,22,2,,,,47.0,,,,
49,2,,,,,,72.0,,,
50,3,,,,,,72.0,,,
51,3,,,,,,72.0,,,
52,3,,,,,,74.0,,,
53,4,,,,,,74.0,,,
54,5,,,,,,75.0,,,
55,5,,,,,,75.0,,,
56,5,,,,,,78.0,,,
57,6,,,,,,78.0,,,
58,6,,,,,,78.0,,,
59,6,,,,,,78.0,,,
60,7,,,,,,78.0,,,
61,7,,,,,,78.0,,,
62,8,,,,,,77.0,,,
63,10,,,,,,79.0,,,
64,11,,,,,,80.0,,,
65,12,,,,,,81.0,,,
66,15,,,,,,81.0,,,
67,15,,,,,,82.0,,,
68,16,,,,,,83.0,,,
69,35,11,3,,,53.0,,,,
70,32,11,,,,61.0,,,,
71,32,11,,,,62.0,,,,
72,33,11,,,,64.0,,,,
73,33,11,,,,64.0,,,,
74,32,13,,,,62.0,,,,
75,32,13,,,,65.0,,,,
76,34,13,,,,66.0,,,,
77,34,13,,,,66.0,,,,
78,30,9,,,,,78.0,,,
79,30,9,,,,,78.0,,,
80,29,7,,,,,,86.0,,
81,29,7,,,,,,86.0,,
82,29,7,,,,,,86.0,,
83,30,7,,,,,,86.0,,
84,30,7,,,,,,91.0,,
85,31,7,,,,,,91.0,,
86,33,7,,4,,,,86.0,,
87,34,7,,4,,,,86.0,,
88,35,7,,4,,,,88.0,,
89,35,7,,4,,,,88.0,,
90,37,5,,4,,,,91.0,,
91,36,5,,4,,,,93.0,,
92,36,5,,4,,,,93.0,,
93,36,5,,4,,,,94.0,,
94,36,5,,4,,,,95.0,,
95,38,7,,4,,,,91.0,,
96,35,4,,,,,,108.0,,
97,36,4,,,,,,108.0,,
98,37,4,,,,,,110.0,,
99,38,4,,,,,,111.0,,
100,38,4,,,,,,119.0,,
101,38,4,,,,,,119.0,,
102,38,4,,,,,,120.0,,
103,38,4,,,,,,120.0,,
104,37,4,,,,,,124.0,,
105,36,4,,,,,,129.0,,
106,38,4,,,,,,130.0,,
107,39,4,,,,,,128.0,,
108,40,4,,,,,,128.0,,
109,40,6,,,,,125.0,,,
110,45,6,,,,,129.0,,,
111,45,6,,,,,129.0,,,
112,44,6,,,,,131.0,,,
113,45,6,,,,,129.0,,,
114,45,6,,,,,131.0,,,
115,45,6,,,,,131.0,,,
116,45,6,,,,,131.0,,,
117,47,6,,,,,132.0,,,
118,48,6,,,,,132.0,,,
119,48,6,,,,,132.0,,,
120,46,8,,,,,137.0,,,
121,46,8,,,,,137.0,,,
122,46,8,,,,,137.0,,,
123,46,10,,,,,135.0,,,
124,44,10,,,,,140.0,,,
125,45,10,,,,,140.0,,,
126,47,10,,,,,142.0,,,
127,48,10,,,,,142.0,,,
128,46,10,,,,,144.0,,,
129,46,10,,,,,144.0,,,
130,49,10,,,,,143.0,,,
131,49,10,,,,,143.0,,,
132,49,10,,,,,145.0,,,
133,50,10,,,,,147.0,,,
134,50,10,,,,,148.0,,,
135,52,10,,,,,146.0,,,
136,54,10,,,,,144.0,,,
137,54,10,,,,,144.0,,,
138,54,10,,,,,145.0,,,
139,54,10,,,,,144.0,,,
140,55,10,,,,,147.0,,,
141,55,10,,,,,147.0,,,
142,55,10,,,,,148.0,,,
143,55,10,,,,,147.0,,,
144,54,10,,,,,150.0,,,
145,54,10,,,,,150.0,,,
146,55,10,,,,,151.0,,,
147,56,10,,,,,152.0,,,
148,53,8,,,,,161.0,,,
149,54,8,,,,,158.0,,,
150,54,8,,,,,158.0,,,
151,55,8,,,,,158.0,,,
152,54,8,,,,,160.0,,,
153,57,8,,,,,161.0,,,
154,58,8,,,,,163.0,,,
155,57,8,,,,,165.0,,,
156,56,8,,,,,167.0,,,
157,56,8,,,,,168.0,,,
158,56,8,,,,,168.0,,,
159,54,8,,,,,171.0,,,
160,56,8,,,,,173.0,,,
161,56,8,,,,,173.0,,,
162,56,8,,,,,173.0,,,
163,57,8,,,,,172.0,,,
164,58,8,,,,,171.0,,,
165,61,8,,,,,171.0,,,
166,60,8,,,,,175.0,,,
167,60,8,,,,,175.0,,,
168,60,8,,,,,177.0,,,
169,61,8,,,,,177.0,,,
170,62,8,,,,,177.0,,,
171,60,6,,,,,182.0,,,
172,58,6,,,,,189.0,,,
173,59,6,,,,,186.0,,,
174,60,6,,,,,187.0,,,
175,61,6,,,,,188.0,,,
176,61,4,,,,,195.0,,,
177,61,4,,,,,196.0,,,
178,64,4,,,,,197.0,,,
179,65,4,,,,,196.0,,,
180,67,4,,,,,203.0,,,
181,72,4,,,,,201.0,,,
182,72,4,,,,,200.0,,,
183,73,4,,,,,203.0,,,
184,72,4,,,,,205.0,,,
185,73,4,,,,,205.0,,,
186,74,4,,,,,205.0,,,
187,75,10,,,,,198.0,,,
188,74,10,,,,,200.0,,,
189,78,10,,,,,196.0,,,
190,79,10,,,,,196.0,,,
191,79,10,,,,,195.0,,,
192,80,8,,,,,,200.0,,
193,80,8,,,,,,200.0,,
194,82,8,,,,,,200.0,,
195,82,8,,,,,,200.0,,
196,82,8,,,,,,202.0,,
197,84,8,,,,,,202.0,,
198,84,8,,,,,,205.0,,
199,82,6,,,,,,211.0,,
200,84,6,,,,,,215.0,,
201,87,6,,,,,,213.0,,
202,89,8,,,,,,216.0,,
203,87,8,,,,,,219.0,,
204,89,8,,,,,,220.0,,
205,89,6,3,,,,,220.0,,
206,89,6,3,,,,,221.0,,
207,91,6,3,,,,,221.0,,
208,91,6,3,,,,226.0,,,
209,91,6,3,,,,226.0,,,
210,96,6,3,,,,225.0,,,
211,97,6,3,,,,225.0,,,
