day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,3,,,,,,,,,,
1,,,3,,,,,,,,,,
2,,2,3,,,,,,,,,,
3,,2,4,,,,,,,,,,
4,1,4,4,,,,,,,,,,
5,1,4,4,,,,,,,,,,
6,3,5,5,,,,,,,,,,
7,5,5,4,,,,,,,,,,
8,7,5,4,,,,,,,,,,
9,7,8,,,,,,,,,,,
10,5,2,9,,,,,,,,,,
11,6,,9,,,,,,,,,,
12,6,,10,,,,,,,,,,
13,6,,10,,,,,,,,,,
14,8,,10,,,,,,,,,,
15,8,,10,,,,,,,,,,
16,6,,15,,,,,,,,,,
17,6,,15,,,,,,,,,,
18,6,,15,,,,,,,,,,
19,8,,15,,,,,,,,,,
20,7,,18,,,,,,,,,,
21,12,2,14,,,,,,,,,,
22,15,2,14,,,,,,,,,,
23,15,2,14,,,,,,,,,,
24,15,2,17,,,,,,,,,,
25,14,2,20,,,,,,,,,,
26,16,2,20,,,,,,,,,,
27,17,2,21,,,,,,,,,,
28,17,6,21,,,,,,,,,,
29,18,6,21,,,,,,,,,,
30,23,6,18,,,,,,,,,,
31,25,6,15,,,,,,,,,,
32,24,6,4,16,,,,,,,,,
33,25,4,4,16,,,,,,,,,
34,25,4,4,16,,,,,,,,,
35,22,2,4,26,,,,,,,,,
36,22,2,3,,27,,,,,,,,
37,22,2,3,,27,,,,,,,,
38,22,2,3,,28,,,,,,,,
39,22,2,3,,,29.0,,,,,,,
40,20,,3,,,37.0,,,,,,,
41,20,,3,,,38.0,,,,,,,
42,22,,3,,,39.0,,,,,,,
43,22,,3,,,39.0,,,,,,,
44,24,,3,,,39.0,,,,,,,
45,24,,3,,,38.0,,,,,,,
46,27,,3,,,36.0,,,,,,,
47,27,,3,,,38.0,,,,,,,
48,24,,3,,,44.0,,,,,,,
49,2,,,,,,71.0,,,,,,
50,3,,,,,,69.0,,,,,,
51,3,,,,,,68.0,,,,,,
52,3,,,,,,70.0,,,,,,
53,4,,,,,,70.0,,,,,,
54,5,,,,,,72.0,,,,,,
55,5,,,,,,71.0,,,,,,
56,4,,,,,,75.0,,,,,,
57,5,,,,,,75.0,,,,,,
58,5,,,,,,75.0,,,,,,
59,5,,,,,,75.0,,,,,,
60,6,,,,,,75.0,,,,,,
61,6,,,,,,75.0,,,,,,
62,7,,,,,,75.0,,,,,,
63,10,,,,,,75.0,,,,,,
64,33,6,,,,46.0,,,,,,,
65,34,4,3,,,45.0,,,,,,,
66,37,6,3,,,42.0,,,,,,,
67,35,6,3,,,46.0,,,,,,,
68,36,6,3,,,47.0,,,,,,,
69,38,6,3,,,,49.0,,,,,,
70,36,4,3,,,,,55.0,,,,,
71,35,4,3,,,,,56.0,,,,,
72,35,4,,,,,,62.0,,,,,
73,35,6,,,,,,59.0,,,,,
74,34,8,,,,,,59.0,,,,,
75,33,8,,,,,,63.0,,,,,
76,35,8,,,,,,,64.0,,,,
77,35,8,,,,,,,64.0,,,,
78,30,6,,,,,,,75.0,,,,
79,30,6,,,,,,,75.0,,,,
80,28,6,,,,,,,81.0,,,,
81,28,6,,,,,,,81.0,,,,
82,28,6,,,,,,,81.0,,,,
83,31,6,,,,,,,78.0,,,,
84,33,6,,,,,,,80.0,,,,
85,34,6,,,,,,,80.0,,,,
86,35,6,,,,,,,81.0,,,,
87,38,6,,,,,,,78.0,,,,
88,39,6,,,,,,,80.0,,,,
89,39,6,,,,,,,81.0,,,,
90,39,9,,,,,,,81.0,,,,
91,39,6,,,,,,,85.0,,,,
92,40,8,,,,,,,80.0,,,,
93,40,8,,,,,,,82.0,,,,
94,39,8,,,,,,,83.0,,,,
95,41,8,,,,,,,81.0,,,,
96,35,6,,,,,,,96.0,,,,
97,37,4,,,,,,,96.0,,,,
98,38,4,,,,,,,98.0,,,,
99,39,4,,,,,,,99.0,,,,
100,40,4,,,,,,,,107.0,,,
101,40,4,,,,,,,,107.0,,,
102,40,4,,,,,,,,108.0,,,
103,40,4,,,,,,,,108.0,,,
104,42,4,,,,,,,,108.0,,,
105,43,2,,,,,,,,,113.0,,
106,46,4,,,,,,,,,110.0,,
107,46,4,,,,,,,,,110.0,,
108,47,4,,,,,,,,,110.0,,
109,47,4,,,,,,,,,110.0,,
110,53,,6,,,,,,,,110.0,,
111,53,,6,,,,,,,,110.0,,
112,51,,6,,,,,,,,113.0,,
113,51,,6,,,,,,,,112.0,,
114,51,,6,,,,,,,,115.0,,
115,51,,6,,,,,,,,115.0,,
116,51,,6,,,,,,,,115.0,,
117,53,,6,,,,,,,,116.0,,
118,54,,6,,,,,,,,116.0,,
119,54,,6,,,,,,,,116.0,,
120,51,,6,,,,,,,,124.0,,
121,51,,6,,,,,,,,124.0,,
122,51,,6,,,,,,,,124.0,,
123,51,,6,,,,,,,,124.0,,
124,51,,,,,,,,,,133.0,,
125,53,,,,,,,,,,131.0,,
126,55,,,,,,,,,,132.0,,
127,56,,,,,,,,,,132.0,,
128,54,,,,,,,,,,134.0,,
129,54,,,,,,,,,,134.0,,
130,58,,,,,,,,,,132.0,,
131,58,,,,,,,,,,132.0,,
132,58,2,,,,,,,,,130.0,,
133,59,2,,,,,,,,,132.0,,
134,59,2,,,,,,,,,133.0,,
135,61,2,,,,,,,,,131.0,,
136,62,2,,,,,,,,,131.0,,
137,62,2,,,,,,,,,131.0,,
138,62,2,,,,,,,,,132.0,,
139,62,2,,,,,,,,,132.0,,
140,64,2,,,,,,,,,135.0,,
141,64,2,6,,,,,,,,128.0,,
142,64,2,6,,,,,,,,129.0,,
143,64,2,6,,,,,,,,128.0,,
144,64,2,6,,,,,,,,130.0,,
145,64,2,6,,,,,,,,130.0,,
146,65,2,6,,,,,,,,130.0,,
147,66,,6,,,,,,,,132.0,,
148,62,,6,,,,,,,,141.0,,
149,62,,6,,,,,,,,141.0,,
150,62,,6,,,,,,,,141.0,,
151,63,,6,,,,,,,,141.0,,
152,63,,6,,,,,,,,142.0,,
153,66,,6,,,,,,,,143.0,,
154,67,,6,,,,,,,,144.0,,
155,67,,6,,,,,,,,144.0,,
156,66,,6,,,,,,,,147.0,,
157,66,,6,,,,,,,,148.0,,
158,66,,6,,,,,,,,148.0,,
159,65,,6,,,,,,,,149.0,,
160,67,,6,,,,,,,,151.0,,
161,67,,6,,,,,,,,150.0,,
162,67,,6,,,,,,,,150.0,,
163,69,,6,,,,,,,,148.0,,
164,70,,6,,,,,,,,148.0,,
165,73,,6,,,,,,,,148.0,,
166,73,,6,,,,,,,,151.0,,
167,73,,6,,,,,,,,151.0,,
168,73,,6,,,,,,,,153.0,,
169,74,,6,,,,,,,,153.0,,
170,75,,6,,,,,,,,153.0,,
171,73,,6,,,,,,,,155.0,,
172,70,,6,,,,,,,,162.0,,
173,70,,6,,,,,,,,162.0,,
174,71,,6,,,,,,,,162.0,,
175,72,,6,,,,,,,,163.0,,
176,74,,6,,,,,,,,166.0,,
177,74,,6,,,,,,,,167.0,,
178,76,2,6,,,,,,,,166.0,,
