day_counter,0,1,2,3,4,5,6,7,8
0,,,3,,,,,,
1,,,3,,,,,,
2,,2,3,,,,,,
3,,2,4,,,,,,
4,1,4,4,,,,,,
5,1,4,4,,,,,,
6,3,5,5,,,,,,
7,5,5,4,,,,,,
8,7,5,4,,,,,,
9,7,8,,,,,,,
10,5,2,9,,,,,,
11,6,,9,,,,,,
12,6,,10,,,,,,
13,6,,10,,,,,,
14,8,,10,,,,,,
15,8,,9,,,,,,
16,5,,15,,,,,,
17,5,,15,,,,,,
18,5,,15,,,,,,
19,7,,14,,,,,,
20,6,,17,,,,,,
21,10,3,13,,,,,,
22,13,3,13,,,,,,
23,13,3,13,,,,,,
24,14,3,15,,,,,,
25,13,3,18,,,,,,
26,15,3,19,,,,,,
27,19,3,16,,,,,,
28,19,7,16,,,,,,
29,20,7,16,,,,,,
30,23,7,16,,,,,,
31,24,13,9,,,,,,
32,23,11,16,,,,,,
33,23,11,16,,,,,,
34,23,11,16,,,,,,
35,20,8,27,,,,,,
36,20,8,27,,,,,,
37,20,8,27,,,,,,
38,20,8,28,,,,,,
39,20,8,,29,,,,,
40,18,7,,,36,,,,
41,17,2,,,42,,,,
42,19,2,,,43,,,,
43,19,2,,,43,,,,
44,20,2,,,43,,,,
45,20,2,,,41,,,,
46,22,2,,,41,,,,
47,22,2,,,43,,,,
48,18,2,,,50,,,,
49,1,,,,,70.0,,,
50,2,,,,,70.0,,,
51,2,,,,,69.0,,,
52,2,,,,,71.0,,,
53,3,,,,,71.0,,,
54,4,,,,,72.0,,,
55,4,,,,,72.0,,,
56,4,,,,,74.0,,,
57,5,,,,,74.0,,,
58,5,,,,,74.0,,,
59,5,,,,,74.0,,,
60,6,,,,,74.0,,,
61,6,,,,,74.0,,,
62,7,,,,,73.0,,,
63,9,,,,,75.0,,,
64,25,6,12,,42,,,,
65,28,6,13,,39,,,,
66,32,8,13,35,,,,,
67,30,10,3,47,,,,,
68,31,10,3,48,,,,,
69,33,10,3,,50,,,,
70,29,10,3,,,56.0,,,
71,29,10,3,,,56.0,,,
72,29,12,3,,,56.0,,,
73,29,12,3,,,56.0,,,
74,29,12,3,,,57.0,,,
75,31,14,3,,,55.0,,,
76,33,16,3,,,53.0,,,
77,33,16,3,,,53.0,,,
78,28,14,3,,,63.0,,,
79,28,14,3,,,63.0,,,
80,27,12,3,,,70.0,,,
81,27,14,,,,70.0,,,
82,27,14,,,,70.0,,,
83,29,16,,,66,,,,
84,28,14,,,74,,,,
85,29,14,,,74,,,,
86,30,14,,,75,,,,
87,31,14,,,75,,,,
88,33,14,,,75,,,,
89,33,14,,,75,,,,
90,35,14,,,76,,,,
91,35,12,,,78,,,,
92,38,12,,,74,,,,
93,37,12,,,77,,,,
94,36,12,,,78,,,,
95,37,12,,,78,,,,
96,32,8,,,94,,,,
97,33,8,,,94,,,,
98,34,8,,,96,,,,
99,35,8,,,97,,,,
100,38,12,,,97,,,,
101,38,12,,,97,,,,
102,38,12,,,98,,,,
103,39,14,,,94,,,,
104,39,14,,,97,,,,
105,40,12,,,102,,,,
106,41,14,,,101,,,,
107,41,14,,,101,,,,
108,42,14,,,101,,,,
109,42,14,,,101,,,,
110,46,16,,,103,,,,
111,46,16,,,103,,,,
112,44,16,,,106,,,,
113,45,16,,,104,,,,
114,44,16,,,108,,,,
115,46,16,,,105,,,,
116,46,16,,,105,,,,
117,48,16,,,106,,,,
118,49,16,,,106,,,,
119,49,16,,,106,,,,
120,49,14,,,113,,,,
121,49,14,,,112,,,,
122,49,14,,,112,,,,
123,49,14,,,112,,,,
124,48,16,,,,113.0,,,
125,49,16,,,,113.0,,,
126,51,16,,,,113.0,,,
127,52,16,,,,113.0,,,
128,52,12,,,,117.0,,,
129,52,12,,,,117.0,,,
130,55,12,,,,116.0,,,
131,55,12,,,,116.0,,,
132,56,12,,,,117.0,,,
133,57,12,,,,119.0,,,
134,56,12,,,,121.0,,,
135,57,21,,,,110.0,,,
136,58,21,,,,110.0,,,
137,58,21,,,,109.0,,,
138,58,21,,,,110.0,,,
139,58,21,,,,110.0,,,
140,59,17,,,,118.0,,,
141,59,17,,,,118.0,,,
142,59,17,,,,119.0,,,
143,59,17,,,,119.0,,,
144,58,17,,,,121.0,,,
145,58,17,,,,121.0,,,
146,59,17,,,,122.0,,,
147,60,17,,,,122.0,,,
148,55,15,,,,132.0,,,
149,55,15,,,,132.0,,,
150,55,15,,,,132.0,,,
151,56,15,,,,132.0,,,
152,55,15,,,,134.0,,,
153,58,15,,,,135.0,,,
154,59,15,,,,137.0,,,
155,60,15,,,,136.0,,,
156,60,15,,,,138.0,,,
157,60,15,,,,139.0,,,
158,60,15,,,,139.0,,,
159,59,15,,,,140.0,,,
160,61,15,,,,142.0,,,
161,61,15,,,,142.0,,,
162,61,15,,,,142.0,,,
163,64,15,,,,139.0,,,
164,65,15,,,,139.0,,,
165,68,15,,,,139.0,,,
166,67,12,,,,146.0,,,
167,67,12,,,,146.0,,,
168,67,12,,,,148.0,,,
169,68,12,,,,148.0,,,
170,69,12,,,,148.0,,,
171,66,12,,,,151.0,,,
172,65,12,,,,157.0,,,
173,65,12,,,,156.0,,,
174,65,14,,,,156.0,,,
175,66,14,,,,156.0,,,
176,66,14,,,,161.0,,,
177,66,14,,,,162.0,,,
178,69,14,,,,163.0,,,
179,70,14,,,,162.0,,,
180,71,12,,,,172.0,,,
181,75,12,,,,172.0,,,
182,75,12,,,,172.0,,,
183,76,12,,,,175.0,,,
184,75,12,,,,176.0,,,
185,76,12,,,,175.0,,,
186,77,12,,,,175.0,,,
187,77,12,,,,176.0,,,
188,76,12,,,,178.0,,,
189,79,14,,,,173.0,,,
190,80,14,,,,172.0,,,
191,82,18,,,,165.0,,,
192,83,18,,,,168.0,,,
193,83,18,,,,168.0,,,
194,85,18,,,,168.0,,,
195,85,18,,,,168.0,,,
196,84,18,,,,171.0,,,
197,86,18,,,,171.0,,,
198,88,18,,,,170.0,,,
199,88,23,,,,166.0,,,
200,91,21,,,,,170.0,,
201,93,21,,,,,170.0,,
202,95,23,,,,,172.0,,
203,93,21,5,,,,172.0,,
204,96,21,6,,,170.0,,,
205,95,23,6,,,170.0,,,
206,95,23,7,,,170.0,,,
207,97,23,7,,,170.0,,,
208,98,21,7,,,177.0,,,
209,98,21,7,,,177.0,,,
210,101,21,7,,,179.0,,,
211,102,21,7,,,179.0,,,
212,102,23,7,,,176.0,,,
213,102,23,7,,,176.0,,,
214,102,23,7,,,177.0,,,
215,102,23,7,,,178.0,,,
216,102,25,7,,,178.0,,,
217,102,25,7,,,178.0,,,
218,105,25,7,,,176.0,,,
219,105,25,7,,,176.0,,,
220,99,25,7,,,187.0,,,
221,100,25,7,,,184.0,,,
222,75,12,,,,,230.0,,
223,76,12,,,,,230.0,,
224,77,12,,,,,231.0,,
225,74,12,,,,,235.0,,
226,74,12,,,,,235.0,,
227,77,12,,,,,232.0,,
228,79,14,,,,,233.0,,
229,79,14,,,,,233.0,,
230,77,14,,,,,238.0,,
