day_counter,0,1,2,3,4,5,6,7,8,9,10
0,,,3,,,,,,,,
1,,,3,,,,,,,,
2,,2,3,,,,,,,,
3,,2,4,,,,,,,,
4,1,4,4,,,,,,,,
5,1,4,4,,,,,,,,
6,3,4,6,,,,,,,,
7,5,4,5,,,,,,,,
8,7,4,5,,,,,,,,
9,7,8,,,,,,,,,
10,5,9,,,,,,,,,
11,5,9,,,,,,,,,
12,5,9,,,,,,,,,
13,5,9,,,,,,,,,
14,6,11,,,,,,,,,
15,7,7,,,,,,,,,
16,3,14,,,,,,,,,
17,3,14,,,,,,,,,
18,4,14,,,,,,,,,
19,5,12,,,,,,,,,
20,6,12,,,,,,,,,
21,10,12,,,,,,,,,
22,13,12,,,,,,,,,
23,13,12,,,,,,,,,
24,14,13,,,,,,,,,
25,13,16,,,,,,,,,
26,15,17,,,,,,,,,
27,16,18,,,,,,,,,
28,18,19,,,,,,,,,
29,19,19,,,,,,,,,
30,22,19,,,,,,,,,
31,21,21,,,,,,,,,
32,24,20,,,,,,,,,
33,25,18,,,,,,,,,
34,24,18,,,,,,,,,
35,19,7,20,,,,,,,,
36,20,7,19,,,,,,,,
37,20,7,19,,,,,,,,
38,20,7,20,,,,,,,,
39,20,7,21,,,,,,,,
40,16,7,28,,,,,,,,
41,16,7,29,,,,,,,,
42,18,7,29,,,,,,,,
43,18,7,29,,,,,,,,
44,20,7,29,,,,,,,,
45,20,11,24,,,,,,,,
46,22,11,24,,,,,,,,
47,24,12,22,,,,,,,,
48,22,4,,35,,,,,,,
49,,,,,62,,,,,,
50,1,,,,62,,,,,,
51,1,,,,62,,,,,,
52,1,,,,64,,,,,,
53,2,,,,64,,,,,,
54,3,,,,65,,,,,,
55,3,,,,65,,,,,,
56,3,,,,68,,,,,,
57,4,,,,68,,,,,,
58,4,,,,68,,,,,,
59,4,,,,68,,,,,,
60,5,,,,68,,,,,,
61,5,,,,68,,,,,,
62,6,,,,68,,,,,,
63,7,,,,71,,,,,,
64,26,8,,44,,,,,,,
65,27,9,,43,,,,,,,
66,30,9,,43,,,,,,,
67,28,9,,47,,,,,,,
68,28,11,,46,,,,,,,
69,30,9,4,46,,,,,,,
70,28,9,5,,49,,,,,,
71,28,9,5,,50,,,,,,
72,29,9,5,,52,,,,,,
73,29,9,5,,52,,,,,,
74,29,9,5,,53,,,,,,
75,29,9,5,,56,,,,,,
76,30,11,5,,56,,,,,,
77,32,19,5,,44,,,,,,
78,29,16,,,59,,,,,,
79,29,16,,,59,,,,,,
80,29,8,,,,72.0,,,,,
81,29,8,,,,71.0,,,,,
82,29,8,,,,71.0,,,,,
83,31,10,,,,66.0,,,,,
84,32,8,,,,,71.0,,,,
85,33,8,,,,,71.0,,,,
86,34,8,,,,,72.0,,,,
87,35,8,,,,,72.0,,,,
88,37,8,,,,,73.0,,,,
89,37,8,,,,,74.0,,,,
90,38,8,,,,,76.0,,,,
91,36,8,,,,,79.0,,,,
92,37,8,,,,,77.0,,,,
93,38,4,,,,,81.0,,,,
94,38,4,,,,,82.0,,,,
95,39,4,,,,,81.0,,,,
96,35,2,,,,,,94.0,,,
97,36,2,,,,,,94.0,,,
98,37,2,,,,,,95.0,,,
99,38,2,,,,,,95.0,,,
100,37,2,,,,,,104.0,,,
101,37,2,,,,,,104.0,,,
102,37,2,,,,,,105.0,,,
103,37,2,,,,,,105.0,,,
104,37,2,,,,,,108.0,,,
105,36,2,,,,,,111.0,,,
106,37,4,,,,,,111.0,,,
107,37,4,,,,,,111.0,,,
108,38,4,,,,,,111.0,,,
109,38,4,,,,,,111.0,,,
110,43,4,,,,,,115.0,,,
111,43,4,,,,,,115.0,,,
112,42,4,,,,,,117.0,,,
113,43,4,,,,,,115.0,,,
114,43,4,,,,,,118.0,,,
115,43,4,,,,,,118.0,,,
116,43,4,,,,,,118.0,,,
117,44,6,,,,,,118.0,,,
118,45,8,,,,,,115.0,,,
119,45,8,,,,,,115.0,,,
120,45,8,,,,,,120.0,,,
121,45,8,,,,,,120.0,,,
122,45,8,,,,,,120.0,,,
123,45,10,,,,,,,118.0,,
124,43,10,,,,,,,123.0,,
125,44,12,,,,,,,120.0,,
126,46,12,,,,,,,120.0,,
127,47,12,,,,,,,120.0,,
128,45,12,,,,,,,123.0,,
129,45,12,,,,,,,123.0,,
130,48,12,,,,,,,123.0,,
131,48,12,,,,,,,122.0,,
132,49,12,,,,,,,,122.0,
133,50,12,,,,,,,,124.0,
134,50,12,,,,,,,,125.0,
135,49,14,,,,,,,,123.0,
136,50,14,,,,,,,,123.0,
137,52,14,,,,,,,,120.0,
138,52,14,,,,,,,,121.0,
139,52,14,,,,,,,,121.0,
140,53,14,,,,,,,,125.0,
141,53,14,,,,,,,,125.0,
142,53,14,,,,,,,,126.0,
143,53,14,,,,,,,,126.0,
144,53,14,,,,,,,,128.0,
145,53,14,,,,,,,,128.0,
146,55,14,,,,,,,,127.0,
147,56,14,,,,,,,,128.0,
148,52,10,,,,,,,,140.0,
149,52,10,,,,,,,,140.0,
150,52,10,,,,,,,,140.0,
151,53,10,,,,,,,,140.0,
152,52,10,,,,,,,,142.0,
153,55,10,,,,,,,,143.0,
154,56,10,,,,,,,,143.0,
155,56,10,,,,,,,,143.0,
156,56,10,,,,,,,,145.0,
157,56,10,,,,,,,,146.0,
158,56,10,,,,,,,,145.0,
159,55,10,,,,,,,,147.0,
160,57,10,,,,,,,,149.0,
161,57,10,,,,,,,,149.0,
162,57,10,,,,,,,,149.0,
163,59,10,,,,,,,,147.0,
164,60,10,,,,,,,,147.0,
165,63,10,,,,,,,,147.0,
166,63,10,,,,,,,,150.0,
167,63,10,,,,,,,,150.0,
168,63,12,,,,,,,,150.0,
169,65,12,,,,,,,,148.0,
170,66,12,,,,,,,,148.0,
171,64,12,,,,,,,,151.0,
172,60,12,,,,,,,,160.0,
173,60,12,,,,,,,,160.0,
174,61,12,,,,,,,,161.0,
175,62,12,,,,,,,,162.0,
176,64,12,,,,,,,,165.0,
177,64,12,,,,,,,,166.0,
178,67,12,,,,,,,,166.0,
179,68,12,,,,,,,,166.0,
180,68,12,,,,,,,,175.0,
181,72,12,,,,,,,,175.0,
182,72,12,,,,,,,,174.0,
183,73,6,,,,,,,,183.0,
184,73,6,,,,,,,,183.0,
185,74,6,,,,,,,,182.0,
186,75,6,,,,,,,,182.0,
187,75,6,,,,,,,,183.0,
188,73,6,,,,,,,,186.0,
189,74,6,,,,,,,,186.0,
190,75,6,,,,,,,,186.0,
191,75,6,,,,,,,,185.0,
192,76,6,,,,,,,,188.0,
193,77,6,,,,,,,,186.0,
194,79,6,,,,,,,,186.0,
195,79,6,,,,,,,,186.0,
196,78,4,,,,,,,,191.0,
197,80,4,,,,,,,,191.0,
198,81,4,,,,,,,,192.0,
199,79,4,,,,,,,,196.0,
200,82,4,,,,,,,,198.0,
201,84,4,,,,,,,,197.0,
202,84,10,,,,,,,,198.0,
203,82,10,,,,,,,,201.0,
204,84,10,,,,,,,,202.0,
