n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,5,2,1.0,0.5,0.25,2,1.2,0.5,0.3,2,0,2.0,0.0,4.8,3.2,0.48284348441926345,1.0,0.28284379898972306,1.0,0.2,0.41421290015034284,0.19999999999999998,0.7071040649092217,0.275,0.875,2
6,6,2,1.0,0.4,0.2,2,1.1666666666666667,0.4,0.23333333333333336,1,0,2.0,0.3333333333333333,4.333333333333333,3.1666666666666665,0.550462890058431,1.0,0.21712962862985863,1.0,0.1666666666666667,0.30277548164777324,0.16666666666666666,0.7675906218712496,0.21666666666666667,0.9,3
9,7,2,0.7777777777777778,0.25,0.09722222222222222,2,0.8888888888888888,0.25,0.1111111111111111,3,0,1.5555555555555556,0.2222222222222222,5.666666666666667,3.0,0.36697515727910335,1.0,0.144752959708879,1.0,0.1111111111111111,0.3027755664305239,0.1111111111111111,0.7675912902546038,0.10416666666666667,0.5625,4
9,7,2,0.7777777777777778,0.25,0.09722222222222222,2,0.8888888888888888,0.25,0.1111111111111111,0,0,1.5555555555555556,0.2222222222222222,5.666666666666667,3.0,0.36697515727910335,1.0,0.144752959708879,1.0,0.1111111111111111,0.3027755664305239,0.1111111111111111,0.7675912902546038,0.10416666666666667,0.5625,5
13,9,2,0.6923076923076923,0.16666666666666666,0.05769230769230769,2,0.7692307692307693,0.16666666666666666,0.0641025641025641,4,0,1.3076923076923077,0.15384615384615385,5.615384615384615,3.076923076923077,0.3258515677926944,1.0,0.09508226639824412,1.0,0.07692307692307693,0.2360678435403911,0.07692307692307693,0.8090160219876443,0.06089743589743589,0.4583333333333333,6
15,9,2,0.6,0.14285714285714285,0.04285714285714285,2,0.6666666666666666,0.14285714285714285,0.047619047619047616,2,0,1.1333333333333333,0.13333333333333333,6.8,3.066666666666667,0.2824046920870018,1.0,0.08240463087847824,1.0,0.06666666666666667,0.2360678435403911,0.06666666666666667,0.8090160219876443,0.04523809523809523,0.39285714285714285,7
17,9,2,0.5294117647058824,0.125,0.03308823529411765,2,0.5882352941176471,0.125,0.03676470588235294,2,0,1.0,0.11764705882352941,6.294117647058823,3.0588235294117645,0.2491806106650016,1.0,0.07270996842218669,1.0,0.058823529411764705,0.2360678435403911,0.058823529411764705,0.8090160219876443,0.034926470588235295,0.34375,8
16,7,1,0.4375,0.06666666666666667,0.029166666666666667,2,0.5,0.13333333333333333,0.03333333333333333,0,1,0.9375,0.125,6.375,3.0625,0.2500004768380677,1.0,0.0625002384194886,1.0,0.0625,0.2499995231628418,0.0625,0.9999961853027344,0.03125,0.3,9
17,11,4,0.6470588235294118,0.25,0.04044117647058824,2,0.5882352941176471,0.125,0.03676470588235294,1,0,1.411764705882353,0.17647058823529413,9.176470588235293,3.0588235294117645,0.10188844504343807,1.0,0.16071099070993072,1.0,0.058823529411764705,0.5773326836687565,0.058823529411764705,0.3660205761405331,0.042279411764705885,0.28125,10
17,10,4,0.5882352941176471,0.25,0.03676470588235294,2,0.47058823529411764,0.125,0.029411764705882353,1,1,1.0,0.17647058823529413,9.176470588235293,3.0588235294117645,0.10188844504343807,1.0,0.16071099070993072,1.0,0.058823529411764705,0.5773326836687565,0.058823529411764705,0.3660205761405331,0.03676470588235294,0.25,11
18,11,4,0.6111111111111112,0.23529411764705882,0.03594771241830066,2,0.5555555555555556,0.11764705882352941,0.032679738562091505,1,0,1.0555555555555556,0.2222222222222222,9.055555555555555,3.0555555555555554,0.10752618506871259,1.0,0.16308116399428885,1.0,0.05555555555555555,0.5166700140998569,0.05555555555555555,0.3406620004104283,0.03758169934640523,0.23529411764705882,12
16,9,4,0.5625,0.26666666666666666,0.0375,2,0.5,0.13333333333333333,0.03333333333333333,0,2,1.0625,0.125,9.75,3.0,0.12096479163702567,1.0,0.1834649087985136,0.9999999999999999,0.0625,0.5166792680265289,0.0625,0.3406646012542882,0.03958333333333333,0.23333333333333334,13
19,10,4,0.5263157894736842,0.2222222222222222,0.029239766081871343,2,0.47368421052631576,0.1111111111111111,0.02631578947368421,3,0,1.0,0.15789473684210525,9.0,3.210526315789474,0.1118363963767247,1.0,0.16446812924933116,1.0,0.05263157894736842,0.47061225730197137,0.05263157894736842,0.3200108080975358,0.030701754385964914,0.19444444444444442,14
19,10,4,0.5263157894736842,0.2222222222222222,0.029239766081871343,2,0.47368421052631576,0.1111111111111111,0.02631578947368421,0,0,1.0,0.15789473684210525,9.0,3.210526315789474,0.1118363963767247,1.0,0.16446812924933116,1.0,0.05263157894736842,0.47061225730197137,0.05263157894736842,0.3200108080975358,0.030701754385964914,0.19444444444444442,15
22,17,6,0.7727272727272727,0.2857142857142857,0.03679653679653679,2,0.5454545454545454,0.09523809523809523,0.025974025974025972,3,0,1.3636363636363635,0.22727272727272727,8.727272727272727,3.227272727272727,0.12079199730049212,1.0,0.2354255679357079,1.0,0.045454545454545456,0.3763042790117046,0.04545454545454544,0.1930739547667082,0.03896103896103896,0.23809523809523808,16
22,17,6,0.7727272727272727,0.2857142857142857,0.03679653679653679,2,0.5454545454545454,0.09523809523809523,0.025974025974025972,0,0,1.3636363636363635,0.22727272727272727,8.727272727272727,3.227272727272727,0.12079199730049212,1.0,0.2354255679357079,1.0,0.045454545454545456,0.3763042790117046,0.04545454545454544,0.1930739547667082,0.03896103896103896,0.23809523809523808,17
23,17,6,0.7391304347826086,0.2727272727272727,0.03359683794466403,2,0.5217391304347826,0.09090909090909091,0.023715415019762844,1,0,1.3043478260869565,0.21739130434782608,8.434782608695652,3.217391304347826,0.11554017133090551,1.0,0.22518967367763362,1.0,0.043478260869565216,0.3763042790117046,0.04347826086956521,0.1930739547667082,0.03557312252964427,0.2272727272727273,18
25,17,6,0.68,0.25,0.028333333333333335,2,0.48,0.08333333333333333,0.019999999999999997,2,0,1.2,0.2,8.28,3.2,0.10629695762443304,1.0,0.20717449978342295,1.0,0.039999999999999994,0.3763042790117046,0.04,0.1930739547667082,0.03,0.20833333333333331,19
27,21,6,0.7777777777777778,0.23076923076923078,0.029914529914529916,2,0.5185185185185185,0.07692307692307693,0.019943019943019943,2,0,1.3333333333333333,0.18518518518518517,8.333333333333334,3.2222222222222223,0.10630509969751614,1.0,0.1874911427745515,1.0,0.037037037037037035,0.3484032011862402,0.037037037037037035,0.19754019570712295,0.032051282051282055,0.19230769230769232,20
31,21,6,0.6774193548387096,0.2,0.02258064516129032,2,0.45161290322580644,0.06666666666666667,0.015053763440860214,4,0,1.1612903225806452,0.16129032258064516,7.709677419354839,3.193548387096774,0.09258831263977212,1.0,0.16329873725525454,1.0,0.03225806451612903,0.3484032011862402,0.03225806451612903,0.19754019570712295,0.024193548387096774,0.16666666666666666,21
33,20,6,0.6060606060606061,0.1875,0.01893939393939394,2,0.3939393939393939,0.0625,0.01231060606060606,3,1,1.0303030303030303,0.15151515151515152,7.181818181818182,3.242424242424242,0.08351060188947464,1.0,0.15056812658842397,1.0,0.0303030303030303,0.36286447010807116,0.030303030303030304,0.20125793545843368,0.020359848484848484,0.125,22
33,20,6,0.6060606060606061,0.1875,0.01893939393939394,2,0.3939393939393939,0.0625,0.01231060606060606,0,0,1.0303030303030303,0.15151515151515152,7.181818181818182,3.242424242424242,0.08351060188947464,1.0,0.15056812658842397,1.0,0.0303030303030303,0.36286447010807116,0.030303030303030304,0.20125793545843368,0.020359848484848484,0.125,23
36,23,6,0.6388888888888888,0.17142857142857143,0.01825396825396825,2,0.4722222222222222,0.05714285714285714,0.013492063492063491,3,0,1.1111111111111112,0.16666666666666666,6.972222222222222,3.3055555555555554,0.0788088881993967,1.0,0.1398658900850548,1.0,0.027777777777777776,0.35247011361835734,0.027777777777777773,0.19860294572812312,0.02023809523809524,0.12857142857142856,24
38,27,6,0.7105263157894737,0.16216216216216217,0.019203413940256046,3,0.5263157894736842,0.08108108108108109,0.01422475106685633,2,0,1.736842105263158,0.15789473684210525,6.7368421052631575,3.3421052631578947,0.07976807349868215,1.0,0.14582169499924155,1.0,0.026315789473684216,0.32990378630767586,0.02631578947368421,0.18046553000101312,0.02299668089141773,0.13513513513513514,25
40,24,6,0.6,0.15384615384615385,0.015384615384615384,3,0.475,0.07692307692307693,0.012179487179487178,3,1,1.5,0.15,6.425,3.375,0.07119747641581842,1.0,0.15187241956971312,1.0,0.024999999999999994,0.35113604103031915,0.024999999999999998,0.16461185033352546,0.018482905982905983,0.12393162393162392,26
42,25,6,0.5952380952380952,0.14634146341463417,0.014518002322880372,3,0.5,0.07317073170731708,0.012195121951219513,2,0,1.5,0.14285714285714285,6.214285714285714,3.357142857142857,0.06780712039601754,1.0,0.14464039959020297,1.0,0.023809523809523805,0.35113604103031915,0.023809523809523808,0.16461185033352546,0.017615176151761516,0.11788617886178862,27
45,26,6,0.5777777777777777,0.13636363636363635,0.013131313131313131,3,0.4888888888888889,0.06818181818181818,0.011111111111111112,4,1,1.4222222222222223,0.13333333333333333,6.155555555555556,3.3777777777777778,0.061902165689085145,1.0,0.13339935333960598,0.9999999999999999,0.022222222222222223,0.3589894145842548,0.022222222222222227,0.16658418250086446,0.015824915824915825,0.10984848484848485,28
46,26,6,0.5652173913043478,0.13333333333333333,0.012560386473429951,3,0.4782608695652174,0.06666666666666667,0.010628019323671498,1,0,1.391304347826087,0.2391304347826087,6.108695652173913,3.391304347826087,0.0605564664349746,1.0,0.13049936739744064,0.9999999999999999,0.021739130434782608,0.3589894145842548,0.021739130434782615,0.16658418250086446,0.015136876006441225,0.10740740740740741,29
47,24,6,0.5106382978723404,0.13043478260869565,0.011100832562442183,3,0.3829787234042553,0.06521739130434782,0.008325624421831638,3,2,1.2340425531914894,0.2127659574468085,5.872340425531915,3.404255319148936,0.05618535297064388,0.9999999999999999,0.12750470803126468,0.9999999999999999,0.02127659574468085,0.37868580723872275,0.021276595744680847,0.166869098978398,0.013105149552883132,0.09420289855072463,30
48,25,6,0.5208333333333334,0.1276595744680851,0.011081560283687944,3,0.3958333333333333,0.06382978723404255,0.008421985815602837,1,0,1.25,0.20833333333333334,6.041666666666667,3.4375,0.05501482478375547,0.9999999999999999,0.12484835994728,0.9999999999999999,0.020833333333333332,0.37868580723872275,0.02083333333333333,0.166869098978398,0.013002364066193851,0.09219858156028368,31
51,31,6,0.6078431372549019,0.12,0.012156862745098038,3,0.47058823529411764,0.06,0.009411764705882354,4,1,1.4313725490196079,0.21568627450980393,6.117647058823529,3.450980392156863,0.08402057873278551,1.0,0.11998316767240112,1.0,0.019607843137254905,0.2333695320001856,0.019607843137254898,0.16342161586191523,0.016274509803921568,0.09999999999999998,32
51,31,6,0.6078431372549019,0.12,0.012156862745098038,3,0.47058823529411764,0.06,0.009411764705882354,0,0,1.4313725490196079,0.21568627450980393,6.117647058823529,3.450980392156863,0.08402057873278551,1.0,0.11998316767240112,1.0,0.019607843137254905,0.2333695320001856,0.019607843137254898,0.16342161586191523,0.016274509803921568,0.09999999999999998,33
51,31,6,0.6078431372549019,0.12,0.012156862745098038,3,0.47058823529411764,0.06,0.009411764705882354,0,0,1.4313725490196079,0.21568627450980393,6.117647058823529,3.450980392156863,0.08402057873278551,1.0,0.11998316767240112,1.0,0.019607843137254905,0.2333695320001856,0.019607843137254898,0.16342161586191523,0.016274509803921568,0.09999999999999998,34
56,48,6,0.8571428571428571,0.10909090909090909,0.015584415584415583,5,0.7321428571428571,0.09090909090909091,0.013311688311688311,5,0,2.892857142857143,0.21428571428571427,7.446428571428571,3.4107142857142856,0.07801904187606767,1.0,0.12647726297592193,1.0,0.017857142857142856,0.22888185278548692,0.017857142857142853,0.14118856177764064,0.02421536796536796,0.12727272727272726,35
57,51,6,0.8947368421052632,0.10714285714285714,0.015977443609022556,5,0.8070175438596491,0.08928571428571427,0.014411027568922305,1,0,2.9298245614035086,0.3157894736842105,7.385964912280702,3.4035087719298245,0.08019163145374697,1.0,0.09817072937257608,1.0,0.017543859649122806,0.21877419540019927,0.017543859649122806,0.17870764291197852,0.025950292397660817,0.13392857142857142,36
57,51,6,0.8947368421052632,0.10714285714285714,0.015977443609022556,5,0.8070175438596491,0.08928571428571427,0.014411027568922305,0,0,2.9298245614035086,0.3157894736842105,7.385964912280702,3.4035087719298245,0.08019163145374697,1.0,0.09817072937257608,1.0,0.017543859649122806,0.21877419540019927,0.017543859649122806,0.17870764291197852,0.025950292397660817,0.13392857142857142,37
58,52,6,0.896551724137931,0.10526315789473684,0.01572897761645493,5,0.8620689655172413,0.08771929824561403,0.01512401693889897,1,0,2.9655172413793105,0.3103448275862069,7.327586206896552,3.413793103448276,0.08261765194803133,1.0,0.08914473127715734,0.9999999999999999,0.017241379310344827,0.20868880806719256,0.017241379310344827,0.19340884271376782,0.026542649727767695,0.14035087719298245,38
