date,bug_id,degree,depth,severity,votes,comment_count
9,0,2,2,3,0,5
10,4,0,0,3,0,3
11,1,0,0,3,0,9
13,8,1,1,1,0,8
14,10,0,0,3,0,4
15,5,1,1,3,2,2
20,22,0,0,4,0,2
21,17,4,2,3,1,54
26,30,0,0,3,0,7
29,25,2,1,3,2,12
32,19,1,1,3,1,7
34,23,1,1,3,0,7
35,48,1,1,4,0,4
42,64,3,2,3,0,8
45,59,3,1,3,1,12
46,39,1,2,4,1,3
50,73,3,2,3,0,4
51,65,1,1,3,0,13
60,74,1,2,3,2,9
65,71,2,1,3,0,8
66,60,4,2,3,0,5
67,44,0,0,3,0,2
68,56,0,0,5,0,14
75,108,0,0,3,0,13
77,123,0,0,3,0,9
78,90,0,0,4,0,7
85,104,1,2,4,2,12
86,114,3,1,3,0,4
88,126,0,0,2,0,2
89,137,2,2,3,1,54
90,130,0,0,3,0,7
94,140,4,1,3,0,110
98,142,0,0,3,31,7
99,147,5,2,4,0,94
101,151,1,4,3,1,36
105,170,2,2,3,0,54
108,148,3,1,3,0,27
110,185,4,3,3,0,11
112,168,5,2,3,0,34
114,171,14,3,3,0,54
121,183,4,3,3,0,3
123,208,0,0,6,0,13
127,180,6,2,3,4,18
128,190,1,1,3,0,28
132,224,2,2,3,0,28
134,181,1,1,3,1,41
135,191,1,3,3,0,2
139,217,1,1,3,0,5
141,219,1,3,3,0,3
142,228,0,0,3,0,20
143,223,2,1,5,0,66
145,125,0,0,3,0,23
147,249,2,2,5,0,3
148,85,2,1,3,0,28
149,248,2,1,3,0,17
151,220,1,3,3,0,8
154,236,5,2,3,26,15
155,256,1,1,3,0,2
157,161,0,0,3,0,54
159,211,2,2,3,0,7
161,259,0,0,3,0,8
163,257,1,2,4,2,5
166,251,5,1,3,0,24
168,286,1,2,4,0,3
171,279,1,2,3,0,5
174,272,4,2,3,0,3
178,274,1,2,3,7,3
179,159,0,0,3,0,1
180,275,3,3,3,0,1
184,298,1,2,3,0,3
186,306,8,2,3,0,6
189,297,8,2,3,0,78
191,317,1,2,3,0,4
195,296,3,2,3,0,13
199,328,2,2,3,0,4
201,309,1,2,3,0,3
204,334,2,2,3,0,25
205,354,1,2,3,0,6
206,167,1,1,4,0,7
210,184,0,0,3,1,3
212,363,1,2,3,0,3
213,330,1,1,3,0,27
214,285,2,2,5,0,13
216,380,1,1,3,0,38
222,186,2,1,3,0,16
223,348,0,0,3,0,5
224,122,6,1,3,0,13
225,349,1,2,3,1,3
227,402,1,2,3,0,3
234,379,1,2,3,0,12
238,403,1,1,3,1,2
240,397,6,3,3,3,118
242,350,4,2,5,0,16
250,413,4,2,3,22,122
251,424,9,3,3,0,58
254,421,7,2,3,1,92
256,106,1,2,3,0,5
264,367,2,2,3,0,27
265,414,1,1,3,8,11
266,240,1,1,3,4,16
267,390,1,2,3,0,2
270,454,1,3,3,0,13
271,417,4,2,3,53,1
273,394,1,1,3,0,17
277,450,2,3,3,1,71
278,470,0,0,5,0,23
279,453,3,3,3,0,3
281,484,1,1,3,1,7
283,489,1,2,5,0,3
285,469,0,0,3,0,110
287,464,0,0,3,0,5
288,466,3,2,5,1,3
289,472,6,2,5,0,7
290,500,2,2,5,0,5
291,498,1,1,3,0,8
292,502,1,2,3,0,18
293,487,2,2,3,0,4
294,366,0,0,3,0,2
296,265,1,1,4,0,2
297,270,2,1,3,1,18
301,182,3,1,3,0,56
302,510,1,1,3,0,8
304,133,0,0,3,0,2
311,368,1,1,3,0,2
312,520,5,2,5,0,24
314,492,1,1,4,0,2
316,393,1,2,3,0,4
317,383,0,0,3,5,4
321,72,1,1,3,0,9
324,419,2,1,3,1,5
325,554,3,2,3,0,4
327,523,10,2,3,0,26
330,431,3,1,3,0,3
334,522,0,0,3,0,66
336,396,1,1,3,0,8
338,210,1,1,3,0,4
339,551,0,0,2,0,2
341,567,11,6,3,3,66
343,558,4,2,3,7,16
345,388,1,1,3,0,2
346,138,0,0,3,0,64
354,570,1,1,3,0,2
361,226,1,3,3,1,2
369,179,1,2,3,1,4
371,121,1,1,5,0,10
379,593,1,1,4,0,19
381,588,7,2,3,2,32
382,597,1,2,3,4,139
388,546,0,0,4,0,3
389,623,8,2,3,0,51
396,83,6,4,3,0,5
401,307,1,1,5,1,6
403,68,1,3,5,0,2
406,315,0,0,3,1,6
408,632,5,2,3,0,12
411,401,1,3,3,0,11
413,642,2,2,3,0,9
414,278,3,1,3,2,7
415,650,0,0,3,0,6
419,636,0,0,4,1,2
420,646,0,0,3,0,18
423,555,2,2,3,0,5
424,529,3,2,3,0,10
427,648,1,2,3,1,1
430,641,0,0,3,2,8
432,67,0,0,4,0,4
434,655,2,2,3,1,3
436,439,1,2,4,0,4
438,662,3,1,3,0,64
442,436,1,1,5,0,6
443,258,0,0,3,0,4
444,361,1,2,3,0,2
446,633,0,0,2,0,1
447,625,0,0,3,1,3
448,452,1,1,3,0,2
455,598,3,1,3,0,6
457,524,1,1,3,0,4
459,647,3,2,3,0,6
462,595,1,1,4,2,12
464,696,1,2,3,0,3
465,329,2,2,3,0,6
467,145,0,0,5,0,3
469,316,0,0,3,0,2
474,351,1,2,3,0,2
478,63,1,1,3,0,59
479,262,0,0,3,3,17
481,295,1,1,4,4,4
488,709,3,2,3,0,39
489,704,3,2,3,2,60
490,723,1,2,3,0,2
491,687,2,1,3,0,57
500,726,4,2,3,0,6
501,724,1,1,3,0,1
503,683,1,2,3,0,3
505,661,1,2,3,0,2
508,716,2,2,3,2,5
513,686,1,1,4,0,6
515,682,3,2,3,2,26
516,689,2,1,3,0,40
519,751,2,2,3,0,16
520,738,0,0,3,0,41
521,741,1,1,3,7,1
526,98,5,1,3,0,10
527,714,4,2,3,0,6
528,761,2,2,3,1,21
531,767,2,1,3,0,8
533,769,1,2,4,0,15
535,710,1,1,3,0,3
538,318,2,1,3,0,2
539,774,5,2,3,0,13
542,779,1,1,3,0,5
545,777,4,2,3,0,20
548,697,1,1,3,0,3
550,776,0,0,3,0,7
552,800,1,2,3,0,4
553,781,1,2,3,0,3
557,503,1,2,3,0,2
558,780,1,2,3,0,5
562,40,1,1,3,0,2
563,786,1,1,3,3,1
564,807,1,2,3,0,11
565,813,2,2,3,0,4
566,805,4,2,3,0,16
570,771,3,2,3,0,4
572,737,0,0,3,1,3
573,816,2,2,3,0,7
574,736,2,1,3,0,12
575,837,2,2,3,0,10
577,803,6,2,3,0,10
578,839,3,2,3,0,14
580,792,2,2,3,0,1
581,787,4,2,3,0,1
582,835,2,2,3,0,9
583,760,1,2,3,0,9
586,612,1,1,4,0,4
588,836,1,1,3,0,7
589,834,1,1,3,0,11
590,828,1,1,3,0,8
595,615,1,1,5,0,3
596,858,4,2,3,0,2
599,579,0,0,3,9,43
600,666,3,1,3,0,3
602,241,1,1,3,0,2
603,830,1,2,5,0,13
606,146,1,2,5,0,2
607,187,2,1,5,0,5
611,752,2,3,3,0,20
614,823,1,1,3,0,15
617,705,1,1,3,0,1
618,725,4,1,3,0,1
620,862,1,1,3,0,3
623,508,0,0,4,0,4
624,378,4,1,3,0,13
628,586,2,1,3,0,81
630,885,1,2,5,0,3
631,475,1,1,4,0,9
634,890,1,1,3,0,7
635,882,7,1,4,22,41
636,888,3,1,3,0,8
637,344,2,1,3,0,9
639,889,2,2,3,0,1
643,434,1,1,3,11,2
644,897,1,2,3,0,4
647,896,3,2,2,0,26
648,263,2,1,3,0,6
649,901,1,2,3,0,13
650,731,1,1,3,0,9
656,887,1,2,3,0,4
660,175,1,1,3,0,6
663,445,1,1,3,0,4
665,907,1,3,3,0,6
666,917,1,2,3,0,2
667,806,1,2,3,0,3
668,177,1,1,3,0,2
669,591,0,0,4,0,3
670,915,1,1,3,0,113
675,922,3,1,3,0,24
676,918,1,2,3,0,4
677,656,1,1,3,1,1
679,199,1,1,3,0,2
