day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,3,,,,,,,,,,,
1,,,3,,,,,,,,,,,
2,,,5,,,,,,,,,,,
3,,,6,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,
10,5,,12,,,,,,,,,,,
11,6,5,6,,,,,,,,,,,
12,6,5,7,,,,,,,,,,,
13,6,3,7,,,,,,,,,,,
14,8,3,8,,,,,,,,,,,
15,8,3,8,,,,,,,,,,,
16,7,,15,,,,,,,,,,,
17,7,,15,,,,,,,,,,,
18,8,,15,,,,,,,,,,,
19,10,,15,,,,,,,,,,,
20,9,,18,,,,,,,,,,,
21,13,,18,,,,,,,,,,,
22,16,,17,,,,,,,,,,,
23,16,,17,,,,,,,,,,,
24,16,,20,,,,,,,,,,,
25,16,,,22,,,,,,,,,,
26,20,,,20,,,,,,,,,,
27,21,,,21,,,,,,,,,,
28,21,4,,20,,,,,,,,,,
29,22,4,,20,,,,,,,,,,
30,25,4,,18,,,,,,,,,,
31,24,6,,18,,,,,,,,,,
32,24,4,,23,,,,,,,,,,
33,24,4,,23,,,,,,,,,,
34,24,4,,23,,,,,,,,,,
35,22,2,,,,32.0,,,,,,,,
36,22,2,,,,33.0,,,,,,,,
37,22,2,,,,33.0,,,,,,,,
38,22,2,,,,34.0,,,,,,,,
39,22,2,,,,35.0,,,,,,,,
40,19,2,,,,,42.0,,,,,,,
41,19,2,,,,,43.0,,,,,,,
42,21,2,,,,,44.0,,,,,,,
43,22,2,,,,,42.0,,,,,,,
44,24,2,,,,,42.0,,,,,,,
45,24,2,,,,,42.0,,,,,,,
46,26,2,,,,,42.0,,,,,,,
47,26,2,,,,,44.0,,,,,,,
48,21,,,,,,54.0,,,,,,,
49,3,,,,,,,75.0,,,,,,
50,4,,,,,,,75.0,,,,,,
51,4,,,,,,,75.0,,,,,,
52,4,,,,,,,75.0,,,,,,
53,5,,,,,,,75.0,,,,,,
54,6,,,,,,,77.0,,,,,,
55,6,,,,,,,77.0,,,,,,
56,6,,,,,,,80.0,,,,,,
57,7,,,,,,,80.0,,,,,,
58,7,,,,,,,80.0,,,,,,
59,7,,,,,,,80.0,,,,,,
60,8,,,,,,,80.0,,,,,,
61,8,,,,,,,80.0,,,,,,
62,9,,,,,,,80.0,,,,,,
63,10,,,,,,,83.0,,,,,,
64,11,,,,,,,84.0,,,,,,
65,12,,,,,,,85.0,,,,,,
66,15,,,,,,,85.0,,,,,,
67,28,6,,,,,67.0,,,,,,,
68,29,6,,,,,68.0,,,,,,,
69,30,9,,,,,67.0,,,,,,,
70,27,6,,,,,75.0,,,,,,,
71,27,6,,,,,76.0,,,,,,,
72,28,6,,,,,78.0,,,,,,,
73,28,6,,,,,78.0,,,,,,,
74,28,6,,,,,79.0,,,,,,,
75,26,11,,,,,79.0,,,,,,,
76,28,11,,,,,,80.0,,,,,,
77,28,11,,,,,,80.0,,,,,,
78,25,9,,,,,,,88.0,,,,,
79,25,9,,,,,,,88.0,,,,,
80,23,,,,,,,,103.0,,,,,
81,23,,,,,,,,103.0,,,,,
82,23,,,,,,,,103.0,,,,,
83,24,,,,,,,,103.0,,,,,
84,25,,,,,,,,107.0,,,,,
85,26,,,,,,,,107.0,,,,,
86,27,,,,,,,,108.0,,,,,
87,28,,,,,,,,108.0,,,,,
88,30,,,,,,,,109.0,,,,,
89,30,,,,,,,,,110.0,,,,
90,32,,,,,,,,,111.0,,,,
91,31,,,,,,,,,113.0,,,,
92,31,,,,,,,,,113.0,,,,
93,32,4,,,,,,,,109.0,,,,
94,32,4,,,,,,,,110.0,,,,
95,33,4,,,,,,,,110.0,,,,
96,29,4,,,,,,,,120.0,,,,
97,30,4,,,,,,,,120.0,,,,
98,31,4,,,,,,,,122.0,,,,
99,32,4,,,,,,,,122.0,,,,
100,31,4,,,,,,,,131.0,,,,
101,31,4,,,,,,,,131.0,,,,
102,31,4,,,,,,,,132.0,,,,
103,31,4,,,,,,,,132.0,,,,
104,32,4,,,,,,,,134.0,,,,
105,33,4,,,,,,,,137.0,,,,
106,35,4,,,,,,,,138.0,,,,
107,35,4,,,,,,,,138.0,,,,
108,37,4,,,,,,,,136.0,,,,
109,37,4,,,,,,,,136.0,,,,
110,42,4,,,,,,,,139.0,,,,
111,42,4,,,,,,,,139.0,,,,
112,41,4,,,,,,,,141.0,,,,
113,41,4,,,,,,,,141.0,,,,
114,40,4,,,,,,,,145.0,,,,
115,40,4,,,,,,,,145.0,,,,
116,40,4,,,,,,,,145.0,,,,
117,42,4,,,,,,,,146.0,,,,
118,43,4,,,,,,,,146.0,,,,
119,43,4,,,,,,,,146.0,,,,
120,42,4,,,,,,,,152.0,,,,
121,42,4,,,,,,,,152.0,,,,
122,42,4,,,,,,,,152.0,,,,
123,42,4,,,,,,,,153.0,,,,
124,40,4,,,,,,,156.0,,,,,
125,41,4,,,,,,,156.0,,,,,
126,43,4,,,,,,,158.0,,,,,
127,44,4,,,,,,,158.0,,,,,
128,42,4,,,,,,,161.0,,,,,
129,42,4,,,,,,,161.0,,,,,
130,45,4,,,,,,,161.0,,,,,
131,45,4,,,,,,,161.0,,,,,
132,45,4,,,,,,,163.0,,,,,
133,46,4,,,,,,,165.0,,,,,
134,45,4,,,,,,,167.0,,,,,
135,45,4,,,,,,,168.0,,,,,
136,46,4,,,,,,,168.0,,,,,
137,47,4,,,,,,,166.0,,,,,
138,47,4,,,,,,,167.0,,,,,
139,48,4,,,,,,,165.0,,,,,
140,49,4,,,,,,,169.0,,,,,
141,49,4,,,,,,,169.0,,,,,
142,49,4,,,,,,,170.0,,,,,
143,49,4,,,,,,,170.0,,,,,
144,49,4,,,,,,,172.0,,,,,
145,49,4,,,,,,,172.0,,,,,
146,50,4,,,,,,,173.0,,,,,
147,51,4,,,,,,,174.0,,,,,
148,48,4,,,,,,,182.0,,,,,
149,48,4,,,,,,,182.0,,,,,
150,51,4,,,,,,,178.0,,,,,
151,52,4,,,,,,,178.0,,,,,
152,51,4,,,,,,,181.0,,,,,
153,54,4,,,,,,,182.0,,,,,
154,54,4,,,,,,,185.0,,,,,
155,54,4,,,,,,,186.0,,,,,
156,54,4,,,,,,,188.0,,,,,
157,54,4,,,,,,,189.0,,,,,
158,54,4,,,,,,,189.0,,,,,
159,54,4,,,,,,,190.0,,,,,
160,56,4,,,,,,,191.0,,,,,
161,57,4,,,,,,,189.0,,,,,
162,57,4,,,,,,,189.0,,,,,
163,58,4,,,,,,,189.0,,,,,
164,59,4,,,,,,,189.0,,,,,
165,62,4,,,,,,,189.0,,,,,
166,60,4,,,,,,,194.0,,,,,
167,60,4,,,,,,,194.0,,,,,
168,61,4,,,,,,,195.0,,,,,
169,62,4,,,,,,,195.0,,,,,
170,63,4,,,,,,,195.0,,,,,
171,61,4,,,,,,,198.0,,,,,
