day_counter,0,1,2,3,4,5,6,7,8,9
0,,,3,,,,,,,
1,,,3,,,,,,,
2,,2,3,,,,,,,
3,,2,4,,,,,,,
4,1,4,4,,,,,,,
5,1,4,4,,,,,,,
6,3,5,5,,,,,,,
7,5,5,5,,,,,,,
8,7,5,4,,,,,,,
9,7,8,,,,,,,,
10,5,3,8,,,,,,,
11,5,2,6,,,,,,,
12,5,2,7,,,,,,,
13,5,2,7,,,,,,,
14,7,2,8,,,,,,,
15,7,2,8,,,,,,,
16,4,,15,,,,,,,
17,4,,15,,,,,,,
18,5,,15,,,,,,,
19,7,,15,,,,,,,
20,6,,18,,,,,,,
21,11,2,14,,,,,,,
22,14,2,13,,,,,,,
23,14,2,13,,,,,,,
24,15,,16,,,,,,,
25,15,,18,,,,,,,
26,17,,19,,,,,,,
27,17,2,19,,,,,,,
28,18,2,21,,,,,,,
29,20,6,15,,,,,,,
30,23,6,15,,,,,,,
31,22,8,15,,,,,,,
32,22,6,21,,,,,,,
33,22,6,21,,,,,,,
34,22,6,21,,,,,,,
35,19,4,,,29,,,,,
36,19,4,,,,29.0,,,,
37,19,4,,,,29.0,,,,
38,19,4,,,,30.0,,,,
39,19,4,,,,31.0,,,,
40,17,4,,,,37.0,,,,
41,17,4,,,,38.0,,,,
42,19,4,,,,39.0,,,,
43,19,4,,,,39.0,,,,
44,21,4,,,,39.0,,,,
45,21,4,,,,38.0,,,,
46,23,4,,,,38.0,,,,
47,23,4,,,,40.0,,,,
48,17,2,,,,51.0,,,,
49,,,,,,71.0,,,,
50,1,,,,,71.0,,,,
51,1,,,,,71.0,,,,
52,1,,,,,72.0,,,,
53,2,,,,,72.0,,,,
54,3,,,,,74.0,,,,
55,3,,,,,73.0,,,,
56,2,,,,,77.0,,,,
57,3,,,,,77.0,,,,
58,3,,,,,77.0,,,,
59,3,,,,,77.0,,,,
60,4,,,,,77.0,,,,
61,4,,,,,77.0,,,,
62,5,,,,,77.0,,,,
63,7,,,,,79.0,,,,
64,21,8,,,58,,,,,
65,22,8,,,59,,,,,
66,25,8,,,59,,,,,
67,24,4,3,,62,,,,,
68,25,4,3,,63,,,,,
69,27,4,3,,65,,,,,
70,24,4,,,72,,,,,
71,24,4,,,72,,,,,
72,24,4,,,74,,,,,
73,24,4,,,74,,,,,
74,24,4,,,75,,,,,
75,25,4,,,77,,,,,
76,27,4,,,76,,,,,
77,27,4,,,76,,,,,
78,21,6,,,,82.0,,,,
79,21,6,,,,82.0,,,,
80,21,10,,,,82.0,,,,
81,21,10,,,,82.0,,,,
82,21,10,,,,80.0,,,,
83,22,10,,,,80.0,,,,
84,18,12,,,,86.0,,,,
85,19,12,,,,86.0,,,,
86,20,12,,,,87.0,,,,
87,21,12,,,,87.0,,,,
88,23,12,,,,87.0,,,,
89,23,12,,,,88.0,,,,
90,25,12,,,,89.0,,,,
91,24,12,,,,91.0,,,,
92,25,12,,,,89.0,,,,
93,26,12,,,89,,,,,
94,26,12,,,90,,,,,
95,28,12,,,88,,,,,
96,28,6,,,100,,,,,
97,32,6,,,96,,,,,
98,33,6,,,98,,,,,
99,34,6,,,99,,,,,
100,32,6,,,110,,,,,
101,32,6,,,110,,,,,
102,32,6,,,111,,,,,
103,33,6,,,109,,,,,
104,33,6,,,112,,,,,
105,35,6,,,113,,,,,
106,37,6,,,114,,,,,
107,37,6,,,114,,,,,
108,38,6,,,114,,,,,
109,38,6,,,114,,,,,
110,41,10,,,115,,,,,
111,41,10,,,115,,,,,
112,41,10,,,114,,,,,
113,41,10,,,114,,,,,
114,41,10,,,117,,,,,
115,41,10,,,117,,,,,
116,41,10,,,117,,,,,
117,43,10,,,117,,,,,
118,44,10,,,116,,,,,
119,44,10,,,115,,,,,
120,43,8,,,122,,,,,
121,43,8,,,122,,,,,
122,43,8,,,122,,,,,
123,43,8,,,123,,,,,
124,43,8,,,126,,,,,
125,44,8,,,126,,,,,
126,46,8,,,128,,,,,
127,47,8,,,127,,,,,
128,44,8,,,130,,,,,
129,44,8,,,130,,,,,
130,49,8,,,127,,,,,
131,49,8,,,127,,,,,
132,49,8,,,129,,,,,
133,50,8,,,131,,,,,
134,49,8,,,133,,,,,
135,49,8,,,134,,,,,
136,50,8,,,133,,,,,
137,50,8,,,133,,,,,
138,50,8,,,134,,,,,
139,50,8,,,134,,,,,
140,52,8,,,,137.0,,,,
141,53,8,,,,133.0,,,,
142,53,8,,,,134.0,,,,
143,53,8,,,,134.0,,,,
144,53,8,,,,136.0,,,,
145,53,8,,,,136.0,,,,
146,54,8,,,,137.0,,,,
147,55,8,,,,138.0,,,,
148,52,6,,,,148.0,,,,
149,52,6,,,,148.0,,,,
150,52,6,,,,148.0,,,,
151,53,6,,,,147.0,,,,
152,53,6,,,,149.0,,,,
153,56,6,,,,150.0,,,,
154,59,6,,,,149.0,,,,
155,58,6,,,,151.0,,,,
156,57,6,,,,152.0,,,,
157,57,6,,,,153.0,,,,
158,57,6,,,,153.0,,,,
159,55,6,,,,156.0,,,,
160,57,6,,,,156.0,,,,
161,57,6,,,,156.0,,,,
162,58,6,,,,154.0,,,,
163,59,6,,,,153.0,,,,
164,60,6,,,,153.0,,,,
165,63,6,,,,153.0,,,,
166,63,6,,,,155.0,,,,
167,63,6,,,,155.0,,,,
168,63,8,,,,153.0,,,,
169,64,8,,,,152.0,,,,
170,65,8,,,,152.0,,,,
171,64,8,,,,154.0,,,,
172,61,8,,,,161.0,,,,
173,61,8,,,,160.0,,,,
174,62,8,,,,161.0,,,,
175,64,8,,,,160.0,,,,
176,67,8,,,,162.0,,,,
177,67,8,,,,163.0,,,,
178,70,8,,,,164.0,,,,
179,71,8,,,,162.0,,,,
180,73,8,,,,169.0,,,,
181,77,8,,,,168.0,,,,
182,78,8,,,,165.0,,,,
183,78,6,,,,170.0,,,,
184,79,6,,,,169.0,,,,
185,80,6,,,,168.0,,,,
186,81,6,,,,168.0,,,,
187,81,6,,,,167.0,,,,
188,81,8,,,,165.0,,,,
189,82,8,,,,164.0,,,,
190,83,8,,,,164.0,,,,
191,83,8,,,,164.0,,,,
192,83,8,,,,168.0,,,,
193,83,8,,,,168.0,,,,
194,85,8,,,,168.0,,,,
195,85,8,,,,167.0,,,,
196,84,8,,,,170.0,,,,
197,86,8,,,,170.0,,,,
198,87,4,7,,,168.0,,,,
199,86,4,,,,178.0,,,,
200,88,4,,,,182.0,,,,
201,90,4,,,,182.0,,,,
202,91,8,,,,183.0,,,,
203,89,8,,,,185.0,,,,
204,91,8,,,,185.0,,,,
205,90,10,,,,184.0,,,,
206,89,12,,,,184.0,,,,
207,92,12,,,,182.0,,,,
208,92,12,,,,188.0,,,,
209,92,12,,,,187.0,,,,
210,95,12,,,,189.0,,,,
211,96,12,,,,189.0,,,,
212,96,12,,,,189.0,,,,
213,96,12,,,,189.0,,,,
214,96,12,,,,190.0,,,,
215,96,12,,,,191.0,,,,
216,97,12,,,,,192.0,,,
217,97,12,,,,,192.0,,,
218,99,12,,,,,192.0,,,
