day_counter,0,1,2,3,4,5,6,7,8,9,10,11
0,,,3,,,,,,,,,
1,,,3,,,,,,,,,
2,,,5,,,,,,,,,
3,,,6,,,,,,,,,
4,1,2,6,,,,,,,,,
5,1,2,6,,,,,,,,,
6,3,3,7,,,,,,,,,
7,5,3,7,,,,,,,,,
8,7,3,7,,,,,,,,,
9,7,3,6,,,,,,,,,
10,5,,12,,,,,,,,,
11,6,4,6,,,,,,,,,
12,6,4,7,,,,,,,,,
13,6,4,7,,,,,,,,,
14,7,6,7,,,,,,,,,
15,7,5,7,,,,,,,,,
16,6,,16,,,,,,,,,
17,6,,15,,,,,,,,,
18,7,,15,,,,,,,,,
19,9,,15,,,,,,,,,
20,9,,,17,,,,,,,,
21,14,,,15,,,,,,,,
22,17,,,15,,,,,,,,
23,17,,,15,,,,,,,,
24,17,,,18,,,,,,,,
25,17,,,20,,,,,,,,
26,18,2,,19,,,,,,,,
27,19,2,,20,,,,,,,,
28,20,2,3,20,,,,,,,,
29,21,2,3,20,,,,,,,,
30,25,2,21,,,,,,,,,
31,24,4,21,,,,,,,,,
32,23,4,25,,,,,,,,,
33,23,4,25,,,,,,,,,
34,24,6,21,,,,,,,,,
35,20,4,3,29,,,,,,,,
36,20,4,3,30,,,,,,,,
37,20,4,3,30,,,,,,,,
38,20,4,3,31,,,,,,,,
39,20,4,3,32,,,,,,,,
40,18,2,3,,40,,,,,,,
41,17,2,3,,42,,,,,,,
42,19,2,3,,43,,,,,,,
43,19,2,3,,43,,,,,,,
44,21,2,3,,43,,,,,,,
45,21,2,3,,43,,,,,,,
46,23,2,3,,43,,,,,,,
47,23,2,3,,45,,,,,,,
48,20,,3,,52,,,,,,,
49,4,,,,,74.0,,,,,,
50,5,,,,,74.0,,,,,,
51,5,,,,,74.0,,,,,,
52,5,,,,,75.0,,,,,,
53,6,,,,,75.0,,,,,,
54,7,,,,,77.0,,,,,,
55,7,,,,,77.0,,,,,,
56,7,,,,,80.0,,,,,,
57,8,,,,,80.0,,,,,,
58,8,,,,,80.0,,,,,,
59,8,,,,,80.0,,,,,,
60,9,,,,,80.0,,,,,,
61,9,,,,,80.0,,,,,,
62,10,,,,,80.0,,,,,,
63,11,,,,,83.0,,,,,,
64,12,,,,,84.0,,,,,,
65,13,,,,,85.0,,,,,,
66,16,,,,,84.0,,,,,,
67,30,4,,,,67.0,,,,,,
68,31,4,,,,68.0,,,,,,
69,32,7,,,,68.0,,,,,,
70,29,6,,,,74.0,,,,,,
71,29,6,,,,75.0,,,,,,
72,30,6,,,,77.0,,,,,,
73,30,6,,,,76.0,,,,,,
74,30,6,,,,76.0,,,,,,
75,29,6,,,,80.0,,,,,,
76,31,6,,,,80.0,,,,,,
77,31,6,,,,79.0,,,,,,
78,29,,,,,,91.0,,,,,
79,29,,,,,,91.0,,,,,
80,29,,,,,,96.0,,,,,
81,29,,,,,,96.0,,,,,
82,29,,,,,,96.0,,,,,
83,30,,,,,,96.0,,,,,
84,30,,,,,,101.0,,,,,
85,31,,,,,,101.0,,,,,
86,32,,,,,,102.0,,,,,
87,33,,,,,,102.0,,,,,
88,35,,,,,,103.0,,,,,
89,35,,,,,,,104.0,,,,
90,37,,,,,,,105.0,,,,
91,36,,,,,,,107.0,,,,
92,36,,,,,,,107.0,,,,
93,37,,,,,,,108.0,,,,
94,37,,,,,,,109.0,,,,
95,38,,,,,,,108.0,,,,
96,35,,,,,,,118.0,,,,
97,36,,,,,,,117.0,,,,
98,37,,,,,,,119.0,,,,
99,38,,,,,,,120.0,,,,
100,37,,,,,,,130.0,,,,
101,37,,,,,,,130.0,,,,
102,37,,,,,,,131.0,,,,
103,37,,,,,,,130.0,,,,
104,37,,,,,,,133.0,,,,
105,38,,,,,,,136.0,,,,
106,39,2,,,,,,136.0,,,,
107,39,2,,,,,,135.0,,,,
108,40,2,,,,,,135.0,,,,
109,40,2,,,,,,135.0,,,,
110,45,2,,,,,,139.0,,,,
111,45,2,,,,,,139.0,,,,
112,44,4,,,,,,138.0,,,,
113,44,4,,,,,,137.0,,,,
114,44,4,,,,,,140.0,,,,
115,44,4,,,,,,139.0,,,,
116,44,4,,,,,,139.0,,,,
117,45,6,,,,,,139.0,,,,
118,46,6,,,,,,139.0,,,,
119,46,6,,,,,,139.0,,,,
120,46,6,,,,,,143.0,,,,
121,46,6,,,,,,143.0,,,,
122,46,6,,,,,,143.0,,,,
123,46,6,,,,,,144.0,,,,
124,43,6,,,,,,150.0,,,,
125,44,6,,,,,,149.0,,,,
126,45,6,,,,,,152.0,,,,
127,46,6,,,,,,152.0,,,,
128,44,6,,,,,,155.0,,,,
129,44,6,,,,,,155.0,,,,
130,47,6,,,,,,155.0,,,,
131,47,6,,,,,,155.0,,,,
132,47,6,,,,,,157.0,,,,
133,48,6,,,,,,159.0,,,,
134,48,6,,,,,,160.0,,,,
135,48,6,,,,,,161.0,,,,
136,49,6,,,,,,161.0,,,,
137,49,6,,,,,,161.0,,,,
138,49,6,,,,,,162.0,,,,
139,49,6,,,,,,162.0,,,,
140,51,4,,,,,,167.0,,,,
141,51,4,,,,,166.0,,,,,
142,51,4,,,,,166.0,,,,,
143,51,4,,,,,166.0,,,,,
144,52,4,,,,,167.0,,,,,
145,52,4,,,,,167.0,,,,,
146,54,4,,,,,166.0,,,,,
147,54,4,,,,167.0,,,,,,
148,48,4,,,,178.0,,,,,,
149,48,4,,,,178.0,,,,,,
150,48,4,,,,178.0,,,,,,
151,49,4,,,,178.0,,,,,,
152,49,4,,,,180.0,,,,,,
153,52,4,,,,181.0,,,,,,
154,54,4,,,,182.0,,,,,,
155,53,4,,,,184.0,,,,,,
156,53,4,,,,186.0,,,,,,
157,53,4,,,,187.0,,,,,,
158,53,4,,,,187.0,,,,,,
159,52,4,,,,189.0,,,,,,
160,54,4,,,,191.0,,,,,,
161,54,4,,,,191.0,,,,,,
162,54,4,,,,191.0,,,,,,
163,55,4,,,,191.0,,,,,,
164,56,4,,,,191.0,,,,,,
165,59,4,,,,190.0,,,,,,
166,59,4,,,,193.0,,,,,,
167,59,4,,,,193.0,,,,,,
168,60,4,,,,,194.0,,,,,
169,61,4,,,,,194.0,,,,,
170,62,4,,,,,194.0,,,,,
171,61,4,,,,,196.0,,,,,
172,57,6,,,,,202.0,,,,,
173,57,6,,,,,202.0,,,,,
174,58,6,,,,,203.0,,,,,
175,59,6,,,,,203.0,,,,,
176,61,6,,,,,206.0,,,,,
177,61,6,,,,,207.0,,,,,
178,64,6,,,,,208.0,,,,,
179,65,6,,,,,208.0,,,,,
180,66,6,,,,,216.0,,,,,
181,70,6,,,,,216.0,,,,,
182,70,6,,,,,216.0,,,,,
183,70,6,,,,,220.0,,,,,
184,69,6,,,,,222.0,,,,,
185,70,6,,,,,222.0,,,,,
186,71,6,,,,,222.0,,,,,
187,71,6,,,,,222.0,,,,,
188,69,6,,,,,225.0,,,,,
189,70,6,,,,,225.0,,,,,
190,71,6,,,,,225.0,,,,,
191,71,6,,,,,225.0,,,,,
